,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,North Carolina,ACC,,34,4,83.7,55,28.66,,14.09,,26.61,15.53,42.14,103.91,54.46,49.46
2,Duke,ACC,,32,2,75.5,51.4,24.12,,17.4,,19.33,22.19,41.51,103.95,51.98,51.97
3,Tennessee,SEC,,34,3,73.6,55.5,18.08,,21.7,,19.58,20.19,39.78,106.66,55.85,50.81
4,Connecticut,Big East,,32,4,77.3,55.2,22.06,,14.54,,20.99,15.61,36.59,105.43,59.44,46
5,Maryland,ACC,,28,6,82.6,61.3,21.32,,15.05,,25.25,11.12,36.37,108.57,64.14,44.43
6,Louisiana State,SEC,,34,9,58.3,43.3,14.93,,16.37,,8.5,24.76,33.26,95.69,53.46,42.22
7,Purdue,Big Ten,,31,6,69.6,54.6,15.03,,16.55,,13.52,18.06,31.58,99.46,59.49,39.97
8,Oklahoma,Big 12,,28,5,76.6,61.5,15.15,,16.68,,20,10.87,30.87,101.82,63.93,37.88
9,Vanderbilt,SEC,,28,6,76.3,61.9,14.38,,15.55,,19,10.94,29.94,106.7,69.53,37.17
10,Stanford,Pac-10,,29,5,71.3,57.1,14.18,,15.5,,14.21,15.46,29.67,99.13,61.87,37.27
11,Georgia,SEC,,27,7,71.8,59.2,12.56,,16.4,,15.18,13.78,28.96,98.04,63.52,34.53
12,Ohio State,Big Ten,,28,4,72.3,57.5,14.84,,14.64,,15.64,13.19,28.83,104.67,68.14,36.53
13,Arizona State,Pac-10,,31,5,72.4,58.6,13.81,,14.75,,15.16,13.4,28.56,97.11,61.94,35.17
14,Rutgers,Big East,,27,9,64.4,54.4,10,,18.54,,8.73,19.81,28.54,99.87,62.73,37.14
15,Middle Tennessee,Sun Belt,,30,4,79.2,60.5,18.68,,8.58,,19.86,7.97,27.83,103.72,70.01,33.71
16,Baylor,Big 12,,26,8,73.9,61.6,12.38,,14.17,,16.67,9.71,26.38,97.57,66.52,31.05
17,Bowling Green,MAC,,31,4,74.4,57.2,17.23,,8.09,,13.18,12.14,25.32,99.66,68.35,31.31
18,Texas A&M,Big 12,,25,7,65.6,53.6,12,,13.28,,8.44,16.84,25.28,91.84,61.23,30.61
19,Mississippi,SEC,,24,11,77.7,67.3,10.4,,15.64,,20.03,5.11,25.14,93.89,64.46,29.43
20,NC State,ACC,,25,10,67,57.7,9.23,,15.24,,9.9,14.58,24.47,92.37,63.05,29.32
21,Oklahoma State,Big 12,,20,11,71,57.9,13.1,,10.53,,12.76,10.87,23.63,92.66,65.51,27.15
22,Nebraska,Big 12,,22,10,71.3,62.6,8.66,,14.32,,14.4,8.58,22.97,97.77,70.16,27.61
23,Michigan State,Big Ten,,24,9,64.8,58.7,6.09,,16.29,,8.94,13.43,22.38,90.5,63.53,26.97
24,George Washington,A-10,,28,4,67.1,55.6,11.5,,10.8,,8.14,14.16,22.3,90.84,64.05,26.79
25,South Carolina,SEC,,18,15,68.6,59.5,9.18,,13.03,,10.77,11.44,22.21,88.03,62.62,25.41
26,Iowa State,Big 12,,26,9,67.8,60.6,7.2,,14.99,,10.3,11.88,22.19,96.18,69.25,26.92
27,Marquette,Big East,,26,7,70.9,61.2,9.67,,12.54,,12.09,9.89,21.97,95.19,68.99,26.2
28,California,Pac-10,,23,9,67.9,60.1,7.84,,13.53,,9.8,11.58,21.38,93.63,68.01,25.63
29,Texas,Big 12,,18,14,64.4,58.8,5.53,,15.75,,8.23,13.05,21.28,87.04,61.93,25.11
30,Louisville,Big East,,27,8,73.5,62.4,11.11,,9.53,,13.41,6.67,20.09,94.24,70.74,23.5
31,Kentucky,SEC,,20,14,70.4,62.2,8.12,,11.6,,10.82,8.9,19.72,93.27,70.26,23.02
