,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
97,Idaho,WAC,,25,9,72.9,62.1,10.85,,-3.06,,3.45,3.17,6.62,64.9,52.05,12.85
98,Seton Hall,Big East,,20,14,71.1,68.3,2.82,,3.68,,6.12,0.38,6.51,66.42,54.03,12.39
99,Virginia Commonwealth,A-10,,22,10,75.8,67.4,8.41,,-1.99,,7.76,-1.34,6.42,68.64,56.71,11.93
100,Green Bay,Horizon,,22,10,68.4,59.6,8.78,,-2.75,,-2.48,8.52,6.03,67.94,54.49,13.45
101,Drexel,CAA,,15,16,59.5,55.8,3.65,,2.29,,-5.65,11.58,5.93,68.55,55.18,13.37
102,Tulane,CUSA,,20,11,68.6,63.8,4.87,,1.3,,0.39,5.41,5.8,65.43,53.35,12.08
103,Mississippi,SEC,,12,20,72.1,75.7,-3.59,,9.36,,9.65,-3.89,5.76,73.71,61.61,12.1
104,American,Patriot,,22,10,64.1,55,9.16,,-3.61,,-4.16,9.71,5.55,68.72,55.49,13.23
105,Cincinnati,AAC,,13,18,53.2,58.8,-5.65,,11.18,,-7.2,12.73,5.53,60.47,49.4,11.07
106,Illinois,Big Ten,,9,21,67.8,72.3,-4.5,,10.02,,4.12,1.4,5.52,67.21,56.01,11.2
107,Utah,Pac-12,,12,19,59.5,63.5,-3.9,,9.39,,-3.77,9.26,5.49,65.98,55.17,10.81
108,Wyoming,MWC,,20,11,73.2,65.4,7.81,,-2.12,,3.48,2.01,5.48,62.32,51.75,10.57
109,Fresno State,MWC,,22,11,70.1,63.7,6.39,,0.97,,1.59,3.67,5.26,61.86,51.81,10.05
110,Delaware,CAA,,20,11,64,58.4,5.61,,-0.44,,-2.41,7.59,5.18,65.8,53.78,12.02
111,Navy,Patriot,,24,8,67.9,59,8.94,,-3.78,,-0.53,5.69,5.16,73.28,60.85,12.44
112,East Carolina,CUSA,,22,9,72.5,63.9,8.65,,-2.02,,3.37,1.71,5.08,62.96,51.94,11.02
113,Hawaii,Big West,,17,14,64.1,62.8,1.23,,3.61,,-2.85,7.69,4.84,62.27,51.97,10.3
114,Butler,Big East,,15,16,64.7,66,-1.26,,5.91,,0.25,4.4,4.65,65.53,55.45,10.07
115,Portland,WCC,,14,16,68.3,68.3,-0.07,,4.51,,0.87,3.57,4.44,65.34,56.04,9.29
116,Wright State,Horizon,,26,9,83.3,76,7.34,,-1.86,,13.13,-8.99,4.14,69.82,60.46,9.37
117,Pittsburgh,ACC,,11,20,62.7,69.4,-6.61,,10.69,,-0.15,4.23,4.08,66.13,56.92,9.21
118,Western Kentucky,Sun Belt,,24,9,73.1,64.3,8.76,,-4.73,,3.12,0.91,4.03,69.07,58.75,10.32
119,IU Indy,Summit,,23,10,71,62.4,8.61,,-2.57,,-1.6,5.52,3.92,60.99,51.41,9.58
120,Georgetown,Big East,,11,21,65.7,69.7,-4,,8.4,,1,2.82,3.82,63.86,54.89,8.97
121,Arkansas State,Sun Belt,,22,12,73.1,66.2,6.94,,-3.36,,3.46,0.13,3.58,71.5,61.57,9.94
122,Memphis,AAC,,13,18,63.5,67.8,-4.32,,7.88,,2.15,1.41,3.56,66.78,57.95,8.82
123,Harvard,Ivy,,22,8,71.8,66.2,5.67,,-2.13,,3.57,-0.04,3.54,69.85,60.83,9.01
124,Montana,Big Sky,,23,11,68.9,63.4,5.5,,-1.31,,-1.52,5.06,3.54,65.08,56.55,8.53
125,North Dakota,Big Sky,,22,10,69.3,63.8,5.44,,-0.72,,-1.26,4.8,3.54,58.43,49.97,8.47
126,UAB,CUSA,,16,15,67.8,64.5,3.26,,0.23,,0.91,2.58,3.49,64.66,55.69,8.96
127,Southern Utah,Big Sky,,23,10,74.4,67.4,6.94,,-2.06,,3.79,-0.41,3.39,62.9,54.63,8.27
128,Charlotte,CUSA,,15,16,68.3,67.3,1,,2.34,,2.93,0.41,3.34,66.45,57.36,9.09
129,Army,Patriot,,25,8,66.5,59,7.55,,-3.31,,-2.42,5.52,3.1,69.4,59.78,9.62
130,Old Dominion,CUSA,,18,16,68.2,66.3,1.88,,1.13,,1.51,1.5,3.01,65.76,57.77,7.98
131,Clemson,ACC,,13,19,59,66.1,-7.06,,9.77,,-3.02,5.73,2.7,65.52,59.34,6.19
132,Quinnipiac,MAAC,,21,13,73.4,67.9,5.47,,-2.77,,6.29,-3.59,2.7,69.4,61.66,7.74
133,Cal State Northridge,Big West,,18,15,68.2,66.8,1.39,,1.03,,-1.55,3.97,2.43,64.03,56.29,7.75
134,Liberty,Big South,,20,11,69.7,59.9,9.87,,-7.28,,0.83,1.56,2.39,64.3,54.22,10.08
135,Richmond,A-10,,14,16,64,64,0.03,,2.26,,-2.14,4.43,2.3,64.2,57.06,7.14
136,Arizona,Pac-12,,5,25,57.9,66,-8.17,,10.4,,-5.44,7.67,2.24,60.92,55.39,5.53
137,Indiana State,MVC,,20,12,65,60,5,,-3.09,,-3.82,5.73,1.91,61.36,53.69,7.67
138,St. Bonaventure,A-10,,24,11,62.4,61.2,1.2,,0.65,,-2.7,4.55,1.85,68.34,61.64,6.7
139,Illinois-Chicago,Horizon,,26,9,74.2,68.1,6.11,,-3.96,,2.34,-0.69,1.65,62.95,56.68,6.27
140,Ball State,MAC,,18,17,68,66.9,1.06,,0.5,,-0.1,1.65,1.56,67.01,60.05,6.96
141,North Carolina A&T,MEAC,,24,7,66.2,54.6,11.61,,-8.32,,-5.76,7.2,1.45,51.9,44.19,7.71
142,Florida Atlantic,CUSA,,16,14,77.7,73,4.73,,-0.89,,8.73,-7.38,1.35,68.27,62.29,5.98
143,Holy Cross,Patriot,,20,12,70.5,66,4.44,,-3.1,,2.49,-1.16,1.33,68.66,62.68,5.98
144,Winthrop,Big South,,24,9,68.4,60.3,8.12,,-6.82,,-1.9,3.2,1.3,60.79,53.09,7.7
145,Iona,MAAC,,26,6,74.4,67.7,6.72,,-5.47,,6.05,-4.81,1.25,73.78,68.41,5.37
146,Utah State,MWC,,15,16,77.3,74.9,2.42,,0.46,,8.99,-7.74,1.25,64.58,59.88,4.7
147,Florida International,CUSA,,15,18,69.1,68.5,0.67,,1.59,,2.64,-1.42,1.21,68.43,62.97,5.47
148,Cal Poly,Big West,,18,14,75.6,76.8,-1.13,,2.08,,8.37,-7.42,0.95,70.17,64.96,5.22
149,Grand Canyon,WAC,,20,10,69.2,60.1,9.13,,-5.86,,-3.03,3.95,0.93,59.14,53.26,5.88
150,Texas Tech,Big 12,,6,24,58.1,69.5,-11.43,,12.21,,-2.77,3.55,0.77,63.57,60.34,3.23
151,South Dakota,Summit,,19,14,75.2,73.2,1.94,,0.55,,5.81,-5.13,0.68,65.72,61.33,4.39
152,Long Beach State,Big West,,17,15,69.6,70.1,-0.5,,0.9,,2.9,-2.49,0.4,61.47,57.19,4.28
153,UC Davis,Big West,,15,16,67,67.4,-0.45,,1.86,,-2.11,2.44,0.33,62.38,58.56,3.82
154,Toledo,MAC,,16,16,69.5,67.5,1.97,,-1.7,,0.12,0.15,0.27,65.98,61.1,4.88
155,Nevada,MWC,,18,13,71.5,70,1.48,,-1.16,,2.41,-2.61,-0.2,61.45,58.4,3.05
156,Providence,Big East,,7,23,69.2,74.7,-5.5,,5.19,,5.03,-5.34,-0.31,66.05,62.8,3.25
157,Stephen F. Austin,Southland,,23,13,69.2,61.5,7.64,,-7.16,,-2.58,1.8,-0.78,58.4,54.3,4.1
158,Eastern Washington,Big Sky,,16,14,69.4,68.9,0.47,,-0.14,,0.09,-1.2,-1.1,65.42,62.95,2.46
159,UCF,AAC,,10,20,57.3,66.5,-9.23,,8.6,,-5.47,4.34,-1.13,53.08,50.14,2.94
160,Nevada-Las Vegas,MWC,,13,19,66.7,68.5,-1.81,,0.64,,-1.04,-0.13,-1.17,60.47,58.67,1.8
161,Loyola Marymount,WCC,,9,21,71.4,76.8,-5.33,,4.16,,4.86,-6.04,-1.18,67.26,64.64,2.63
162,Hofstra,CAA,,14,15,63.9,64.1,-0.24,,1.28,,-2.02,0.8,-1.22,56.88,53.86,3.02
163,College of Charleston,CAA,,19,15,69.4,69.8,-0.41,,-0.91,,3.35,-4.68,-1.33,60.64,57.97,2.67
164,UC Irvine,Big West,,17,15,72.5,72,0.53,,-0.81,,3.39,-4.84,-1.45,63.55,61.89,1.66
165,Boise State,MWC,,18,14,70.3,68.6,1.72,,-2.02,,0.52,-2.18,-1.66,57.6,55.98,1.62
166,North Texas,CUSA,,12,18,64.4,65.9,-1.57,,0.89,,-2.83,1.14,-1.69,57.74,55.34,2.41
167,La Salle,A-10,,15,15,57.9,59.1,-1.2,,-0.58,,-8.23,6.45,-1.78,55.18,53.68,1.5
168,Sacramento State,Big Sky,,18,12,83.1,83.4,-0.27,,-1.52,,13.41,-15.2,-1.79,69.73,69.15,0.58
169,Northern Iowa,MVC,,17,13,68.3,67.8,0.5,,-2.36,,0.43,-2.28,-1.86,67.28,65.24,2.04
170,Louisiana Tech,CUSA,,12,20,64.6,68,-3.44,,1.52,,-1.85,-0.06,-1.91,58.34,55.91,2.43
171,Little Rock,Sun Belt,,18,12,60.6,58.4,2.2,,-4.25,,-10.59,8.54,-2.05,57.68,54.92,2.76
172,Tulsa,CUSA,,12,16,69.5,71.4,-1.89,,-0.18,,2.13,-4.2,-2.07,65.32,63.42,1.9
173,Houston,AAC,,6,25,53.8,67,-13.13,,10.94,,-6.35,4.16,-2.19,55.95,54.77,1.19
174,Eastern Michigan,MAC,,18,14,76.2,71,5.19,,-2.4,,4.67,-7.1,-2.43,57.17,56.63,0.55
175,Montana State,Big Sky,,15,15,73,72.6,0.33,,-1.98,,4.98,-7.43,-2.45,58.84,58.36,0.49
176,Seattle,WAC,,16,16,72.2,70.7,1.53,,-3.99,,0.93,-3.38,-2.45,61.2,60.16,1.03
177,New Mexico,MWC,,11,19,63.4,65.8,-2.4,,-0.15,,-5.49,2.94,-2.55,59.61,59.58,0.04
178,San Francisco,WCC,,12,19,69.1,75.6,-6.48,,3.86,,2.01,-4.64,-2.63,67.27,67.01,0.25
179,Saint Louis,A-10,,12,18,62.1,64.6,-2.53,,-0.26,,-5.02,2.23,-2.79,59.9,59.4,0.51
180,Drake,MVC,,17,15,71,71.8,-0.78,,-2.16,,3.24,-6.18,-2.94,67.83,67.85,-0.02
181,Robert Morris,NEC,,21,12,69.2,65.2,3.94,,-6.91,,-2.3,-0.67,-2.98,65.96,65.35,0.61
182,Xavier,Big East,,8,23,59.2,67.8,-8.65,,5.64,,-6.19,3.19,-3,58.42,59.32,-0.9
183,San Diego State,MWC,,13,17,63.9,59.3,-1.37,,0.31,,-4.46,1.44,-3.02,57.94,58.39,-0.46
184,Buffalo,MAC,,17,13,68.2,67.2,1,,-2.91,,-1.67,-1.41,-3.09,56.14,56.27,-0.13
185,Purdue Fort Wayne,Summit,,15,15,77.5,75,2.57,,-2.4,,6.29,-9.54,-3.25,69.58,69.77,-0.19
186,Cal State Fullerton,Big West,,12,18,61.8,65.9,-4.07,,0.75,,-6.06,2.74,-3.32,62.01,63.43,-1.42
187,Northern Kentucky,A-Sun,,18,13,64.7,63,1.77,,-5.21,,-5.05,1.62,-3.43,61.33,60.92,0.41
188,Northern Illinois,MAC,,11,19,61.7,64,-2.23,,-1.26,,-8.05,4.56,-3.49,59.91,61.08,-1.16
189,Cal State Bakersfield,WAC,,19,12,75.3,73.8,1.42,,-3.74,,4.12,-7.62,-3.5,61.86,61.8,0.06
190,Yale,Ivy,,13,15,65.6,65.1,0.5,,-4.1,,-2.7,-0.9,-3.6,60.94,61.89,-0.95
191,Western Illinois,Summit,,14,16,78.7,74,4.63,,-3.02,,5.86,-9.47,-3.61,59.95,60.51,-0.56
192,Rice,CUSA,,14,16,62.4,66.1,-3.77,,0.07,,-5,1.3,-3.7,59.37,59.9,-0.53
193,UTSA,CUSA,,14,17,62,66.2,-4.16,,0.46,,-5.8,2.1,-3.7,56.81,56.85,-0.04
194,Lafayette,Patriot,,14,16,64.2,65.4,-1.27,,-2.49,,-2.44,-1.32,-3.76,61.82,63.22,-1.4
195,Northeastern,CAA,,12,18,63.8,67.3,-3.5,,-0.29,,-1.44,-2.36,-3.79,66.39,67.07,-0.69
196,St. Francis (NY),NEC,,19,11,66.7,62.1,4.6,,-8.49,,-5.53,1.64,-3.89,64.24,64.06,0.17
197,Fairfield,MAAC,,22,11,61.8,60.6,1.18,,-5.22,,-7.37,3.33,-4.03,66.04,67.42,-1.38
198,Oakland,Horizon,,13,17,70.4,70.6,-0.2,,-0.55,,-0.56,-3.71,-4.27,57.95,59.77,-1.83
199,Idaho State,Big Sky,,14,17,64,66.3,-2.26,,-1.07,,-5.89,1.3,-4.59,53.9,56.09,-2.19
200,Cleveland State,Horizon,,14,16,75.2,75.9,-0.77,,-2.84,,4.34,-8.95,-4.6,69.57,71.37,-1.8
201,Evansville,MVC,,15,16,66.8,66.6,0.16,,-4.83,,-4.76,0.09,-4.67,56.19,57.88,-1.69
202,Northwestern State,Southland,,21,13,63.7,62.1,1.62,,-4.97,,-6.03,1.31,-4.72,56.83,58.31,-1.48
203,Bucknell,Patriot,,16,14,66.8,68.7,-1.83,,-2.9,,0.24,-4.97,-4.73,62.85,65.22,-2.37
204,Cornell,Ivy,,14,14,63.1,62.5,0.61,,-5.36,,-5.83,1.08,-4.75,58.43,60.71,-2.28
205,Youngstown State,Horizon,,15,16,70.3,71.9,-1.65,,-1.95,,-1.12,-3.93,-5.06,59.43,61.34,-1.91
206,Missouri State,MVC,,14,17,67.3,70.2,-2.9,,-2.29,,-0.07,-5.12,-5.2,61.58,64.55,-2.97
207,Western Michigan,MAC,,13,18,66.9,69.9,-3,,-2.28,,-2.3,-2.98,-5.28,61.16,64.54,-3.38
208,Santa Clara,WCC,,10,20,66.9,74.6,-7.7,,2.98,,-0.04,-5.29,-5.33,58.69,62.28,-3.6
209,Northern Colorado,Big Sky,,14,15,63.1,65.6,-2.48,,-2.45,,-6.96,1.62,-5.34,58.45,62.12,-3.67
210,Coppin State,MEAC,,17,14,65.6,65.3,0.39,,-4.62,,-3.45,-1.93,-5.38,48.05,49.98,-1.93
211,Stony Brook,AmEast,,24,9,65.3,60.5,4.82,,-10.46,,-5.29,-0.36,-5.64,60.34,63.27,-2.93
212,High Point,Big South,,22,11,72.5,70.1,2.42,,-7.61,,2.81,-8.58,-5.76,58.56,60.33,-1.77
213,Illinois State,MVC,,10,20,61.2,66.3,-5.07,,-0.87,,-6.93,1,-5.94,58.06,62.09,-4.03
214,Mount St. Mary's,NEC,,19,14,70,69.5,0.55,,-6.52,,-1.75,-4.23,-5.98,66.85,70.14,-3.29
215,Lamar,Southland,,18,13,70.9,67.8,3.1,,-8.16,,-0.76,-5.34,-6.09,59.1,61.8,-2.7
216,Towson,CAA,,13,17,59.2,64,-4.8,,-1.48,,-7.69,1.42,-6.28,58.25,63.14,-4.9
217,Pepperdine,WCC,,6,25,64.4,75.6,-11.16,,4.87,,-3.06,-3.24,-6.3,59.4,64.75,-5.35
218,Texas A&M-Corpus Christi,Southland,,18,12,67.3,63.6,3.73,,-9.71,,-4.88,-1.65,-6.53,55.65,58.94,-3.3
219,Lehigh,Patriot,,13,18,68.8,71.4,-2.55,,-4.07,,2.08,-8.7,-6.62,59.65,64.59,-4.94
220,UC Riverside,Big West,,6,23,67.4,75.4,-7.93,,1.3,,-0.47,-6.16,-6.63,58.32,63.66,-5.34
221,UC Santa Barbara,Big West,,8,22,64.2,70.1,-5.87,,0.1,,-3.93,-2.8,-6.73,60.78,66.66,-5.88
222,Mercer,A-Sun,,17,14,64.1,64.4,-0.29,,-6.61,,-5.92,-0.98,-6.9,59.96,64.19,-4.23
223,Davidson,Southern,,16,16,69.4,71,-1.63,,-5.3,,1.4,-8.33,-6.93,62.72,66.9,-4.18
224,Rider,MAAC,,15,17,63.8,64.1,-0.34,,-6.61,,-4.61,-2.35,-6.96,59.01,64.62,-5.62
225,Troy,Sun Belt,,12,18,80.4,82.1,-1.7,,-4.72,,10.31,-17.3,-6.99,59.5,62.7,-3.2
226,McNeese,Southland,,19,14,67.5,65.5,2.06,,-8.54,,-4.45,-2.56,-7.01,62.71,66.03,-3.32
