,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,AAC,,40,0,82.1,47.8,34.25,,12.84,,21.89,25.2,47.09,98.89,29.09,69.8
2,Notre Dame,ACC,,37,1,86.1,61.6,24.45,,16.9,,26.3,15.05,41.35,96.45,37.59,58.86
3,Duke,ACC,,28,7,80,63.7,16.34,,17.38,,19.24,14.48,33.72,89.99,41.31,48.68
4,Baylor,Big 12,,32,5,83.6,62.9,20.65,,12.43,,22.16,10.92,33.08,85.79,39.43,46.36
5,Maryland,ACC,,28,7,81.8,62.7,19.17,,12.76,,20.51,11.43,31.94,92.37,45.52,46.85
6,Stanford,Pac-12,,33,4,76.7,60.2,16.57,,14.64,,16.42,14.79,31.21,90.52,43.73,46.79
7,Louisville,AAC,,33,5,78.9,59.3,19.58,,11.39,,17.78,13.19,30.97,86.6,41.07,45.53
8,Tennessee,SEC,,29,6,77.9,62.9,14.97,,14.78,,16.52,13.23,29.75,85.09,41.15,43.94
9,South Carolina,SEC,,29,5,72.9,55.9,17,,10.64,,11.13,16.51,27.64,81.24,38.97,42.27
10,North Carolina,ACC,,27,10,78.8,65.5,13.32,,13.37,,17.01,9.69,26.69,79.24,40.35,38.88
11,West Virginia,Big 12,,30,5,73.7,59,14.77,,11.78,,12.34,14.21,26.55,82.38,42.11,40.27
12,Kentucky,SEC,,26,9,81.3,68.5,12.83,,13.22,,18.66,7.39,26.05,79.05,42.35,36.7
13,Texas,Big 12,,22,12,69.7,60,9.68,,14.64,,10.2,14.12,24.32,77.8,40.44,37.37
14,Texas A&M,SEC,,27,9,70.6,59.6,10.97,,13.33,,9.94,14.36,24.3,78.8,41.25,37.55
15,Gonzaga,WCC,,29,5,75.1,56.5,18.59,,5.25,,8.43,15.41,23.84,77.32,40.7,36.62
16,Oklahoma State,Big 12,,25,9,70.7,60.8,9.91,,13.58,,9.83,13.66,23.49,78.19,42.79,35.4
17,Oklahoma,Big 12,,18,15,77.5,68.9,8.58,,13.9,,17.68,4.79,22.47,81.56,47.1,34.46
18,Syracuse,ACC,,23,10,72.6,63.5,9.06,,12.57,,10.68,10.96,21.64,79.07,45.67,33.41
19,Nebraska,Big Ten,,26,7,75.6,63.4,12.21,,9.3,,11.6,9.92,21.51,83.41,49.54,33.87
20,Iowa State,Big 12,,20,11,72.7,64.4,8.32,,12.86,,12.2,8.98,21.18,84.63,51.74,32.89
21,Michigan State,Big Ten,,23,10,73.3,63.8,9.55,,11.25,,10.89,9.91,20.8,78.63,46.6,32.03
22,Penn State,Big Ten,,24,8,75.1,66.9,8.16,,12.63,,13.61,7.18,20.79,77.83,46.37,31.47
23,Oregon State,Pac-12,,24,11,70.5,61,9.49,,11.73,,6.81,13.37,20.18,75.42,44.54,30.88
24,James Madison,CAA,,29,6,74.9,55.9,18.97,,1.15,,10.02,10.11,20.12,77.85,45.35,32.49
25,Georgia Tech,ACC,,20,12,79.7,71.7,7.94,,12.01,,18.03,1.92,19.95,79.08,49.44,29.65
26,Louisiana State,SEC,,21,13,70,65.1,4.91,,14.84,,10.47,9.29,19.75,77.14,46.16,30.98
27,Purdue,Big Ten,,22,9,74.6,68,6.61,,13.09,,13.01,6.69,19.71,79.22,48.17,31.04
28,NC State,ACC,,25,8,75.1,66.3,8.85,,10.72,,12.7,6.86,19.56,85.81,54.63,31.18
29,DePaul,Big East,,29,7,83.5,71.6,11.92,,7.59,,19.89,-0.39,19.51,84.39,54.84,29.56
30,Arkansas,SEC,,19,11,66.6,54.1,12.47,,6.57,,2.28,16.76,19.04,72.34,41.57,30.77
31,Iowa,Big Ten,,27,9,78.2,69.3,8.83,,10.15,,15.49,3.49,18.98,83.11,53.16,29.95
32,Florida State,ACC,,21,12,69.3,63.8,5.55,,13.06,,6.98,11.63,18.61,71.49,42.89,28.6
33,South Florida,AAC,,23,13,67,59.1,7.94,,10.35,,5.93,12.37,18.3,73.5,44.88,28.62
34,California,Pac-12,,22,10,69.8,66,3.78,,13.36,,7.8,9.34,17.14,73.59,46.92,26.67
35,Georgia,SEC,,20,12,66.1,58.7,7.34,,9.5,,3.24,13.6,16.84,70.43,43.13,27.3
36,Rutgers,AAC,,28,9,66.2,58.6,7.59,,9.06,,4.56,12.1,16.66,71.82,44.71,27.11
37,Arizona State,Pac-12,,23,10,69.8,65.7,4.15,,12.4,,7.94,8.61,16.55,75.51,49.65,25.86
38,Vanderbilt,SEC,,18,13,71.5,66.6,4.9,,11.46,,10.08,6.28,16.36,79.7,53.88,25.82
39,Minnesota,Big Ten,,22,13,68.7,63.5,5.29,,10.44,,6.77,8.96,15.72,76.2,50.81,25.4
40,Virginia,ACC,,14,17,70.3,68.4,1.94,,13.45,,9,6.39,15.39,76.59,51.73,24.85
41,Middle Tennessee,CUSA,,29,5,66.7,55.2,11.5,,3.86,,0.4,14.96,15.36,70.3,44.64,25.67
42,Texas Christian,Big 12,,18,15,63.2,58.7,4.52,,10.63,,0.69,14.45,15.14,70.35,45.45,24.9
43,Florida,SEC,,20,13,74.9,70.5,4.42,,10.69,,12.56,2.55,15.12,76.74,53.15,23.58
44,Miami (FL),ACC,,16,15,69.6,65,4.61,,10.47,,7.94,7.14,15.08,71.88,48.03,23.86
45,Southern California,Pac-12,,22,13,67.1,64.6,2.57,,12.46,,5.99,9.04,15.03,71.84,48.23,23.61
46,Colorado,Pac-12,,19,15,69.2,63.5,5.68,,9.34,,6.49,8.53,15.02,72.14,47.87,24.28
47,Brigham Young,WCC,,28,7,72,64.2,7.77,,6.93,,7.12,7.58,14.7,73.4,49.94,23.46
48,Michigan,Big Ten,,20,14,69.1,63.8,5.32,,9.18,,6.34,8.16,14.51,81.14,57.21,23.93
49,Mississippi State,SEC,,22,14,70.9,63.3,7.58,,6.37,,6.92,7.03,13.95,67.93,46.1,21.83
50,Ohio State,Big Ten,,17,18,66.4,66.3,0.14,,13.55,,4.95,8.74,13.7,72.06,49.55,22.51
51,Dayton,A-10,,23,8,81.5,73,8.58,,4.96,,14.42,-0.88,13.55,75.14,54.1,21.04
52,Oregon,Pac-12,,16,16,93.2,89.1,4.09,,9.41,,29.49,-15.98,13.51,80.31,60.17,20.14
53,Saint Joseph's,A-10,,23,10,71.5,64.4,7.03,,6.27,,7.61,5.69,13.3,77.42,54.71,22.7
54,St. John's (NY),Big East,,23,11,66.3,62.1,4.15,,8.51,,2.72,9.94,12.66,71.31,50.05,21.26
55,Kansas,Big 12,,13,19,66.7,68.3,-1.66,,14.22,,6.42,6.15,12.56,72.45,52.05,20.4
56,San Diego,WCC,,24,9,58.1,59.9,-1.82,,3.04,,1.33,11.16,12.49,67.2,46.56,20.64
57,Bowling Green,MAC,,30,5,69.7,56.8,12.89,,-0.55,,0.3,12.04,12.34,73.52,51.16,22.36
58,Auburn,SEC,,19,15,65.9,63.1,2.79,,9.53,,3.55,8.77,12.32,67.03,45.57,21.46
59,Fordham,A-10,,25,8,66.9,56.3,10.58,,1.35,,0.48,11.45,11.93,74.83,52.65,22.19
60,Washington State,Pac-12,,17,17,74.3,75.9,-1.65,,13.46,,12.41,-0.6,11.81,75.48,56.17,19.31
61,UTEP,CUSA,,29,8,76.4,66.7,9.65,,2.17,,9.24,2.38,11.62,70.53,51.38,19.15
62,Temple,AAC,,14,16,64.6,64.5,0.07,,11.51,,5.53,6.05,11.58,71.6,51.54,20.06
63,Washington,Pac-12,,20,14,72.4,71.9,0.56,,11,,8.83,2.73,11.56,72.63,53.82,18.8
64,Missouri,SEC,,17,14,69.6,65.6,4.03,,7.48,,5.47,6.04,11.51,72.27,53.01,19.26
65,Creighton,Big East,,20,14,65.5,62.3,3.21,,8.3,,2.13,9.38,11.5,73.7,53.84,19.85
66,Villanova,Big East,,23,9,64.9,58.4,6.56,,4.67,,-0.77,12,11.24,75.68,55.1,20.59
67,Virginia Tech,ACC,,14,16,64.7,63.1,1.57,,9.5,,2.04,9.03,11.07,67.82,49.17,18.65
68,Princeton,Ivy,,21,9,75.7,64.1,11.63,,-0.71,,8.83,2.09,10.92,77.35,57.96,19.39
69,Marquette,Big East,,22,11,73.3,68.1,5.21,,5.7,,8.39,2.52,10.91,72.63,54.03,18.6
70,Northwestern,Big Ten,,17,16,69.5,67.6,1.91,,8.7,,6.25,4.36,10.61,69.25,50.92,18.33
71,Saint Mary's,WCC,,23,10,76.7,71.4,5.27,,4.94,,10.77,-0.56,10.21,78.33,60.67,17.66
72,Indiana,Big Ten,,21,13,69.7,66.5,3.18,,7.01,,5.53,4.66,10.19,74.51,56.57,17.94
73,UCLA,Pac-12,,13,18,63.7,68.5,-4.81,,14.99,,2.54,7.64,10.18,69.32,52.6,16.72
74,Marist,MAAC,,27,7,72.4,60.1,12.21,,-2.78,,4.32,5.11,9.43,77.12,59.3,17.83
75,Wichita State,MVC,,26,7,71.1,57.3,13.76,,-4.36,,1.17,8.23,9.4,70.44,52.26,18.18
76,Florida Gulf Coast,A-Sun,,26,8,70.1,59.5,10.56,,-1.41,,1.09,8.05,9.14,69.73,52.54,17.18
77,Central Michigan,MAC,,20,12,82.1,77.3,4.78,,4.07,,15.74,-6.89,8.85,75.71,60.17,15.54
78,Wisconsin,Big Ten,,10,19,65.5,67.8,-2.31,,11.14,,3.29,5.54,8.83,71.28,55.86,15.42
79,South Dakota State,Summit,,26,10,70.2,65.5,4.67,,3.9,,4.24,4.33,8.56,67.45,51.5,15.95
80,Wake Forest,ACC,,15,16,67.8,68.9,-1.06,,9.42,,4.9,3.46,8.36,68.55,53.59,14.96
81,Boston College,ACC,,12,19,66,69.9,-3.9,,12.26,,4.22,4.13,8.35,76.27,61.61,14.66
82,Colorado State,MWC,,25,8,72,62.5,9.58,,-1.04,,2.59,5.76,8.35,65.69,51.31,14.38
83,Alabama,SEC,,14,16,64.8,68.9,-4.07,,12.38,,2.75,5.57,8.31,68.69,53.42,15.27
84,Southern Methodist,AAC,,18,14,68.2,68.8,-0.56,,8.77,,6.75,1.46,8.21,71.45,56.2,15.25
85,Stetson,A-Sun,,27,8,79.3,66.3,12.91,,-3.77,,10.46,-2.26,8.2,70.01,55.67,14.34
86,Pacific,WCC,,18,13,76.5,72.2,4.29,,6.61,,10.34,-2.28,8.06,68.02,54.03,13.99
87,Kansas State,Big 12,,11,19,62.2,67.7,-5.5,,13.36,,0.95,6.91,7.86,66.82,52.42,14.4
88,Chattanooga,Southern,,29,4,69.8,56.2,13.52,,-5.69,,0.3,7.53,7.83,70.76,53.97,16.79
89,Duquesne,A-10,,20,13,68.2,62.9,5.27,,2.55,,2.18,5.65,7.82,68.94,53.75,15.19
90,George Washington,A-10,,23,11,76.1,68.9,7.21,,2.18,,9.45,-1.64,7.81,68.74,55.26,13.48
91,Southern Mississippi,CUSA,,27,7,78.1,67.5,10.62,,-0.48,,10.34,-2.6,7.74,66.19,52.04,14.15
92,Hampton,MEAC,,28,5,70.8,57.1,13.7,,-6.38,,1.04,6.27,7.31,58.81,44.04,14.77
93,Tennessee-Martin,OVC,,24,8,83.8,71.5,12.25,,-4.96,,13.95,-6.66,7.29,78.09,64.4,13.7
94,Pennsylvania,Ivy,,22,7,65,56.7,8.34,,-1.1,,-1.43,8.68,7.25,65.45,50.86,14.59
95,Albany (NY),AmEast,,28,5,71.5,55.3,16.18,,-9.11,,1.2,5.87,7.07,70.48,56.1,14.38
96,Akron,MAC,,23,10,82,73.1,8.94,,-0.96,,13.46,-6.55,6.91,74.55,62.24,12.32
