,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,33,5,76.4,47,29.37,,15.66,,21.81,23.22,45.03,97.99,27.98,70.01
2,Baylor,Big 12,,40,0,78.4,52.1,26.3,,17.17,,24.7,18.77,43.47,98.95,32.2,66.75
3,Notre Dame,Big East,,35,4,78.9,52.9,26,,17,,24.81,17.13,41.94,96.67,32.46,64.21
4,Stanford,Pac-12,,35,2,76,55.3,20.7,,14.53,,20.48,14.76,35.24,95.46,39.91,55.54
5,Duke,ACC,,27,6,75.2,55.9,19.21,,12.94,,18.65,13.5,32.15,88.83,39.46,49.37
6,Tennessee,SEC,,27,9,74,60.1,13.86,,17.4,,19.84,11.42,31.26,92.05,41.95,50.1
7,Miami (FL),ACC,,26,6,75.9,57.3,18.69,,10.79,,17.94,10.58,28.52,81.01,38.57,42.44
8,Maryland,ACC,,31,5,77.3,60.9,16.36,,11.83,,20.83,7.36,28.19,91.53,47.31,44.22
9,Texas A&M,Big 12,,24,11,67.8,60.1,7.77,,18.18,,14.41,11.54,25.95,84.83,42.29,42.54
10,Kentucky,SEC,,28,7,74,59.5,14.46,,10.07,,16.61,7.91,24.52,79.8,41.11,38.69
11,Penn State,Big Ten,,26,7,75.7,62.5,13.24,,11.03,,19.36,4.92,24.28,83.96,45.31,38.65
12,Georgia Tech,ACC,,26,9,70.9,59.6,11.37,,10.62,,13.02,8.97,21.99,80.95,45.42,35.53
13,West Virginia,Big East,,24,10,63.8,52,11.76,,9.8,,6.95,14.61,21.56,77.3,40.82,36.48
14,Oklahoma,Big 12,,21,13,70.8,65.8,5.03,,16.14,,16.34,4.83,21.17,83.05,48.01,35.05
15,California,Pac-12,,25,10,70,61.4,8.6,,12.11,,12.76,7.96,20.71,80.62,46.12,34.51
16,Green Bay,Horizon,,31,2,74.3,55.1,19.21,,1.43,,13.06,7.58,20.64,81.11,46.33,34.78
17,Delaware,CAA,,31,2,71.6,55,16.58,,3.87,,10.35,10.1,20.44,85.09,49.08,36.01
18,Ohio State,Big Ten,,25,7,74.8,62.8,11.94,,8.33,,16.13,4.14,20.27,86.82,52.34,34.47
19,Rutgers,Big East,,22,10,60.9,55.4,5.47,,14.73,,6.44,13.77,20.2,76.94,42.49,34.46
20,Texas Tech,Big 12,,21,14,67,59.7,7.37,,12.6,,10.14,9.83,19.97,77.96,44.69,33.27
21,South Carolina,SEC,,25,10,61.2,51.4,9.8,,9.76,,4.06,15.5,19.56,74.82,40.38,34.45
22,Kansas,Big 12,,21,13,68.6,63.4,5.26,,14.02,,12.82,6.47,19.29,81.11,49.12,31.99
23,Vanderbilt,SEC,,23,10,71.8,61.5,10.3,,8.85,,13.52,5.63,19.16,83.5,49.9,33.6
24,Louisville,Big East,,23,10,68.8,61,7.85,,11.23,,11.46,7.62,19.07,79.65,47.05,32.6
25,DePaul,Big East,,23,11,72,65.8,6.26,,12.76,,16.53,2.49,19.02,83.98,51.87,32.12
26,Georgetown,Big East,,23,9,60.4,52.8,7.56,,11.55,,4.2,14.81,19,72.85,40.37,32.47
27,St. John's (NY),Big East,,24,10,61.5,56.4,5.12,,13.87,,6.42,12.57,18.98,77.49,43.99,33.5
28,Iowa State,Big 12,,18,13,62.7,57.3,5.45,,13.5,,6.21,12.74,18.96,79.38,47.15,32.23
29,Gonzaga,WCC,,28,6,75.1,62.5,12.65,,6.18,,14.83,4,18.82,82.62,51.64,30.99
30,Georgia,SEC,,22,9,68.5,58,10.48,,8.32,,10.71,8.09,18.8,79.52,47.22,32.3
31,Texas,Big 12,,18,14,67.3,62.8,4.59,,14.15,,12,6.75,18.74,76.8,45.08,31.72
32,Oklahoma State,Big 12,,22,12,66.2,59.2,7.03,,11.59,,9.94,8.68,18.62,75.92,44.13,31.8
33,Princeton,Ivy,,24,5,72,53.3,18.72,,-0.12,,10.37,8.24,18.6,77.96,46.41,31.55
34,Florida,SEC,,20,13,67.5,60.8,6.76,,11.66,,11.08,7.33,18.41,78.57,46.17,32.39
35,Virginia,ACC,,25,11,63.4,54.1,9.25,,8.96,,4.6,13.61,18.21,74.75,43,31.75
36,Nebraska,Big Ten,,24,9,71.4,61.8,9.61,,8.38,,11.55,6.44,17.98,73.41,44.11,29.31
37,Arkansas,SEC,,24,9,62.1,52.3,9.76,,8.05,,4.06,13.9,17.97,75.38,42.48,32.9
38,Brigham Young,WCC,,26,7,71.1,56.8,14.24,,4.84,,9.01,8.61,17.62,74.17,45.25,28.93
39,Purdue,Big Ten,,25,9,65.8,59.2,6.59,,10.98,,7.74,9.83,17.56,74.01,43.35,30.65
40,Louisiana State,SEC,,23,11,62.2,54.1,8.06,,9.41,,4.57,12.9,17.47,74.65,43.21,31.43
41,Kansas State,Big 12,,20,14,57.1,57.4,-0.24,,17.52,,2.28,15.01,17.29,73.3,43.72,29.58
