,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
26,Kansas State,Big 12,,25,8,63.1,53.3,9.76,,15.27,,7.63,16.36,23.99,98.64,68.18,30.45
27,Louisiana State,SEC,,19,11,59.8,53.5,6.3,,17.64,,5.3,18.64,23.94,85.47,58.05,27.42
28,Georgia Tech,ACC,,22,10,67.3,57.3,9.91,,14.15,,9.61,13.86,23.47,86.16,60.11,26.05
29,Michigan State,Big Ten,,22,11,63.5,55.3,8.21,,15.09,,9.5,13.81,23.31,90.04,62.27,27.77
30,Florida,SEC,,24,8,73.9,65,8.91,,13.99,,18.04,5.21,23.25,97.34,70.42,26.92
31,Kansas,Big 12,,22,14,67.6,60.5,7.17,,16.08,,13.08,10.16,23.24,95.83,68.27,27.56
32,Xavier,A-10,,25,7,66.5,53.8,12.72,,10.28,,9.45,13.54,23,94.26,65.25,29.02
33,Middle Tennessee,Sun Belt,,28,6,76.4,60.3,16.15,,6.72,,17.14,5.72,22.86,102.44,74.18,28.26
34,DePaul,Big East,,23,10,71.3,63,8.3,,14.13,,15.26,7.17,22.43,97.21,69.87,27.34
35,Indiana,Big Ten,,21,11,67.3,61.2,6.13,,16.04,,13.14,9.02,22.16,95.92,68.9,27.03
36,Iowa,Big Ten,,21,11,68,63.9,4.09,,17.86,,15.2,6.76,21.96,101.06,74.67,26.39
37,Oklahoma State,Big 12,,17,16,70.7,64.4,6.33,,15.41,,15.55,6.2,21.75,93.05,69.25,23.8
38,Southern California,Pac-10,,17,15,72.9,69.1,3.84,,17.05,,19.65,1.43,21.08,95.02,69.64,25.38
39,Oregon State,Pac-10,,20,12,63.5,56,7.53,,14.04,,6.84,13.77,20.61,94.27,68.42,25.85
40,Texas Tech,Big 12,,16,15,63.7,61.8,1.87,,18.61,,9.16,11.31,20.48,87.88,65.18,22.7
41,Virginia,ACC,,24,10,72.8,66.2,6.65,,14.49,,16.08,4.11,20.19,95.29,71.29,24
42,Gonzaga,WCC,,27,7,74.5,60.1,14.41,,6.85,,12.89,7,19.89,90.86,68.19,22.67
43,Green Bay,Horizon,,29,4,65.9,50.8,15.15,,4.51,,6.48,12.87,19.35,92.72,67.9,24.83
44,Minnesota,Big Ten,,20,12,62.3,59.8,2.56,,16.75,,8.14,11.17,19.31,92.26,69.98,22.28
45,UCLA,Pac-10,,19,12,66.6,61.6,5.03,,15.59,,9.49,9.73,19.22,89.42,67.05,22.38
46,Georgia,SEC,,18,14,64,57.9,6.03,,14.45,,6.57,12.36,18.93,85.13,65.92,19.21
47,Marquette,Big East,,17,16,65,62.9,2.12,,16.42,,9.67,8.87,18.54,90.9,69.61,21.3
48,New Mexico,MWC,,25,11,65.4,54.6,10.81,,7.63,,6.67,11.67,18.34,89.44,67.9,21.54
49,Penn State,Big Ten,,11,18,64,63.3,0.69,,17.48,,11.59,6.57,18.17,88.94,67.6,21.34
50,Nebraska,Big 12,,15,16,62.2,61.7,0.45,,17.89,,8.62,9.3,17.92,88.59,68.69,19.9
51,Illinois State,MVC,,27,8,72.5,61.6,10.94,,6.54,,13.16,4.32,17.48,94.88,74.5,20.38
52,Wisconsin,Big Ten,,19,15,56.6,56.6,0.03,,17.39,,3.33,14.08,17.41,87.29,66.37,20.92
53,Boston College,ACC,,23,12,70.2,65.5,4.74,,13.06,,12.36,4.75,17.11,93.78,74.13,19.65
54,Missouri,Big 12,,13,17,60.6,59.8,0.77,,16.3,,6.21,10.85,17.07,86.43,67.47,18.96
55,Utah,MWC,,23,10,63.1,55.2,7.94,,9.35,,4.91,12,16.91,90.54,70.27,20.26
56,Virginia Commonwealth,CAA,,26,7,66.7,54,12.76,,4.88,,6.01,10.32,16.33,89.13,68.43,20.7
57,Temple,A-10,,21,10,66.7,61,5.74,,10.38,,9.24,6.89,16.13,88.67,69.32,19.35
58,Villanova,Big East,,19,14,54.8,54.3,0.55,,15.34,,-0.76,16.64,15.88,88.7,69.72,18.98
59,San Diego State,MWC,,24,8,64.5,58.4,6.13,,9.48,,6.21,9.39,15.6,86.77,68.69,18.07
60,Mississippi,SEC,,18,15,67,61.8,5.18,,10.37,,8.09,7.47,15.55,87.37,70.56,16.81
61,Arkansas,SEC,,18,14,66.7,64.2,2.44,,13.39,,10.07,5.45,15.52,90.75,74.05,16.71
62,Wake Forest,ACC,,19,12,65.6,59.9,5.71,,12.8,,7.36,8.02,15.37,85.25,67.78,17.48
63,Montana,Big Sky,,28,5,69.4,55.5,13.94,,2.07,,6.37,8.99,15.36,90.03,72.27,17.77
64,Charlotte,A-10,,23,9,67.6,60.5,7.13,,8.06,,7.97,7.21,15.18,87.68,70.33,17.35
65,Michigan,Big Ten,,10,20,55.4,58.9,-3.5,,18.62,,1.98,13.14,15.12,86.66,69.67,16.99
66,Kentucky,SEC,,16,16,63.3,61.2,2.06,,13.02,,7.34,7.73,15.08,86.76,69.92,16.85
67,St. John's (NY),Big East,,19,15,64.3,61.7,2.65,,12.39,,7.41,7.62,15.03,90.07,72.66,17.41
68,Texas Christian,MWC,,20,11,69.2,64,5.16,,9.74,,11.06,3.85,14.91,93.39,76.6,16.78
69,West Virginia,Big East,,18,15,65.5,60.1,5.39,,13.8,,7.89,6.95,14.83,89.33,71.84,17.49
70,Georgetown,Big East,,20,14,64.2,60.8,3.38,,11.22,,6.34,8.27,14.61,87.4,70.55,16.84
71,Marist,MAAC,,29,4,72.7,57,15.67,,-1.08,,9.36,5.23,14.59,94.1,76.29,17.8
72,Syracuse,Big East,,17,15,71.3,68.4,2.91,,12.44,,15.21,-0.71,14.5,94.22,76.74,17.48
73,NC State,ACC,,13,17,60.4,59.3,1.13,,13.27,,2.59,11.81,14.4,86.08,70.03,16.05
74,Bowling Green,MAC,,29,5,73.8,62,11.76,,3.55,,10.78,3.62,14.39,94.05,77.37,16.68
75,Cincinnati,Big East,,14,17,59.2,60.7,-1.52,,14.92,,3.27,10.14,13.41,88.81,75.57,13.24
76,Hartford,AmEast,,20,12,65.4,56.8,8.56,,4.8,,4.5,8.86,13.36,88.28,72.97,15.3
77,Dayton,A-10,,21,14,64.2,60,4.2,,8.83,,5.53,7.5,13.03,85.78,71.37,14.41
78,Oakland,Summit,,26,7,69.2,59.9,9.24,,5.42,,8.97,4.06,13.03,78.38,66.97,11.41
79,Creighton,MVC,,22,12,60,56,4.03,,8.46,,1.64,10.85,12.49,85.05,70.96,14.09
80,St. Bonaventure,A-10,,23,11,63.8,58.3,5.56,,6.78,,3.7,8.54,12.24,88.32,74.06,14.26
81,Richmond,A-10,,24,10,61.5,56,5.53,,7.46,,1.72,10.31,12.03,84.12,69.28,14.84
82,Illinois,Big Ten,,10,21,52.8,59.4,-6.58,,18.6,,-1.66,13.68,12.02,81.32,69.34,11.98
83,Seton Hall,Big East,,17,14,65.5,63.4,2.06,,11.45,,6.6,5.36,11.95,87.96,75.21,12.76
84,Duquesne,A-10,,20,12,69,62.2,6.81,,5.07,,9.13,2.75,11.88,87.31,74.96,12.35
85,South Carolina,SEC,,10,18,57.9,62.6,-4.68,,17.04,,2.3,9.36,11.67,82.97,71.44,11.53
86,Arizona,Pac-10,,12,19,57.6,61.6,-4.03,,15.29,,1.63,9.63,11.26,84.91,72.95,11.96
87,Chattanooga,Southern,,22,10,69.6,58.2,11.38,,-0.26,,6.63,4.49,11.12,92.13,78.54,13.59
88,Miami (FL),ACC,,13,17,65.6,64.3,1.33,,10.12,,6.33,4.8,11.12,84.79,73.65,11.13
89,Colorado,Big 12,,11,18,60.8,65.1,-4.34,,15.35,,5.55,5.46,11.01,87.55,77.09,10.45
90,Ball State,MAC,,26,9,71.5,68,3.57,,7.21,,10.14,0.51,10.65,92.86,81.21,11.65
91,Little Rock,Sun Belt,,26,7,61.5,52.8,8.67,,2.4,,-1.76,12.2,10.44,83.32,71.66,11.67
92,Butler,Horizon,,20,12,63,56.2,6.88,,4.69,,2.45,7.95,10.4,83.24,71.89,11.36
93,Fresno State,WAC,,24,9,68.2,60.1,8.12,,2.2,,5.39,4.91,10.3,89.2,77.56,11.64
94,Virginia Tech,ACC,,12,18,62.2,62.2,0.03,,13.7,,3.77,6.47,10.24,82.97,72.51,10.46
95,George Washington,A-10,,17,14,64.1,62.7,1.35,,8.46,,5.2,4.76,9.96,86.76,75.92,10.84
96,Vermont,AmEast,,21,12,66.6,58.5,8.12,,2.02,,4.12,5.83,9.95,86.11,75.06,11.05
97,Old Dominion,CAA,,17,13,66.4,62.9,3.47,,6.27,,6.49,3.24,9.73,84.62,74.58,10.04
98,James Madison,CAA,,24,10,69,63.2,5.79,,3.88,,9.11,0.56,9.67,89.01,78.84,10.17
99,Drake,MVC,,19,12,61.5,57.5,4,,5.54,,1.52,8.02,9.54,82.64,73.11,9.52
100,Brigham Young,MWC,,18,11,57.8,56.1,1.69,,7.48,,-1.18,10.34,9.17,78.04,69.24,8.8
101,Clemson,ACC,,14,17,64.4,67.5,-3.1,,13.91,,6.77,2.31,9.08,84.49,76.1,8.39
102,Drexel,CAA,,24,9,61.5,55.6,5.88,,3.05,,1.77,7.16,8.93,87.13,76.65,10.48
103,Northwestern,Big Ten,,7,23,56.9,64.3,-7.4,,17.04,,3.31,5.44,8.75,85.71,77.89,7.82
104,Tulane,CUSA,,18,14,64.4,59.9,4.47,,4.26,,3.33,5.39,8.72,81.86,74.02,7.84
105,UC Santa Barbara,Big West,,22,10,59.5,55.5,4.06,,4.32,,-1.37,9.95,8.58,82.97,74.34,8.63
106,Alabama,SEC,,13,17,63.5,66.5,-3,,11.46,,5.58,2.88,8.46,78.06,71.2,6.86
107,Liberty,Big South,,24,9,62.7,52.6,10.09,,-0.19,,-2,10.39,8.39,81.55,72.26,9.29
108,Cleveland State,Horizon,,19,13,64.5,60,4.47,,3.91,,3.95,4.43,8.38,86.87,78.2,8.67
109,Houston,CUSA,,19,10,67.4,62.8,4.62,,3.74,,5.51,2.85,8.36,83.38,75.85,7.53
110,Bradley,MVC,,21,10,69,65.1,3.94,,4.54,,9.76,-1.45,8.31,86.95,79.37,7.59
111,Lehigh,Patriot,,26,7,67.3,57.2,10.12,,-1.48,,5.62,2.56,8.18,86.45,77.92,8.53
112,UC Riverside,Big West,,19,12,58.9,55,3.9,,4.31,,-2.5,10.4,7.9,80.77,72.64,8.13
113,Providence,Big East,,10,20,58.2,64.3,-6.17,,14.01,,2.14,5.7,7.85,81.19,74.08,7.11
114,Southern Methodist,CUSA,,20,12,68.5,65,3.53,,4.1,,6.55,1.09,7.63,85.51,78.48,7.03
115,Southern Mississippi,CUSA,,20,12,69.1,63.3,5.78,,1.95,,5.92,1.71,7.63,83.88,77.8,6.08
116,Kent State,MAC,,19,10,71.4,65.2,6.21,,1.52,,8.01,-0.49,7.52,86.46,79.69,6.77
117,Louisiana Tech,WAC,,21,13,69.3,62.4,6.91,,1.44,,6.87,0.45,7.32,81.54,75.63,5.91
118,UCF,CUSA,,17,17,68.9,69.1,-0.21,,7.06,,9.21,-1.97,7.24,87.14,80.81,6.33
119,South Alabama,Sun Belt,,21,11,65.7,59.8,5.88,,1.95,,3.49,3.4,6.89,82.98,77.31,5.67
120,Boston University,AmEast,,25,8,72.3,65.3,6.94,,-0.08,,9.06,-2.21,6.86,90.4,84,6.4
121,Saint Joseph's,A-10,,13,17,63.4,63.9,-0.5,,7.35,,5.22,1.63,6.85,86.33,79.7,6.63
122,North Carolina A&T,MEAC,,26,7,76.5,62.8,13.64,,-5.43,,11.76,-4.96,6.8,86.02,81.04,4.98
123,Western Kentucky,Sun Belt,,16,13,67.7,67.4,0.21,,6.52,,7.74,-1.02,6.72,85.6,80.51,5.09
124,Central Michigan,MAC,,18,14,78.3,75,3.31,,3.39,,16.39,-9.69,6.71,89.95,84.74,5.21
125,Portland State,Big Sky,,23,10,70.1,65.2,4.94,,1.47,,5.88,0.81,6.69,84.31,78.49,5.82
126,Eastern Illinois,OVC,,24,9,67.6,58.4,9.24,,-2.29,,2.53,4.15,6.68,82.15,76.86,5.29
127,East Carolina,CUSA,,18,13,70.7,63.9,6.81,,2.57,,7.25,-0.58,6.67,82.9,77.36,5.54
128,UTEP,CUSA,,18,12,66.6,61.9,4.63,,3.07,,4.52,1.86,6.38,83.08,80.47,2.61
129,Loyola Marymount,WCC,,18,12,68.8,65.2,3.6,,2.71,,7.37,-1.05,6.33,84.42,79.17,5.24
130,Valparaiso,Horizon,,16,14,63.7,62.9,0.77,,5.79,,4.29,1.98,6.27,85.86,80.99,4.87
131,Prairie View A&M,SWAC,,23,11,65.6,54.7,10.88,,-4.63,,2.04,4.17,6.22,78.44,73.29,5.16
132,Sacred Heart,NEC,,25,8,69.2,61.3,7.85,,-1.47,,7.24,-1.05,6.19,89.88,83.54,6.34
133,Samford,Southern,,22,7,60.9,53.2,7.72,,-1.65,,-2.83,8.91,6.08,83.93,76.96,6.97
134,Oregon,Pac-10,,9,21,56.6,67.2,-10.57,,16.5,,2.36,3.57,5.93,82.76,78.98,3.78
135,American,Patriot,,19,12,64.8,57.8,6.97,,-1.16,,3.32,2.49,5.81,85.17,79.5,5.66
136,Washington,Pac-10,,8,22,58.9,69.7,-10.73,,17.65,,3.93,1.72,5.65,79.95,75.05,4.91
137,Wyoming,MWC,,16,14,59.8,59.7,0.1,,6.78,,-0.32,5.96,5.64,79.28,75.41,3.87
138,Pepperdine,WCC,,16,13,60.7,60.2,0.52,,4.4,,-0.39,5.86,5.47,76.38,71.93,4.45
139,Washington State,Pac-10,,11,19,59.6,67,-7.47,,12.9,,3.13,2.3,5.43,79.87,75.33,4.54
140,Saint Louis,A-10,,12,18,64.8,68.5,-3.63,,8.86,,6.52,-1.29,5.23,85.11,81.08,4.03
141,Nevada,WAC,,18,14,63.1,61.1,1.97,,3.22,,2.63,2.56,5.19,80.92,77.24,3.69
142,East Tennessee State,A-Sun,,20,11,70.4,67,3.42,,2.17,,8.54,-3.46,5.08,82.03,78.22,3.81
143,UTSA,Southland,,24,9,66.5,59.5,7.03,,-1.42,,1.67,3.31,4.98,82.02,78.84,3.18
144,IU Indy,Summit,,16,15,60,60,-0.03,,5.49,,0.36,4.54,4.9,71.64,70.54,1.1
145,UT Arlington,Southland,,22,11,73,65.2,7.73,,-0.98,,7.72,-2.83,4.89,84.46,81.72,2.75
146,North Dakota State,Summit,,16,13,60.2,59.4,0.76,,5.52,,-1.08,5.79,4.7,68.53,71.05,-2.52
147,Western Carolina,Southern,,21,12,68.3,64.9,3.39,,1.19,,6.03,-1.45,4.58,85.49,81.26,4.24
148,Nevada-Las Vegas,MWC,,14,18,64.1,67.2,-3.13,,7.68,,6.24,-1.69,4.55,83.26,81.25,2
149,San Diego,WCC,,19,13,68.6,65.9,2.63,,3.44,,7.07,-2.73,4.34,86.44,83.38,3.06
150,Toledo,MAC,,18,13,66.2,65.8,0.42,,4.62,,3.24,0.79,4.03,80.36,78.38,1.99
151,Arkansas State,Sun Belt,,16,14,63.8,63.3,0.53,,3.43,,3.23,0.74,3.96,78.32,76.95,1.37
152,Oral Roberts,Summit,,13,17,65.8,64.5,1.37,,6.01,,3.69,0.25,3.94,70.27,73.32,-3.05
153,Denver,Sun Belt,,16,15,62.2,61.3,0.87,,2.44,,0.83,3.01,3.84,79.76,78.63,1.13
154,Northern Iowa,MVC,,11,19,60.3,64.8,-4.5,,8.19,,1.73,2.11,3.84,80.67,79.48,1.19
155,Canisius,MAAC,,24,9,65.2,59,6.15,,-2.35,,1.51,2.29,3.8,85.39,82.52,2.87
156,Towson,CAA,,17,13,58.7,57.3,1.4,,2.15,,-2.4,5.94,3.55,77.22,75.21,2.01
157,Ohio,MAC,,13,18,63.4,63.1,0.32,,4.48,,0.07,3.37,3.44,81.09,79.56,1.54
158,Missouri State,MVC,,10,20,63.1,65.8,-2.7,,6.13,,3.65,-0.22,3.43,82.19,81.49,0.69
159,Portland,WCC,,17,14,61.1,60.6,0.45,,3.64,,-1.07,4.46,3.4,78.21,76.84,1.37
160,Cal Poly,Big West,,21,11,65.9,63.5,2.47,,0.73,,4.3,-0.9,3.39,84.4,83.46,0.94
161,Hofstra,CAA,,16,14,60.8,59.7,1.1,,2.67,,0.41,2.82,3.22,78.29,76.68,1.62
162,Milwaukee,Horizon,,15,18,62,62.9,-0.97,,4.94,,1.93,1.29,3.22,82.32,81.7,0.62
163,Indiana State,MVC,,14,16,58.1,61.9,-3.77,,6.95,,-1.68,4.86,3.18,78.92,78.01,0.91
164,Northern Illinois,MAC,,15,15,67.2,67.9,-0.63,,3.82,,4.22,-1.04,3.18,82.57,81.53,1.04
165,Evansville,MVC,,15,19,61.6,65.1,-3.59,,6.72,,1.74,1.4,3.13,78.85,77.89,0.96
166,Marshall,CUSA,,17,15,65.3,64.2,1.09,,3.27,,1.88,1.2,3.08,83.7,83.42,0.28
167,College of Charleston,Southern,,23,8,64.9,59.9,5,,-1.77,,-0.76,3.79,3.03,76.39,74.89,1.5
168,Wright State,Horizon,,15,16,56.2,56.3,-0.1,,3.72,,-4.56,7.51,2.96,74.44,74.5,-0.06
169,UNC Wilmington,CAA,,16,15,60.3,59.2,1.06,,3.05,,-1.07,4.02,2.95,80.64,78.3,2.34
170,Jacksonville,A-Sun,,19,13,61.6,57.3,4.28,,-0.72,,-3.12,5.94,2.82,73.4,72.54,0.86
171,Harvard,Ivy,,19,10,68.5,63.5,5,,-2.31,,5.29,-2.6,2.69,84.37,83.34,1.03
172,Louisiana-Monroe,Sun Belt,,15,16,62.7,61.2,1.48,,2.83,,0.45,2.07,2.52,71.75,72.63,-0.88
173,Miami (OH),MAC,,16,15,65.5,67.4,-1.87,,4.34,,4.04,-1.57,2.47,80.77,80.78,-0.01
174,UC Davis,Big West,,11,18,58.1,59.3,-1.21,,2.52,,-3.55,5.33,1.78,76.58,78.43,-1.85
175,Delaware,CAA,,15,15,55.5,55.2,0.33,,1.36,,-5.45,7.14,1.69,72.02,72.88,-0.85
176,Princeton,Ivy,,14,14,60.7,58,2.68,,-1.08,,-2.04,3.64,1.59,80.68,81.36,-0.68
177,Illinois-Chicago,Horizon,,14,16,60.9,62.3,-1.4,,3.57,,-0.37,1.94,1.57,78.65,79.66,-1.02
178,New Orleans,Sun Belt,,14,17,58.6,60.2,-1.52,,2.99,,-2.74,4.22,1.48,77.23,79.01,-1.78
179,Colorado State,MWC,,10,21,59.1,65,-5.84,,7.5,,1.37,0.06,1.43,77.83,79.58,-1.76
180,Chicago State,Ind,,16,13,62.9,62.1,0.79,,-0.34,,1.64,-0.7,0.95,72.2,76.47,-4.27
181,William & Mary,CAA,,14,17,61.2,62.1,-0.9,,2.27,,1.26,-0.32,0.94,78.59,79.92,-1.32
182,Quinnipiac,NEC,,18,11,64.8,61.4,3.41,,-2,,2.13,-1.2,0.93,83.16,84.29,-1.14
183,Georgia State,CAA,,12,18,61.8,61.2,0.6,,1.64,,1.33,-0.45,0.88,78.49,80.8,-2.31
184,Dartmouth,Ivy,,18,11,56.6,56,0.59,,0.73,,-6.59,7.38,0.8,76.96,77.78,-0.82
185,Mercer,A-Sun,,17,14,66.6,64.9,1.65,,-1.51,,3.39,-2.77,0.63,80.83,83.05,-2.22
186,Iona,MAAC,,18,13,63.6,61,2.58,,-2.03,,0.51,0.04,0.55,77.23,79.16,-1.93
187,Troy,Sun Belt,,16,14,61.8,62.3,-0.53,,2.43,,-0.77,1.12,0.36,76.19,79.67,-3.49
188,Fairfield,MAAC,,18,13,60.3,57.4,2.9,,-2.56,,-3.8,4.14,0.34,79.14,81.21,-2.07
189,Murray State,OVC,,23,9,76.4,70.4,5.94,,-2.87,,10.53,-10.36,0.16,91,93.83,-2.83
190,Wichita State,MVC,,13,18,59.9,63.4,-3.48,,3.63,,-1.28,1.43,0.15,75.46,79.2,-3.74
191,Morehead State,OVC,,17,14,67.1,64.8,2.32,,-1.61,,1.71,-1.6,0.11,77.51,80.41,-2.9
192,Utah State,WAC,,16,15,58.3,57.9,0.39,,-0.44,,-4.56,4.61,0.04,74.22,77.65,-3.42
193,Idaho,WAC,,13,15,58.9,59.5,-0.57,,1.01,,-4.22,4.15,-0.07,75.49,78.99,-3.51
194,Massachusetts,A-10,,12,18,63.3,67.8,-4.5,,5,,4.1,-4.2,-0.1,83.22,86.17,-2.95
195,Southern Illinois,MVC,,9,19,60,66.6,-6.61,,6.73,,-0.47,0.31,-0.16,79.51,83.91,-4.4
196,Boise State,WAC,,16,15,61.7,62.8,-1.1,,1.04,,-0.72,0.35,-0.38,73.49,77.48,-4
197,Southeastern Louisiana,Southland,,19,11,65,57.8,7.17,,-4.54,,-2.09,1.59,-0.5,71.34,77.22,-5.88
198,Kansas City,Summit,,12,18,61.6,65.6,-4.07,,4.32,,0.78,-1.35,-0.57,66.14,74.65,-8.51
199,Cal State Fullerton,Big West,,10,20,62.5,65.2,-2.67,,1.69,,1.19,-1.78,-0.59,79.83,84.06,-4.23
200,Pacific,Big West,,14,16,64,66.2,-2.23,,1.47,,1.51,-2.11,-0.6,77.81,81.91,-4.1
201,Davidson,Southern,,12,18,65.4,68.1,-2.73,,2.13,,4.63,-5.24,-0.61,82.38,85.63,-3.25
202,Western Michigan,MAC,,7,23,63.4,69.5,-6.1,,5.61,,0.85,-1.51,-0.66,80.26,83.66,-3.4
203,Purdue Fort Wayne,Summit,,9,21,60.2,67.6,-7.43,,6.34,,1.55,-2.64,-1.1,76.15,83.19,-7.04
204,La Salle,A-10,,10,19,57.1,61.2,-4.14,,2.97,,-3.15,1.98,-1.17,80.34,85.82,-5.48
205,Austin Peay,OVC,,17,16,65.5,66.5,-0.91,,0.45,,1.46,-2.63,-1.18,79.84,84.39,-4.55
206,Bucknell,Patriot,,16,12,59,57.6,1.36,,-2.59,,-3.95,2.72,-1.23,77.79,82.23,-4.44
207,North Texas,Sun Belt,,11,20,66.5,71.5,-5.03,,3.77,,5.02,-6.29,-1.27,77.49,82.39,-4.9
208,Monmouth,NEC,,18,13,56.1,54.9,1.23,,-2.1,,-7.42,5.99,-1.43,76.01,80.59,-4.58
209,Florida Atlantic,Sun Belt,,12,17,62,67.6,-5.52,,4.07,,0.77,-2.22,-1.45,78.98,84.39,-5.41
210,Georgia Southern,Southern,,16,14,56,57.6,-1.57,,-0.58,,-5.87,4.37,-1.5,76.58,80.98,-4.4
211,Army,Patriot,,19,12,54.9,53.2,1.74,,-2.24,,-8.4,6.86,-1.54,73.73,78.8,-5.06
212,Akron,MAC,,11,19,59.5,65.9,-6.33,,4.76,,-2.99,1.41,-1.58,76.01,81.61,-5.59
213,Belmont,A-Sun,,18,13,61.1,59.5,1.58,,-3.36,,-2.14,0.52,-1.62,75.86,80.73,-4.87
214,Western Illinois,Summit,,9,21,53.2,60.8,-7.63,,6.73,,-7.25,5.49,-1.76,62.21,73.54,-11.33
215,Holy Cross,Patriot,,13,17,60.7,63.2,-2.5,,1.42,,0.3,-2.12,-1.82,79.91,86.16,-6.25
216,Buffalo,MAC,,8,24,64.3,69.8,-5.47,,4.05,,2.17,-4.12,-1.95,78.46,84.08,-5.62
217,Southern Utah,Summit,,9,20,60.6,65.4,-4.83,,4.51,,-0.7,-1.29,-1.99,65.05,76.07,-11.02
218,Eastern Michigan,MAC,,8,21,62.9,68.2,-5.38,,5.44,,-1.44,-0.57,-2,74.89,80.5,-5.61
219,Montana State,Big Sky,,15,15,74.1,74.6,-0.43,,0.87,,8.6,-10.72,-2.13,83.99,89.46,-5.47
220,Detroit Mercy,Horizon,,12,19,57.2,64.1,-6.9,,4.72,,-1.75,-0.44,-2.19,75.22,82.3,-7.08
221,UNC Greensboro,Southern,,13,18,57.4,59.9,-2.48,,-0.33,,-5.14,2.77,-2.37,71.58,77.11,-5.54
222,Northeastern,CAA,,12,19,57,62.3,-5.26,,2.87,,-3.82,1.43,-2.39,78.95,85.19,-6.24
223,Saint Francis (PA),NEC,,15,17,67.5,68.6,-1.13,,-1.59,,3.56,-6.11,-2.55,80.29,86.11,-5.82
224,Southeast Missouri State,OVC,,15,15,60.1,58.8,1.27,,-1.55,,-5,2.41,-2.59,74.94,82,-7.06
225,Lamar,Southland,,20,11,66.5,63.5,3.1,,-3.86,,-1.26,-1.38,-2.64,76.36,83.84,-7.47
226,Florida International,Sun Belt,,6,24,53.5,63.2,-9.7,,6.87,,-6.71,3.88,-2.83,70.17,77.64,-7.47
227,Robert Morris,NEC,,13,18,63.8,63.8,-0.03,,-2.26,,-0.5,-2.34,-2.84,78.93,85.3,-6.37
228,Rhode Island,A-10,,10,21,54,61.6,-7.68,,5.09,,-6.76,3.68,-3.08,72.55,80.12,-7.57
229,Columbia,Ivy,,13,15,65,65,0.07,,-3.26,,1.02,-4.58,-3.55,81.3,88.77,-7.47
