,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,39,0,83.9,53.4,30.51,,19.1,,30.51,19.1,49.61,120.5,55.36,65.14
2,Stanford,Pac-10,,33,5,76.1,55.8,20.34,,18.19,,22.95,15.58,38.53,111.34,60.59,50.75
3,Oklahoma,Big 12,,32,5,75.8,60.5,15.24,,22.33,,22.61,13.41,36.02,106.87,61.27,45.59
4,Texas A&M,Big 12,,27,8,68.2,55.4,12.8,,19.33,,14.66,17.46,32.13,98.75,58.57,40.18
5,Louisville,Big East,,34,5,70.9,57.5,13.44,,18.25,,16.17,15.51,31.68,98.39,58.57,39.82
6,Duke,ACC,,27,6,72.1,57.6,14.52,,15.81,,14.9,15.43,30.33,93.17,56.56,36.62
7,Arizona State,Pac-10,,26,9,69.4,56.4,12.97,,17.06,,14.92,15.11,30.03,101.83,63.1,38.73
8,North Carolina,ACC,,28,7,82.7,66.7,16,,15.43,,25.69,4.34,30.02,98.16,64.06,34.1
9,Texas,Big 12,,21,12,70.2,58.7,11.52,,18.31,,16.3,13.52,29.82,97.08,60.53,36.56
10,Pittsburgh,Big East,,25,8,73,58.3,14.73,,16.09,,16.45,13.32,29.77,101.64,64.08,37.55
11,Baylor,Big 12,,29,6,69.3,57.4,11.91,,17.5,,15.51,13.9,29.41,97.99,61.57,36.41
12,Maryland,ACC,,31,5,79,67.8,11.22,,17.1,,24.5,3.82,28.32,109,74.48,34.52
13,California,Pac-10,,27,7,67.1,54.8,12.32,,15.95,,10.78,17.49,28.27,98.96,62.48,36.48
14,Ohio State,Big Ten,,29,6,69,57.6,11.43,,16.84,,15.53,12.74,28.27,99.38,63.35,36.03
15,Auburn,SEC,,30,4,76.5,61.1,15.38,,11.96,,19.73,7.61,27.34,103.56,70.59,32.97
16,Iowa State,Big 12,,27,9,64.2,54.8,9.44,,17.75,,9.49,17.11,26.6,98.82,65.44,33.38
17,South Dakota State,Summit,,32,3,73.1,54.6,18.49,,7.71,,14.54,11.66,26.2,87.35,59.5,27.85
18,Notre Dame,Big East,,22,9,71.5,62.3,9.19,,16.98,,17.41,8.76,26.17,97.13,65.52,31.61
19,Purdue,Big Ten,,25,11,65.1,57.4,7.72,,18.31,,11.39,14.65,26.04,95.89,63.44,32.45
20,Rutgers,Big East,,21,13,63.1,55.1,8.06,,19.47,,8.56,17.4,25.96,99.79,65.59,34.2
21,Vanderbilt,SEC,,26,9,71.9,58.9,13,,12.37,,15.14,10.23,25.37,101.42,69.77,31.66
22,Tennessee,SEC,,22,11,69.9,63.7,6.15,,18.86,,14.83,10.19,25.01,98.12,67.78,30.34
23,South Florida,Big East,,27,10,78,65.6,12.43,,12.99,,21.2,3.42,24.62,99.75,71.47,28.28
24,Florida State,ACC,,26,8,70.2,61.1,9.03,,15.92,,13.1,11.48,24.58,95.04,65.73,29.31
25,Mississippi State,SEC,,23,10,68,55.4,12.61,,11.59,,10.42,13.92,24.34,88.85,62.64,26.22
