,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,AAC,,36,1,87.1,54.9,32.22,,14.57,,28.19,18.6,46.79,99.15,29.33,69.83
2,Baylor,Big 12,,33,4,89.5,56.3,33.22,,12.9,,29.06,17.06,46.12,93.84,27.96,65.88
3,South Carolina,SEC,,33,4,76.3,56.9,19.46,,16.57,,19.71,16.32,36.03,89.11,32.79,56.32
4,Washington,Pac-12,,29,6,85,64,21,,13.26,,26.68,7.58,34.26,90.12,41.07,49.06
5,Mississippi State,SEC,,34,5,75.9,57.6,18.31,,15.65,,17.83,16.13,33.96,85.2,33.19,52.01
6,Notre Dame,ACC,,33,4,80.1,62.3,17.81,,15.83,,21.88,11.76,33.64,89.94,38.63,51.32
7,Florida State,ACC,,28,7,79,58.3,20.71,,12.62,,19.69,13.65,33.33,84.2,33.4,50.81
8,Maryland,Big Ten,,32,3,89.3,64.5,24.83,,8.22,,27.38,5.67,33.05,90.55,42,48.55
9,Stanford,Pac-12,,32,6,71.7,56.5,15.24,,16.32,,14.87,16.69,31.56,82.73,34.02,48.71
10,Duke,ACC,,28,6,73.7,55.4,18.26,,11.56,,13.61,16.21,29.82,78.66,32.59,46.08
11,Texas,Big 12,,25,9,74,62.1,11.88,,17.28,,16.01,13.15,29.16,79.39,34.34,45.05
12,UCLA,Pac-12,,25,9,74.1,63.8,10.35,,17.23,,17.4,10.18,27.58,81.75,38.96,42.79
13,Louisville,ACC,,29,8,74.6,61,13.59,,13.73,,15.3,12.03,27.32,80.12,37.09,43.03
14,Oregon State,Pac-12,,31,5,65.6,54.4,11.25,,14.5,,7.34,18.41,25.75,76.23,35.17,41.07
15,Ohio State,Big Ten,,28,7,85.7,71.5,14.17,,10.11,,24.42,-0.14,24.28,81.64,45.14,36.5
16,Syracuse,ACC,,22,11,78.6,67.4,11.24,,11.69,,18.66,4.34,22.99,80.46,44.54,35.92
17,Kentucky,SEC,,22,11,70.9,63.5,7.36,,15.52,,13.39,9.5,22.89,80.75,42.91,37.84
18,Michigan,Big Ten,,28,9,76.9,61.8,15.14,,7.58,,14.54,8.17,22.71,78.83,42.88,35.95
19,West Virginia,Big 12,,24,11,74,62.5,11.43,,11.23,,12.79,9.87,22.66,75.91,40.11,35.81
20,Tennessee,SEC,,20,12,73.3,65.9,7.44,,15.18,,14.68,7.94,22.62,78.45,41.98,36.48
21,Arizona State,Pac-12,,20,13,63.8,57.8,6.06,,16.29,,5.38,16.97,22.35,74.55,38.47,36.09
22,Oregon,Pac-12,,23,14,70.9,65.8,5.11,,16.81,,13.1,8.81,21.92,79.47,44.99,34.48
23,Kansas State,Big 12,,23,11,67.5,62.4,5.03,,16.88,,9.03,12.88,21.91,74.28,38.82,35.46
24,DePaul,Big East,,27,8,80.7,67.7,12.94,,8.7,,19.59,2.05,21.64,78.51,44.28,34.23
25,NC State,ACC,,23,9,71.2,59.2,12,,9.13,,10.95,10.18,21.13,76.12,40.67,35.46
26,Miami (FL),ACC,,24,9,72.1,63.2,8.91,,11.69,,12.06,8.53,20.59,75.82,41.71,34.11
27,Oklahoma,Big 12,,23,10,74,69.6,4.39,,15.54,,15.79,4.14,19.93,73.12,40.99,32.12
28,Texas A&M,SEC,,22,12,68.7,63.1,5.62,,13.07,,10.45,8.24,18.69,78.3,46.49,31.81
29,Iowa State,Big 12,,18,13,73.8,68.8,5,,13.43,,13.29,5.14,18.43,75.72,46.77,28.96
30,Indiana,Big Ten,,23,11,74.9,64.9,10.06,,8.02,,13.33,4.75,18.07,77.76,47.09,30.66
31,Iowa,Big Ten,,20,14,76.1,68.8,7.35,,10.6,,14.88,3.08,17.96,75.91,46.48,29.43
32,California,Pac-12,,20,14,68.7,65.1,3.65,,14.26,,10.18,7.73,17.91,73.06,43.9,29.16
33,Louisiana State,SEC,,20,12,63.4,59,4.47,,13.28,,4.64,13.11,17.75,69.43,39.42,30.02
34,Virginia,ACC,,20,13,63.2,55.9,7.27,,9.93,,3.09,14.12,17.2,67.62,38.13,29.49
35,Green Bay,Horizon,,27,6,69.4,51.7,17.73,,-0.57,,2.69,14.47,17.16,72.02,40.68,31.34
36,Purdue,Big Ten,,23,13,67.4,59.8,7.56,,9.45,,5.4,11.61,17.01,69.85,41.04,28.8
37,Michigan State,Big Ten,,21,12,73.4,66.9,6.45,,10.26,,12.01,4.7,16.71,74.84,46.76,28.08
38,Gonzaga,WCC,,26,7,72,58.3,13.67,,2.88,,7.45,9.09,16.54,71.98,44,27.98
39,Southern California,Pac-12,,14,16,67.5,65.1,2.4,,14.14,,8.88,7.66,16.54,70.01,43.13,26.88
40,Missouri,SEC,,22,11,66.3,62.6,3.76,,12.6,,6.73,9.62,16.36,74.74,46.28,28.46
41,South Florida,AAC,,24,9,70.7,61.8,8.97,,6.94,,9.42,6.49,15.91,76.72,49.18,27.54
42,Temple,AAC,,24,8,69.9,60.7,9.25,,6.47,,9.05,6.67,15.72,71.5,43.52,27.98
43,Oklahoma State,Big 12,,17,15,66.2,65.1,1.06,,14.25,,7.2,8.11,15.31,71.28,45.4,25.88
44,Texas Tech,Big 12,,14,17,67.9,67.8,0.13,,15.08,,9.07,6.13,15.21,71.6,45.45,26.15
45,Drake,MVC,,28,5,82.2,64.4,17.79,,-0.8,,16.97,-1.78,15.2,74.82,50.06,24.76
46,Marquette,Big East,,25,8,78.8,70.2,8.64,,6.56,,17.48,-2.28,15.2,80.93,55.37,25.55
47,Creighton,Big East,,24,8,65.8,57.8,8.03,,7.09,,3.74,11.38,15.12,71.67,44.73,26.93
48,Colorado,Pac-12,,17,16,68.9,66.3,2.67,,12.12,,10.21,4.58,14.79,70.31,45.7,24.61
49,Washington State,Pac-12,,16,20,66.6,68.8,-2.19,,16.7,,8.78,5.72,14.51,65.68,41.39,24.29
50,Penn State,Big Ten,,21,11,72.7,65.8,6.84,,7.48,,11.07,3.25,14.32,74.71,50.36,24.34
51,Georgia Tech,ACC,,22,15,68.7,65.6,3.05,,11.17,,9.61,4.61,14.22,69.86,44.44,25.42
52,Auburn,SEC,,17,15,62.4,60.7,1.72,,12.45,,2.87,11.3,14.17,64.05,40.42,23.63
53,Texas Christian,Big 12,,12,18,71,69.6,1.33,,12.51,,11.34,2.51,13.84,71.13,46.04,25.1
54,Western Kentucky,CUSA,,27,7,75.1,61.9,13.15,,0.66,,8.61,5.2,13.81,79.63,53.04,26.59
55,Florida,SEC,,15,16,70.7,68,2.68,,11.06,,11.63,2.11,13.74,70.05,46.33,23.72
56,Utah,Pac-12,,16,15,64.5,64.7,-0.26,,13.56,,5.6,7.7,13.3,62.97,40.57,22.39
57,Alabama,SEC,,22,14,68.1,61.2,6.97,,6.19,,6.23,6.93,13.16,65.95,42.62,23.33
58,Elon,CAA,,27,7,70.6,59,11.53,,2.37,,7.19,5.66,12.85,68.15,45.22,22.93
59,Minnesota,Big Ten,,15,16,73.7,74.5,-0.71,,13.23,,12.35,0.17,12.52,70.99,49.3,21.69
60,South Dakota State,Summit,,23,9,71,60.9,10.13,,2.35,,6.52,5.96,12.48,70.94,48.12,22.82
61,Northwestern,Big Ten,,20,11,68.4,64.5,3.84,,8.62,,6.17,6.29,12.46,66.73,44.47,22.26
62,Georgia,SEC,,16,15,62.1,62.4,-0.29,,12.33,,3.49,8.55,12.04,64.08,42.09,21.99
63,Mississippi,SEC,,17,14,67.6,62.3,5.29,,6.6,,5.67,6.22,11.89,63.88,41.85,22.03
64,St. John's (NY),Big East,,22,12,61.1,55.4,5.71,,6.02,,-0.62,12.35,11.73,64.63,42.5,22.12
65,Virginia Tech,ACC,,20,14,70.7,67.7,3,,8.46,,10.14,1.32,11.46,70.56,49.12,21.45
66,James Madison,CAA,,26,9,70.2,61.2,9,,2.45,,8.67,2.79,11.45,69.49,47.54,21.95
67,Arkansas,SEC,,13,17,64.1,60.4,3.7,,7.37,,2.75,8.32,11.07,65.43,44.64,20.78
68,George Washington,A-10,,20,10,65.5,57.1,8.4,,2.63,,3.09,7.94,11.03,65.4,43.99,21.41
69,Brigham Young,WCC,,20,12,67.4,61.7,5.69,,5.27,,4.9,6.06,10.95,66.9,46.94,19.96
70,Dayton,A-10,,22,10,65.8,59.7,6.09,,4.65,,3.89,6.85,10.74,67.65,46.2,21.45
71,Colorado State,MWC,,25,9,65,53.6,11.32,,1.91,,-1.18,11.62,10.44,59.82,41.31,18.51
72,UCF,AAC,,21,12,63.7,56.4,7.24,,2.89,,0.66,9.47,10.13,63.33,43.03,20.3
73,Saint Louis,A-10,,25,9,73.1,61.5,11.56,,-1.59,,8.81,1.16,9.97,71.04,51.3,19.74
74,Central Michigan,MAC,,23,9,77.8,69.5,8.34,,1.52,,12.61,-2.74,9.87,74.96,57.16,17.8
75,Wyoming,MWC,,22,10,64.7,54.5,10.19,,1.1,,-0.17,10.03,9.86,63.75,45.9,17.85
76,Drexel,CAA,,22,11,65.5,56.1,9.48,,-0.03,,1.15,8.31,9.46,71.45,50.79,20.66
77,Arizona,Pac-12,,14,16,64,67,-3,,12.34,,4.64,4.7,9.34,63.5,45.77,17.73
78,Villanova,Big East,,20,15,61.2,61.1,0.11,,9.14,,0.54,8.71,9.25,69.08,50.03,19.05
79,North Carolina,ACC,,15,16,72.2,72.1,0.06,,9.1,,11.99,-2.83,9.16,70.91,52.94,17.97
80,Tulane,AAC,,18,15,63.7,62.2,1.42,,7.74,,2.64,6.52,9.16,65.7,47.1,18.6
81,Toledo,MAC,,25,9,70.5,62,8.53,,1.92,,3.48,5.65,9.13,59.15,42.75,16.4
82,Middle Tennessee,CUSA,,23,11,70,63.6,6.41,,2.61,,5.39,3.63,9.02,70.7,52.3,18.39
83,Saint Mary's,WCC,,20,13,70.5,66.4,4.15,,4.65,,7.98,0.81,8.8,68.31,51.69,16.62
84,Georgetown,Big East,,17,13,66.3,63.8,2.43,,6.3,,4.19,4.54,8.73,64.86,47.35,17.52
85,South Dakota,Summit,,23,9,73.3,63.6,9.72,,0.44,,5.67,2.87,8.54,68.05,51.59,16.46
86,Wake Forest,ACC,,16,16,64,66,-2.06,,10.57,,5.09,3.42,8.51,65.25,47.43,17.82
87,Vanderbilt,SEC,,14,16,68.7,71.1,-2.43,,10.89,,9.58,-1.12,8.45,69.18,51.37,17.8
88,Northern Iowa,MVC,,24,9,66.9,58.3,8.64,,-0.11,,1.65,6.68,8.33,62.97,46.46,16.51
89,Quinnipiac,MAAC,,29,7,68.4,58.6,9.72,,-1.41,,3.79,4.52,8.31,62.97,46.77,16.19
90,Ball State,MAC,,21,11,74.6,64.9,9.66,,-0.46,,7.43,0.66,8.09,64.74,49.8,14.94
91,Western Illinois,Summit,,26,7,80,66.8,13.18,,-1.13,,11.12,-3.44,7.68,62.98,49.09,13.89
92,IU Indy,Summit,,24,9,66.8,57.2,9.61,,0.18,,-0.36,7.99,7.63,60.78,45.57,15.21
93,UC Davis,Big West,,25,8,68.9,61,7.91,,0.71,,3.59,4.03,7.62,63.11,48.36,14.75
94,Ohio,MAC,,22,10,69.3,62,7.25,,0.16,,2.35,5.07,7.41,64.64,48.88,15.77
95,Boise State,MWC,,25,8,68.7,62.4,6.24,,3.11,,5.16,2.17,7.33,61.45,47.9,13.56
96,Pennsylvania,Ivy,,22,8,61.3,52.1,9.2,,-0.64,,-4.5,11.8,7.29,63.69,46.97,16.72
97,Florida Gulf Coast,A-Sun,,26,9,71.9,56.1,15.71,,-6.83,,2.86,4.25,7.11,58.49,44.23,14.25
98,Southern Methodist,AAC,,19,15,58.7,58.5,0.24,,6.47,,-3.1,9.81,6.71,55.13,39.56,15.57
99,Belmont,OVC,,27,6,77.6,65.4,12.21,,-5.16,,8.69,-2.22,6.46,71.25,56.2,15.05
100,Princeton,Ivy,,16,14,64.4,57.2,7.17,,-1.09,,0.67,5.41,6.08,60.56,46.69,13.87
101,New Mexico,MWC,,15,15,67,62.1,4.93,,2.26,,3.25,2.8,6.05,57.86,45.79,12.06
102,Pittsburgh,ACC,,13,17,60.9,62.2,-1.33,,8.96,,-1.99,7.98,5.99,58.66,45.92,12.74
103,Charlotte,CUSA,,21,10,73.6,67.1,6.45,,-0.75,,7.52,-1.82,5.7,65.08,51.76,13.32
104,Chattanooga,Southern,,21,11,63.3,58.5,4.84,,0.83,,0.04,5.64,5.67,72.05,56.73,15.32
105,Buffalo,MAC,,22,10,67.9,61.6,6.28,,-0.67,,2.33,3.28,5.61,62.03,49.21,12.82
106,Little Rock,Sun Belt,,25,9,61.8,55.2,6.59,,-1.32,,-3.75,9.02,5.27,61.97,48.35,13.62
107,Southern Mississippi,CUSA,,23,11,70.3,62.7,7.56,,-0.93,,3.9,1.36,5.25,62.96,50.02,12.94
108,Nevada-Las Vegas,MWC,,22,11,60.2,55.7,4.58,,1.97,,-4.66,9.6,4.94,53.26,42.11,11.15
109,Northern Colorado,Big Sky,,22,8,70.7,62.4,8.3,,-2.17,,2.1,2.83,4.93,61.26,50.59,10.68
110,Santa Clara,WCC,,14,16,62,60.6,1.4,,5.05,,-2.43,7.35,4.92,55.83,44.68,11.15
111,Kansas,Big 12,,8,22,62,72.3,-10.33,,15.24,,3.71,1.2,4.91,59.9,47.35,12.55
112,Saint Joseph's,A-10,,17,15,63.5,60.2,3.34,,1.54,,0.97,3.91,4.88,64.6,51.87,12.73
113,Montana State,Big Sky,,25,7,72.3,64.7,7.53,,-1.16,,5.04,-0.3,4.74,57.09,47.15,9.94
114,Northern Illinois,MAC,,21,12,85.1,81.3,3.79,,0.53,,19.41,-15.1,4.32,72.19,61.94,10.25
115,Fordham,A-10,,22,12,59.6,56.2,3.38,,0.67,,-3.8,7.85,4.05,63.62,51.33,12.3
116,Clemson,ACC,,15,16,59.1,64.6,-5.58,,9.6,,-1.35,5.37,4.02,61.28,50.69,10.59
117,New Mexico State,WAC,,24,7,69.4,58.8,10.58,,-3.36,,1.66,2.36,4.02,59.63,49.63,10
118,Boston College,ACC,,9,21,59.4,65.4,-5.97,,9.96,,-1.21,5.21,4,60,49.23,10.78
119,Bucknell,Patriot,,27,6,67.4,59,8.36,,-4.37,,1.43,2.57,4,66.93,55.54,11.39
120,San Diego,WCC,,14,16,63.5,63.4,0.07,,2.09,,0.56,3.03,3.59,61.89,52.98,8.91
121,Long Beach State,Big West,,23,11,66.1,63,3.12,,1.16,,1.4,2.12,3.53,60.84,51.52,9.32
122,Duquesne,A-10,,18,16,64.9,64.6,0.26,,2.69,,2.38,0.57,2.95,63.7,54.55,9.15
123,Mercer,Southern,,25,7,65.8,56.7,9.13,,-4.32,,-1.15,3.86,2.71,55.23,45.17,10.07
124,Old Dominion,CUSA,,17,14,71,69.4,1.61,,1.02,,6.03,-3.4,2.63,66.75,56.66,10.09
125,Louisiana Tech,CUSA,,18,14,68.3,63.8,4.47,,-0.7,,1.16,1.46,2.62,61.34,51.83,9.51
126,Kent State,MAC,,19,13,71,70.8,0.28,,2.3,,5.5,-2.93,2.58,63.86,54.94,8.91
127,San Francisco,WCC,,18,13,68.7,69.3,-0.65,,3.07,,4.3,-1.88,2.42,64.31,56.49,7.82
128,Troy,Sun Belt,,22,11,82.5,73.1,9.33,,-4.26,,15.09,-12.67,2.42,57.56,49.67,7.89
129,Oakland,Horizon,,18,12,76.6,66.7,9.87,,-2.44,,7.14,-4.79,2.35,57.54,50.82,6.73
130,William & Mary,CAA,,20,11,62.9,58.5,4.39,,-2.29,,-2.17,4.27,2.09,61.91,52.43,9.47
131,UT Arlington,Sun Belt,,22,9,68.4,61,7.39,,-4.19,,0.72,1.37,2.08,57.47,48.77,8.7
132,Harvard,Ivy,,21,9,63.8,60.6,3.2,,-1.23,,-0.12,2.08,1.97,61.69,53.25,8.44
133,UC Riverside,Big West,,16,15,66.1,63.5,2.52,,-0.61,,1.54,0.36,1.91,62.27,55.11,7.16
134,Western Michigan,MAC,,19,13,69,65.8,3.22,,-1.45,,0.93,0.84,1.76,62.19,54.89,7.3
135,Idaho,Big Sky,,19,15,72.1,68.6,3.5,,0.18,,6.39,-4.68,1.71,63.44,56.63,6.81
136,Navy,Patriot,,24,10,66.5,59.5,7.03,,-3.93,,-0.47,2.18,1.71,59.99,51.96,8.03
137,Rice,CUSA,,22,13,68.2,62.4,5.86,,-3.42,,0.06,1.55,1.61,61.75,53.53,8.21
138,Wright State,Horizon,,25,9,68.6,61.7,6.88,,-4.19,,-0.36,1.76,1.41,57.35,50.62,6.73
139,North Dakota,Big Sky,,20,11,71.8,69.5,2.39,,0.13,,4.21,-2.87,1.34,56.2,50.24,5.96
140,Fresno State,MWC,,18,15,60.1,59.9,0.21,,2.1,,-5.05,6.28,1.23,54.08,48.32,5.76
141,Omaha,Summit,,16,15,69.8,65.7,4.1,,0.92,,3.54,-2.31,1.23,62.56,56.37,6.19
142,Xavier,Big East,,12,18,62.2,64.2,-2.03,,3.22,,-1.77,2.96,1.19,59.94,52.76,7.18
143,Tulsa,AAC,,10,21,63.6,71.9,-8.23,,9.41,,4.27,-3.09,1.18,63.77,56.92,6.85
144,Illinois,Big Ten,,9,22,62.4,70.1,-7.65,,8.63,,0.15,0.84,0.99,61.05,53.93,7.12
145,Milwaukee,Horizon,,22,12,72.4,66.8,5.65,,-4.67,,4.34,-3.37,0.98,66.11,59.34,6.77
146,Eastern Washington,Big Sky,,19,14,67.3,64.5,2.76,,-0.1,,0.05,0.88,0.93,57.93,52.1,5.83
