,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
217,Central Connecticut State,NEC,,19,13,63.4,61.1,2.25,,-7.91,,-4.84,-0.82,-5.66,60.93,62.14,-1.21
218,Oakland,Horizon,,12,18,68.4,70.4,-1.97,,0.1,,0.95,-6.71,-5.75,54.1,56.25,-2.15
219,Towson,CAA,,11,21,58.6,64.1,-5.47,,-0.33,,-5.74,-0.07,-5.8,59.39,61.92,-2.54
220,Lafayette,Patriot,,14,17,58.1,60.5,-2.39,,-3.46,,-5.19,-0.66,-5.85,58.75,60.61,-1.87
221,Belmont,OVC,,14,17,62.7,65.7,-3,,-2.98,,-4.84,-1.14,-5.98,59.59,61.42,-1.83
222,Fairfield,MAAC,,15,16,57.3,60.8,-3.48,,-2.53,,-7.61,1.59,-6.02,61.42,64.42,-3
223,Texas State,Sun Belt,,17,15,62.2,64.6,-2.41,,-2.75,,-3.77,-2.31,-6.08,51.75,52.89,-1.14
224,Cincinnati,AAC,,8,23,54.7,68.2,-13.55,,7.46,,-6.65,0.57,-6.09,54.92,58.25,-3.33
225,Pepperdine,WCC,,8,22,63.2,71.3,-8.1,,2.01,,-1.14,-4.95,-6.09,58.18,61.93,-3.75
226,Nevada,MWC,,9,21,58.7,63,-4.33,,-0.72,,-7.23,1.13,-6.1,49.73,53.59,-3.86
227,Lamar,Southland,,17,13,71.7,66.5,5.2,,-7.05,,1.91,-8.03,-6.13,55.43,56.27,-0.85
