,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,AAC,,38,1,89.3,48.6,40.64,,11,,30.43,21.22,51.64,104.56,27.16,77.4
2,Notre Dame,ACC,,36,3,79.8,59.8,20.08,,16.62,,22.02,14.68,36.7,90.77,35.21,55.56
3,South Carolina,SEC,,34,3,75.9,54.1,21.73,,12.42,,18.31,15.84,34.15,82.98,32.15,50.83
4,Baylor,Big 12,,33,4,79.5,59,20.49,,10.96,,20.69,10.76,31.45,87.52,39.17,48.34
5,Maryland,Big Ten,,34,3,78.6,61.1,17.51,,13.64,,19.56,11.6,31.15,90.28,42.37,47.9
6,Tennessee,SEC,,30,6,71.3,56.3,15,,13.04,,14.17,13.88,28.04,83.3,39.34,43.96
7,Florida State,ACC,,32,5,75.5,57.3,18.24,,9.12,,16.14,11.23,27.37,77.89,36.06,41.83
8,Louisville,ACC,,27,7,73.1,58.4,14.68,,11.02,,12.82,12.87,25.69,78.98,38.3,40.68
9,Duke,ACC,,23,11,69.6,59,10.62,,14.22,,10.75,14.08,24.84,78.32,38.78,39.54
10,Oregon State,Pac-12,,27,5,72.8,57.2,15.66,,9.64,,11.04,12.93,23.96,77.24,39.9,37.34
11,Princeton,Ivy,,31,1,75.8,52.6,23.19,,0.44,,12.76,10.87,23.63,83.37,43.77,39.6
12,Arizona State,Pac-12,,29,6,67.7,55.9,11.86,,10.94,,9.14,13.65,22.8,79.65,42.29,37.36
13,North Carolina,ACC,,26,9,75.3,65.3,10.06,,12.01,,16.32,5.75,22.07,77.29,41.28,36.01
14,Ohio State,Big Ten,,24,11,81,71.8,9.26,,12.74,,21.5,0.5,22,81.1,46.47,34.63
15,South Florida,AAC,,27,8,71.3,59.7,11.66,,10.26,,12.67,9.25,21.92,79.46,43.35,36.11
16,Stanford,Pac-12,,26,10,69.3,60.5,8.75,,13.1,,11.03,10.83,21.85,82.43,46.52,35.91
17,DePaul,Big East,,27,8,86,70.2,15.8,,5.39,,23.8,-2.61,21.19,83.44,50.51,32.93
18,Mississippi State,SEC,,27,7,73.1,57.5,15.59,,5.56,,12.12,9.03,21.15,74.5,40.42,34.08
19,Iowa,Big Ten,,26,8,79.5,72.6,6.88,,14.08,,20.18,0.78,20.96,85.68,51.76,33.92
20,Rutgers,Big Ten,,23,10,68.7,61.2,7.52,,13.32,,9.1,11.74,20.84,72.81,38.75,34.06
21,Texas,Big 12,,24,11,67.7,60.2,7.54,,13.28,,9.37,11.46,20.82,74.44,39.54,34.91
22,Northwestern,Big Ten,,23,9,71.8,62.7,9.06,,11.17,,11.97,8.26,20.23,74.14,41.61,32.52
23,Kentucky,SEC,,24,10,75.6,69,6.65,,13.55,,17.93,2.28,20.2,74.23,41.76,32.48
24,Oklahoma,Big 12,,21,12,74.7,68.5,6.21,,13.46,,17.59,2.08,19.67,79.83,47.39,32.44
25,California,Pac-12,,24,10,69.8,62.6,7.18,,11.96,,10.26,8.87,19.13,73.55,42.65,30.9
26,Nebraska,Big Ten,,21,11,67.1,60.9,6.22,,12.48,,7.01,11.69,18.7,72.17,41.32,30.84
27,Dayton,A-10,,28,7,76.5,65.6,10.91,,7.56,,15.21,3.27,18.48,80.22,48.85,31.37
28,Syracuse,ACC,,22,10,69.5,61.8,7.69,,10.69,,10.17,8.21,18.38,74.55,43.06,31.49
29,Washington,Pac-12,,23,10,75,66.2,8.79,,9.38,,15.51,2.66,18.16,80.47,50.43,30.04
30,Texas A&M,SEC,,23,10,66.7,57.6,9.03,,9.04,,7.96,10.11,18.07,73.67,42.59,31.09
31,Michigan State,Big Ten,,16,15,68,64.5,3.45,,13.9,,9.06,8.29,17.35,73.17,44.57,28.6
32,Michigan,Big Ten,,20,15,69.9,65.3,4.57,,12.65,,10.56,6.67,17.22,80.17,51.17,28.99
33,Miami (FL),ACC,,20,13,67.5,60.9,6.55,,10.38,,7.67,9.26,16.93,72.85,43.38,29.47
34,Oklahoma State,Big 12,,20,12,64.3,56.6,7.78,,9.85,,4.13,12.79,16.92,72.44,41.93,30.51
35,Florida Gulf Coast,A-Sun,,31,3,71.9,53.7,18.26,,-0.49,,6.83,10.05,16.87,73.98,43.13,30.85
36,Green Bay,Horizon,,28,5,69.2,56.1,13.15,,3.7,,5.18,11.68,16.86,71.65,42.62,29.03
37,James Madison,CAA,,29,4,75.9,60.1,15.79,,0.96,,13.07,3.68,16.75,76.59,48.02,28.57
38,George Washington,A-10,,29,4,73.1,58.6,14.42,,3.15,,10.21,6.48,16.68,69.08,41.71,27.37
39,Pittsburgh,ACC,,20,12,66,59.8,6.22,,10.15,,5.96,10.42,16.37,71.8,42.86,28.94
40,Arkansas,SEC,,18,14,59.7,55.9,3.75,,11.93,,1.26,14.42,15.68,66.17,39.39,26.78
41,Iowa State,Big 12,,18,13,69.4,63.6,5.74,,9.3,,9.35,5.69,15.04,79.13,52.18,26.95
42,West Virginia,Big 12,,23,15,65.6,59.6,6.05,,8.9,,4.72,10.23,14.95,70.48,43.9,26.58
43,Indiana,Big Ten,,15,16,71.9,65.8,6.13,,8.65,,9.79,4.98,14.78,76.27,51.19,25.08
44,Western Kentucky,CUSA,,30,5,75.6,61.9,13.77,,0.73,,11.63,2.87,14.5,76.68,50.3,26.38
45,Minnesota,Big Ten,,23,10,76.2,71.9,4.24,,10.19,,14.92,-0.49,14.43,76.18,51.85,24.33
46,Illinois,Big Ten,,15,16,66.9,64.3,2.61,,11.61,,5.97,8.25,14.22,68.12,43.3,24.82
47,Middle Tennessee,CUSA,,24,10,72.2,60.1,12.12,,2.09,,8.07,6.15,14.21,73,47.15,25.85
48,Seton Hall,Big East,,28,6,75.6,65,10.59,,3.24,,13,0.83,13.83,75.41,51.19,24.22
49,Georgia,SEC,,19,12,58.9,54.2,4.74,,9.83,,-1.24,14.9,13.66,64.46,38.95,25.51
50,Tulane,AAC,,22,11,64,58.3,5.7,,7.71,,3.46,9.94,13.41,69.06,44.64,24.42
51,UCLA,Pac-12,,19,18,66.1,66.5,-0.38,,13.57,,7.82,5.37,13.19,70.32,46.95,23.37
52,Southern California,Pac-12,,15,15,68,65,2.93,,10.2,,8.23,4.9,13.14,70.95,48.56,22.39
53,Gonzaga,WCC,,26,8,71.7,61.8,9.97,,3.1,,7.06,6.02,13.07,72.28,49.2,23.08
54,Louisiana State,SEC,,17,14,63.3,60.5,2.77,,10.29,,4.43,8.64,13.07,68.84,45,23.84
55,Kansas,Big 12,,15,17,63.3,62,1.28,,11.62,,4.26,8.64,12.9,71.19,47.24,23.96
56,NC State,ACC,,18,15,67.3,63,4.33,,8.54,,6.62,6.25,12.87,73.26,49.17,24.09
57,Little Rock,Sun Belt,,29,5,65.1,51.5,13.59,,-1.02,,-0.45,13.01,12.57,68.73,42.72,26.01
58,Georgia Tech,ACC,,19,15,71.8,66.9,4.88,,8.25,,10.63,1.77,12.4,77.94,54.23,23.71
59,Washington State,Pac-12,,17,15,68,66.3,1.69,,10.65,,8.59,3.75,12.34,68.71,47.08,21.63
60,East Carolina,AAC,,22,11,66.6,60.3,6.3,,5.91,,5.98,6.23,12.21,67.16,44.31,22.85
61,Missouri,SEC,,19,14,63.4,59.4,4,,8.15,,3.75,8.4,12.15,68.96,46.26,22.7
62,Chattanooga,Southern,,29,4,62.6,50.5,12.18,,-0.54,,-2.96,14.51,11.55,69.56,44.3,25.26
63,Quinnipiac,MAAC,,31,4,78.5,64.5,14,,-2.45,,14.76,-3.21,11.55,76.22,55.15,21.07
64,Colorado,Pac-12,,15,17,69.1,68.3,0.78,,10.76,,9.14,2.4,11.54,72.65,51.73,20.92
65,Ohio,MAC,,27,5,69.8,56.5,13.28,,-1.89,,4.4,6.99,11.39,68.41,47.41,21
66,Villanova,Big East,,22,14,62.2,56.3,5.86,,5.37,,-0.62,11.85,11.23,74.81,52.07,22.74
67,Kansas State,Big 12,,19,14,59.6,58.2,1.45,,9.7,,0.11,10.69,10.8,63.6,43.15,20.44
68,Purdue,Big Ten,,11,20,63.2,66.3,-3.13,,13.78,,3.57,7.08,10.65,67.35,47.35,20
69,Wichita State,MVC,,29,5,64.4,51.8,12.68,,-2.06,,-0.99,11.61,10.62,70.32,47.51,22.81
70,Virginia,ACC,,17,14,67.3,63.8,3.48,,6.83,,6.11,4.2,10.31,73.07,52.72,20.35
71,South Dakota State,Summit,,24,9,72.2,62.2,9.97,,0.1,,6.91,3.17,10.07,71.55,51.43,20.13
72,Vanderbilt,SEC,,15,16,61.6,64.3,-2.68,,13.3,,3.21,6.55,9.77,67.91,49.61,18.3
73,Albany (NY),AmEast,,24,9,68.9,55.2,13.67,,-3.95,,3.15,6.57,9.72,71.57,51.28,20.29
74,Wisconsin,Big Ten,,9,20,64.4,68.5,-4.07,,13.55,,4.9,4.58,9.48,71.77,53.31,18.46
75,Mississippi,SEC,,19,14,65.1,63.1,2.06,,7.27,,5,4.34,9.33,65.69,47.36,18.33
76,Wright State,Horizon,,25,9,78.8,64.5,14.29,,-2.73,,9.4,-0.1,9.3,65.25,48.9,16.35
77,Texas Christian,Big 12,,18,14,69.6,69.5,0.06,,9.17,,10.33,-1.1,9.23,74.01,54.84,19.18
78,St. John's (NY),Big East,,23,11,63.1,58.5,4.62,,4.46,,0.19,8.89,9.08,68.08,49.26,18.82
79,Auburn,SEC,,13,18,57.6,55.6,2,,6.94,,-2.44,11.38,8.94,59.33,41.55,17.78
80,Duquesne,A-10,,23,11,69,62.4,6.62,,2.15,,6.2,2.56,8.76,71.68,53.45,18.24
81,Creighton,Big East,,17,14,68.7,66.7,2,,6.69,,6.91,1.78,8.69,76.78,58.77,18.01
82,Temple,AAC,,20,17,66.4,65.2,1.16,,7.36,,6.73,1.79,8.52,69.94,51.75,18.19
83,Texas Tech,Big 12,,15,16,58.3,59.3,-0.97,,9.51,,-1.32,9.56,8.24,64.28,47.3,16.97
84,Cal State Northridge,Big West,,23,10,67.2,59,8.21,,-0.26,,2.42,5.54,7.96,64.15,48.25,15.9
85,Florida,SEC,,13,17,61.9,62,-0.1,,7.24,,2.94,4.2,7.14,64.78,49.01,15.78
86,Stetson,A-Sun,,23,8,71.7,58.9,12.87,,-2.65,,4.91,1.93,6.84,60.76,46.17,14.59
87,San Diego,WCC,,25,7,55.3,58.6,-3.34,,-0.36,,1.03,5.74,6.77,65.21,51.01,14.2
88,Hawaii,Big West,,23,9,68.5,60.1,8.34,,-0.55,,2.3,4.04,6.35,59.26,46,13.26
89,Ball State,MAC,,17,14,64.4,60.3,4.1,,1.57,,1.15,4.53,5.67,67.31,54.26,13.06
90,Brigham Young,WCC,,23,10,68.1,64.8,3.27,,2.9,,4.57,1.05,5.62,66.33,54.21,12.12
91,Oregon,Pac-12,,13,17,65.3,67.9,-2.6,,8.18,,4.63,0.95,5.58,68.29,55.72,12.57
92,Pennsylvania,Ivy,,21,9,60.5,53.5,6.97,,0.5,,-2.77,8.23,5.46,63.21,48.77,14.43
93,Long Beach State,Big West,,22,10,67.4,61.2,6.19,,-0.86,,2.59,2.65,5.24,59.63,48.32,11.31
94,Pacific,WCC,,21,10,70.8,65,5.81,,1.64,,4.61,0.55,5.16,62.31,50.99,11.33
95,Arkansas State,Sun Belt,,24,11,71,64.2,6.77,,-0.65,,6.43,-1.29,5.14,68.45,55.06,13.39
96,Montana,Big Sky,,24,9,64.6,57.4,7.21,,-1.23,,-1.4,6.53,5.12,60.21,47.74,12.47
97,American,Patriot,,24,9,63.5,57.8,5.7,,-0.68,,-0.47,5.49,5.02,70.27,56.14,14.13
98,Fordham,A-10,,21,12,59.3,55.5,3.76,,1.21,,-4.2,9.17,4.97,59.16,45.64,13.51
99,South Dakota,Summit,,26,8,77.2,68.2,9,,-2.44,,9.37,-4.48,4.9,67.96,56.23,11.73
100,Utah,Pac-12,,9,21,54.9,59.7,-4.8,,9.63,,-6.95,11.79,4.83,60.69,50.01,10.68
101,Southern Mississippi,CUSA,,25,11,68.3,62.6,5.78,,0.38,,2.94,1.87,4.81,62.11,49.65,12.46
102,Wake Forest,ACC,,13,20,67,71.3,-4.33,,9.12,,6.88,-2.09,4.79,67.92,55.05,12.87
103,Boise State,MWC,,22,11,70.6,61.8,8.79,,-2.52,,3.82,0.95,4.77,61.93,51.48,10.45
104,Colorado State,MWC,,23,8,66.2,56.9,9.23,,-2.06,,-2.12,6.83,4.7,57.93,46.75,11.18
105,Saint Joseph's,A-10,,13,17,61.6,62,-0.4,,5.08,,-0.28,4.96,4.68,65.33,52.67,12.65
106,Tulsa,AAC,,18,14,66.3,67,-0.72,,5.34,,5.34,-0.72,4.62,68.29,56.07,12.22
107,Saint Mary's,WCC,,23,11,66.9,65.5,1.41,,3.1,,1.65,2.86,4.51,65.58,54.56,11.02
108,Sacramento State,Big Sky,,18,16,85.6,80.8,4.82,,-0.37,,20.46,-16,4.46,70.88,60.54,10.35
109,Alabama,SEC,,13,19,59.7,62.3,-2.66,,7.05,,-0.64,5.03,4.39,59.63,47.46,12.17
110,Penn State,Big Ten,,6,24,62.9,70.8,-7.9,,12.22,,3.17,1.16,4.32,63.2,51.54,11.66
111,Akron,MAC,,22,9,74.4,66.9,7.48,,-2.39,,9.51,-5.33,4.18,67.81,57.35,10.46
112,Boston College,ACC,,13,17,65.3,71.1,-5.73,,9.32,,5.23,-1.64,3.59,67.22,56.11,11.11
113,Richmond,A-10,,19,14,63.1,61.4,1.7,,1.76,,-0.26,3.72,3.45,62.88,52.12,10.76
114,Fresno State,MWC,,23,10,64.1,60.1,4.03,,0.54,,-0.96,4.28,3.32,55.28,46.06,9.22
115,Hofstra,CAA,,20,13,62,58.3,3.7,,-0.41,,-1.47,4.76,3.29,59.53,48.65,10.89
116,Drake,MVC,,20,11,76.2,70.6,5.58,,-1.03,,10.96,-7.69,3.27,68.08,57.86,10.22
117,Charlotte,CUSA,,15,17,66.4,64.7,1.72,,1.52,,3.58,-0.34,3.24,66.27,56.14,10.13
118,Eastern Michigan,MAC,,24,13,68.9,63.6,5.27,,1.03,,3.26,-0.13,3.12,59.25,50.28,8.96
119,San Francisco,WCC,,19,14,69.9,64.8,5.18,,0.08,,3.8,-0.72,3.08,62.39,53.88,8.51
120,Northern Colorado,Big Sky,,22,13,65.9,60.1,5.86,,-1.6,,-1.18,4.2,3.02,63.7,54.25,9.45
121,Drexel,CAA,,20,11,57.5,55.1,2.48,,0.47,,-6.12,9.07,2.95,63.25,52.33,10.92
122,Tennessee-Martin,OVC,,22,11,72.6,65,7.61,,-4.65,,5.66,-2.71,2.95,70.6,60.33,10.27
123,Virginia Tech,ACC,,12,20,56.9,61.2,-4.25,,7.18,,-4.37,7.3,2.93,60.75,50.82,9.93
124,Old Dominion,CUSA,,21,13,62.7,60.9,1.79,,1.09,,-0.1,2.98,2.88,61.7,51.56,10.14
125,UC Riverside,Big West,,17,14,70.2,66.4,3.77,,-0.92,,5.1,-2.25,2.85,66.95,58.27,8.68
126,Toledo,MAC,,19,14,65.7,63.6,2.06,,1.53,,2.3,0.51,2.81,65.96,57.05,8.91
127,Western Michigan,MAC,,20,13,61.5,57.4,4.15,,0.31,,-3.72,6.48,2.76,57.14,48.31,8.84
128,Wyoming,MWC,,16,14,68.1,59.9,8.2,,-2.09,,0.57,2.16,2.73,60.09,51.79,8.3
129,Memphis,AAC,,14,17,58.4,62.3,-3.9,,6.52,,-3.25,5.87,2.62,59.66,50.49,9.17
130,Northern Iowa,MVC,,17,15,63.6,61.2,2.44,,-0.27,,-1.14,3.3,2.17,65.36,55.91,9.45
131,Youngstown State,Horizon,,21,11,68.9,63,5.97,,-1.15,,2.15,-0.26,1.88,65.14,57.5,7.64
132,Liberty,Big South,,26,7,67.2,57.8,9.36,,-7.82,,-0.8,2.35,1.55,65.26,54.1,11.16
133,New Mexico,MWC,,21,13,61.4,59.7,1.71,,-0.2,,-3.75,5.25,1.51,59.26,50.99,8.27
134,Maine,AmEast,,23,9,61.1,54.5,6.56,,-5.28,,-5.87,7.15,1.28,64.73,55.41,9.33
135,Army,Patriot,,23,8,60.3,52.8,7.48,,-5.8,,-5.73,6.84,1.11,63.31,54.81,8.5
136,Eastern Washington,Big Sky,,21,12,69.2,64.5,4.61,,-2.45,,1.84,-0.77,1.07,59.04,51.96,7.08
137,Hampton,MEAC,,19,13,63.3,58.5,4.84,,-2.48,,-2.82,3.71,0.89,60.9,49.9,11
138,Marist,MAAC,,21,12,63.4,59.3,4.03,,-3.2,,-2.08,2.92,0.83,65.94,58.83,7.11
139,Louisiana Tech,CUSA,,16,15,70.1,69.6,0.52,,0.57,,6.14,-5.5,0.64,62.77,56.03,6.74
140,Missouri State,MVC,,18,15,67.5,67.1,0.42,,0.22,,4.29,-3.65,0.64,64.24,58.05,6.2
141,Saint Louis,A-10,,15,16,65.7,65.2,0.52,,0.57,,1.76,-1.29,0.47,61.73,54.99,6.74
142,Butler,Big East,,14,16,63.3,66.8,-3.53,,4.84,,0.05,0.41,0.46,61.67,55.18,6.49
143,Central Michigan,MAC,,13,18,65.7,68.2,-2.48,,2.87,,3.27,-2.89,0.39,66.26,60.4,5.86
144,Lehigh,Patriot,,19,12,68.7,64.1,4.68,,-3.67,,5.25,-4.88,0.36,66.81,60.68,6.13
145,UAB,CUSA,,18,13,61.3,58.2,3.13,,-2.78,,-4.88,5.23,0.35,63.14,56.01,7.13
146,UC Davis,Big West,,15,16,64.8,65.8,-0.94,,1.91,,0.22,0.02,0.24,63.74,58.76,4.98
147,Elon,CAA,,19,13,65.9,65.8,0.16,,0.65,,1.72,-1.61,0.11,59.6,53.23,6.37
148,Buffalo,MAC,,19,13,64.3,63.2,1.19,,-1.21,,0.74,-0.76,-0.02,58.46,52.91,5.56
149,Delaware,CAA,,15,17,61.7,61,0.63,,-0.72,,-1.79,1.7,-0.09,64.91,58.5,6.41
150,UTSA,CUSA,,16,15,59.9,58.7,1.19,,-1.32,,-5.54,5.41,-0.13,54.85,48.1,6.75
151,Arizona,Pac-12,,10,20,58.1,66.6,-8.5,,7.93,,-2.32,1.76,-0.57,58.53,53.84,4.68
152,St. Bonaventure,A-10,,15,15,59.6,59.8,-0.23,,-0.36,,-5.16,4.56,-0.59,59.76,54.03,5.73
153,Idaho,Big Sky,,14,15,68.8,63.9,4.83,,-1.71,,1.31,-1.95,-0.63,55.81,51.34,4.46
154,Illinois-Chicago,Horizon,,16,14,63.6,59.5,4.17,,-1.81,,-4.04,3.3,-0.74,52.84,48.87,3.97
155,New Mexico State,WAC,,22,8,72,64.6,7.33,,-6.48,,3.08,-4.21,-1.12,58.71,54.69,4.02
156,Indiana State,MVC,,17,13,61.5,59.9,1.6,,-2.16,,-3.98,2.82,-1.16,54.03,49.8,4.23
157,Xavier,Big East,,18,15,63.1,65,-1.85,,0.67,,-2.18,0.99,-1.18,62.31,58.28,4.04
158,Iona,MAAC,,15,15,69,66.3,2.77,,-3.97,,4.31,-5.51,-1.2,70.22,66.29,3.94
159,Cornell,Ivy,,15,13,58.6,57.9,0.68,,-1.9,,-5.86,4.64,-1.22,58.49,54.01,4.48
160,East Tennessee State,Southern,,21,12,68.1,64.5,3.55,,-4.93,,0.7,-2.09,-1.38,63.82,58.77,5.05
161,Cleveland State,Horizon,,19,13,70.3,71.3,-1.03,,0.19,,3.99,-5.54,-1.54,61.49,57.99,3.49
162,San Jose State,MWC,,15,17,78.5,78.3,0.19,,-1.15,,12.36,-13.92,-1.57,59.68,57.29,2.39
163,Cal Poly,Big West,,15,14,67.3,67,0.31,,-1.9,,2.76,-4.35,-1.59,59.23,56.53,2.69
164,Cal State Bakersfield,WAC,,23,9,73.3,66.9,6.41,,-7.52,,5.68,-7.3,-1.62,61.23,58.55,2.68
165,North Dakota,Big Sky,,17,15,70.6,66.4,4.16,,-3,,1.8,-3.43,-1.63,57.2,54.52,2.68
166,Marshall,CUSA,,17,15,66.1,62.1,4,,-2.18,,-2.1,0.4,-1.71,57.88,53.61,4.27
167,Virginia Commonwealth,A-10,,16,14,62.2,61.7,0.57,,-2.32,,-3.56,1.8,-1.76,57,52.5,4.5
168,Yale,Ivy,,13,15,58.6,60.7,-2.11,,0.07,,-5.56,3.78,-1.78,56.36,53.12,3.24
169,Samford,Southern,,15,15,59.4,57.4,2,,-2.98,,-6.28,4.48,-1.8,58.55,53.86,4.69
170,IU Indy,Summit,,15,16,66.9,64.1,2.87,,-1.26,,-2,0.08,-1.91,57.09,54.15,2.94
171,UT Arlington,Sun Belt,,17,13,59,53.1,5.87,,-4.26,,-8.9,6.82,-2.08,50.43,46.56,3.87
172,Western Illinois,Summit,,17,13,72.4,66.1,6.33,,-5.79,,2.85,-5,-2.15,59.29,56.89,2.4
173,Montana State,Big Sky,,15,15,67.9,68,-0.13,,-0.78,,1.31,-3.47,-2.17,55.64,53.05,2.59
174,Louisiana,Sun Belt,,23,12,62.4,58.9,3.49,,-5.22,,-5.95,3.76,-2.19,53.16,49.09,4.07
175,Clemson,ACC,,9,21,58.9,71.1,-12.17,,9.8,,-2.07,-0.3,-2.37,61.34,59.48,1.85
176,Oral Roberts,Summit,,18,16,63.4,64,-0.59,,0.24,,-3.56,1.18,-2.39,53.92,51.32,2.6
177,SIU Edwardsville,OVC,,19,12,69.7,65.3,4.35,,-6.83,,1.02,-3.5,-2.47,64.23,61.48,2.75
178,Bucknell,Patriot,,18,12,61.1,57.9,3.17,,-4.81,,-4.12,1.59,-2.53,61.64,58.22,3.42
179,William & Mary,CAA,,15,16,62.9,62.2,0.65,,-3.17,,-1.77,-0.76,-2.53,57.96,54.77,3.2
180,UCF,AAC,,9,21,62.9,68.9,-6.03,,3.42,,0.41,-3.02,-2.61,59.81,57.21,2.6
181,Southern Methodist,AAC,,7,23,55.5,66.1,-10.57,,7.91,,-4.52,1.86,-2.66,54.84,52.61,2.23
182,Stony Brook,AmEast,,17,14,60.3,57.3,2.97,,-5.68,,-5.56,2.88,-2.68,65.91,62.85,3.06
183,Rhode Island,A-10,,17,13,57.9,59.3,-1.37,,-1.35,,-7.23,4.51,-2.71,57,54.57,2.43
184,Siena,MAAC,,22,13,61.7,59.3,2.4,,-5.21,,-5.29,2.48,-2.81,59.05,56.9,2.15
185,Troy,Sun Belt,,20,11,76.2,73.6,2.55,,-5.5,,10.32,-13.27,-2.95,58.23,55.09,3.14
186,Southern Illinois,MVC,,17,13,66.2,67,-0.83,,-2.14,,0.35,-3.32,-2.97,66.22,64.35,1.88
187,Northern Kentucky,A-Sun,,19,14,62.6,62.3,0.36,,-2.78,,-4.17,1.11,-3.06,56.99,55.05,1.94
188,Stephen F. Austin,Southland,,23,8,70.1,63.1,7,,-8.24,,0.51,-3.57,-3.07,57.35,54.54,2.82
189,Massachusetts,A-10,,12,18,60.8,64.9,-4.17,,1.03,,-1.93,-1.2,-3.13,59.84,58.51,1.33
190,Santa Clara,WCC,,11,18,65.7,68.3,-2.59,,1.2,,0.03,-3.16,-3.13,54.65,53.94,0.71
191,Furman,Southern,,19,14,68.2,65.9,2.24,,-3.99,,1.67,-4.83,-3.16,62.21,59.23,2.98
192,Nevada-Las Vegas,MWC,,13,17,70.3,71.7,-1.37,,-1.8,,4.77,-7.94,-3.16,59.4,58.53,0.88
193,Hartford,AmEast,,16,17,58.5,59.9,-1.39,,-1.82,,-6.42,3.21,-3.21,60.19,58,2.19
194,Mercer,Southern,,20,15,66.8,64,2.77,,-5.98,,0.01,-3.22,-3.21,66.62,63.52,3.09
195,Northern Illinois,MAC,,12,17,54.8,55.8,-1,,-2.27,,-10.32,7.05,-3.27,55.37,54.94,0.43
196,Harvard,Ivy,,14,14,65.1,69.7,-4.57,,1.21,,2.59,-5.96,-3.37,65.81,63.54,2.28
197,Texas Southern,SWAC,,19,11,64.1,56.4,7.7,,-11.59,,-3,-0.62,-3.62,56.23,53.58,2.65
198,San Diego State,MWC,,12,19,57.1,74.8,-4.67,,0.59,,-7.6,3.83,-3.77,50.75,51.86,-1.11
199,Cal State Fullerton,Big West,,13,19,59.7,62.6,-2.94,,-1.1,,-5.3,1.27,-4.03,60.71,61.77,-1.06
200,Navy,Patriot,,17,14,55.8,54.3,1.55,,-5.02,,-10.2,6.12,-4.08,54.56,54,0.56
201,Jacksonville State,OVC,,19,10,65,59.6,5.41,,-9.66,,-4.77,0.52,-4.25,58.88,57.38,1.51
202,Rice,CUSA,,9,21,61.9,65.2,-3.3,,-1.01,,-2.32,-1.99,-4.31,55.01,54.31,0.7
203,Kennesaw State,A-Sun,,17,13,63.4,62.5,0.9,,-5.24,,-3.92,-0.42,-4.34,61.96,60.8,1.16
204,Holy Cross,Patriot,,15,17,62.1,63.7,-1.63,,-2.74,,-2.57,-1.8,-4.37,59.84,59.27,0.57
205,La Salle,A-10,,15,16,62,65.2,-3.23,,-1.26,,-1.83,-2.66,-4.49,58.5,58.51,-0.01
206,UTEP,CUSA,,12,16,65.7,67,-1.32,,-2.03,,0.5,-5.2,-4.7,58.44,58.63,-0.2
207,Robert Morris,NEC,,17,15,66.6,64,2.56,,-7.39,,-2.7,-2.14,-4.83,61.78,61.65,0.13
208,Dartmouth,Ivy,,14,14,55.8,58.7,-2.93,,-2.22,,-8.28,3.13,-5.15,53.86,55.48,-1.63
209,Marquette,Big East,,9,22,67.4,77.9,-10.55,,5.38,,4.67,-9.84,-5.17,61.46,62.05,-0.59
210,Detroit Mercy,Horizon,,12,18,64.5,66.2,-1.7,,-0.9,,-2.62,-2.64,-5.26,56.14,58.21,-2.07
211,Bryant,NEC,,22,9,70.6,66.2,4.42,,-9.72,,0.89,-6.2,-5.3,64.24,65.01,-0.77
212,Georgetown,Big East,,4,27,63.2,73.4,-10.19,,4.89,,0.76,-6.06,-5.3,59.28,60.03,-0.75
213,Providence,Big East,,6,24,60.6,70.2,-9.6,,4.18,,-3.45,-1.98,-5.42,58.25,59.44,-1.19
214,North Carolina A&T,MEAC,,20,11,60.9,54,6.84,,-10.08,,-8.69,3.15,-5.54,51.47,48.2,3.28
215,Tennessee State,OVC,,18,13,66.9,68.2,-1.32,,-4.23,,-1.37,-4.19,-5.55,57.31,57.48,-0.17
216,Niagara,MAAC,,14,17,62.7,62.5,0.23,,-5.83,,-3.28,-2.33,-5.61,60.49,62.23,-1.74
