,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
18,Arizona State,Pac-12,,22,13,67.8,57.8,10.03,,13.37,,7.52,15.88,23.4,74.38,38.06,36.32
19,DePaul,Big East,,27,8,82.9,70.8,12.11,,10.88,,21.95,1.04,22.99,79.22,45.11,34.11
20,Texas A&M,SEC,,26,10,77.7,68.5,9.17,,13.67,,18.02,4.82,22.83,81.12,45.65,35.47
21,NC State,ACC,,26,9,66.8,57.2,9.54,,12.97,,7.13,15.38,22.51,69.68,34.58,35.11
22,West Virginia,Big 12,,25,12,73.3,61.5,11.86,,10.57,,11.34,11.04,22.39,72.73,37.12,35.61
23,South Florida,AAC,,26,8,75.2,63,12.24,,9.94,,13.87,8.31,22.18,79.67,45.56,34.12
24,Michigan,Big Ten,,23,10,74.9,62.5,12.42,,9.35,,11.99,9.78,21.77,74.28,40.7,33.57
25,Oklahoma,Big 12,,16,15,76,72.7,3.32,,18.06,,17.36,4.03,21.39,73.63,40.68,32.96
26,Green Bay,Horizon,,29,4,65.6,47.4,18.18,,2.77,,1.09,19.85,20.95,68.77,32.91,35.86
27,Marquette,Big East,,24,10,80.2,70.8,9.44,,10.69,,19.92,0.22,20.13,78.07,47.06,31.01
28,Iowa,Big Ten,,24,8,78.7,68.9,9.81,,9.93,,16.39,3.35,19.74,74.11,43.67,30.44
29,Southern California,Pac-12,,20,11,67.7,60.6,7.1,,12.48,,8.18,11.39,19.57,70.46,39.19,31.27
30,Minnesota,Big Ten,,24,9,84.9,74.8,10.12,,9.41,,22.87,-3.34,19.53,78.57,50.04,28.53
31,Georgia Tech,ACC,,20,14,67.5,57.4,10.06,,8.35,,7.72,11.18,18.9,66.47,36.16,30.31
32,Missouri,SEC,,24,8,69.8,61,8.75,,10.09,,7.88,10.97,18.84,73.89,43.3,30.59
33,South Dakota State,Summit,,26,7,78.2,62.2,16,,2.59,,12.93,5.75,18.69,72.08,44.01,28.06
34,Georgia,SEC,,26,7,67,57.6,9.36,,9.22,,5.56,13.02,18.58,62.49,32.73,29.75
35,Miami (FL),ACC,,21,11,71.1,64.1,6.97,,10.84,,10.05,7.76,17.81,66.27,38.11,28.16
36,Virginia Tech,ACC,,23,14,72.2,64.4,7.89,,9.86,,12.94,4.81,17.75,72.58,44.7,27.88
37,Utah,Pac-12,,18,14,71.2,63.8,7.44,,10.14,,10.35,7.23,17.58,69.62,41.48,28.14
38,Michigan State,Big Ten,,19,14,75.1,68.3,6.73,,10.79,,13.26,4.26,17.51,70.6,43.87,26.72
39,Buffalo,MAC,,29,6,78.1,65.1,12.97,,4.3,,13.78,3.49,17.27,67.1,40.87,26.23
40,Rutgers,Big Ten,,20,12,64.9,60,4.91,,11.9,,3.95,12.86,16.81,64.09,37.95,26.14
41,California,Pac-12,,21,11,69,65.9,3.09,,13.53,,9.89,6.74,16.63,72.6,46.06,26.55
42,Texas Christian,Big 12,,23,13,74.8,70.9,3.89,,12.59,,13.64,2.84,16.48,73.42,46.89,26.53
43,Syracuse,ACC,,22,9,73.1,66.6,6.52,,9.81,,13.18,3.14,16.32,72.62,46.3,26.31
44,Central Michigan,MAC,,30,5,82.3,70.8,11.54,,5.54,,16.97,-1.02,15.95,78.03,54.17,23.86
45,Virginia,ACC,,19,14,62.1,61.2,0.91,,14.81,,3.17,12.55,15.72,64.96,39.61,25.35
46,Villanova,Big East,,23,9,67.5,61,6.5,,9.19,,6.63,9.06,15.69,75.24,49.19,26.05
47,Louisiana State,SEC,,19,10,66.3,61.7,4.69,,10.89,,5.06,10.52,15.58,66.08,40.46,25.62
48,Indiana,Big Ten,,23,14,70.1,66.7,3.46,,11.86,,9.32,6,15.31,69.87,45.1,24.76
49,St. John's (NY),Big East,,19,15,65.9,61,4.82,,10.16,,4.97,10.01,14.99,66.45,42.59,23.86
50,Nebraska,Big Ten,,21,11,68.8,63.6,5.16,,9.78,,6.16,8.78,14.94,66.99,43.23,23.76
51,Gonzaga,WCC,,27,6,72.3,59.5,12.82,,2.05,,6.73,8.14,14.87,67.83,43.71,24.12
52,Kentucky,SEC,,15,17,68.1,65.7,2.38,,11.42,,7.54,7.19,14.72,70.77,46.98,23.79
53,Creighton,Big East,,19,13,69.7,67.4,2.25,,12.33,,8.73,5.86,14.58,73.72,50.01,23.71
54,Princeton,Ivy,,24,6,67.6,55.1,12.53,,1.79,,3.96,10.36,14.32,68.27,43.45,24.81
55,Ball State,MAC,,25,7,80.4,66.3,14.09,,1.99,,12.82,1.43,14.25,63.96,43.18,20.79
56,Kansas State,Big 12,,18,16,68,66.6,1.41,,12.59,,7.65,6.35,14,68.87,45.95,22.92
57,Purdue,Big Ten,,20,14,65.4,62.7,2.68,,10.63,,3.51,9.8,13.31,67.24,45.38,21.86
58,Iowa State,Big 12,,14,17,67,67.4,-0.32,,13.55,,5.18,8.05,13.23,66.36,44.63,21.73
59,Alabama,SEC,,20,14,67.8,62.6,5.18,,7.8,,6.01,6.96,12.97,65.39,43.64,21.75
60,Belmont,OVC,,31,4,77.6,59.7,17.91,,-4.23,,9.34,3.49,12.83,72.59,50.64,21.95
61,Drake,MVC,,26,8,82.4,67.4,15,,-0.53,,17.08,-4.48,12.6,74.19,53.34,20.85
62,Dayton,A-10,,23,7,73.3,62.1,11.2,,1.31,,9.75,2.76,12.51,68.45,47.35,21.1
63,Elon,CAA,,25,8,71.2,57.5,13.79,,-0.14,,6,6.45,12.45,59.67,40,19.68
64,South Dakota,Summit,,29,7,74.3,59.4,14.83,,1.13,,6.78,5.66,12.43,66.25,45.78,20.47
65,Quinnipiac,MAAC,,28,6,71.8,58.9,12.88,,-0.88,,6.31,5.7,12.01,65.61,45.94,19.67
66,Auburn,SEC,,14,15,62.4,59.8,2.62,,10.17,,1.14,10.81,11.95,58.04,37.83,20.21
67,Florida Gulf Coast,A-Sun,,31,5,78.2,60.4,17.75,,-4.02,,9.56,2.36,11.92,65.63,46.09,19.54
68,Western Kentucky,CUSA,,24,9,75.3,63.5,11.85,,0.41,,9.78,2.1,11.88,70.77,49.96,20.81
69,Wake Forest,ACC,,14,17,66.2,65.4,0.77,,10.36,,6.1,5.03,11.13,65.75,46.17,19.58
70,Washington State,Pac-12,,10,20,65.9,69.8,-3.87,,14.86,,6.91,4.08,10.99,63.33,44.86,18.47
71,Georgetown,Big East,,16,16,64.3,61.8,2.47,,8.46,,2.25,8.68,10.93,62.43,45.11,17.32
72,IU Indy,Horizon,,22,10,68.8,58,10.81,,0.68,,4.04,6.74,10.77,64.93,46.75,18.18
73,Mercer,Southern,,30,3,70.7,54.9,15.79,,-5.34,,4.5,5.95,10.45,68.21,47.21,21.01
74,Colorado,Pac-12,,15,16,69.5,68.9,0.68,,11.38,,8.12,2,10.11,62.67,46.36,16.31
75,Pennsylvania,Ivy,,22,9,65.5,54.9,10.65,,1.18,,-0.62,10.67,10.04,60.06,42.58,17.48
76,UCF,AAC,,22,11,60,56.4,3.61,,6.14,,-2.51,12.25,9.74,55.99,38.06,17.93
77,New Mexico,MWC,,25,11,80.4,70.7,9.69,,0.58,,14.25,-4.86,9.38,66.26,50.3,15.96
78,Wright State,Horizon,,23,11,72.4,61.1,11.35,,0.51,,6.72,2.2,8.92,62.28,47.05,15.23
79,North Carolina,ACC,,15,16,73,73.8,-0.81,,9.53,,12.84,-4.11,8.73,68.05,51.88,16.17
80,Seton Hall,Big East,,16,16,66.3,65.3,1.03,,7.63,,4.85,3.81,8.67,62.2,47.61,14.59
81,UC Davis,Big West,,28,7,71.8,62.5,9.26,,-0.92,,4.73,3.6,8.34,65.35,49.79,15.56
82,Saint Mary's,WCC,,20,11,71.5,66.3,5.19,,2.98,,6.39,1.79,8.18,66.08,50.79,15.28
83,Penn State,Big Ten,,16,16,68.7,69.5,-0.78,,8.55,,7.12,0.65,7.77,65.06,50.99,14.07
84,Western Illinois,Summit,,22,10,81.1,66.7,14.44,,-2.25,,11.68,-3.97,7.72,57.87,45.96,11.91
85,Drexel,CAA,,27,8,63.4,55.2,8.17,,-0.57,,-1.4,9.01,7.61,62.01,46.37,15.64
86,James Madison,CAA,,23,11,63.9,57.8,6.15,,1.38,,0.04,7.49,7.53,58.33,43.36,14.97
87,Cincinnati,AAC,,19,13,66.5,62.9,3.53,,4.83,,1.78,5.63,7.41,57.76,44.45,13.31
88,Butler,Big East,,15,17,64.5,65.3,-0.75,,7.87,,2.59,4.53,7.12,61.05,48.26,12.8
89,Duquesne,A-10,,25,8,69.8,63.3,6.48,,0.35,,4.29,2.55,6.83,64.68,51.39,13.29
90,Northern Colorado,Big Sky,,26,7,70.2,63.9,6.33,,0.46,,3.28,3.52,6.8,63.47,50.06,13.41
91,Houston,AAC,,20,12,73.7,70.9,2.78,,3.81,,11.12,-4.53,6.59,60.44,48.14,12.3
92,Pittsburgh,ACC,,10,20,59.3,63.2,-3.9,,10.06,,-1.07,7.23,6.16,56.32,44.82,11.5
93,Miami (OH),MAC,,21,11,69.3,64,5.25,,0.82,,2.62,3.45,6.07,64.07,51.81,12.26
94,Kansas,Big 12,,12,18,62,67.5,-5.5,,11.41,,1.09,4.83,5.91,59.82,47.53,12.29
95,Fordham,A-10,,24,10,60.9,56.1,4.76,,1.07,,-3.89,9.73,5.84,59.89,47.25,12.65
96,Florida,SEC,,11,19,65.6,68.8,-3.17,,8.97,,3.37,2.43,5.81,63.25,51.75,11.5
97,George Mason,A-10,,24,10,69.6,61.4,8.15,,-2.44,,3.95,1.76,5.71,60.48,48.63,11.86
98,Washington,Pac-12,,7,23,67.1,76,-8.9,,14.54,,7.11,-1.47,5.64,64.65,53.99,10.66
99,George Washington,A-10,,19,14,59.7,58.5,1.21,,4.37,,-4.77,10.36,5.58,59.49,47.38,12.1
100,Missouri State,MVC,,21,12,69.2,63.5,5.67,,0.38,,5.14,0.27,5.41,63.04,51.88,11.16
101,Maine,AmEast,,23,10,65.5,56.6,8.88,,-0.91,,-1.09,6.4,5.32,58.03,46.17,11.86
102,Northwestern,Big Ten,,12,20,61.8,65.4,-3.56,,8.86,,0.31,4.99,5.3,60.25,49.73,10.52
103,Boise State,MWC,,23,10,68.4,61.8,6.61,,0.6,,2.08,3.1,5.18,56.76,46.53,10.23
104,Brigham Young,WCC,,16,14,66.6,62.9,3.67,,1.44,,1.99,3.12,5.11,57.59,46.51,11.08
105,Mississippi,SEC,,12,19,65.6,68.8,-3.23,,8.08,,3.08,1.78,4.86,59.81,49.5,10.31
106,UAB,CUSA,,27,7,71.5,61.5,9.97,,-2.71,,5.16,-0.33,4.83,62.42,51.12,11.3
107,Little Rock,Sun Belt,,23,10,59.7,53.8,5.88,,-1.24,,-7.35,11.98,4.64,56.38,43.72,12.66
108,Texas State,Sun Belt,,23,10,70.4,58.2,12.24,,-7.63,,2.24,2.38,4.62,62.71,50.85,11.86
109,Milwaukee,Horizon,,21,12,65.5,61,4.52,,-0.05,,0.13,4.34,4.46,59.68,49.89,9.79
110,Nevada-Las Vegas,MWC,,19,12,67.9,66.6,1.29,,3.15,,2.24,2.2,4.44,59.18,49.04,10.15
111,Navy,Patriot,,25,8,64.7,54,10.73,,-5.77,,-2.98,7.3,4.33,51.15,42.18,8.98
112,Tulane,AAC,,14,17,62.8,66.6,-3.81,,8.1,,0.49,3.8,4.29,54.24,46.58,7.65
113,Northern Iowa,MVC,,19,14,63.3,58.1,5.27,,-0.37,,-2.91,7.04,4.13,54.93,45.1,9.84
114,Loyola Marymount,WCC,,19,11,69.4,65.3,4.1,,0.88,,3.73,0.29,4.02,56,47.33,8.66
115,Wyoming,MWC,,22,11,61.5,57.2,4.3,,1.13,,-5.45,9.39,3.94,53.97,44.65,9.32
116,Saint Louis,A-10,,17,16,71.9,70.6,1.3,,2.56,,8.23,-4.37,3.87,65.34,56.04,9.3
117,Wisconsin,Big Ten,,9,21,60.6,66,-5.4,,9.08,,-1.93,5.61,3.68,53.21,47.8,5.41
118,Toledo,MAC,,18,15,67.5,68,-0.45,,4.05,,1.43,2.17,3.59,58.23,49.93,8.3
119,Vanderbilt,SEC,,7,24,69.1,79.2,-10.1,,13.46,,10.01,-6.64,3.36,67.03,58.4,8.63
120,Rice,CUSA,,23,10,65.3,58.1,7.18,,-3.97,,-1.44,4.65,3.21,65.21,54.79,10.42
121,Harvard,Ivy,,18,11,68.3,65.7,2.59,,0.61,,4.12,-0.93,3.19,65.02,56.65,8.36
122,Albany (NY),AmEast,,24,8,68.3,60.2,8.16,,-4.97,,2.5,0.68,3.18,56.96,48.94,8.02
123,American,Patriot,,26,7,64.2,57.8,6.39,,-3.44,,-0.76,3.71,2.96,59.16,51.19,7.97
124,Delaware,CAA,,19,13,65.8,60.4,5.38,,-2.42,,0.52,2.44,2.96,55.65,47.69,7.97
125,Colorado State,MWC,,21,12,61.2,57.6,3.64,,0.45,,-6.19,9.13,2.95,51.32,43.67,7.65
126,Western Michigan,MAC,,18,15,69.9,67.1,2.76,,4.4,,2.15,0.78,2.93,55.51,48.81,6.69
127,Lamar,Southland,,22,8,77.5,62.1,15.4,,-6.59,,4.95,-2.11,2.84,49.82,42.19,7.63
128,Louisiana Tech,CUSA,,19,12,66.6,60.5,6.1,,-2.17,,0.08,2.72,2.8,55.49,46.64,8.85
129,Chattanooga,Southern,,17,13,58.8,56.7,2.13,,0.33,,-5.03,7.5,2.46,57.86,48.95,8.91
130,Middle Tennessee,CUSA,,18,13,57.8,56.4,1.39,,0.91,,-7.83,10.13,2.3,54.36,46.13,8.24
131,San Diego,WCC,,17,15,61.3,62.2,-0.84,,0.85,,-2.44,4.75,2.3,58,51.65,6.35
132,Arkansas,SEC,,13,18,67.2,73.7,-6.48,,8.74,,5.84,-3.59,2.26,59.89,52.07,7.83
133,Saint Joseph's,A-10,,19,15,64.6,62.7,1.82,,0.31,,0.01,2.13,2.14,61.4,54.8,6.6
134,Idaho State,Big Sky,,21,11,71,63,7.94,,-3.32,,0.67,1.31,1.98,54.12,47.63,6.49
135,Nevada,MWC,,19,17,69.8,68.5,1.31,,1.23,,4.98,-3.01,1.97,60.28,54.77,5.51
136,Northern Illinois,MAC,,15,15,77.5,76.5,1.03,,0.9,,10.61,-8.67,1.93,64.8,58.96,5.84
137,Wichita State,AAC,,14,17,65.6,68.9,-3.29,,5.13,,1.41,0.43,1.84,60.82,54.66,6.17
138,Weber State,Big Sky,,21,11,76.2,71.2,4.97,,-3,,8.9,-7.13,1.76,60.42,54.53,5.89
139,Yale,Ivy,,19,13,67.2,64.9,2.31,,-0.72,,2.68,-1.09,1.6,56.2,50.04,6.16
140,Marist,MAAC,,20,14,67.9,61.6,6.29,,-4.9,,1.84,-0.44,1.4,62.3,56.64,5.66
141,East Tennessee State,Southern,,20,13,67.1,64.4,2.73,,-0.72,,1.44,-0.07,1.37,53.98,47.44,6.53
142,Ohio,MAC,,16,15,67.3,67.6,-0.32,,3.25,,1.72,-0.67,1.05,53.48,49.02,4.46
143,Jacksonville,A-Sun,,24,9,68.3,58.9,9.39,,-7.07,,-1.31,2.28,0.97,47.66,43.53,4.13
144,Cleveland State,Horizon,,19,11,67.7,66.5,1.13,,-0.19,,2.59,-1.64,0.95,61.42,55.99,5.43
145,San Francisco,WCC,,16,15,68.7,69.4,-0.65,,1.52,,3.12,-2.25,0.88,58.99,53.98,5.01
146,North Texas,CUSA,,17,14,61.1,56.2,4.9,,-1.66,,-5.72,6.56,0.84,48.32,42.89,5.43
147,Bucknell,Patriot,,22,10,63.2,58.2,5,,-4.23,,-1.91,2.68,0.77,56.83,51.65,5.18
148,Liberty,Big South,,24,10,64.7,55,9.68,,-8.24,,-3.77,4.44,0.67,54.73,47.83,6.9
149,Charlotte,CUSA,,14,16,66,65.5,0.5,,-0.21,,1.43,-1.13,0.29,60.31,55.49,4.81
150,Oral Roberts,Summit,,17,13,68.3,61.8,6.57,,-2.55,,-2.9,2.96,0.06,52.39,48.66,3.74
151,Tulsa,AAC,,10,21,61.9,65.7,-3.87,,3.8,,-1.17,1.17,0,53.91,50.99,2.93
152,Oakland,Horizon,,15,16,70.4,68.5,1.81,,0.08,,5.32,-5.38,-0.05,54.19,50.56,3.64
153,Hartford,AmEast,,19,13,64.6,60.3,4.34,,-4.87,,-1.84,1.77,-0.08,56.47,52.99,3.48
154,Boston College,ACC,,7,23,58.2,68.7,-10.5,,10.29,,-3.07,2.86,-0.21,54.97,52.36,2.61
155,Temple,AAC,,12,19,66.2,72.7,-6.58,,6.31,,5.14,-5.4,-0.27,59.99,56.51,3.48
156,Clemson,ACC,,11,19,50.5,60.3,-9.8,,7.97,,-10.97,10.62,-0.35,45.6,43.72,1.87
157,Pacific,WCC,,15,17,75.2,74.9,0.22,,1.33,,8.62,-9.14,-0.51,61.59,58.4,3.19
158,Southern Methodist,AAC,,10,20,56,61.4,-5.33,,4.73,,-8.15,7.55,-0.6,47.83,44.84,2.99
159,Central Arkansas,Southland,,25,10,62.1,50.9,11.23,,-5.96,,-9.95,9.31,-0.63,51.19,45.46,5.73
160,Xavier,Big East,,10,20,58.6,66.1,-7.43,,6.76,,-4.45,3.78,-0.67,55.39,54.1,1.28
161,Idaho,Big Sky,,19,14,74.8,74.8,0.09,,-0.45,,7.52,-8.32,-0.8,64.9,61.93,2.98
162,Tennessee-Martin,OVC,,19,15,71.9,66.9,4.97,,-3.31,,4,-4.99,-0.99,58.53,55.1,3.43
163,Stephen F. Austin,Southland,,25,7,72.7,57.9,14.78,,-9.93,,0.22,-1.39,-1.18,50.76,46.31,4.45
164,Texas Tech,Big 12,,7,23,62.7,75.2,-12.47,,11.28,,0.74,-1.93,-1.18,56.07,52.65,3.41
165,Fresno State,MWC,,17,15,66.4,67.8,-1.44,,0.23,,1.39,-2.6,-1.21,57.71,55.99,1.72
166,Providence,Big East,,10,21,59.7,66.9,-7.23,,6.01,,-3.78,2.56,-1.22,52.94,52.81,0.13
167,Binghamton,AmEast,,20,12,63.8,57.4,6.41,,-6.11,,-3.55,2.31,-1.24,51.04,48.77,2.28
168,Northeastern,CAA,,16,15,62.3,61.6,0.74,,-2,,-2.85,1.59,-1.26,56.89,54.72,2.16
169,Dartmouth,Ivy,,15,12,65,66,-1.04,,-0.28,,-0.48,-0.84,-1.32,59.38,57.44,1.94
170,Cal State Northridge,Big West,,19,16,65.2,64.5,0.74,,-1.67,,-3.77,2.37,-1.41,55.44,52.85,2.59
171,Kent State,MAC,,13,19,62.3,67,-4.72,,3.19,,-3.19,1.66,-1.53,55.14,54.25,0.89
172,Portland State,Big Sky,,19,13,72.5,70.1,2.44,,-2.18,,2.68,-4.46,-1.78,54.86,53.28,1.58
173,Arizona,Pac-12,,6,24,57.9,70.7,-12.77,,10.88,,-2.64,0.75,-1.89,56.1,56.87,-0.78
174,Eastern Michigan,MAC,,11,20,69.4,71.5,-2.19,,1.45,,2.2,-4.12,-1.92,54.68,53.85,0.82
175,South Alabama,Sun Belt,,21,13,66.7,61.4,5.24,,-6.51,,-2.52,0.46,-2.06,52,49.49,2.51
176,SIU Edwardsville,OVC,,17,15,64.3,63.7,0.66,,-3.24,,-3.28,1.13,-2.15,53.4,52.5,0.91
177,Saint Francis (PA),NEC,,24,10,80,73.2,6.79,,-8.2,,11.33,-13.5,-2.17,57.61,56.42,1.2
178,William & Mary,CAA,,16,14,65.8,65.3,0.47,,-2.68,,-0.14,-2.07,-2.21,55.44,54.82,0.62
179,Richmond,A-10,,14,17,65.3,65.5,-0.19,,-2.07,,-0.59,-1.67,-2.26,51.03,51.37,-0.34
180,Eastern Washington,Big Sky,,17,14,67.7,67.7,0,,-0.77,,-1,-1.31,-2.3,54.53,53.76,0.77
181,Brown,Ivy,,15,12,75.3,73.7,1.59,,-3.26,,7.72,-10.13,-2.41,57.49,57.71,-0.22
182,Youngstown State,Horizon,,16,16,64.1,64.3,-0.13,,0.49,,-1.82,-0.63,-2.44,54.96,54.74,0.23
183,Southern Illinois,MVC,,17,14,64.1,63.4,0.77,,-3.03,,-2.26,-0.45,-2.71,52.89,52.52,0.37
184,East Carolina,AAC,,16,15,65.1,67.5,-2.39,,-0.47,,0.09,-2.94,-2.85,43.23,46.35,-3.12
185,UC Riverside,Big West,,11,22,66.1,70.7,-4.67,,1.76,,0.65,-3.56,-2.91,55.06,54.61,0.46
186,UC Irvine,Big West,,18,14,72,70.4,1.59,,-3.44,,3.35,-6.28,-2.93,52.43,52.75,-0.32
187,Denver,Summit,,16,14,70.6,69.7,0.9,,-2.41,,3.28,-6.28,-2.99,54.26,54.75,-0.49
188,UC Santa Barbara,Big West,,12,17,66.2,68.1,-1.93,,-1.07,,-0.51,-2.5,-3,59.39,60.24,-0.85
189,UTEP,CUSA,,17,14,64.9,64.2,0.74,,-3.75,,-2.37,-0.64,-3.01,56.91,56.72,0.18
190,Radford,Big South,,24,9,60.1,52.9,7.18,,-9.93,,-9.06,5.81,-3.25,47.46,45.43,2.03
191,North Dakota,Big Sky,,12,18,65.5,68.1,-2.53,,1.26,,-2.56,-0.72,-3.28,49.41,49.64,-0.23
192,Illinois,Big Ten,,9,22,61.4,71.9,-10.55,,7.22,,-2.02,-1.31,-3.32,55.48,56.94,-1.46
193,Memphis,AAC,,10,20,58.9,68.8,-9.9,,6.31,,-4.28,0.69,-3.59,52.39,54.28,-1.89
194,Southern Mississippi,CUSA,,15,15,66.6,64.8,1.8,,-2.42,,-0.82,-2.81,-3.63,53.55,53.78,-0.23
195,Bradley,MVC,,13,18,65.8,63.1,2.71,,-5.09,,-2.92,-0.84,-3.76,51.55,53.58,-2.02
196,Troy,Sun Belt,,18,13,81.9,76.3,5.61,,-6.08,,13.64,-17.4,-3.77,53.45,54.09,-0.64
197,Stony Brook,AmEast,,18,12,62.6,57.8,4.77,,-7.03,,-4.77,0.92,-3.85,53.05,53.99,-0.94
198,Coastal Carolina,Sun Belt,,17,14,65.4,61.3,4.13,,-5.86,,-4.06,0.2,-3.86,49.52,49.91,-0.39
199,Jacksonville State,OVC,,19,12,61.5,57.1,4.35,,-5.21,,-9.1,5.21,-3.89,42.52,44.61,-2.09
200,Florida Atlantic,CUSA,,13,15,70,69.6,0.36,,-4.29,,2.83,-6.76,-3.93,53.32,55.12,-1.8
201,Montana State,Big Sky,,16,15,67.2,66.3,0.9,,-3.04,,-1.31,-2.67,-3.97,54.13,55.68,-1.55
202,Montana,Big Sky,,14,17,64.1,65.5,-1.42,,-2,,-4,0,-4,54.07,55.63,-1.56
203,Robert Morris,NEC,,25,8,61.6,54.1,7.52,,-11.67,,-10.19,6.04,-4.14,47.77,48.23,-0.46
204,Akron,MAC,,9,21,64.8,69.1,-4.3,,2.37,,-2.07,-2.08,-4.15,48.32,50.08,-1.76
205,Cal State Bakersfield,WAC,,18,14,60.4,56.5,3.88,,-7.03,,-9.63,5.14,-4.5,45.66,47.05,-1.39
206,Seattle,WAC,,18,15,68.2,68.5,-0.36,,-4.17,,0.42,-4.96,-4.54,55.77,57.39,-1.63
207,North Carolina A&T,MEAC,,23,9,66.5,58.3,8.22,,-9.93,,-4.99,0.43,-4.56,40.25,41.51,-1.26
208,New Hampshire,AmEast,,19,12,59.8,57.3,2.52,,-6.71,,-6.46,1.55,-4.91,52.22,54.97,-2.75
209,Illinois State,MVC,,14,16,53.5,54.9,-1.37,,-3.56,,-13.89,8.96,-4.93,44.89,48.33,-3.44
210,Pepperdine,WCC,,10,20,67.1,73.2,-6.1,,1.17,,2,-6.93,-4.93,58.46,61.62,-3.16
211,Davidson,A-10,,12,18,63.1,67.2,-4.07,,-0.94,,-1.53,-3.48,-5.01,50.61,53.3,-2.69
212,Southeast Missouri State,OVC,,14,17,62.8,62.4,0.45,,-3.79,,-6.99,1.98,-5.01,46.38,49.18,-2.8
213,UT Arlington,Sun Belt,,18,12,62.5,62.9,-0.47,,-4.62,,-4.7,-0.39,-5.08,52.31,54.2,-1.88
214,Louisiana,Sun Belt,,17,16,60.4,62.3,-1.85,,-3.56,,-7.12,1.88,-5.25,48.05,49.83,-1.78
215,Hampton,MEAC,,18,14,64.3,62.1,2.19,,-7.72,,-4.63,-0.91,-5.53,43.88,48.3,-4.43
216,Army,Patriot,,17,14,60.9,58.9,2.03,,-5.68,,-7.1,1.49,-5.61,48.09,51.88,-3.79
217,Morehead State,OVC,,21,11,68,65.4,2.66,,-7.32,,0.02,-5.67,-5.66,53.13,57.18,-4.05
218,San Diego State,MWC,,11,19,65.4,69.7,-4.27,,-0.68,,-0.78,-5.15,-5.93,39.3,44.35,-5.05
219,Stetson,A-Sun,,17,15,63.3,61.9,1.44,,-4.57,,-5.88,-0.09,-5.97,48.2,52.03,-3.83
220,Northern Kentucky,Horizon,,9,22,58.1,61.3,-3.19,,-0.14,,-8.14,2.1,-6.04,47.75,52.06,-4.31
221,Hawaii,Big West,,12,18,63,68.7,-5.67,,0.06,,-3.61,-2.54,-6.15,52.62,57.54,-4.92
222,Samford,Southern,,15,16,57.9,62.3,-4.39,,-1.24,,-8.78,2.58,-6.2,46.31,50.15,-3.84
223,Massachusetts,A-10,,14,16,68,63.8,4.27,,-5.49,,-3.36,-2.88,-6.24,49.08,53.36,-4.28
224,Siena,MAAC,,17,14,61.2,61.3,-0.03,,-6.26,,-6.31,0.01,-6.29,48.84,53.84,-5
225,Columbia,Ivy,,8,21,62.2,70.9,-8.72,,2.31,,-1.8,-4.61,-6.41,54.64,60.31,-5.68
226,Bethune-Cookman,MEAC,,24,7,63.1,57,6.16,,-11.21,,-8.83,2.35,-6.48,38.55,41.76,-3.21
227,Cal Poly,Big West,,17,12,71.4,73.6,-2.17,,-3.08,,3.69,-10.19,-6.51,53.08,57.01,-3.92
