,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,AAC,,36,1,89.4,53.4,36.05,,13.63,,29.01,20.68,49.69,93.58,23.7,69.88
2,Baylor,Big 12,,33,2,86.1,56.1,29.97,,12.61,,25.42,17.16,42.58,88.61,27.54,61.07
3,Mississippi State,SEC,,37,2,81.1,56.4,24.74,,13.06,,21.68,16.13,37.81,87.77,31.25,56.52
4,Notre Dame,ACC,,35,3,85.1,67.8,17.34,,18.86,,27.82,8.39,36.21,89.75,37.39,52.36
5,Louisville,ACC,,36,3,76.7,57.1,19.69,,15.01,,17.53,17.17,34.7,83.15,31.36,51.79
6,Oregon,Pac-12,,33,5,82.4,63.6,18.82,,14.58,,22.23,11.2,33.42,88.53,38.56,49.97
7,Texas,Big 12,,28,7,80.7,64.1,16.66,,15.59,,21.77,10.48,32.25,81.35,34.3,47.05
8,UCLA,Pac-12,,27,8,75.5,63.5,11.94,,17.03,,17.01,11.96,28.97,79.59,35.95,43.64
9,Florida State,ACC,,26,7,81,64.3,16.7,,11.23,,21.63,6.3,27.93,83.79,42.07,41.72
10,Ohio State,Big Ten,,28,7,85,71.1,13.89,,13.62,,24.97,2.54,27.51,82.26,42.45,39.81
11,South Carolina,SEC,,29,7,75.2,61.2,14.03,,13.31,,15.89,11.45,27.34,74.87,35.87,38.99
12,Tennessee,SEC,,25,8,77.6,64.3,13.27,,13.19,,17.14,9.32,26.47,72.99,34.15,38.84
13,Oregon State,Pac-12,,26,8,72.6,58.9,13.76,,12.48,,12.01,14.23,26.24,75.02,36.48,38.54
14,Maryland,Big Ten,,26,8,79.6,64.1,15.5,,10.1,,18.31,7.28,25.6,79.25,41.26,37.99
15,Duke,ACC,,24,9,68.8,56.3,12.48,,11.59,,9.13,14.94,24.07,73.62,35.51,38.11
16,Oklahoma State,Big 12,,21,11,78.3,67.6,10.72,,12.89,,17.76,5.85,23.61,77.3,41.74,35.56
17,Stanford,Pac-12,,24,11,68.7,62.7,6.09,,17.47,,10.45,13.11,23.56,72.16,34.99,37.17
