,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
1,Connecticut,Big East,,37,3,81.7,52.2,29.55,36.44,16.12,14.43,24.78,20.89,45.67,128.11,64.58,63.53,68.2
2,South Carolina,SEC,,35,4,79.1,58,21.1,27.45,23.4,21.97,23.41,21.09,44.5,122.67,63.46,59.2,68.14
3,Texas,SEC,,35,4,77.8,56.2,21.69,27.78,19.32,20.85,20.35,20.67,41.02,119.77,65.41,54.36,63.68
4,Notre Dame,ACC,,28,6,84.4,61.9,22.47,28.15,17.36,19.58,26.02,13.81,39.83,118.37,67.21,51.17,63.19
5,Southern California,Big Ten,,31,4,80.7,59.4,21.29,33.89,18.18,13.55,23.05,16.42,39.46,116.36,64.67,51.69,58.67
6,UCLA,Big Ten,,34,3,77.9,58.6,19.27,19.66,18.68,19.11,20.34,17.61,37.95,120.05,69.17,50.88,50.31
7,Duke,ACC,,29,8,72.5,56.5,15.97,14.36,19.44,20.05,14.82,20.59,35.41,112.28,64.91,47.37,45.57
8,Louisiana State,SEC,,31,6,84.8,65.7,19.05,19.12,16.25,15.13,24.86,10.45,35.31,116.76,72.25,44.5,45.05
9,Tennessee,SEC,,24,10,86.6,70.1,16.53,17.26,17.33,16.84,27.62,6.23,33.85,118.36,75.83,42.53,42.43
10,Oklahoma,SEC,,27,8,84.7,68.9,15.77,17.68,17.64,14.78,26.54,6.87,33.41,113.82,71.59,42.23,43.25
11,Kansas State,Big 12,,28,8,78.9,58.9,20.08,18.61,13.15,13.09,20.07,13.17,33.23,118.47,73.19,45.28,42.4
12,Texas Christian,Big 12,,34,4,76.7,57.6,19.08,19.89,13.86,11.73,17.58,15.36,32.94,121.85,76.18,45.68,42.17
13,West Virginia,Big 12,,25,8,75.1,55.7,19.39,17.91,12.73,13.52,15.46,16.66,32.12,112.23,69.38,42.85,41.68
14,Mississippi,SEC,,22,11,75.3,59.1,16.18,14.94,15.01,16.29,15.22,15.96,31.19,113.89,72.05,41.85,40.18
15,NC State,ACC,,28,7,76.9,65.1,11.77,13.94,18.45,17.25,19.82,10.4,30.22,115.7,75.74,39.96,42.32
16,Baylor,Big 12,,28,8,77.4,60.3,17.17,15.3,12.62,15.84,17.55,12.23,29.78,112.4,72.63,39.77,43.16
17,Ohio State,Big Ten,,26,7,78.3,63.7,14.58,11,15.49,19.88,18.18,11.56,29.74,111.65,73.27,38.39,41.27
18,Alabama,SEC,,24,9,79.3,64.3,15.03,15.97,14.19,14.91,18.43,10.79,29.22,114.29,76.02,38.28,41
19,Kentucky,SEC,,23,8,75.9,63.4,12.52,15.58,16.49,13.87,16.44,12.57,29,112.89,75.04,37.85,39.13
20,Vanderbilt,SEC,,22,11,83.3,69.1,14.21,11.94,14.68,16.36,23.74,5.16,28.9,118.09,81.06,37.03,36.74
21,Michigan State,Big Ten,,22,10,78.1,64.1,13.94,13.06,14.84,15.14,17.99,10.78,28.77,110.89,73.85,37.04,36.81
22,Florida State,ACC,,24,9,86.9,71.7,15.21,6.8,13.1,20.36,26.33,1.98,28.31,116.86,81.03,35.83,35.33
23,North Carolina,ACC,,29,8,69.6,57.3,12.35,5.5,15.85,21.27,10.68,17.52,28.2,108.14,70.46,37.68,36.22
24,Michigan,Big Ten,,23,11,77.5,66.3,11.24,11.34,16.87,15.32,17.92,10.18,28.1,113.17,76.9,36.28,36.12
25,Iowa,Big Ten,,23,11,74.4,65.8,8.65,9.63,18.4,16.46,14.92,12.13,27.05,111.23,75.08,36.15,34.36
26,Maryland,Big Ten,,25,8,80.5,70.5,10.03,9.36,16.33,16.43,22.25,4.11,26.37,116.83,82.28,34.56,35.66
27,Utah,Big 12,,22,9,76.4,63.5,12.9,8.43,13.2,17.02,16.39,9.72,26.1,113.83,79.04,34.79,34.81
28,Oklahoma State,Big 12,,25,7,76.4,60.4,16.03,8.75,8.95,16.66,14.85,10.13,24.98,108.97,76.17,32.79,33.93
29,Georgia Tech,ACC,,22,11,76.1,64.6,11.42,16.85,13.1,10.12,15.88,8.65,24.52,113.08,80.87,32.21,33.28
30,Indiana,Big Ten,,20,13,69.9,64.2,5.76,10.44,17.77,14.19,11.74,11.78,23.52,109.5,78.26,31.24,32.92
31,Mississippi State,SEC,,22,12,75,64.1,10.85,14.41,12.58,9.35,14.63,8.8,23.43,109.11,78.13,30.98,31.86
32,Illinois,Big Ten,,22,10,70.3,61.7,8.66,10.26,14.71,13.36,11.13,12.23,23.36,110.81,78.55,32.26,31.92
33,Iowa State,Big 12,,23,12,76.8,67.2,9.57,11.44,13.35,11.9,17.02,5.9,22.92,113.7,83.38,30.33,31.06
34,Oregon,Big Ten,,20,12,68,63.1,4.94,11.65,17.88,11.59,9.79,13.03,22.82,106.26,76.03,30.22,30.81
35,Louisville,ACC,,22,11,71.8,67.5,4.3,9.94,18.31,11.38,13.37,9.24,22.61,110.43,80.42,30.01,28.74
36,California,ACC,,25,9,72.9,64.4,8.5,10,14.01,10.97,12.99,9.52,22.51,108.48,78.95,29.52,28.92
37,Minnesota,Big Ten,,25,11,73.4,61.5,11.97,10.94,10.06,9.22,12.51,9.53,22.04,110.72,81.02,29.7,26.12
