,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
38,Nebraska,Big Ten,,21,12,75.5,68.2,7.27,7.71,14.71,12.25,16.37,5.61,21.98,113.85,84.33,29.53,26.12
39,Creighton,Big East,,26,7,71.7,63.6,8.06,9.06,13.79,10.88,13.84,8.02,21.85,114.21,83.75,30.46,25.87
40,Washington,Big Ten,,19,14,72.1,64.4,7.73,6.65,12.9,13.1,11.4,9.23,20.63,112.39,84.79,27.61,26.36
41,Richmond,A-10,,28,7,72,57.5,14.46,6.45,5.2,13.06,9.6,10.06,19.65,112.2,84.17,28.03,25.09
42,Florida,SEC,,19,18,74.6,71.3,3.35,8.61,14.31,10.06,14.6,3.06,17.66,107.25,84.17,23.08,25.62
43,Virginia Tech,ACC,,19,13,74.8,69.3,5.44,7.29,12.11,11.11,14.74,2.81,17.55,108.93,86.1,22.83,25.5
44,Stanford,ACC,,16,15,72.7,69.3,3.45,5.94,13.91,11.74,13.2,4.16,17.36,109.23,86.44,22.79,23.55
45,Harvard,Ivy,,24,5,68.8,52.9,15.9,12.89,1.02,4.63,5.38,11.53,16.91,102.89,78.59,24.3,23.71
46,South Dakota State,Summit,,30,4,75.7,62.4,13.26,6.69,4.69,12.35,10.21,6.54,16.75,109.44,86.28,23.16,23.29
47,Columbia,Ivy,,24,7,72.6,59.2,13.42,13.06,2.92,3.75,11.29,5.05,16.34,109.32,86.29,23.03,22.68
48,Auburn,SEC,,12,18,67.7,64.7,3,12.65,15.84,4.15,6.3,9.47,15.77,100.99,80.53,20.46,23.6
49,Murray State,MVC,,25,8,86.8,72.7,14.15,2.38,1.55,14.35,20.84,-5.13,15.7,111.18,91.87,19.31,22.01
50,Clemson,ACC,,14,17,66,64,1.97,5.71,13.21,10.98,5.47,9.71,15.18,105.6,85.35,20.25,22.25
51,Colorado,Big 12,,21,13,68.6,64.5,4.03,4.94,11.14,11.75,8.6,6.57,15.17,104.69,84,20.69,21.67
52,George Mason,A-10,,27,6,73.3,57.8,15.42,14.35,0.98,2.27,8.64,6.53,15.16,105.87,85.09,20.79,23.3
53,Nevada-Las Vegas,MWC,,26,8,75,62.4,12.62,6.16,2.52,10.46,10.19,4.95,15.14,107.81,87.05,20.76,21.66
54,Belmont,MVC,,26,13,71.1,63.5,7.56,1.22,7.31,15.22,7.39,7.49,14.87,102.05,82.18,19.87,21.31
55,Arizona,Big 12,,19,14,67.9,63.1,4.85,11.63,9.94,4.65,5.36,9.43,14.79,99.03,79.64,19.39,22.84
56,Missouri,SEC,,14,18,68.6,67.7,0.91,-2.85,13.21,17.53,7.75,6.37,14.12,105.18,87.46,17.71,19.24
57,Marquette,Big East,,21,11,67.1,59.2,7.88,2.5,6.93,12.83,4.52,8.76,13.28,97.99,80.11,17.88,19.19
58,Texas Tech,Big 12,,19,18,63.7,63.2,0.49,13.09,12.67,1.78,3.14,10.03,13.16,98.5,80.93,17.57,19.39
59,Virginia,ACC,,17,15,70.1,67.5,2.59,18.62,10.55,-4.04,9.18,3.96,13.14,101.83,84.99,16.84,18.81
60,Middle Tennessee,CUSA,,26,9,64,52.2,11.8,9.15,1,3.97,-1.48,14.28,12.8,95.66,77.72,17.94,18.02
61,Saint Joseph's,A-10,,24,10,69,56.4,12.59,3.34,1.95,9.15,5.35,7.39,12.74,103.62,85.11,18.52,16.4
62,Penn State,Big Ten,,10,19,72.1,71.7,0.45,-0.12,12.27,12.39,11.98,0.74,12.72,102.12,86.51,15.6,15.99
63,Boston College,ACC,,16,18,73.1,70.9,2.18,8.66,10.47,3.55,12.85,-0.2,12.65,104,87.89,16.11,16.82
64,Princeton,Ivy,,21,8,66.7,57.2,9.48,4.63,3.14,8.69,4.38,8.24,12.62,104.35,85.76,18.59,15.82
65,Grand Canyon,WAC,,32,3,76.7,57.2,19.51,-2.8,-4.59,14.78,7.01,5.37,12.38,102.75,85.89,16.87,16.03
66,Villanova,Big East,,21,15,63.8,64.5,-0.69,3.94,12.93,7.74,5.59,6.64,12.23,101.88,85.63,16.25,14.9
67,Kansas,Big 12,,16,14,65.7,66.8,-1.07,18.55,13.21,-6.93,5.61,6.54,12.14,103.02,87,16.02,16.1
68,Montana State,Big Sky,,30,4,71.9,55.9,15.94,-4.15,-1.73,15.54,4.69,7.36,12.05,98.84,82.88,15.96,14.92
69,Missouri State,MVC,,26,9,73.8,63.7,10.09,7.21,1.77,4.05,7.57,4.29,11.85,101.17,85.69,15.49,16.19
70,James Madison,Sun Belt,,30,6,73.1,63.5,9.56,-4.15,2.2,15.2,8.17,3.59,11.76,99.81,84.21,15.6,14.34
71,Syracuse,ACC,,12,18,70.5,71.4,-0.9,9.83,12.38,1.21,9.92,1.56,11.48,102.92,88.07,14.85,14.6
72,Drake,MVC,,22,12,78,70,7.97,-3.56,3.48,14.51,12.92,-1.47,11.45,106.27,91.15,15.12,13.81
73,South Florida,AAC,,23,11,66,61.6,4.35,11.23,7,0.38,3.89,7.46,11.35,101.6,86.43,15.17,15.33
74,St. John's (NY),Big East,,16,15,60.5,56.6,3.87,10.06,7.43,1.66,0.78,10.52,11.3,100.64,84.3,16.34,14.47
75,Seton Hall,Big East,,23,10,62.3,58.9,3.39,11.45,7.83,0.49,2.07,9.15,11.23,97.93,82.48,15.45,11.45
76,Ball State,MAC,,27,8,72.5,60.5,12.06,7.33,1.06,2.59,6.13,5.08,11.21,99.26,84.84,14.42,13.69
77,Miami (FL),ACC,,14,15,69.2,70.8,-1.59,12.8,12.35,-0.95,7.98,2.78,10.77,103.42,89.77,13.65,12.56
78,Brigham Young,Big 12,,13,17,67.9,68.6,-0.7,-7.79,11.42,17.22,7.72,3.01,10.72,100.19,85.83,14.37,12.65
79,Florida Gulf Coast,A-Sun,,30,4,71.7,54,17.74,11.62,-5.26,1.34,1.99,8.53,10.52,100.35,84.87,15.48,11.78
80,Cincinnati,Big 12,,15,14,65.6,67,-1.45,12.7,11.91,-1.23,5.66,4.8,10.46,100.14,85.96,14.18,11.19
81,Fairfield,MAAC,,28,5,71.9,55,16.94,-1.26,-5.72,10.46,4.59,5.7,10.28,100.9,86.3,14.59,12.39
82,Liberty,CUSA,,26,7,72.1,60.2,11.85,6,1.41,4.27,6.14,3.66,9.8,103.13,89.31,13.83,12.1
83,UTSA,AAC,,26,5,66,56.5,9.55,10.16,-0.1,-0.43,1,8.45,9.45,97.45,84.33,13.13,10.19
84,Georgia,SEC,,13,19,63.8,68.2,-4.31,0.16,13.65,8.4,2.96,6.38,9.33,97.31,86.28,11.03,11.24
85,Northern Iowa,MVC,,17,17,74.1,69.4,4.65,-5.55,5.74,14,9.35,-0.13,9.23,102.25,90.44,11.81,10.45
86,Portland,WCC,,31,5,75.7,63.4,12.36,14.24,-1.72,-1.6,9.8,-0.72,9.08,101.96,90.16,11.8,12.12
87,Wyoming,MWC,,22,12,65.1,59,6.15,5.84,3.45,2.48,-0.18,8.97,8.79,98.84,86.34,12.5,11.36
88,Texas A&M,SEC,,10,19,61.5,68.9,-7.41,7.03,16.08,2.81,2.08,6.6,8.67,96.41,86.08,10.33,11.12
89,Green Bay,Horizon,,29,6,68.3,56.5,11.86,11.37,-1.99,-1.28,0.83,7.76,8.59,102.41,88.87,13.54,10.84
90,Wisconsin,Big Ten,,13,17,65.5,71.7,-6.17,-5.56,14.66,13.17,6.51,1.98,8.49,103.14,92.8,10.34,9.81
91,Norfolk State,MEAC,,30,5,74.3,56.6,17.63,11.71,-7.18,-2.78,4.39,3.95,8.34,96.74,86.25,10.49,9.7
92,Wake Forest,ACC,,9,20,61.6,65.9,-4.31,8,12.46,2.26,1.46,6.69,8.15,95.07,84.67,10.4,10.78
93,Rutgers,Big Ten,,13,20,67.8,71.2,-3.39,8.55,11.2,2.35,7.05,0.76,7.81,98.65,89.23,9.43,9.66
94,Southern Methodist,ACC,,10,20,64.6,68.7,-4.13,-3.35,11.69,11.88,3.82,3.74,7.55,96.56,87.25,9.31,9.49
95,Gonzaga,WCC,,24,11,68.4,64.4,4,9.89,3.54,0.6,5.02,2.51,7.54,101.46,91.39,10.07,9.23
96,Northwestern,Big Ten,,9,18,68.2,74.7,-6.56,12.85,14,-6.03,8.71,-1.27,7.44,99.43,89.86,9.57,9.59
97,Colorado State,MWC,,22,10,68.5,60.4,8.03,-1.37,1.29,7.93,2.78,4.51,7.29,101.14,90.72,10.41,8.19
98,Northern Arizona,Big Sky,,27,8,79.3,71.7,7.6,9.26,0.26,-1.65,13.91,-6.8,7.12,102.01,93.43,8.58,8.77
99,Davidson,A-10,,19,14,62.7,57.7,5,0.18,2.93,5.87,-1.2,8.31,7.11,94.86,85.11,9.74,7.33
100,Temple,AAC,,20,11,66.7,62.5,4.19,11.49,2.87,-3.84,3.61,3.45,7.07,93.5,84.71,8.79,6.94
101,Purdue Fort Wayne,Horizon,,27,9,76,60.3,15.69,15.34,-5.38,-6.57,6.19,0.72,6.92,99.31,90.03,9.28,8.3
102,North Texas,AAC,,25,9,69.9,62.7,7.21,-10.52,-0.59,15.94,3.83,2.79,6.62,93.71,85.71,8,6.6
103,Georgetown,Big East,,12,19,62.2,64,-1.74,4.22,10.08,0.97,2.68,3.7,6.38,99.53,91.2,8.34,7
104,Oral Roberts,Summit,,24,9,82.9,73.8,9.12,14.65,1.11,-9.56,14.03,-7.75,6.28,101.19,93.67,7.52,7.99
105,Stephen F. Austin,Southland,,29,6,77.2,62.8,14.37,12.09,-4.99,-4.03,9.49,-3.6,5.89,100.05,92.47,7.58,7.64
106,UCF,Big 12,,12,18,67.7,72.5,-4.87,14.31,10.76,-5.86,6.73,-0.84,5.89,99,91.27,7.72,7.7
107,Arizona State,Big 12,,10,22,70.3,76.9,-6.56,8.47,12.36,-3.49,10.81,-5.02,5.8,101.23,93.89,7.34,6.33
108,Buffalo,MAC,,30,7,73.9,61.3,12.65,-2.81,-4.78,7.76,4.44,1.32,5.76,95.51,88.49,7.02,5.45
109,College of Charleston,CAA,,25,8,74.7,57.8,16.94,6.66,-8.67,-1.76,5,0.74,5.74,95.41,88.57,6.84,6.12
110,San Diego State,MWC,,25,10,68.8,61.6,7.17,7.65,0.9,-1.22,2.41,3.09,5.5,96.64,89,7.64,6.57
111,Purdue,Big Ten,,10,19,63.4,75.3,-11.86,13.17,17.31,-4.86,4.63,0.82,5.44,97.22,91.41,5.8,7.67
112,Butler,Big East,,16,18,62.1,63.6,-1.56,1,6.87,4.75,0.76,4.55,5.31,97.79,91.07,6.72,6.37
113,Pittsburgh,ACC,,13,19,62.5,67,-4.53,-1.16,9.82,5.61,1.29,4,5.29,91.82,85.45,6.37,5.31
114,Rice,AAC,,17,17,65.9,62.9,3.03,15.27,2.13,-6.68,2.01,3.14,5.15,94.17,87.59,6.59,5.7
115,Western Kentucky,CUSA,,23,9,72.7,63.5,9.22,5.94,-2.04,-1.83,6.3,-1.24,5.06,101.22,94.6,6.62,4.59
116,Arkansas,SEC,,10,22,68.2,78.3,-10.09,-4.27,15.13,8.16,7.98,-2.94,5.04,98.99,92.63,6.36,4.51
117,DePaul,Big East,,13,19,65.2,70.4,-5.22,5.79,9.99,-1.9,6.3,-1.54,4.77,97.13,90.52,6.61,4.85
118,Troy,Sun Belt,,24,14,80.1,73.5,6.61,0.13,-0.34,3.5,13.04,-8.33,4.72,98.57,93.06,5.51,4.56
119,Illinois State,MVC,,24,13,76,68.9,7.05,3.53,-1.37,0.02,7.51,-3.02,4.49,104.45,98.79,5.66,4.2
120,Tulane,AAC,,17,13,68.3,65.1,3.27,-0.97,1.17,4.13,3.37,1.06,4.43,91.5,86.31,5.19,3.41
121,Rhode Island,A-10,,17,16,60.2,55.2,5,11.14,-0.58,-3.59,-3.56,7.98,4.42,94.02,88.06,5.96,4.01
122,Vermont,AmEast,,21,13,60.9,52.9,8.06,6.7,-4.39,0.01,-3.45,7.84,4.4,97.89,90.28,7.61,3.14
123,Kent State,MAC,,21,12,73.1,63.3,9.76,5,-1.13,1.63,3.65,0.65,4.3,96.63,91.25,5.39,3.86
124,Lamar,Southland,,22,8,67.5,56.1,11.4,3.97,-4.44,-0.32,-0.9,5.18,4.28,95.34,88.58,6.75,3.06
125,Washington State,WCC,,21,14,66.8,64.6,2.17,4.76,2.83,-1.95,2.68,1.55,4.24,96.24,91.07,5.17,3.07
126,Oregon State,WCC,,19,16,62.4,61.5,0.83,6.42,4.09,-3.4,-1.76,5.88,4.12,93.29,87.95,5.34,4.51
127,Providence,Big East,,13,19,56.2,60,-3.88,11.47,9.08,-4.46,-3.84,7.89,4.05,90.55,85.74,4.81,4.22
128,Cleveland State,Horizon,,27,10,74.5,61.2,13.35,12.24,-5.9,-7.31,4.14,-0.37,3.77,100.28,95.02,5.26,3.03
129,Coastal Carolina,Sun Belt,,23,9,74.3,64.8,9.59,-3.91,-3.79,6.61,5.78,-2.04,3.74,95.77,91.82,3.95,3.21
130,Duquesne,A-10,,21,13,71.9,65.5,6.47,3.53,-1.75,-1.03,6.82,-3.12,3.7,95.87,91.48,4.39,2.86
131,Southeastern Louisiana,Southland,,26,6,64.8,53,11.88,7.52,-6.35,-3.78,-3.44,7.06,3.62,92.2,86.61,5.59,3.43
132,Toledo,MAC,,24,9,69,63.3,5.67,3.65,-0.02,-0.61,0.55,2.65,3.2,95.82,91.95,3.87,2.63
133,Illinois-Chicago,MVC,,15,18,66.3,63.5,2.79,5.63,2.01,-0.05,-1.87,4.87,3.01,94.32,91.15,3.17,1.81
134,Quinnipiac,MAAC,,28,5,67.6,57.7,9.91,11.78,-7.15,-6.83,1.33,1.43,2.76,97.91,93.33,4.58,3.36
135,East Carolina,AAC,,17,15,62.8,61.6,1.19,-11.45,1.53,13.39,-1.5,4.22,2.71,89.33,86.23,3.1,1.6
136,San Francisco,WCC,,15,16,65.2,62.9,2.26,6.66,0.26,-3.13,0.18,2.34,2.52,92.2,89.14,3.06,1.91
137,North Dakota State,Summit,,21,12,69.8,65.3,4.45,4.55,-0.93,-3.16,1.37,0.92,2.29,92.98,90.12,2.86,1.37
138,Boise State,MWC,,18,15,69.5,65.9,3.58,3.97,1.09,-0.35,3.28,-1.03,2.25,95.24,93.07,2.17,1.78
139,Tulsa,AAC,,17,15,67.4,65.3,2.09,10.72,0.11,-4.74,1.31,0.9,2.21,89.49,87.24,2.25,1.97
140,Lehigh,Patriot,,27,7,68.4,58.2,10.12,4.56,-6.75,-2.06,1.63,0.26,1.89,94.87,92.35,2.52,-0.69
141,Bowling Green,MAC,,18,13,71.7,68.1,3.65,1.94,-2.05,-1.39,5.06,-3.46,1.6,99.91,98.13,1.78,0.54
142,New Mexico State,CUSA,,18,16,64.8,63.6,1.26,6.3,1.95,-4.76,-0.02,1.19,1.17,93.56,92.83,0.74,0.51
143,New Mexico,MWC,,18,14,70.4,68.6,1.88,8.74,0.1,-7.4,4.75,-3.66,1.1,94.51,93.55,0.96,-0.13
144,Houston,Big 12,,5,25,58.6,68.5,-9.9,-2.72,10.93,3.16,-1.79,2.82,1.03,90.41,90.25,0.17,0.24
145,Massachusetts,A-10,,17,15,64.3,58.7,5.66,0.94,-4.62,1.83,-1.37,2.4,1.03,90.6,89.11,1.49,0.07
146,Albany (NY),AmEast,,26,7,63.1,53.6,9.48,1.88,-7.43,-0.05,-3.8,4.65,0.85,95.47,93.66,1.82,0.34
147,Arkansas State,Sun Belt,,21,11,72.1,67.6,4.44,0.35,-3.01,1.06,4.49,-3.67,0.83,91.68,91.62,0.07,0.03
148,Tennessee Tech,OVC,,26,6,71.3,63.5,7.75,9.83,-5.87,-7.1,2.4,-1.73,0.67,95.44,94.51,0.93,-0.14
149,Miami (OH),MAC,,19,12,66.5,59.1,7.32,1.84,-4.22,-1.43,-2.81,3.42,0.61,87.91,87.73,0.17,-0.03
150,Virginia Commonwealth,A-10,,12,19,58.1,56.5,1.61,1.55,-1.22,-1.48,-6.58,6.98,0.4,88.86,88.86,0,-0.28
151,Hawaii,Big West,,22,10,59.3,53.1,6.16,-12,-5.94,12.04,-7.57,7.79,0.22,85.93,85.67,0.27,0.42
152,UC Davis,Big West,,21,12,66.5,55.8,10.73,5,-6.65,-3.46,-2.24,2.4,0.16,88.19,88.31,-0.11,0.03
153,Abilene Christian,WAC,,22,13,71.5,61.8,9.74,8.85,-5.04,-8.26,1.12,-1.03,0.09,93.95,94.38,-0.43,-0.45
154,Dayton,A-10,,18,13,63.8,62.5,1.35,-2.06,-1.34,1.69,-0.88,0.9,0.02,89.87,90.4,-0.53,-0.84
155,Idaho,Big Sky,,18,12,65.9,59.9,5.93,2.56,-4.27,-2.02,-2.98,2.74,-0.23,87,87.73,-0.73,-1.16
156,North Carolina A&T,CAA,,19,12,63.5,55.5,8,8.71,-5.95,-5.17,-5.39,5.1,-0.3,89.26,89.88,-0.62,-0.74
157,Old Dominion,Sun Belt,,18,16,67,65.6,1.41,4.27,-0.71,-3.38,0.2,-0.57,-0.37,91.09,92.08,-0.99,-0.84
158,Southern Indiana,OVC,,23,13,71.3,63.4,7.89,2.18,-5.52,-1.21,0.91,-1.55,-0.64,93.61,94.32,-0.71,-0.86
159,UNC Greensboro,Southern,,25,7,63.8,52.4,11.38,5.58,-6.2,-4.37,-6.77,5.85,-0.92,90.03,90.45,-0.41,-0.43
160,Pennsylvania,Ivy,,15,13,65.3,61.6,3.68,17,-1.66,-15.6,-1.75,0.74,-1.01,91.79,93.79,-2,0.71
161,Colgate,Patriot,,23,10,68.1,57.8,10.27,13.73,-9.86,-11.9,-0.68,-0.38,-1.05,95.64,97.38,-1.74,-1.6
162,Louisiana,Sun Belt,,13,16,62.5,61.7,0.79,0.28,-1.17,0.09,-5.37,4.16,-1.21,86.63,88.65,-2.01,-1.47
163,UC Irvine,Big West,,21,10,60.1,54.3,5.81,0.67,-7.02,-0.46,-6.62,5.4,-1.22,86.85,88.54,-1.68,-1.59
164,Air Force,MWC,,18,15,66.4,63.7,2.7,-0.58,-2.71,-0.26,-1.04,-0.38,-1.42,92.16,94.59,-2.44,-1.7
165,Pacific,WCC,,15,19,65.1,66.1,-0.97,0.56,0.47,0.45,-0.32,-1.42,-1.75,85.34,88.1,-2.76,-1.89
166,Tarleton State,WAC,,20,14,63.9,58.5,5.41,7.91,-4.48,-3.96,-5.28,3.49,-1.79,91.1,93.08,-1.98,-0.97
167,Campbell,CAA,,22,13,64.9,58.5,6.34,1.39,-5.92,0.83,-3.59,1.7,-1.89,90.93,93.98,-3.05,-2.26
168,Fresno State,MWC,,19,15,63.3,64.6,-1.26,5.42,0.28,-2.3,-3.31,0.71,-2.6,92.41,96.95,-4.53,-2.71
169,Wichita State,AAC,,10,22,62.2,67.6,-5.38,6.18,3.36,-7.68,-2.27,-0.37,-2.64,86.29,90.44,-4.16,-2.96
170,UT Arlington,WAC,,18,14,72.2,67.5,4.72,0,-3.3,-1.52,2.75,-5.42,-2.67,89.97,93.71,-3.74,-2.43
171,UAB,AAC,,16,16,67,67.5,-0.44,4.09,-1.31,-3.82,1.34,-4.1,-2.76,91.67,95.82,-4.15,-3
172,Eastern Illinois,OVC,,18,12,62.7,61,1.7,3.3,-4.51,-5,-6.58,3.78,-2.81,86.17,90.14,-3.97,-3.08
173,Montana,Big Sky,,14,18,66.4,68.7,-2.25,4.55,1.65,-3.56,0.3,-3.15,-2.85,95.55,100.12,-4.57,-2.79
174,Lindenwood,OVC,,23,11,69.1,65.1,4,1.69,-6.26,-3.49,-0.86,-2.07,-2.93,92.83,96.74,-3.91,-3.29
175,Holy Cross,Patriot,,19,12,60.7,57.4,3.32,7.3,-6.32,-6.26,-5.79,2.8,-3,86.8,90.79,-3.98,-2.53
176,Louisiana Tech,CUSA,,18,16,66.4,65.4,1,-9.28,-0.66,7.43,-0.84,-2.35,-3.19,90.16,95.32,-5.15,-3.11
177,UC San Diego,Big West,,20,16,63.8,58.3,5.56,4.25,-6.94,-1.64,-3.39,0.1,-3.29,85.93,90.69,-4.76,-2.32
178,Army,Patriot,,25,8,62.9,56.6,6.33,-8.2,-8.48,6.2,-5.4,1.91,-3.48,89.02,93.55,-4.53,-3.47
179,Eastern Kentucky,A-Sun,,21,12,72.5,65.9,6.58,8.37,-7.34,-8.89,0.9,-4.62,-3.72,90.06,95.63,-5.57,-3.32
180,Fordham,A-10,,15,15,60,61.1,-1.13,1.13,-2.94,1.09,-4.7,0.86,-3.84,84.95,91.67,-6.72,-4.02
181,Brown,Ivy,,12,15,60.1,62.6,-2.52,0.32,0.92,-0.01,-4.07,0.18,-3.89,87.36,93.85,-6.49,-4.14
182,Saint Mary's,WCC,,14,17,62.1,64.2,-2.1,-1.67,-1.84,-1.3,-3.79,-0.15,-3.94,89.02,95.19,-6.17,-4.01
183,Chattanooga,Southern,,17,15,61.1,56.6,4.5,6.34,-4.9,-7.8,-8.73,4.76,-3.97,85.54,91.12,-5.58,-4.38
184,Marshall,Sun Belt,,15,20,67.7,67.9,-0.29,-3.13,-0.95,2.42,-0.42,-3.74,-4.16,91.76,97.94,-6.19,-4.9
185,Central Arkansas,A-Sun,,23,10,68.7,62.6,6.03,-1.38,-5.86,-1.88,-3.84,-0.34,-4.18,90.22,95.9,-5.67,-4.62
186,Howard,MEAC,,22,12,65.7,60.5,5.18,-12.9,-9.36,9.56,-3.05,-1.13,-4.18,87.2,93.54,-6.34,-4.88
187,St. Thomas,Summit,,16,14,71.3,69.2,2.17,8.2,-2.77,-8.78,1.41,-5.68,-4.27,92.98,99.26,-6.28,-4.79
188,Utah Valley,WAC,,19,13,65.8,61.6,4.16,-4.47,-5.54,1.06,-4.46,0.16,-4.3,84.52,91.09,-6.57,-5.41
189,Wofford,Southern,,17,12,66.5,59.9,6.59,3.23,-3.41,-0.35,-2.22,-2.18,-4.41,89.65,95.39,-5.74,-5.13
190,Bradley,MVC,,14,19,58.5,60.3,-1.79,5.53,-1.41,-5.58,-10.42,5.99,-4.44,83.16,89.98,-6.81,-5.57
191,Saint Louis,A-10,,15,19,66.1,72.4,-6.29,-12.74,1.74,9.13,1.86,-6.41,-4.56,89.45,95.66,-6.22,-6.04
192,Santa Clara,WCC,,14,17,62.2,64.5,-2.32,3.42,0.7,-4.11,-2.82,-1.9,-4.72,88.85,96.53,-7.69,-5.65
193,Southern,SWAC,,21,15,58.8,57.7,1.14,-0.31,-3.25,-1.52,-9.82,5.1,-4.72,83.79,90.6,-6.81,-5.62
