,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,39,0,81.1,46.2,34.9,,14.97,,25,24.87,49.87,111.36,44.54,66.82
2,Stanford,Pac-10,,36,2,76.1,53.9,22.16,,16.11,,20.32,17.94,38.27,106.64,55.18,51.46
3,Tennessee,SEC,,32,3,74.3,57.1,17.23,,15.04,,17.56,14.71,32.26,100.69,58.5,42.19
4,Nebraska,Big 12,,32,2,77.4,58.3,19.09,,12.2,,19.87,11.42,31.29,100.97,60.22,40.75
5,Texas A&M,Big 12,,26,8,75.5,60.3,15.18,,14.73,,17.4,12.51,29.9,95.82,58.41,37.41
6,Notre Dame,Big East,,29,6,77.2,62.3,14.86,,13.39,,20.49,8.04,28.53,96.97,62.19,34.78
7,Duke,ACC,,30,6,70.5,54.4,16.03,,12.39,,12.48,15.94,28.42,90.79,55.04,35.75
8,Baylor,Big 12,,27,10,70.4,56.4,13.95,,13.95,,11.7,16.2,27.9,90.35,55.4,34.95
9,Ohio State,Big Ten,,31,5,78,62.1,15.83,,9.92,,20.55,5.21,25.76,100.18,67.25,32.93
10,Louisiana State,SEC,,21,10,68.5,52,16.55,,9.14,,8.57,17.12,25.69,85.26,53.93,31.33
11,Gonzaga,WCC,,29,5,80,59.1,20.91,,4.18,,17.73,7.36,25.09,93.72,62.44,31.28
12,Kentucky,SEC,,28,8,73.9,59.6,14.39,,9.82,,15.03,9.18,24.21,89.62,59.83,29.78
13,Texas,Big 12,,22,11,73.5,64.5,8.97,,14.68,,15.54,8.11,23.65,91.42,61.27,30.15
14,UCLA,Pac-10,,25,9,67.8,57.5,10.26,,13.12,,10.55,12.89,23.44,91.42,61.05,30.37
15,Xavier,A-10,,30,4,71.9,57.4,14.47,,8.83,,13.03,10.27,23.3,94.76,64.54,30.21
16,Florida State,ACC,,29,6,73.8,60.8,12.94,,10.28,,14.86,8.37,23.23,92.61,63.99,28.62
17,Oklahoma,Big 12,,27,11,71.7,66.2,5.55,,17.71,,15.94,7.06,23,90.38,62.22,28.15
18,Iowa State,Big 12,,25,8,65.4,53.5,11.82,,9.7,,5.78,15.74,21.52,94.43,64.55,29.88
19,St. John's (NY),Big East,,25,7,70.2,57.7,12.53,,8.52,,10.92,10.14,21.05,88.72,62.59,26.13
20,Michigan State,Big Ten,,23,10,67.1,59.8,7.33,,13.61,,9.73,11.21,20.94,88.09,61.3,26.79
21,Mississippi State,SEC,,21,13,70.7,60.8,9.94,,10.43,,10.81,9.56,20.37,88.76,63.95,24.81
22,West Virginia,Big East,,29,6,62.9,51.9,11,,9.85,,4.03,16.23,20.26,85.68,58.93,26.75
23,Michigan,Big Ten,,21,14,65.9,59.3,6.63,,12.07,,7.22,11.48,18.7,89.06,65.35,23.72
24,Georgetown,Big East,,26,7,66.8,57.1,9.76,,9.45,,8.32,10.32,18.63,88.92,65.15,23.76
25,Vanderbilt,SEC,,23,11,69.6,63.2,6.41,,11.77,,10.89,7.3,18.18,92.74,70.1,22.64
26,California,Pac-10,,24,13,66.1,60.4,5.76,,12.4,,7.93,10.23,18.16,90.74,67.39,23.35
27,Oklahoma State,Big 12,,24,11,72.6,67.1,5.51,,12.58,,14.73,3.37,18.1,94.69,72.48,22.21
28,Wisconsin,Big Ten,,21,11,62.3,56.2,6.06,,11.34,,3.33,14.08,17.4,86.38,63.42,22.96
29,Middle Tennessee,Sun Belt,,25,6,80.8,64.2,16.65,,0.65,,17,0.3,17.3,93.24,73.13,20.11
30,Syracuse,Big East,,25,11,71.5,60.2,11.33,,5.66,,12.59,4.41,17,89.68,68.27,21.41
31,Georgia,SEC,,25,9,62.5,55.7,6.82,,9.79,,3.37,13.25,16.62,83.09,62.31,20.78
32,Virginia,ACC,,21,10,69.7,62.8,6.87,,10.85,,10.65,5.93,16.59,85.85,65.51,20.35
33,North Carolina,ACC,,19,12,76.5,67.2,9.32,,9.01,,16.16,0.38,16.54,84.17,65.56,18.61
34,Dayton,A-10,,25,8,71.2,59.9,11.33,,4.82,,11.37,4.79,16.16,88.71,68.37,20.34
35,Iowa,Big Ten,,20,14,69.4,66.9,2.53,,13.56,,12.89,3.19,16.09,92.75,72.47,20.28
36,Miami (FL),ACC,,22,14,74.8,66.2,8.64,,7.37,,13.92,2.09,16,88.67,69.73,18.94
37,Texas Christian,MWC,,22,9,72.1,60.5,11.58,,4.36,,10.74,5.2,15.94,85.84,66.07,19.77
38,Southern California,Pac-10,,19,12,64.8,64.2,0.61,,14.97,,7.55,8.03,15.58,87.4,67.32,20.08
39,San Diego State,MWC,,23,11,65.4,57.5,5.12,,8.09,,6.46,8.98,15.44,81.23,60.17,21.06
40,Kansas,Big 12,,17,16,67.6,66.1,1.58,,13.73,,9.91,5.39,15.3,88.77,70.42,18.35
