,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
1,South Carolina,SEC,,35,2,70.9,50.7,20.22,36.44,18.24,14.43,14.56,23.9,38.46,83.41,23.55,59.86,68.2
2,NC State,ACC,,32,4,77.3,58.4,18.83,27.45,16.28,21.97,21.08,14.03,35.12,90.74,36.4,54.34,68.14
3,Stanford,Pac-12,,32,4,73.5,56.8,16.69,27.78,17.99,20.85,18.12,16.56,34.68,85.59,32.3,53.3,63.68
4,Connecticut,Big East,,30,6,73.8,54.9,18.86,28.15,13.88,19.58,15.67,17.07,32.74,84.21,33.29,50.92,63.19
5,Louisville,ACC,,29,5,71.8,55.6,16.15,33.89,14.22,13.55,14.79,15.58,30.37,82.5,34.88,47.63,58.67
6,North Carolina,ACC,,25,7,73.1,55.8,17.34,19.66,12.22,19.11,14.88,14.69,29.57,77.04,31.74,45.3,50.31
7,Texas,Big 12,,29,7,71.9,56.8,15.14,14.36,14.2,20.05,12.91,16.43,29.34,78.95,33.6,45.36,45.57
8,Baylor,Big 12,,28,7,76.5,60.2,16.31,19.12,11.87,15.13,17.25,10.94,28.19,83.49,38.83,44.66,45.05
9,Iowa State,Big 12,,28,7,76.4,63.7,12.63,17.26,13.63,16.84,17.36,8.9,26.26,85.24,44.39,40.85,42.43
10,Iowa,Big Ten,,24,8,84.2,70.2,14,17.68,12.07,14.78,25.03,1.04,26.07,86.93,47.27,39.66,43.25
11,Maryland,Big Ten,,23,9,78.8,67.2,11.59,18.61,14.12,13.09,20.32,5.4,25.72,85.91,45.69,40.22,42.4
12,Notre Dame,ACC,,24,9,74.3,63.3,11,19.89,14.05,11.73,15.54,9.52,25.05,79.1,40.26,38.84,42.17
13,Oregon,Pac-12,,20,12,71.3,61.3,10.06,17.91,15.6,13.52,13.92,11.07,24.99,76.08,37.7,38.38,41.68
14,Brigham Young,WCC,,26,4,77.1,58.3,18.8,14.94,6.01,16.29,14.26,10.54,24.81,78.92,39.99,38.94,40.18
