,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
15,Tennessee,SEC,,25,9,70.1,61.1,9,13.94,15.52,17.25,13.32,11.2,24.52,73.36,34.42,38.93,42.32
16,Virginia Tech,ACC,,23,10,70.8,58.4,12.39,15.3,12.07,15.84,13.27,11.2,24.47,82.38,42.22,40.17,43.16
17,Indiana,Big Ten,,24,9,71.3,61.8,9.55,11,14.68,19.88,12.25,11.97,24.22,77.86,39.11,38.74,41.27
18,Michigan,Big Ten,,25,7,71.5,60.4,11.06,15.97,12.68,14.91,11.88,11.86,23.74,77.5,39.37,38.14,41
19,Arizona,Pac-12,,21,8,67.2,57.4,9.83,15.58,13.21,13.87,9.14,13.9,23.04,75.99,38.82,37.18,39.13
20,Nebraska,Big Ten,,24,9,77.8,64.3,13.52,11.94,9.03,16.36,16.03,6.51,22.54,79.22,43.69,35.54,36.74
21,Louisiana State,SEC,,26,6,73.7,61.6,12.09,13.06,10.3,15.14,12.95,9.44,22.39,75,38.65,36.36,36.81
22,Ohio State,Big Ten,,25,7,78.2,65.6,12.59,6.8,9.44,20.36,17.43,4.6,22.03,79.34,45.04,34.3,35.33
23,UCF,AAC,,26,4,60.5,47.8,12.73,5.5,9.22,21.27,0.62,21.33,21.95,68.9,31.06,37.84,36.22
24,Utah,Pac-12,,21,12,75.9,68.2,7.7,11.34,13.97,15.32,18.62,3.05,21.67,83.41,49.1,34.31,36.12
25,Mississippi,SEC,,23,9,66.9,56.6,10.38,9.63,11.14,16.46,7.96,13.55,21.51,72.31,36.65,35.66,34.36
26,Georgia,SEC,,21,10,68.4,59.1,9.26,9.36,12.14,16.43,9.19,12.21,21.39,71.25,35.94,35.32,35.66
27,Gonzaga,WCC,,27,7,69,56.1,12.88,8.43,8.09,17.02,7.24,13.73,20.97,75.18,41.2,33.98,34.81
28,Oklahoma,Big 12,,25,9,82.6,76.9,5.74,8.75,15.23,16.66,24.9,-3.93,20.97,77.9,45.3,32.61,33.93
29,Colorado,Pac-12,,22,9,65.6,57.7,7.94,16.85,12.57,10.12,7.73,12.77,20.5,71.97,38.22,33.75,33.28
30,Arkansas,SEC,,18,14,73.6,66.5,7.06,10.44,13.16,14.19,15.44,4.78,20.22,77.05,43.74,33.32,32.92
31,Creighton,Big East,,23,10,74.1,64.4,9.7,14.41,10.48,9.35,13.35,6.82,20.18,83,49.56,33.44,31.86
32,Kentucky,SEC,,19,12,72.2,65.6,6.52,10.26,13.58,13.36,13.81,6.28,20.09,78.14,44.48,33.67,31.92
33,Kansas,Big 12,,21,10,71.8,65.2,6.58,11.44,13.32,11.9,12.89,7.01,19.9,72.9,40.77,32.13,31.06
34,South Dakota State,Summit,,29,9,74.8,58.4,16.39,11.65,4.23,11.59,10.96,8.84,19.8,76.08,44.26,31.82,30.81
35,Georgia Tech,ACC,,21,11,60.9,52.7,8.28,9.94,11.47,11.38,2.08,17.67,19.75,69.81,35.76,34.05,28.74
36,Kansas State,Big 12,,20,13,66.1,60.6,5.45,10,14.1,10.97,7.82,11.74,19.55,70.61,38.87,31.74,28.92
37,South Dakota,Summit,,29,6,68.9,53.1,15.8,10.94,4.5,9.22,4.76,14.59,19.35,69.51,37.73,31.78,26.12
38,Princeton,Ivy,,25,5,68.3,51.5,16.83,7.71,1.84,12.25,5.12,13.55,18.67,71.94,39.93,32.01,26.12
39,UCLA,Pac-12,,18,13,66.6,61.5,5.13,9.06,12.96,10.88,9.59,8.5,18.09,74.04,44.07,29.97,25.87
40,Miami (FL),ACC,,21,13,60.9,58.4,2.5,6.65,14.22,13.1,3.57,13.15,16.72,67.15,38.45,28.7,26.36
41,Arizona State,Pac-12,,12,14,63.3,59.9,3.38,6.45,12.82,13.06,5.78,10.43,16.21,70.79,43.4,27.39,25.09
42,Oregon State,Pac-12,,17,14,64.5,62.6,1.87,8.61,14.17,10.06,6.95,9.09,16.04,70.89,44.16,26.72,25.62
43,Boston College,ACC,,21,12,72.1,65.5,6.55,7.29,9.35,11.11,12.57,3.32,15.89,74.01,47.2,26.81,25.5
44,DePaul,Big East,,22,11,87.3,78.6,8.76,5.94,6.91,11.74,26.58,-10.91,15.67,81.75,56.74,25,23.55
45,Texas A&M,SEC,,14,15,69.3,67.4,1.9,12.89,13.55,4.63,11.82,3.63,15.45,74.25,47.32,26.93,23.71
46,Duke,ACC,,17,13,65,62.2,2.87,6.69,12.42,12.35,6.59,8.7,15.29,71.62,45.21,26.41,23.29
47,Florida State,ACC,,17,14,65.3,61.6,3.65,13.06,11.63,3.75,6.87,8.41,15.28,71.3,44.98,26.32,22.68
48,South Florida,AAC,,24,9,60.8,54.5,6.36,12.65,8.82,4.15,2.28,12.91,15.19,69.84,42.56,27.29,23.6
49,Missouri State,MVC,,25,8,64.8,53.9,10.91,2.38,5.65,14.35,2.85,12.33,15.18,61.93,37.09,24.84,22.01
50,Florida,SEC,,21,11,68,64.8,3.25,5.71,11.81,10.98,9.9,5.17,15.06,68.54,41.99,26.55,22.25
51,Florida Gulf Coast,A-Sun,,30,3,78.1,59.2,18.91,4.94,-0.68,11.75,13.24,1.75,14.99,69.16,45,24.16,21.67
52,Alabama,SEC,,20,14,71.5,66.2,5.26,14.35,9.6,2.27,11.56,3.31,14.87,75.11,49.1,26,23.3
53,West Virginia,Big 12,,15,15,66.5,65.2,1.3,6.16,13.51,10.46,7.8,7.02,14.81,66.16,40.58,25.58,21.66
54,Washington State,Pac-12,,19,11,60.1,60,0.07,1.22,14.64,15.22,2.71,12,14.7,66.73,41.62,25.11,21.31
55,Dayton,A-10,,26,6,65.8,55.3,10.56,11.63,3.68,4.65,3.17,11.07,14.24,66.95,41.46,25.49,22.84
56,Missouri,SEC,,18,13,70.5,67.5,3.1,-2.85,10.96,17.53,10.31,3.75,14.06,78.22,53.03,25.19,19.24
57,Northwestern,Big Ten,,17,12,66.9,63.9,3.03,2.5,10.9,12.83,5.22,8.71,13.93,67.83,43.9,23.94,19.19
58,Mississippi State,SEC,,15,14,71.1,68,3.17,13.09,10.17,1.78,10.53,2.81,13.34,74.61,49.97,24.64,19.39
59,Belmont,OVC,,23,8,69.5,56.5,13.06,18.62,-0.01,-4.04,5.83,7.23,13.06,71.46,46.92,24.54,18.81
60,Massachusetts,A-10,,26,7,71.7,61.6,10.09,9.15,2.89,3.97,10.48,2.5,12.98,75.66,52.43,23.23,18.02
61,Southern California,Pac-12,,12,16,64.3,64.7,-0.36,3.34,13.15,9.15,7.52,5.28,12.79,68.79,46.78,22.01,16.4
62,Northern Iowa,MVC,,23,11,69,58.4,10.59,-0.12,4.03,12.39,5.01,7.62,12.63,66.09,44.47,21.63,15.99
63,Marquette,Big East,,23,11,67.1,60.4,6.74,8.66,5.65,3.55,3.96,8.42,12.38,67.65,45.57,22.09,16.82
64,Michigan State,Big Ten,,15,15,70.6,67.1,3.47,4.63,8.9,8.69,8.44,3.93,12.37,73.84,51.74,22.11,15.82
65,Vanderbilt,SEC,,16,19,63,61.4,1.6,-2.8,10.74,14.78,3.29,9.05,12.34,65.79,43.18,22.61,16.03
66,Buffalo,MAC,,25,9,75.8,66.6,9.18,3.94,2.94,7.74,11.31,0.81,12.12,71.56,50.81,20.75,14.9
67,Middle Tennessee,CUSA,,27,8,68.4,57.7,10.77,18.55,1.32,-6.93,5.46,6.63,12.09,69.38,46.49,22.89,16.1
68,Texas Tech,Big 12,,11,19,65.8,68.1,-2.27,-4.15,14.09,15.54,7.55,4.28,11.83,71.97,50.9,21.07,14.92
69,Stephen F. Austin,WAC,,28,5,74.8,55.6,19.18,7.21,-3.76,4.05,6.03,5.79,11.82,60.54,40.18,20.36,16.19
70,Oklahoma State,Big 12,,9,20,57.7,61.6,-3.93,-4.15,15.68,15.2,-0.1,11.84,11.75,60.85,39.36,21.49,14.34
71,Villanova,Big East,,24,9,64.9,60.9,4.06,9.83,7.69,1.21,2.51,9.24,11.75,68.84,47.31,21.53,14.6
72,Tulane,AAC,,21,10,72.5,64.8,7.68,-3.56,5.34,14.51,11.56,-0.08,11.48,71.45,50.22,21.23,13.81
73,Portland,WCC,,20,11,70.6,62,8.61,11.23,4.55,0.38,6.95,4.42,11.37,62.2,44.07,18.14,15.33
74,Purdue,Big Ten,,17,15,69.2,67.3,1.81,10.06,9.44,1.66,8.95,2.3,11.25,70.44,50.25,20.19,14.47
75,Toledo,MAC,,29,6,72.4,61.1,11.34,11.45,-0.26,0.49,6.79,4.29,11.08,72.21,51.64,20.57,11.45
76,IU Indy,Horizon,,24,5,70.5,56.4,14.03,7.33,-3.08,2.59,4.88,6.08,10.96,71.29,50.18,21.11,13.69
77,Rhode Island,A-10,,22,7,63.3,52.8,10.55,12.8,0.26,-0.95,0.15,10.66,10.82,66.5,46.46,20.05,12.56
78,Wake Forest,ACC,,16,17,65,63,1.94,-7.79,8.24,17.22,6.06,4.11,10.17,68.62,49.73,18.89,12.65
79,California,Pac-12,,11,13,68.5,66.4,2.04,11.62,9.8,1.34,6.54,3.44,9.98,63.01,45.7,17.32,11.78
80,Nevada-Las Vegas,MWC,,26,7,75.3,64.7,10.61,12.7,-0.72,-1.23,9.34,0.55,9.89,69.42,51.18,18.24,11.19
81,Houston,AAC,,18,16,63.2,61.1,2.06,-1.26,7.53,10.46,3.41,6.18,9.59,63.68,44.69,18.98,12.39
82,Fordham,A-10,,18,11,62.2,58.1,4.1,6,5.48,4.27,1.47,8.12,9.58,66.98,47.93,19.05,12.1
83,Washington,Pac-12,,7,16,56.2,61.1,-4.96,10.16,14.51,-0.43,-0.6,10.15,9.56,63.13,46.23,16.9,10.19
84,Drake,MVC,,20,14,73.4,68.1,5.35,0.16,5.29,8.4,11.05,-1.58,9.47,66.41,49.78,16.63,11.24
85,Minnesota,Big Ten,,15,18,69.7,71.8,-2.06,-5.55,11.46,14,9.81,-0.42,9.4,73.87,55.99,17.89,10.45
86,Auburn,SEC,,10,18,63.7,65.9,-2.18,14.24,10.29,-1.6,4.19,3.93,8.11,64.82,48.19,16.62,12.12
87,Pittsburgh,ACC,,11,19,61.7,65.1,-3.4,5.84,11.37,2.48,3.08,4.89,7.97,62.12,45.92,16.2,11.36
88,Seton Hall,Big East,,24,13,69.3,68.1,1.27,7.03,6.64,2.81,8.11,-0.2,7.91,70.76,54.23,16.53,11.12
89,Southern Illinois,MVC,,21,10,63.1,56.9,6.16,11.37,2.34,-1.28,-0.71,8.58,7.87,64.15,48.22,15.94,10.84
90,Virginia Commonwealth,A-10,,16,12,60.7,58.2,2.5,-5.56,4.95,13.17,-0.23,7.68,7.45,66.66,51.11,15.55,9.81
91,San Diego,WCC,,17,15,60.7,65.7,-4.97,11.71,5.57,-2.78,4.34,2.89,7.23,60.72,46.51,14.21,9.7
92,Towson,CAA,,24,8,73.9,61.1,12.84,8,-3.27,2.26,6.97,0.03,7,60.24,46.59,13.64,10.78
93,Charlotte,CUSA,,22,10,63.2,59,4.25,8.55,2.45,2.35,-0.49,7.19,6.7,61.15,46.33,14.83,9.66
94,New Mexico,MWC,,26,10,76.6,67.6,8.97,-3.35,-1.01,11.88,11.16,-4.54,6.62,67.66,54.19,13.48,9.49
95,Syracuse,ACC,,11,18,71,74.8,-3.83,9.89,10.45,0.6,11.96,-5.34,6.62,70.26,55.51,14.75,9.23
96,Clemson,ACC,,10,21,64.4,70.7,-6.29,12.85,12.82,-6.03,6.8,-0.27,6.53,68.1,53.71,14.39,9.59
97,Old Dominion,CUSA,,24,10,63.8,55.8,7.97,-1.37,-0.86,7.93,0.15,5.95,6.11,59.28,46.05,13.23,8.19
98,Liberty,A-Sun,,28,5,65.5,52.4,13.15,9.26,-4.02,-1.65,-1.55,7.64,6.09,59.31,44.92,14.39,8.77
99,Rutgers,Big Ten,,11,20,58.4,60,-1.58,0.18,7.62,5.87,-4.97,11.01,6.04,60.34,47.26,13.07,7.33
100,Jackson State,SWAC,,23,7,79.5,62.6,16.93,11.49,-11.03,-3.84,8.94,-3.03,5.91,67.75,53.13,14.62,6.94
101,San Francisco,WCC,,17,16,67.9,67.8,0.09,15.34,5.51,-6.57,5.79,-0.19,5.6,64.26,52.09,12.17,8.3
102,Southern Methodist,AAC,,14,15,60.7,61.3,-0.66,-10.52,5.89,15.94,-0.61,5.84,5.23,59.93,47.41,12.52,6.6
103,Wyoming,MWC,,17,13,64.6,60.9,3.7,4.22,2.56,0.97,-0.41,5.61,5.2,57.73,46.87,10.86,7
104,Penn State,Big Ten,,11,18,70.6,74.9,-4.31,14.65,9.21,-9.56,9.67,-4.76,4.9,68.94,57.87,11.07,7.99
105,Troy,Sun Belt,,24,9,78.9,68.8,10.12,12.09,-3.71,-4.03,10.02,-5.22,4.81,55.84,45.15,10.69,7.64
106,Tulsa,AAC,,17,11,69.5,64.8,4.68,14.31,1.16,-5.86,6.91,-2.11,4.79,66.59,54.53,12.07,7.7
107,Drexel,CAA,,28,6,65.3,56.3,9,8.47,-4.29,-3.49,-0.82,5.54,4.71,68.16,54.41,13.76,6.33
108,Columbia,Ivy,,25,7,68.6,62,6.66,-2.81,-1.96,7.76,4.9,-0.2,4.7,64.98,53.76,11.21,5.45
109,Temple,AAC,,13,15,59.7,61.4,-1.71,6.66,6.35,-1.76,0.58,4.05,4.63,59.84,47.89,11.95,6.12
110,Wichita State,AAC,,14,16,64.1,62.9,1.13,7.65,3.46,-1.22,2.08,2.52,4.59,59.69,47.98,11.71,6.57
111,Ball State,MAC,,20,13,71.4,68.1,3.3,13.17,1.25,-4.86,6.66,-2.11,4.55,67.62,57.04,10.58,7.67
112,Kent State,MAC,,19,12,68.3,61.8,6.48,1,1.12,4.75,0.55,3.8,4.36,61.09,50.91,10.19,6.37
113,Delaware,CAA,,24,8,72,63.9,8.09,-1.16,-2.86,5.61,6.73,-2.5,4.23,63.59,52.94,10.65,5.31
114,North Texas,CUSA,,17,13,66.3,61.7,4.63,15.27,0.63,-6.68,1.99,2.23,4.21,60.69,49.55,11.14,5.7
115,Colorado State,MWC,,21,12,69,63,6,5.94,-0.44,-1.83,3.39,0.81,4.2,60.25,50.33,9.92,4.59
116,St. John's (NY),Big East,,12,19,72,73.7,-1.68,-4.27,5.33,8.16,9.91,-6.26,3.65,71.51,61.78,9.72,4.51
117,UT Arlington,Sun Belt,,20,8,70,66.5,3.54,5.79,0.05,-1.9,4.41,-0.82,3.59,63.93,52.9,11.03,4.85
118,Bowling Green,MAC,,17,16,72.8,68.9,3.91,0.13,1.14,3.5,7.2,-3.65,3.55,64.76,55.33,9.43,4.56
119,Green Bay,Horizon,,19,8,61.9,55.8,6.11,3.53,-2.65,0.02,-2.35,5.81,3.46,62.21,51.79,10.43,4.2
120,UC Davis,Big West,,15,13,61.9,58.8,3.11,-0.97,1.6,4.13,-1.32,4.46,3.14,55.48,47.28,8.2,3.41
121,Long Beach State,Big West,,19,9,61.9,57.3,4.68,11.14,-1.14,-3.59,-1.97,4.98,3.01,55.83,47.11,8.73,4.01
122,Murray State,OVC,,22,10,72.7,62.1,10.59,6.7,-5.76,0.01,3.92,-0.95,2.97,65.31,54.91,10.4,3.14
123,Loyola (IL),MVC,,18,12,59.7,55.7,4.03,5,-0.17,1.63,-6.51,9.31,2.8,53.33,44.82,8.51,3.86
124,Virginia,ACC,,5,22,55,65.5,-10.44,3.97,13.22,-0.32,-2.03,4.8,2.78,58.25,49.69,8.55,3.06
125,Air Force,MWC,,19,14,61.6,58.3,3.3,4.76,0.31,-1.95,-4.03,6.72,2.69,52.32,43.96,8.36,3.07
126,Harvard,Ivy,,13,14,70.9,67.4,3.56,6.42,-0.93,-3.4,8.38,-5.75,2.63,68.51,59.96,8.55,4.51
127,Texas Christian,Big 12,,6,22,60.3,73.4,-13.11,11.47,15.73,-4.46,2.34,0.28,2.62,61.07,51.86,9.21,4.22
128,UC Irvine,Big West,,21,12,66.5,60.8,5.64,12.24,-1.33,-7.31,0.96,1.62,2.58,57.51,49.67,7.84,3.03
129,Davidson,A-10,,18,15,63.5,61.7,1.88,-3.91,0.69,6.61,1.7,0.88,2.57,66.35,57.07,9.28,3.21
130,Bucknell,Patriot,,24,10,62.6,54.9,7.68,3.53,-5.16,-1.03,-2.5,5.01,2.52,60.95,51.94,9.01,2.86
131,Kansas City,Summit,,23,9,71.6,65.7,5.94,7.52,-0.36,-3.78,5.54,-3.09,2.45,63.46,55.84,7.62,3.43
132,Saint Mary's,WCC,,18,15,69.7,72.1,-2.36,3.65,4.73,-0.61,6.81,-4.44,2.37,64.82,56.91,7.9,2.63
133,Richmond,A-10,,16,14,70.5,67.1,3.43,5.63,-1.11,-0.05,6.93,-4.61,2.32,67.79,59.1,8.68,1.81
134,Illinois State,MVC,,19,14,65,63.8,1.18,11.78,2.62,-6.83,1.97,0.33,2.3,64.16,56.67,7.49,3.36
135,Fairfield,MAAC,,25,7,64.7,57,7.69,-11.45,-5.52,13.39,-1.29,3.46,2.17,67.69,58.28,9.41,1.6
136,Ohio,MAC,,15,15,73.3,71.6,1.67,6.66,1.92,-3.13,8.36,-6.24,2.13,64.46,57.23,7.23,1.91
137,Santa Clara,WCC,,16,15,70.2,68.6,1.65,4.55,3.67,-3.16,4.7,-2.61,2.09,61.14,54.29,6.85,1.37
138,Louisiana Tech,CUSA,,21,12,67.1,60.2,6.88,3.97,-2.2,-0.35,-0.21,2.2,2,57.67,49.68,7.99,1.78
139,Stony Brook,AmEast,,23,6,67.4,56.5,10.9,10.72,-8.96,-4.74,1.33,0.61,1.93,63.19,54.87,8.32,1.97
140,Nevada,MWC,,20,13,66.6,62.5,4.18,4.56,-0.23,-2.06,-0.05,1.91,1.87,57.71,51.01,6.7,-0.69
141,Memphis,AAC,,16,12,62.3,61.3,1,1.94,0.85,-1.39,-0.66,2.52,1.85,62.01,53.78,8.23,0.54
142,Mercer,Southern,,23,7,64.4,56.9,7.53,6.3,-5.83,-4.76,-2.16,3.86,1.7,58.39,49.07,9.32,0.51
143,California Baptist,WAC,,23,9,75.6,69.2,6.38,8.74,-4.77,-7.4,9.54,-7.93,1.61,61.65,54.66,6.99,-0.13
144,Cleveland State,Horizon,,21,9,70,60.3,9.67,-2.72,-5.49,3.16,2.92,-1.37,1.55,56.9,50.79,6.11,0.24
145,Montana,Big Sky,,19,11,67.9,60.6,7.33,0.94,-4.99,1.83,-0.42,1.71,1.29,57.37,50.36,7.02,0.07
146,Saint Joseph's,A-10,,13,17,58.3,60,-1.7,1.88,2.81,-0.05,-3.5,4.61,1.11,63.09,56.86,6.23,0.34
147,East Carolina,AAC,,11,18,60.2,59.4,0.76,0.35,0.17,1.06,-3.16,4.09,0.93,53.37,46.57,6.8,0.03
148,La Salle,A-10,,16,12,65.4,63.5,1.82,9.83,-1.13,-7.1,1.77,-1.07,0.7,63.68,57.55,6.13,-0.14
149,Quinnipiac,MAAC,,21,12,67.5,60.3,7.21,1.84,-6.66,-1.43,1.57,-1.02,0.55,63.46,58.09,5.37,-0.03
150,Akron,MAC,,17,12,67.1,66.9,0.28,1.55,1.75,-1.48,0.91,-0.41,0.5,60.73,55.69,5.04,-0.28
151,Northern Kentucky,Horizon,,21,8,66.1,59.1,7,-12,-6.14,12.04,-0.29,0.64,0.36,60.12,54.76,5.36,0.42
152,Idaho State,Big Sky,,19,12,66.8,64.1,2.65,5,-0.65,-3.46,0.69,-0.44,0.25,55.64,50.98,4.67,0.03
153,Providence,Big East,,11,19,59.9,63.9,-3.97,8.85,4.21,-8.26,-3.73,3.97,0.24,56.02,50.25,5.76,-0.45
154,Duquesne,A-10,,11,18,63.8,64.6,-0.72,-2.06,0.9,1.69,1.09,-0.92,0.18,63.75,58.48,5.27,-0.84
155,Tennessee Tech,OVC,,21,11,65.8,61.1,4.69,2.56,-1.87,-2.02,-0.84,1,0.17,60.1,54.32,5.79,-1.16
156,Lehigh,Patriot,,19,11,69,60.1,8.87,8.71,-7.4,-5.17,3.2,-3.04,0.16,60.37,56.02,4.34,-0.74
157,Hawaii,Big West,,20,10,63.9,63.8,0.1,4.27,0.03,-3.38,0.56,-0.43,0.13,61.22,56.2,5.03,-0.84
158,Montana State,Big Sky,,22,13,69.1,68.1,0.94,2.18,-0.75,-1.21,3.07,-3.12,-0.05,58.47,53.79,4.68,-0.86
159,Northern Arizona,Big Sky,,17,14,72.8,71,1.81,5.58,-1.9,-4.37,7.55,-7.65,-0.09,62.74,58.45,4.3,-0.43
160,Western Michigan,MAC,,16,14,65,63.1,1.97,17,1.83,-15.6,-3.32,3.22,-0.1,52.69,48.84,3.86,0.71
161,Youngstown State,Horizon,,23,7,65.4,57.2,8.13,13.73,-5.76,-11.9,-1.41,1.16,-0.26,57.58,53.02,4.56,-1.6
162,San Diego State,MWC,,15,16,62.6,63.7,-1.1,0.28,1.27,0.09,-2.98,2.62,-0.36,55.37,51.77,3.6,-1.47
163,Louisiana,Sun Belt,,18,7,66.9,57.9,9,0.67,-5.2,-0.46,-3.95,3.53,-0.43,50.95,45.08,5.87,-1.59
164,Wisconsin,Big Ten,,8,21,57.9,67.2,-9.28,-0.58,8.66,-0.26,-3.58,2.95,-0.62,60.58,57.69,2.9,-1.7
165,Western Kentucky,CUSA,,18,12,70.5,69.3,1.2,0.56,-0.66,0.45,6.02,-6.71,-0.69,60.2,56.15,4.05,-1.89
166,Marshall,CUSA,,15,13,63.6,60,3.64,7.91,-1.09,-3.96,-3.75,2.93,-0.82,53.73,49.88,3.85,-0.97
167,Stetson,A-Sun,,20,12,63.2,56.5,6.72,1.39,-3.09,0.83,-4.87,4.05,-0.83,50.43,46.18,4.25,-2.26
168,Northern Illinois,MAC,,14,15,66.7,69.2,-2.59,5.42,1.74,-2.3,0.22,-1.06,-0.84,61.4,57.63,3.78,-2.71
169,Rice,CUSA,,14,13,66.9,65.8,1.07,6.18,-0.42,-7.68,2.04,-3,-0.96,57.92,53.41,4.51,-2.96
170,Little Rock,Sun Belt,,17,10,60.9,57.5,3.37,0,-2.26,-1.52,-7.35,6.38,-0.98,50.59,45.62,4.97,-2.43
171,Saint Louis,A-10,,9,18,59.8,64.1,-4.26,4.09,3.2,-3.82,-2.65,1.6,-1.06,57.4,53.47,3.93,-3
172,Fresno State,MWC,,11,18,69.3,69.1,0.21,3.3,1.18,-5,3.38,-4.54,-1.16,60.42,57.86,2.56,-3.08
173,UAB,CUSA,,16,15,67.2,63.4,3.81,4.55,-3.98,-3.56,0.47,-2.14,-1.67,57.61,54.53,3.08,-2.79
174,Boston University,Patriot,,17,14,62.5,59.6,2.84,1.69,-4.62,-3.49,-1.78,0,-1.78,61.8,59.47,2.33,-3.29
175,Pennsylvania,Ivy,,12,14,64.7,60.2,4.58,7.3,-2.74,-6.26,-1.3,-0.48,-1.78,54.58,52.26,2.32,-2.53
176,Jacksonville State,A-Sun,,24,8,66.2,58.8,7.38,-9.28,-6.89,7.43,-2.63,0.84,-1.79,54.31,50.63,3.68,-3.11
177,Austin Peay,OVC,,20,13,66.1,60.2,5.91,4.25,-5.89,-1.64,-3.03,1.24,-1.8,57.84,54.65,3.19,-2.32
178,UTEP,CUSA,,14,15,65.2,65.4,-0.17,-8.2,-1.82,6.2,0.28,-2.26,-1.99,59.79,57.13,2.66,-3.47
179,Yale,Ivy,,16,11,58.5,56.8,1.7,8.37,-3.69,-8.89,-6.44,4.46,-1.99,53.9,51.39,2.51,-3.32
180,James Madison,CAA,,14,15,63.6,64.6,-1.03,1.13,-0.97,1.09,-0.59,-1.42,-2,60.95,57.85,3.09,-4.02
181,Southern Utah,Big Sky,,18,12,70.6,65.8,4.87,0.32,-3.4,-0.01,1.35,-3.53,-2.19,54.11,52.79,1.32,-4.14
182,Cincinnati,AAC,,11,17,59.8,66.2,-6.43,-1.67,4.17,-1.3,-1.41,-0.85,-2.26,55.87,52.86,3.01,-4.01
183,Utah Valley,WAC,,16,15,63.4,60.2,3.19,6.34,-3.91,-7.8,-4.78,2.39,-2.39,54.89,52.59,2.3,-4.38
184,Illinois,Big Ten,,7,20,64.4,74.4,-10.07,-3.13,7.55,2.42,2.47,-4.99,-2.52,61.69,60.08,1.6,-4.9
185,UC Santa Barbara,Big West,,15,12,61.2,57.1,4.07,-1.38,-3.34,-1.88,-6.11,3.57,-2.54,51.58,51.21,0.37,-4.62
186,College of Charleston,CAA,,18,13,74.9,66.1,8.77,-12.9,-7.24,9.56,6.47,-9.09,-2.62,58.72,56.31,2.41,-4.88
187,Georgia Southern,Sun Belt,,18,10,79.3,68.4,10.89,8.2,-7.41,-8.78,5.93,-8.58,-2.65,52.08,50.29,1.79,-4.79
188,Oral Roberts,Summit,,16,15,65.8,65,0.84,-4.47,0.38,1.06,-1.44,-1.25,-2.69,50.58,49.72,0.86,-5.41
189,Elon,CAA,,17,12,62.3,62.3,0.07,3.23,-2.81,-0.35,-3.71,0.97,-2.74,58.95,57.32,1.63,-5.13
190,American,Patriot,,23,9,59.4,56.6,2.78,5.53,-5.61,-5.58,-5.69,2.86,-2.83,57.01,55.55,1.46,-5.57
191,George Washington,A-10,,13,18,51.6,55.2,-3.58,-12.74,1.91,9.13,-11.36,8.47,-2.89,49.78,49.29,0.48,-6.04
192,Southern Mississippi,CUSA,,18,12,66.7,64,2.67,3.42,-3.81,-4.11,-0.14,-2.77,-2.91,54.87,53.04,1.83,-5.65
193,UC Riverside,Big West,,14,11,60.7,57.6,3.12,-0.31,-2.35,-1.52,-6.13,3.17,-2.96,46.37,46.09,0.28,-5.62
194,Eastern Illinois,OVC,,16,14,67.9,65.5,2.43,0.13,-2.91,-3.95,1.29,-4.26,-2.98,54.8,54.12,0.68,-5.39
