,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Oregon,Pac-12,,31,2,86,57.9,28.06,,14.83,,28.73,14.16,42.89,104.36,39.24,65.12
2,Baylor,Big 12,,28,2,81.9,51.6,30.23,,10.96,,21.11,20.08,41.19,88.61,29.28,59.34
3,South Carolina,SEC,,32,1,82,56.1,25.91,,15.23,,23.38,17.76,41.14,90.55,30.63,59.92
4,Maryland,Big Ten,,28,4,82.8,57,25.78,,13.51,,24.22,15.07,39.29,89.52,32.87,56.65
5,Connecticut,AAC,,29,3,78.7,52.8,25.88,,11.95,,18.86,18.96,37.82,89.79,33.1,56.69
6,Mississippi State,SEC,,27,6,79.2,60.6,18.61,,11.07,,19.53,10.14,29.67,84.24,39.6,44.63
7,Stanford,Pac-12,,27,6,73.3,60.2,13.15,,15.97,,15.06,14.07,29.13,84.18,38.87,45.31
8,Louisville,ACC,,28,4,72.8,56.4,16.34,,12,,12.47,15.87,28.34,83.67,39.28,44.4
9,Indiana,Big Ten,,24,8,72.6,59.4,13.19,,14.74,,13.87,14.06,27.93,82.01,38.68,43.33
10,Oregon State,Pac-12,,23,9,71.7,58.4,13.28,,13.71,,12.49,14.5,27,84.16,41.17,42.99
11,Northwestern,Big Ten,,26,4,70.9,57.1,13.8,,12.43,,10.34,15.89,26.23,80.27,39.19,41.09
12,Arkansas,SEC,,24,8,83.4,67.6,15.75,,9.84,,23.19,2.39,25.59,86.16,47.53,38.63
13,NC State,ACC,,28,4,71.6,57,14.56,,10.65,,12.07,13.14,25.21,83.67,43.38,40.3
14,South Dakota,Summit,,30,2,81.4,55.8,25.69,,0.3,,13.59,10.94,24.53,79.85,41.79,38.06
15,UCLA,Pac-12,,26,5,72.6,61.9,10.77,,13.02,,14.64,9.16,23.8,80.62,43.06,37.56
16,Texas A&M,SEC,,22,8,69.7,58.4,11.37,,12.18,,11.16,12.39,23.55,79.87,41.97,37.9
