,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
53,South Dakota State,Summit,,27,7,70.1,59.9,10.24,,3.42,,6.78,6.88,13.66,70.56,45.72,24.84
54,Utah,Pac-12,,18,15,68.7,67.9,0.73,,12.7,,10.25,3.18,13.43,70.32,46.77,23.55
55,NC State,ACC,,20,11,67.5,62.6,4.84,,8.39,,6.75,6.48,13.23,69.95,45.26,24.69
56,Duquesne,A-10,,28,6,71.8,62.2,9.62,,3.83,,9.86,3.12,12.98,68.37,45.92,22.45
57,George Washington,A-10,,26,7,71.2,62,9.21,,3.68,,9.84,3.05,12.89,66.57,43.6,22.97
58,Texas Christian,Big 12,,18,15,72.2,67.8,4.42,,8.31,,12.51,0.22,12.73,72.8,49.02,23.79
59,Ohio,MAC,,26,7,72,60.2,11.82,,0.79,,7.63,4.98,12.61,66.73,44.96,21.77
60,Villanova,Big East,,20,12,63.3,57.9,5.38,,7.19,,1.27,11.29,12.57,72.51,48.32,24.19
61,Auburn,SEC,,20,13,62.1,59.8,2.21,,10.62,,1.85,10.31,12.16,62.66,38.95,23.72
62,Army,Patriot,,29,3,70.3,50.8,19.5,,-6.75,,3.63,8.49,12.12,68.79,45.59,23.2
63,Colorado State,MWC,,31,2,68,51.2,16.79,,-3.07,,2.49,9.51,12,61.83,40.32,21.51
64,Washington State,Pac-12,,14,16,64.6,64.9,-0.3,,12.28,,6.69,5.3,11.98,63.82,42.2,21.62
65,Drake,MVC,,23,10,79.6,67.3,12.3,,0.18,,15.92,-4.26,11.65,70.64,50.78,19.87
66,Brigham Young,WCC,,26,7,69.7,62.1,7.58,,4.91,,6.15,5.16,11.32,66.05,46.07,19.98
67,Virginia Tech,ACC,,18,14,58.4,53.5,4.91,,6.32,,-2.18,13.41,11.23,60.59,38.56,22.03
68,Virginia,ACC,,18,16,63.5,61,2.44,,8.64,,4.58,6.5,11.08,66.86,45.79,21.07
69,Creighton,Big East,,17,18,64.9,62.1,2.8,,8.22,,3.41,7.61,11.02,72.64,51.48,21.16
70,Florida Gulf Coast,A-Sun,,33,6,64.7,50,14.74,,-2.74,,-1.1,12.1,11,62.64,39.76,22.88
71,Gonzaga,WCC,,19,14,65.9,58.6,7.3,,3.55,,1.63,9.23,10.86,66.02,45.62,20.4
72,Dayton,A-10,,14,15,67.8,64.7,3.14,,7.64,,8,2.78,10.78,66.85,45.99,20.86
73,St. Bonaventure,A-10,,24,8,62.8,55.9,6.91,,3.77,,0.95,9.73,10.68,63.92,43.23,20.69
74,Tulane,AAC,,23,12,64.4,62.7,1.66,,9.03,,4.31,6.37,10.68,68.06,46.99,21.07
75,Alabama,SEC,,15,16,63.7,58.2,5.52,,4.85,,1.89,8.48,10.37,60.17,40.38,19.79
76,Pennsylvania,Ivy,,24,5,62.5,52,10.48,,0.24,,-1.66,11.61,9.95,62.14,42.36,19.78
77,Middle Tennessee,CUSA,,24,9,69.6,61.5,8.03,,1.89,,5.68,4.24,9.92,68.42,47.76,20.66
78,Penn State,Big Ten,,12,19,70.1,72.5,-2.45,,12.26,,9.88,-0.08,9.81,69.61,50.79,18.82
79,Georgetown,Big East,,16,14,64.8,61.7,3.07,,6.66,,3.82,5.91,9.72,63.6,44.25,19.35
80,Saint Mary's,WCC,,24,8,74.6,67.7,6.94,,2.6,,10.57,-1.03,9.54,70.57,53.05,17.52
81,Boston College,ACC,,15,16,59.5,58.6,0.87,,8.64,,-0.02,9.53,9.51,63.92,44.91,19.01
82,Arkansas State,Sun Belt,,27,6,75,60.7,14.27,,-4.96,,8.08,1.23,9.32,69.96,49.84,20.12
83,Western Kentucky,CUSA,,27,7,70.8,63.1,7.62,,1.52,,6.49,2.76,9.25,69.69,50.69,19.01
84,Missouri State,MVC,,24,10,70.3,62.8,7.47,,2.35,,8.11,1.12,9.23,65.92,48.09,17.83
85,Illinois,Big Ten,,9,21,68.5,71.9,-3.37,,12.36,,6.62,2.37,8.99,66.57,48.81,17.76
86,Iowa State,Big 12,,13,17,67.4,67.7,-0.33,,9.23,,7.09,1.81,8.9,70.37,51.83,18.53
87,San Diego,WCC,,25,8,54.6,60.2,-5.58,,1.44,,2.62,6.23,8.85,68.64,51.38,17.26
88,Virginia Commonwealth,A-10,,23,10,63.9,55.1,8.79,,-0.01,,0.68,8.1,8.78,63.34,44.49,18.85
89,Saint Louis,A-10,,26,8,70.3,61.3,9,,0.45,,6.76,1.86,8.63,66.04,48.59,17.44
90,Northern Iowa,MVC,,24,11,63.7,57.3,6.37,,2.61,,-0.11,8.71,8.61,62.5,45.19,17.31
91,Marquette,Big East,,14,16,77.4,78.3,-0.97,,9.38,,18.51,-10.1,8.41,73.96,57.47,16.49
92,Ball State,MAC,,22,10,68.8,61.5,7.28,,2.11,,2.72,5.32,8.04,62.87,46.86,16.01
93,Louisiana State,SEC,,10,21,54.5,59.5,-5,,13.03,,-1.63,9.67,8.03,63.08,46.67,16.41
94,Central Michigan,MAC,,22,11,74,67.1,6.97,,0.73,,9.16,-1.47,7.7,70.24,54.94,15.3
95,Memphis,AAC,,18,13,67.9,67.9,-0.03,,7.72,,6.42,1.27,7.69,64.84,48.54,16.31
96,Idaho,Big Sky,,24,10,74.7,64.4,10.29,,-1.77,,7.49,0.09,7.57,61.85,47.11,14.74
97,Arkansas,SEC,,12,18,60.1,63,-2.9,,10.26,,1.89,5.47,7.36,60.48,44.52,15.95
98,Hofstra,CAA,,25,9,64.4,56.7,7.65,,-0.39,,1.96,5.3,7.25,62.18,46.6,15.58
99,Santa Clara,WCC,,23,9,65.5,58.4,7.06,,3.08,,0.08,7.13,7.21,52.81,38.61,14.2
100,UC Riverside,Big West,,23,9,77.8,70.2,7.69,,-0.51,,13.53,-6.35,7.18,71.8,56.93,14.88
101,Drexel,CAA,,19,14,60.1,55.8,4.33,,2.74,,-1.56,8.63,7.07,68,51.28,16.73
102,Arizona,Pac-12,,13,19,56.9,62.4,-5.5,,12.38,,-1.57,8.45,6.88,60.06,45.6,14.46
103,Tennessee-Martin,OVC,,22,10,73,63.2,9.88,,-3.08,,6.13,0.66,6.79,69.91,53.89,16.02
104,UTEP,CUSA,,29,5,71.1,62.3,8.76,,-0.66,,5.63,1.11,6.74,60.29,45.69,14.6
105,Mississippi,SEC,,10,20,64.7,64.6,0.1,,6.29,,3.85,2.54,6.39,59.12,44.76,14.36
106,Colorado,Pac-12,,7,23,61.9,69.6,-7.67,,14.02,,4.33,2.02,6.35,63.08,48.81,14.27
107,Texas Tech,Big 12,,13,18,63.3,66.8,-3.48,,9.45,,3.64,2.33,5.97,62.75,49.1,13.65
108,Pittsburgh,ACC,,13,18,59.9,63,-3.1,,9.02,,-0.8,6.73,5.93,60,46.43,13.57
109,Wisconsin,Big Ten,,7,22,64.3,72.4,-8.1,,14.01,,3.35,2.56,5.91,67.44,54.6,12.84
110,East Carolina,AAC,,13,19,67.6,70.3,-2.78,,8.63,,8.1,-2.25,5.85,66.14,51.83,14.32
111,Maine,AmEast,,26,9,60.5,51.1,9.34,,-2.63,,-4.61,10.43,5.82,64.29,49.39,14.9
112,Eastern Michigan,MAC,,22,12,71.9,65.8,6.15,,1.38,,4.84,0.7,5.54,60.27,48.12,12.14
113,Wright State,Horizon,,24,11,75.9,65.6,10.23,,-0.71,,7.76,-2.29,5.47,59.56,47.96,11.6
114,Southern Methodist,AAC,,13,18,60.1,63.8,-3.68,,8.75,,-0.06,5.13,5.07,56.33,43.07,13.26
115,Hawaii,Big West,,21,11,64.6,59.3,5.25,,-0.19,,-1.14,6.2,5.06,60.79,48.35,12.44
116,Chattanooga,Southern,,24,8,57.7,52.9,4.84,,0.14,,-6.62,11.61,4.99,61.8,46.16,15.64
117,San Francisco,WCC,,21,12,71.6,67.5,4.15,,2.87,,6.7,-1.8,4.9,61.31,50.4,10.91
118,Quinnipiac,MAAC,,25,9,67.5,58.7,8.79,,-3.91,,3.33,1.55,4.88,63.32,51.35,11.97
