,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
1,South Carolina,SEC,,36,1,80.3,51.8,28.57,36.44,15.7,14.43,22.28,21.99,44.26,123.18,62.37,60.81,68.2
2,Louisiana State,SEC,,34,2,82.3,57.9,24.36,27.45,10.78,21.97,22.24,12.91,35.14,118.01,71.59,46.42,68.14
3,Connecticut,Big East,,31,6,75.9,58.8,17.08,27.78,16.96,20.85,19.24,14.81,34.04,116.26,70.01,46.25,63.68
4,Stanford,Pac-12,,29,6,76.1,58.2,17.91,28.15,15.99,19.58,18.53,15.38,33.91,119.1,72.27,46.83,63.19
5,Indiana,Big Ten,,28,4,80.9,62.1,18.84,33.89,14.66,13.55,20.97,12.54,33.51,119.38,74.36,45.03,58.67
6,Iowa,Big Ten,,31,7,87.3,71.8,15.5,19.66,17.75,19.11,29.01,4.23,33.25,123.97,80.56,43.41,50.31
7,Utah,Pac-12,,27,5,82.8,66,16.84,14.36,13.38,20.05,24.68,5.55,30.23,120.44,80.63,39.82,45.57
8,Notre Dame,ACC,,27,6,73.9,58.9,14.97,19.12,14.68,15.13,14.76,14.89,29.65,110.61,71.34,39.27,45.05
9,Texas,Big 12,,26,10,72.9,57.4,15.42,17.26,14.18,16.84,14.09,15.5,29.59,110.86,71.36,39.51,42.43
10,Virginia Tech,ACC,,31,5,72.4,57.8,14.67,17.68,14.45,14.78,14.77,14.34,29.12,116.45,76.14,40.31,43.25
11,Tennessee,SEC,,25,12,77.1,65.9,11.14,18.61,17.52,13.09,19.37,9.28,28.66,114.25,76,38.24,42.4
12,Maryland,Big Ten,,28,7,79.1,68.7,10.4,19.89,18.11,11.73,20.39,8.12,28.51,114.91,77.25,37.66,42.17
13,Duke,ACC,,26,7,63.6,51,12.58,17.91,15.24,13.52,6.1,21.72,27.82,103.02,65.01,38.01,41.68
14,Iowa State,Big 12,,22,10,75.4,64.6,10.81,14.94,16.49,16.29,16.26,11.05,27.31,113.09,76.51,36.58,40.18
15,Ohio State,Big Ten,,28,8,80.1,68.4,11.61,13.94,15.3,17.25,20.08,6.84,26.91,112.51,77.7,34.81,42.32
16,Oregon,Pac-12,,20,15,74.4,63.3,11.03,15.3,14.75,15.84,16.69,9.08,25.78,113.98,78.73,35.25,43.16
17,Florida State,ACC,,23,10,79.3,66.9,12.36,11,12.7,19.88,21.21,3.85,25.06,110.08,78.35,31.73,41.27
18,Louisville,ACC,,26,12,73.3,64.2,9.05,15.97,15.9,14.91,14.81,10.15,24.96,112.01,78.27,33.74,41
19,NC State,ACC,,20,12,70.8,62.6,8.25,15.58,16.68,13.87,14.35,10.58,24.93,109.81,76.21,33.6,39.13
20,UCLA,Pac-12,,27,10,69.7,61.7,8.05,11.94,16.87,16.36,12.61,12.32,24.93,109.99,75.79,34.2,36.74
21,Villanova,Big East,,30,7,70.8,58.7,12.11,13.06,12.51,15.14,11.85,12.77,24.61,113.38,78.42,34.96,36.81
22,North Carolina,ACC,,22,11,68.9,59.8,9.12,6.8,15.29,20.36,11.82,12.6,24.41,105.62,72.94,32.69,35.33
23,Colorado,Pac-12,,25,9,69.2,59.3,9.88,5.5,14.51,21.27,11.06,13.34,24.4,108.07,74.15,33.92,36.22
24,Michigan,Big Ten,,23,10,73.5,63.4,10.12,11.34,13.78,15.32,13.07,10.83,23.9,110.29,78.56,31.73,36.12
25,Arizona,Pac-12,,22,10,74.1,65.1,8.97,9.63,14.9,16.46,14.76,9.11,23.87,109.07,77.66,31.41,34.36
26,Mississippi,SEC,,25,9,68.6,56.7,11.91,9.36,11.96,16.43,8.91,14.96,23.87,104.68,71.95,32.74,35.66
27,Kansas,Big 12,,25,11,72.6,62.4,10.17,8.43,13,17.02,12.85,10.32,23.17,108.07,76.55,31.52,34.81
28,Creighton,Big East,,22,9,71,61.8,9.13,8.75,13.96,16.66,12.31,10.78,23.09,114.37,81.94,32.44,33.93
