,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
29,Baylor,Big 12,,20,13,71.8,63.5,8.24,16.85,14.78,10.12,12.58,10.45,23.02,105.91,75.06,30.85,33.28
30,Mississippi State,SEC,,22,11,71.1,59,12.03,10.44,10.58,14.19,10.76,11.85,22.61,105.04,75.42,29.63,32.92
31,Georgia,SEC,,22,12,67.1,58.7,8.32,14.41,13.91,9.35,7.53,14.7,22.23,103.22,73,30.22,31.86
32,Southern California,Pac-12,,21,10,64.2,55.1,9.16,10.26,13.05,13.36,5.44,16.77,22.21,100.21,69.87,30.34,31.92
33,Oklahoma,Big 12,,26,7,84.2,75.4,8.73,11.44,13.19,11.9,24.92,-2.99,21.92,114.27,85.89,28.38,31.06
34,Michigan State,Big Ten,,16,14,78.2,67.1,11.1,11.65,10.58,11.59,16.43,5.26,21.68,107.9,80.21,27.69,30.81
35,Washington State,Pac-12,,23,11,67,61.3,5.74,9.94,15.73,11.38,8.77,12.7,21.47,106.56,77.5,29.05,28.74
36,Alabama,SEC,,20,11,70,60.4,9.65,10,11.72,10.97,11.57,9.8,21.37,109.17,80.07,29.09,28.92
37,Nebraska,Big Ten,,18,15,71.2,65.3,5.97,10.94,14.68,9.22,11.04,9.61,20.65,105.23,77.58,27.65,26.12
38,Oklahoma State,Big 12,,21,12,75.3,68.2,7.09,7.71,13.55,12.25,15.43,5.2,20.64,111.08,84.15,26.92,26.12
39,Miami (FL),ACC,,22,13,69.6,63.6,6,9.06,14.25,10.88,11.02,9.24,20.25,106.16,79.51,26.65,25.87
40,Arkansas,SEC,,24,13,72.2,65.6,6.57,6.65,13.2,13.1,12.7,7.06,19.77,104.62,78.24,26.38,26.36
41,Illinois,Big Ten,,22,10,75.3,65.2,10.09,6.45,9.51,13.06,12.95,6.66,19.6,111.55,85.8,25.75,25.09
42,South Dakota State,Summit,,29,6,78.3,60.6,17.77,8.61,1.63,10.06,12.03,7.38,19.4,108.16,81.55,26.61,25.62
43,Purdue,Big Ten,,19,11,70.5,65.2,5.27,7.29,14.04,11.11,9.12,10.19,19.31,105.49,80.21,25.28,25.5
44,Marquette,Big East,,21,11,65,58.2,6.78,5.94,12.32,11.74,6.77,12.33,19.1,100.59,74.7,25.89,23.55
45,South Florida,AAC,,27,7,70.1,60,10.18,12.89,8.68,4.63,10.63,8.23,18.86,108.87,83.11,25.76,23.71
46,Middle Tennessee,CUSA,,28,5,73.5,57.4,16.03,6.69,2.75,12.35,8.49,10.29,18.78,106.75,80.22,26.53,23.29
47,Oregon State,Pac-12,,13,18,67,64.8,2.19,13.06,15.29,3.75,9.43,8.06,17.49,105.28,81.86,23.42,22.68
48,Florida Gulf Coast,A-Sun,,33,4,77.4,56.6,20.81,12.65,-1.47,4.15,11.97,5.42,17.39,109.89,84.94,24.95,23.6
49,Gonzaga,WCC,,28,5,71.6,59.9,11.73,2.38,5.43,14.35,9.36,7.8,17.16,109.26,85.43,23.84,22.01
50,Columbia,Ivy,,28,6,78.2,63.3,14.85,5.71,2.27,10.98,14.12,3.01,17.13,106.15,83.88,22.26,22.25
51,Syracuse,ACC,,20,13,74.2,67.9,6.33,4.94,10.5,11.75,14.75,2.09,16.84,106.14,84.54,21.6,21.67
52,Virginia,ACC,,15,15,68.7,63.3,5.47,14.35,11.35,2.27,10.27,6.55,16.82,101.44,79.97,21.47,23.3
53,Princeton,Ivy,,24,6,65.2,53.2,12.03,6.16,4.35,10.46,1.92,14.47,16.39,100.23,76.62,23.61,21.66
54,Drake,MVC,,22,10,79.2,66,13.13,1.22,2.95,15.22,14.63,1.44,16.08,104.17,83.15,21.02,21.31
55,Kansas State,Big 12,,19,17,70.1,67.3,2.78,11.63,13.21,4.65,10.55,5.44,15.99,102.09,81.21,20.89,22.84
56,Washington,Pac-12,,19,15,60.8,58.9,1.94,-2.85,13.75,17.53,1.15,14.54,15.69,97.65,76.78,20.87,19.24
57,Missouri,SEC,,18,14,64.6,62.3,2.31,2.5,13.25,12.83,5.05,10.52,15.56,104.33,83.41,20.92,19.19
58,DePaul,Big East,,16,17,76.6,72.3,4.33,13.09,11.12,1.78,17.76,-2.31,15.45,108.94,88.32,20.62,19.39
59,West Virginia,Big 12,,19,12,66,61.5,4.52,18.62,10.79,-4.04,4.78,10.53,15.31,97.88,77.64,20.24,18.81
60,Clemson,ACC,,19,16,66.3,62.8,3.54,9.15,11.7,3.97,6.53,8.72,15.24,99.52,79.52,19.99,18.02
61,Nevada-Las Vegas,MWC,,31,3,76.6,62.6,13.97,3.34,0.88,9.15,12.17,3.01,15.18,108.22,86.96,21.25,16.4
62,St. John's (NY),Big East,,23,9,65.3,59.6,5.72,-0.12,9.31,12.39,5.19,9.84,15.03,107.24,86.44,20.79,15.99
63,Massachusetts,A-10,,27,7,76.2,63.3,12.91,8.66,0.6,3.55,11.7,1.8,13.51,104.88,87.08,17.8,16.82
64,Northern Iowa,MVC,,23,10,74.6,65.5,9.12,4.63,4.32,8.69,10.35,3.08,13.44,104.78,86.74,18.04,15.82
65,Auburn,SEC,,16,15,66.6,65.9,0.74,-2.8,12.15,14.78,8.33,4.57,12.89,97.53,81.25,16.28,16.03
66,Georgia Tech,ACC,,13,17,60.9,62.4,-1.5,3.94,14.11,7.74,2.28,10.32,12.61,97.36,80.86,16.5,14.9
67,Memphis,AAC,,22,11,67.4,61.2,6.21,18.55,6.39,-6.93,5.26,7.34,12.6,98.86,82.44,16.42,16.1
68,Wake Forest,ACC,,17,17,59.9,60.1,-0.21,-4.15,12.76,15.54,0.49,12.07,12.55,97.85,81.48,16.37,14.92
69,Seton Hall,Big East,,19,15,71.2,69.1,2.12,7.21,10.39,4.05,12.13,0.38,12.51,107.34,90.05,17.3,16.19
70,Kentucky,SEC,,12,19,67.8,68.8,-1.06,-4.15,13.45,15.2,8.7,3.69,12.39,97.87,81.35,16.52,14.34
71,Houston,AAC,,15,16,64.8,59.5,5.29,9.83,7.07,1.21,3.1,9.25,12.36,90.53,73.82,16.71,14.6
72,California,Pac-12,,13,17,68.1,69.6,-1.57,-3.56,13.77,14.51,9.22,2.99,12.21,104.86,88.38,16.48,13.81
73,Texas Tech,Big 12,,20,15,68.9,66.8,2.14,11.23,10.04,0.38,7.88,4.3,12.18,103.09,86.14,16.95,15.33
74,Bowling Green,MAC,,31,7,76.9,63.8,13.11,10.06,-0.85,1.66,9.79,1.7,11.5,99.22,84.45,14.77,14.47
75,Harvard,Ivy,,20,12,71.5,64.2,7.34,11.45,3.78,0.49,8.69,2.44,11.12,104.11,89.56,14.55,11.45
76,Stephen F. Austin,WAC,,27,7,75.3,60.7,14.56,7.33,-1.63,2.59,6.82,4.2,11.03,101.1,86.33,14.78,13.69
77,Penn State,Big Ten,,14,17,70.8,72.1,-1.29,12.8,12.24,-0.95,9.98,0.97,10.95,100.06,86.17,13.89,12.56
78,Boston College,ACC,,16,17,65.9,66.7,-0.82,-7.79,11.76,17.22,6.74,4.2,10.94,96.5,81.98,14.52,12.65
79,Florida,SEC,,19,15,68.9,68.4,0.53,11.62,10.36,1.34,8.46,2.43,10.89,99.59,84.79,14.81,11.78
80,Toledo,MAC,,29,5,73,63.7,9.32,12.7,1.19,-1.23,6.86,3.65,10.51,102.7,88.28,14.42,11.19
81,Cleveland State,Horizon,,30,5,74.1,58,16.09,-1.26,-5.62,10.46,6.8,3.67,10.47,97.22,83.45,13.77,12.39
82,Portland,WCC,,23,9,69.3,62.8,6.56,6,6.18,4.27,5.66,4.58,10.24,101.83,87.6,14.23,12.1
83,Rhode Island,A-10,,26,7,67.8,57.2,10.58,10.16,-0.73,-0.43,3.3,6.55,9.85,96.67,82.9,13.76,10.19
84,Belmont,MVC,,23,12,71.6,67.1,4.46,0.16,5.13,8.4,7.28,2.31,9.59,103.2,90.96,12.25,11.24
85,Southern Methodist,AAC,,17,13,62.9,58.3,4.57,-5.55,4.97,14,0.05,9.5,9.54,93.36,80.6,12.76,10.45
86,Ball State,MAC,,26,9,77.8,66.6,11.2,14.24,-0.47,-1.6,10.01,-0.54,9.47,103.39,90.81,12.58,12.12
87,Green Bay,Horizon,,28,6,67.9,54.4,13.53,5.84,-4.32,2.48,-0.48,9.7,9.21,98.17,84.48,13.69,11.36
88,Minnesota,Big Ten,,11,19,71.4,73.6,-2.2,7.03,10.39,2.81,8.86,-0.68,8.19,95.84,85.46,10.38,11.12
89,Colorado State,MWC,,20,12,72.3,64.2,8.16,11.37,1.41,-1.28,7.36,0.82,8.18,102.97,91.63,11.34,10.84
90,Texas A&M,SEC,,9,20,56.9,63.9,-7,-5.56,15.17,13.17,-0.42,8.58,8.17,93.16,82.99,10.17,9.81
91,Vanderbilt,SEC,,12,19,67.6,71.1,-3.48,11.71,11.58,-2.78,8.21,-0.11,8.1,102.27,92.11,10.16,9.7
92,East Carolina,AAC,,23,10,62.6,56.7,5.94,8,2.01,2.26,-0.26,8.21,7.95,88.31,78.63,9.68,10.78
93,San Diego State,MWC,,23,11,65.5,57.3,8.21,8.55,2.45,2.35,0.17,7.71,7.88,95.48,84.47,11.01,9.66
94,Wisconsin,Big Ten,,11,20,68.5,72.6,-4.13,-3.35,11.99,11.88,7.45,0.41,7.86,100.51,90.38,10.13,9.49
95,Pittsburgh,ACC,,10,20,63.1,68.6,-5.57,9.89,13.39,0.6,3.92,3.9,7.82,97.61,87.46,10.15,9.23
96,Tulane,AAC,,18,14,66.4,60.5,5.88,12.85,3.39,-6.03,3.01,4.8,7.8,97.99,87.88,10.11,9.59
97,Illinois State,MVC,,24,9,68.8,62.4,6.36,-1.37,1.58,7.93,3.62,4.06,7.68,99.26,89,10.26,8.19
98,Fordham,A-10,,19,13,72.3,65.3,7,9.26,0.88,-1.65,8.16,-1.06,7.1,96.18,87.54,8.63,8.77
99,Richmond,A-10,,21,11,69,61.6,7.38,0.18,-0.47,5.87,3.74,3.16,6.9,97.11,88.49,8.63,7.33
100,Sacramento State,Big Sky,,25,8,68.5,59.9,8.64,11.49,-1.78,-3.84,2.67,4.18,6.85,104.15,93.47,10.68,6.94
101,Arizona State,Pac-12,,8,20,65.3,74,-8.68,15.34,15.38,-6.57,6.87,-0.17,6.7,97.78,88.65,9.13,8.3
102,Rice,CUSA,,23,9,71.7,67,4.66,-10.52,1.91,15.94,6.92,-0.36,6.57,100.1,91.45,8.65,6.6
103,Wyoming,MWC,,23,11,65.6,58.6,6.94,4.22,1.37,0.97,-0.28,6.65,6.37,100.38,91.01,9.37,7
104,Brigham Young,WCC,,16,17,63.7,61.6,2.12,14.65,4.9,-9.56,-1.22,7.55,6.34,95.36,86.97,8.39,7.99
105,New Mexico,MWC,,21,13,73.9,67.6,6.29,12.09,0.91,-4.03,9.19,-2.89,6.3,101.09,92.89,8.2,7.64
106,Georgetown,Big East,,14,17,59.1,62.1,-3,14.31,10.28,-5.86,-1.06,7.21,6.15,90.97,82.59,8.39,7.7
107,Saint Joseph's,A-10,,20,11,66.5,60.5,5.97,8.47,0.05,-3.49,1.49,4.53,6.02,97.27,88.86,8.4,6.33
108,Northwestern,Big Ten,,9,21,63.7,71.1,-7.37,-2.81,13.21,7.76,2.73,3.11,5.85,91.15,83.62,7.53,5.45
109,Texas Christian,Big 12,,8,23,60,68.3,-8.23,6.66,13.45,-1.76,-0.34,5.56,5.22,90.83,83.84,6.99,6.12
110,Butler,Big East,,11,19,61.1,65.3,-4.27,7.65,9.38,-1.22,0.06,5.06,5.11,98.03,92.11,5.92,6.57
111,Missouri State,MVC,,20,12,68.1,66,2.09,13.17,2.79,-4.86,3.53,1.35,4.88,94.74,88.5,6.25,7.67
112,Wichita State,AAC,,18,15,66.1,63.7,2.45,1,2.29,4.75,2.63,2.11,4.74,95,88.73,6.27,6.37
113,Kent State,MAC,,21,11,70.4,62.6,7.84,-1.16,0.76,5.61,1.94,2.76,4.69,98.45,91.91,6.54,5.31
114,Tulsa,AAC,,17,13,69.4,65.6,3.83,15.27,0.59,-6.68,5.62,-1.19,4.43,98.99,92.84,6.15,5.7
115,UTEP,CUSA,,20,12,68.4,63.9,4.5,5.94,-0.14,-1.83,3,1.24,4.23,97.52,92,5.52,4.59
116,San Diego,WCC,,19,14,62.5,61.9,0.55,-4.27,4.4,8.16,-0.6,4.69,4.09,93.83,88.73,5.1,4.51
117,San Francisco,WCC,,19,13,68.1,65.5,2.66,5.79,3.37,-1.9,3.6,0.43,4.03,93.41,88.37,5.05,4.85
118,Santa Clara,WCC,,15,17,71.3,66.8,4.56,0.13,2.62,3.5,6.78,-2.76,4.02,100.93,95.85,5.08,4.56
119,Jackson State,SWAC,,21,10,68.8,59.6,9.23,3.53,-5.3,0.02,2.37,1.56,3.93,95.02,89.11,5.9,4.2
120,Providence,Big East,,13,19,60.7,63,-2.28,-0.97,6.13,4.13,-1.15,5,3.85,92.29,87.09,5.2,3.41
121,Temple,AAC,,11,18,63.1,66.1,-2.97,11.14,6.54,-3.59,3.24,0.33,3.57,93.87,89.41,4.47,4.01
122,James Madison,Sun Belt,,26,8,69.6,60.8,8.76,6.7,-4.31,0.01,1.83,1.64,3.48,94.48,89.95,4.53,3.14
123,Liberty,A-Sun,,24,9,70,63,6.97,5,-2.58,1.63,3.78,-0.71,3.07,100.7,96.35,4.35,3.86
124,Pennsylvania,Ivy,,17,12,63.4,59.3,4.07,3.97,0.74,-0.32,-1.01,3.93,2.92,93.99,90.39,3.6,3.06
125,Western Kentucky,CUSA,,19,14,70.1,69.3,0.79,4.76,2.11,-1.95,5.18,-2.28,2.9,96.39,92.82,3.57,3.07
126,Montana State,Big Sky,,20,11,68.6,64.4,4.29,6.42,-0.18,-3.4,2.95,-0.27,2.68,94,90.09,3.92,4.51
127,Northern Arizona,Big Sky,,21,14,74.7,71.3,3.37,11.47,1.12,-4.46,9.14,-6.52,2.62,95.07,91.76,3.31,4.22
128,UC Irvine,Big West,,25,7,62.4,53.2,9.22,12.24,-3.49,-7.31,-3.56,6.14,2.58,88.16,84.92,3.24,3.03
129,Pacific,WCC,,15,17,69.1,68.8,0.34,-3.91,4.17,6.61,5.9,-3.44,2.46,92.52,89.5,3.01,3.21
130,California Baptist,WAC,,22,13,74.1,71.4,2.71,3.53,-0.33,-1.03,8.17,-5.78,2.39,93.96,91.45,2.51,2.86
131,Long Beach State,Big West,,23,10,62.1,57.4,4.73,7.52,-1.15,-3.78,-2.13,4.45,2.32,92.53,89.81,2.73,3.43
132,Louisiana Tech,CUSA,,19,13,65.1,61.2,3.91,3.65,0.1,-0.61,-1.57,3.89,2.32,93.26,90.47,2.79,2.63
133,Saint Louis,A-10,,17,18,69.1,70.4,-1.34,5.63,3.63,-0.05,5.53,-3.24,2.28,93.35,90.96,2.4,1.81
134,Rutgers,Big Ten,,12,20,63.2,73.7,-10.56,11.78,12.79,-6.83,2.09,0.13,2.22,94.12,92.22,1.91,3.36
135,Eastern Washington,Big Sky,,19,11,69.5,63.5,6,-11.45,-1.5,13.39,1.94,-0.05,1.9,93.71,90.98,2.73,1.6
136,Southern Utah,WAC,,23,10,68.7,66.4,2.24,6.66,1.83,-3.13,1.86,-0.07,1.8,92.61,90.77,1.84,1.91
137,Hawaii,Big West,,18,15,60.3,60,0.27,4.55,1.15,-3.16,-2.75,4.17,1.42,91.49,90.19,1.3,1.37
138,Grand Canyon,WAC,,21,10,71.6,62.6,9,3.97,-4.43,-0.35,1.15,0.11,1.26,91.82,90.49,1.33,1.78
139,UC Santa Barbara,Big West,,21,12,66.8,61.1,5.79,10.72,-2.2,-4.74,1.92,-0.73,1.19,96.77,95.74,1.03,1.97
140,Murray State,MVC,,15,16,68.8,65.9,2.94,4.56,-0.45,-2.06,2.43,-1.28,1.15,98.74,97.05,1.69,-0.69
141,Troy,Sun Belt,,17,13,83.3,77.8,5.5,1.94,-2.37,-1.39,16.52,-15.44,1.08,96.01,95.48,0.52,0.54
142,Duquesne,A-10,,19,12,68.4,63.8,4.52,6.3,-2.04,-4.76,2.31,-1.25,1.06,94.96,94.52,0.44,0.51
143,Boston University,Patriot,,24,9,68.1,57.3,10.76,8.74,-10.06,-7.4,0.32,0.37,0.7,93.58,92.72,0.86,-0.13
144,UCF,AAC,,14,15,60.6,62.2,-1.59,-2.72,2.25,3.16,-2.83,3.49,0.66,85.56,84.82,0.73,0.24
145,Drexel,CAA,,21,10,67,59.6,7.39,0.94,-7.3,1.83,-1.48,1.56,0.09,96.55,95.95,0.6,0.07
146,Northern Kentucky,Horizon,,17,14,68.2,64.5,3.68,1.88,-3.73,-0.05,0.75,-0.81,-0.05,93.03,93.54,-0.51,0.34
147,UTSA,CUSA,,13,19,64.8,67.3,-2.53,0.35,2.06,1.06,-0.07,-0.4,-0.47,90.71,91.82,-1.11,0.03
148,Montana,Big Sky,,14,16,70.3,69,1.23,9.83,0.29,-7.1,4.31,-4.8,-0.49,96.88,97.59,-0.71,-0.14
149,Saint Mary's,WCC,,13,18,63.5,67.8,-4.29,1.84,3.65,-1.43,-0.28,-0.36,-0.64,90.82,92.58,-1.77,-0.03
150,George Washington,A-10,,18,13,64.4,62.3,2.1,1.55,-1.25,-1.48,-0.99,0.31,-0.68,92.77,94.21,-1.44,-0.28
151,Davidson,A-10,,14,16,62.3,63.6,-1.27,-12,0.58,12.04,-1.36,0.67,-0.69,95.14,96.82,-1.68,0.42
152,Pepperdine,WCC,,11,19,63.8,65.7,-1.9,5,1.84,-3.46,-0.01,-0.77,-0.79,90.7,92.83,-2.13,0.03
153,La Salle,A-10,,17,14,63.7,63.1,0.65,8.85,-2.11,-8.26,-1.88,0.87,-1.01,86.01,88.43,-2.42,-0.45
154,Air Force,MWC,,13,18,63.6,65.1,-1.45,-2.06,1.2,1.69,-1.62,0.59,-1.04,90.74,92.46,-1.72,-0.84
155,Boise State,MWC,,17,16,65.9,62.7,3.27,2.56,-0.61,-2.02,-2.33,1.24,-1.09,87.17,89.4,-2.22,-1.16
156,FDU,NEC,,24,8,65.1,53.2,11.88,8.71,-12.97,-5.17,-4.27,3.17,-1.1,91.29,92.22,-0.93,-0.74
157,New Mexico State,WAC,,18,17,62.1,59.7,2.37,4.27,-0.95,-3.38,-6.16,5.03,-1.13,87.88,89.49,-1.61,-0.84
158,Southern Illinois,MVC,,12,19,73.4,75,-1.58,2.18,0.41,-1.21,7.09,-8.26,-1.17,95.37,97.63,-2.26,-0.86
159,UT Arlington,WAC,,14,17,72.7,74.4,-1.68,5.58,0.68,-4.37,6.96,-8.15,-1.19,93.13,95.23,-2.1,-0.43
160,Gardner-Webb,Big South,,29,5,77,66.9,10.09,17,-11.3,-15.6,7.9,-9.11,-1.21,96.94,98.97,-2.03,0.71
161,Old Dominion,Sun Belt,,22,12,66.1,62.4,3.62,13.73,-4.68,-11.9,-1.71,0.24,-1.47,87.06,89.09,-2.03,-1.6
162,Texas State,Sun Belt,,23,10,67.5,59.2,8.3,0.28,-5.42,0.09,-2.32,0.8,-1.52,91.27,93.51,-2.24,-1.47
163,Abilene Christian,WAC,,15,15,71.1,64.9,6.2,0.67,-3.87,-0.46,1.41,-2.94,-1.54,96.9,99.3,-2.41,-1.59
164,Cincinnati,AAC,,9,21,59.8,64,-4.17,-0.58,2.63,-0.26,-3.2,1.66,-1.54,87.18,90.21,-3.03,-1.7
165,Youngstown State,Horizon,,19,11,67.2,59.5,7.7,0.56,-6.21,0.45,-2.67,1.14,-1.54,91.93,93.73,-1.8,-1.89
166,George Mason,A-10,,16,15,60.5,61.8,-1.32,7.91,-0.22,-3.96,-4.51,2.97,-1.55,87.5,90.16,-2.66,-0.97
167,Northeastern,CAA,,19,12,65.9,62.4,3.52,1.39,-5.1,0.83,-0.78,-0.81,-1.59,88.86,91.7,-2.84,-2.26
168,UC Davis,Big West,,16,14,63.5,61.1,2.47,5.42,-1.02,-2.3,-1.1,-0.64,-1.74,91.1,94.06,-2.96,-2.71
169,Utah Tech,WAC,,19,12,75.1,70.1,5,6.18,-4.48,-7.68,5.92,-7.71,-1.79,96.77,100.38,-3.61,-2.96
170,Chattanooga,Southern,,20,13,58.8,54.8,4,0,-4.8,-1.52,-8.53,6.67,-1.86,86.87,89.54,-2.67,-2.43
171,East Tennessee State,Southern,,25,10,64.4,55.7,8.66,4.09,-7.76,-3.82,-4.94,2.84,-2.1,92.39,94.36,-1.97,-3
172,Towson,CAA,,21,12,66.9,63.9,2.94,3.3,-5.33,-5,-0.84,-1.55,-2.39,89.75,93.87,-4.11,-3.08
173,UAB,CUSA,,14,17,71,69.6,1.39,4.55,-1.29,-3.56,3.67,-6.07,-2.4,93.7,97.23,-3.54,-2.79
174,Quinnipiac,MAAC,,21,9,61.5,54,7.5,1.69,-9.94,-3.49,-7.03,4.59,-2.44,85.09,88.58,-3.49,-3.29
175,Austin Peay,A-Sun,,17,12,59.5,56.3,3.21,7.3,-4.13,-6.26,-8.22,5.77,-2.45,85.59,89.12,-3.54,-2.53
176,Xavier,Big East,,7,23,55.2,65.9,-10.7,-9.28,8.19,7.43,-6.21,3.69,-2.51,83.08,87.97,-4.89,-3.11
177,Illinois-Chicago,MVC,,19,17,57.7,58.4,-0.72,4.25,-1.89,-1.64,-9.03,6.42,-2.61,86.56,91.18,-4.62,-2.32
178,Iona,MAAC,,26,7,63,55.5,7.52,-8.2,-10.45,6.2,-5.21,2.28,-2.93,88.79,92.94,-4.15,-3.47
179,IU Indy,Horizon,,17,13,71.6,71.7,-0.07,8.37,-2.97,-8.89,5.42,-8.46,-3.04,97.13,101.64,-4.51,-3.32
180,Cal State Fullerton,Big West,,14,16,61.3,63.1,-1.87,1.13,-1.21,1.09,-2.43,-0.64,-3.07,90,95.73,-5.72,-4.02
181,North Texas,CUSA,,11,20,62.6,67.5,-4.9,0.32,2.43,-0.01,-2.41,-0.66,-3.07,91.63,96.44,-4.82,-4.14
182,Marshall,Sun Belt,,17,14,63.7,59.8,3.9,-1.67,-4.05,-1.3,-5.97,2.85,-3.12,88.31,92.71,-4.41,-4.01
183,Wofford,Southern,,22,10,69.7,65,4.66,6.34,-5.83,-7.8,2.65,-5.79,-3.14,96.23,100.75,-4.52,-4.38
184,Akron,MAC,,17,13,68.6,66.6,1.97,-3.13,-2.38,2.42,-0.16,-3.01,-3.17,89.27,94.63,-5.36,-4.9
185,Charlotte,CUSA,,12,19,62,68.2,-6.26,-1.38,3.04,-1.88,-2.05,-1.16,-3.21,89.52,94.35,-4.83,-4.62
186,Mercer,Southern,,12,16,64.8,65.3,-0.5,-12.9,-1.59,9.56,-0.93,-2.35,-3.28,91.21,95.82,-4.61,-4.88
187,North Dakota State,Summit,,18,12,71.5,69.7,1.77,8.2,-3.37,-8.78,1.92,-5.22,-3.3,93.07,97.5,-4.43,-4.79
188,North Dakota,Summit,,19,13,75.3,71.2,4.13,-4.47,-5.54,1.06,5.37,-8.77,-3.41,92.47,97.4,-4.93,-5.41
189,Vermont,AmEast,,25,7,61.3,54.1,7.16,3.23,-10.15,-0.35,-7.74,4.27,-3.47,88.92,92.9,-3.98,-5.13
190,Southern Mississippi,Sun Belt,,21,10,64.6,61.4,3.23,5.53,-5.06,-5.58,-4.02,0.51,-3.51,87.44,92.76,-5.31,-5.57
191,Holy Cross,Patriot,,24,9,61.8,55.9,5.85,-12.74,-9.05,9.13,-6.38,2.86,-3.52,87.86,92.42,-4.55,-6.04
192,Southeastern Louisiana,Southland,,21,10,62.1,55.8,6.26,3.42,-6.82,-4.11,-7.98,4.34,-3.64,85.15,89.86,-4.71,-5.65
193,Norfolk State,MEAC,,26,7,61.6,50.7,10.94,-0.31,-11.7,-1.52,-9.75,6.03,-3.73,79.38,84.39,-5.02,-5.62
