,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,35,4,82.5,49.8,32.72,,16.38,,27.14,21.95,49.09,102.2,30,72.2
2,Baylor,Big 12,,34,2,81.1,54.1,27.03,,15.82,,24.91,17.38,42.3,97.4,34.43,62.97
3,Notre Dame,Big East,,35,2,81.2,59.2,21.95,,15.81,,25.06,12.7,37.76,94.89,39.79,55.1
4,Duke,ACC,,33,3,74.5,53.9,20.64,,12.88,,17.9,15.62,33.52,88.05,38.54,49.5
5,Stanford,Pac-12,,33,3,70.5,51.9,18.56,,12.55,,14.5,16.61,31.11,90.81,42.02,48.79
6,Maryland,ACC,,26,8,75,56.8,18.21,,12.23,,18.88,11.56,30.44,89.68,43.98,45.71
7,Kentucky,SEC,,30,6,75.4,57.9,17.5,,11.61,,19.18,9.93,29.11,84.44,40.8,43.64
8,Tennessee,SEC,,27,8,77.6,63.9,13.71,,14.31,,22.33,5.69,28.02,88.84,47.4,41.44
9,Texas A&M,SEC,,25,10,69.9,57.7,12.11,,14.52,,14.05,12.59,26.63,83.69,42.69,41
10,Louisville,Big East,,29,9,71.7,58.6,13.16,,13.44,,15.26,11.34,26.59,86.49,45.13,41.37
11,Penn State,Big Ten,,26,6,73.6,59.1,14.56,,11.84,,18.51,7.9,26.4,84.45,44.77,39.68
12,Oklahoma State,Big 12,,22,11,73.4,59.7,13.7,,11.18,,15.4,9.47,24.87,86.38,47.67,38.72
13,California,Pac-12,,32,4,71.8,58.5,13.36,,10.89,,14.66,9.59,24.25,85.7,48.05,37.64
14,Iowa State,Big 12,,24,9,67.4,57.6,9.73,,13.21,,10.29,12.64,22.93,82.57,46.88,35.7
15,Florida State,ACC,,23,10,74.8,65,9.82,,12.11,,18.28,4.26,22.53,83.63,51.1,32.52
16,Syracuse,Big East,,24,8,72,57.4,14.56,,7.76,,14.6,7.72,22.32,81.65,47.02,34.63
17,Georgia,SEC,,28,7,66.3,53.9,12.43,,8.66,,8.4,12.69,21.08,72.59,40.71,31.88
18,Nebraska,Big Ten,,25,9,67,59,8,,12.49,,10.36,10.1,20.46,81.1,48.04,33.06
19,Dayton,A-10,,28,3,75.9,59.1,16.77,,3.5,,16.56,3.71,20.28,81.75,50.94,30.81
20,Oklahoma,Big 12,,24,11,72.6,66.6,6.03,,14.2,,17.23,3,20.23,83.85,51.32,32.53
21,Michigan State,Big Ten,,25,9,61.7,52.1,9.56,,10.35,,4.85,15.06,19.91,76.17,43.15,33.02
22,Green Bay,Horizon,,29,3,67.9,49,18.91,,0.78,,3.96,15.94,19.9,75.37,42.2,33.17
23,UCLA,Pac-12,,26,8,67.5,60.4,7.12,,12.78,,11.43,8.46,19.89,77.95,46.35,31.6
24,South Carolina,SEC,,25,8,61.3,50.3,11,,8.81,,2.99,16.83,19.81,71.37,39.58,31.78
25,Delaware,CAA,,32,4,67,52.2,14.75,,4.8,,8.03,11.52,19.55,84.18,50.75,33.43
26,North Carolina,ACC,,29,7,68.9,60.2,8.69,,10.7,,11.87,7.52,19.39,72.47,42.97,29.5
27,Princeton,Ivy,,22,7,71.2,53,18.21,,0.5,,10.5,8.2,18.71,78.56,48.47,30.09
