,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Baylor,Big 12,,37,1,81.7,55.7,26.03,,15.66,,22.15,19.54,41.69,89.97,27.1,62.87
2,Notre Dame,ACC,,35,4,88.6,64.9,23.64,,17.1,,29.85,10.88,40.74,95.3,35.49,59.81
3,Mississippi State,SEC,,33,3,86.2,58.2,27.97,,10.79,,26.27,12.49,38.76,94.02,35.78,58.24
4,Connecticut,AAC,,35,3,82.8,56.6,26.21,,11.91,,22.98,15.15,38.13,91.94,33.91,58.03
5,Oregon,Pac-12,,33,5,84.9,63,21.95,,17.37,,26.17,11.61,37.78,97.12,40.37,56.74
6,Louisville,ACC,,32,4,77.9,59.5,18.36,,14.17,,18.74,13.79,32.53,87.91,36.97,50.95
7,Marquette,Big East,,27,8,82,61.9,20.11,,12,,22.68,9.43,32.12,86.24,37.94,48.3
8,Stanford,Pac-12,,31,5,74.1,60.9,13.19,,16.66,,15.56,14.3,29.86,81.6,35.18,46.42
9,Iowa State,Big 12,,26,9,78.9,64,14.89,,14.02,,19,9.91,28.91,83.23,38.69,44.54
10,Oregon State,Pac-12,,26,8,75.1,61.2,13.85,,13.82,,15.42,12.26,27.68,85.5,41.78,43.71
11,Iowa,Big Ten,,29,7,78.4,67.3,11.08,,14.13,,19.52,5.69,25.21,87.39,46,41.39
12,Arizona State,Pac-12,,22,11,65.4,58.2,7.18,,16.55,,7.03,16.7,23.73,77.38,38.07,39.31
13,South Carolina,SEC,,23,10,75.3,66.8,8.55,,15.1,,16.6,7.04,23.64,80.43,41.53,38.9
14,Syracuse,ACC,,25,9,77.2,67.2,10,,13.2,,17.3,5.9,23.2,79.19,42.51,36.69
15,Maryland,Big Ten,,29,5,75,61.2,13.85,,9.24,,14.61,8.48,23.09,79.71,41.95,37.76
16,UCLA,Pac-12,,22,13,73.7,68.8,4.97,,17.59,,15.94,6.63,22.56,80.96,44.34,36.62
17,NC State,ACC,,28,6,71,60.9,10.18,,12.3,,11.32,11.15,22.47,79.07,41.1,37.98
18,Kentucky,SEC,,25,8,71.6,59.2,12.42,,9.62,,11.03,11.02,22.05,75.31,38.6,36.72
19,West Virginia,Big 12,,22,11,70.8,57.3,13.45,,8.4,,9.29,12.57,21.85,72.76,36.73,36.03
20,Miami (FL),ACC,,25,9,73.6,63.5,10.03,,11.61,,13.41,8.23,21.64,78.78,43.07,35.71
21,South Dakota State,Summit,,28,7,79,62.6,16.37,,5.08,,14.27,7.18,21.45,76.79,43.13,33.66
22,Texas A&M,SEC,,26,8,69.8,60.4,9.41,,11.8,,9.6,11.61,21.21,75.5,39.5,36
23,Texas,Big 12,,23,10,70.5,62,8.55,,12.57,,10.46,10.65,21.11,76.43,41.41,35.01
24,Gonzaga,WCC,,29,5,73.4,58.9,14.47,,6.07,,9.8,10.74,20.54,75.85,42,33.85
25,DePaul,Big East,,26,8,81.1,72.9,8.18,,11.91,,21.41,-1.33,20.08,79.69,48.81,30.88
26,Utah,Pac-12,,20,10,74.2,64.6,9.63,,10.39,,14.08,5.94,20.02,80.24,46.9,33.34
27,Central Michigan,MAC,,25,8,80.5,66.3,14.21,,5.46,,17.45,2.22,19.67,83.98,51.89,32.1
28,Missouri,SEC,,24,11,65.9,58.7,7.14,,12.42,,5.37,14.2,19.57,76.09,42.43,33.66
29,Arizona,Pac-12,,24,13,68,60.7,7.32,,11.56,,7.44,11.44,18.89,71.58,39.67,31.91
30,California,Pac-12,,20,13,72.7,70,2.7,,16.18,,14.24,4.64,18.88,83.32,51.3,32.03
31,Florida State,ACC,,24,9,68.5,61.2,7.3,,11.43,,7.92,10.82,18.74,73.38,41.61,31.76
32,Michigan,Big Ten,,22,12,71.7,63.6,8.09,,10.07,,10.93,7.22,18.16,74.61,43.93,30.68
33,Michigan State,Big Ten,,21,12,75.1,68.6,6.48,,11.59,,14.47,3.6,18.08,78.35,47.6,30.75
34,Tennessee,SEC,,19,13,74.6,69.1,5.53,,12.08,,15.3,2.3,17.61,75.44,45.64,29.8
35,Drake,MVC,,27,7,80.5,66.6,13.88,,4.68,,16.6,0.93,17.53,73.84,46.17,27.68
36,Southern California,Pac-12,,17,13,69.9,67,2.93,,14.4,,11.51,5.82,17.33,74.82,45.54,29.28
37,Texas Christian,Big 12,,24,11,68.7,60.9,7.8,,9.32,,7.44,9.68,17.12,71.62,40.99,30.62
38,Virginia Tech,ACC,,22,12,72.4,62.5,9.91,,6.93,,11.21,5.64,16.85,76.79,47.23,29.56
39,North Carolina,ACC,,18,15,74.9,71.4,3.55,,13.17,,16,0.72,16.72,79.05,50.25,28.8
40,Northwestern,Big Ten,,21,15,65.3,59.5,5.75,,10.87,,4.91,11.71,16.62,68.29,40.18,28.11
41,Rutgers,Big Ten,,22,10,64.1,58.2,5.94,,10.35,,2.47,13.82,16.29,69.94,41.28,28.66
42,Auburn,SEC,,22,10,71.6,63.6,8.03,,8.6,,9.85,6.43,16.28,71.9,43.79,28.11
43,South Dakota,Summit,,28,6,77.1,59.7,17.35,,0.91,,9.77,6.48,16.25,69.37,42.85,26.53
44,Louisiana State,SEC,,16,13,61.7,56.2,5.52,,10.55,,1.28,14.78,16.06,67.25,38.59,28.67
45,Indiana,Big Ten,,21,13,69.1,65.5,3.56,,12.28,,9.25,6.59,15.84,71.86,44.57,27.29
46,Minnesota,Big Ten,,21,11,69.5,60.5,9.06,,6.36,,7.54,7.88,15.42,72.42,44.99,27.43
47,Nebraska,Big Ten,,14,16,72.4,70.1,2.3,,13.01,,12.22,3.1,15.31,74.72,47.69,27.03
48,Buffalo,MAC,,24,10,76.1,67.2,8.91,,6.23,,13.13,2.02,15.15,74.61,48.29,26.32
49,Butler,Big East,,23,10,66.7,58.5,8.18,,6.95,,4.18,10.95,15.14,66,39.73,26.27
50,Kansas State,Big 12,,21,12,64.5,64.4,0.06,,14.91,,5.48,9.49,14.97,69.95,43.43,26.52
51,Arkansas,SEC,,22,15,73.9,69.8,4.11,,10.67,,13.63,1.15,14.78,73.44,47.09,26.36
52,Georgia,SEC,,18,12,68.4,60.1,8.3,,6.28,,6.06,8.52,14.58,67.64,41.6,26.04
53,Clemson,ACC,,20,13,69.1,67,2.12,,12.14,,7.93,6.33,14.26,65.18,39.29,25.89
54,Georgia Tech,ACC,,17,13,67.5,63.6,3.9,,10.06,,6.14,7.82,13.96,66.67,41.37,25.3
55,Duke,ACC,,15,15,63.6,62,1.6,,12.11,,4.1,9.61,13.71,66.82,42.25,24.57
56,Purdue,Big Ten,,19,15,64.1,62.5,1.62,,11.64,,3.41,9.85,13.26,71.57,47.35,24.22
