,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
59,Indiana,Big Ten,,18,15,67.4,65.2,2.15,,12.88,,11.17,3.87,15.03,93.09,75.03,18.06
60,Xavier,A-10,,24,9,63.8,56.4,7.42,,7.58,,3.56,11.45,15.01,89.11,70.47,18.64
61,Hartford,AmEast,,28,6,64.4,53.9,10.59,,4.22,,2.87,11.93,14.81,90.24,71.34,18.9
62,Liberty,Big South,,28,4,71.7,54.9,16.75,,0.75,,5.79,8.97,14.75,91.75,73.42,18.33
63,Southern Methodist,CUSA,,24,9,73.2,64.7,8.52,,6.04,,11.69,2.87,14.56,91.45,74.88,16.57
64,Mississippi State,SEC,,16,15,66.2,62.1,4.1,,9.88,,6.24,7.73,13.98,81.68,67.57,14.12
65,Chattanooga,Southern,,29,4,69.6,56.5,13.06,,0.81,,5.93,7.94,13.87,90.31,73.12,17.19
66,South Carolina,SEC,,16,16,65.6,63,2.63,,11.23,,6.73,7.13,13.85,82.42,68.65,13.77
67,Drake,MVC,,23,11,67.2,60,7.18,,6.53,,5.1,8.61,13.71,90.3,74.13,16.16
68,Temple,A-10,,21,13,59.6,56.1,3.53,,10,,0.69,12.84,13.53,89.42,72.8,16.62
69,Villanova,Big East,,17,16,61,59.9,1.09,,12.3,,3.36,10.03,13.39,98.36,81.13,17.23
70,Oakland,Summit,,20,10,68.6,58,10.6,,3.35,,8.59,4.75,13.35,73.95,65.47,8.49
71,Green Bay,Horizon,,26,6,73.1,61.7,11.34,,2.01,,9.7,3.56,13.27,94.56,78.6,15.96
72,San Diego State,MWC,,18,13,65,59,6,,6.98,,5.38,7.59,12.98,85.92,70.14,15.77
73,Bowling Green,MAC,,26,8,72.1,60.5,11.56,,1.36,,8.28,4.57,12.85,91.91,76.38,15.53
74,Virginia Commonwealth,CAA,,26,8,65.5,56.4,9.06,,3.93,,3.89,8.88,12.77,87.68,72.19,15.48
75,Southern California,Pac-10,,17,13,62.6,60.6,2,,10.65,,3.95,8.7,12.65,84.78,69.3,15.48
76,Virginia Tech,ACC,,15,15,66.9,65.7,1.2,,11.98,,8.18,4.22,12.39,88.5,75.36,13.14
77,Georgetown,Big East,,15,14,62.2,60.8,1.45,,10.54,,3.43,8.57,11.99,87.9,74.13,13.77
78,Arkansas,SEC,,17,13,65.6,62.5,3.07,,8.91,,6.22,5.76,11.98,92.59,79.07,13.52
79,Boston College,ACC,,21,12,63.9,61.1,2.79,,9.16,,4.39,7.56,11.95,90.6,76.82,13.78
80,Dayton,A-10,,25,9,65.9,58.5,7.32,,4.49,,4.88,6.94,11.82,87.05,73.14,13.92
81,Florida,SEC,,19,14,68.4,69.3,-0.91,,13.56,,11.29,0.3,11.59,90.12,76.34,13.79
82,UCLA,Pac-10,,16,15,67.2,66.3,0.87,,10.54,,9.22,2.19,11.41,85.43,72.43,13
83,South Florida,Big East,,16,16,65.6,67.3,-1.69,,13.22,,7.89,3.37,11.25,90.1,76.99,13.12
84,Mississippi,SEC,,13,16,64.6,67.3,-2.69,,12.93,,6.78,3.46,10.24,87.6,76.34,11.26
85,Wake Forest,ACC,,15,15,56.5,56.2,0.3,,12.79,,-2.84,12.93,10.09,75.93,66.08,9.85
86,Creighton,MVC,,21,12,67.4,65.3,2.15,,7.83,,6.53,3.3,9.83,88.46,77.63,10.83
87,Montana,Big Sky,,25,7,74.8,63.8,10.94,,0.08,,9.03,0.78,9.82,94.61,83.16,11.46
88,Penn State,Big Ten,,13,18,63.4,68.7,-5.39,,15.09,,7.76,1.94,9.71,93.37,83.21,10.16
89,Seton Hall,Big East,,13,15,60.6,63.7,-3.11,,12.46,,2.2,7.22,9.42,86.13,75.8,10.34
90,San Diego,WCC,,19,13,68.3,64,4.34,,4.52,,4.87,4.46,9.32,88.41,78.16,10.26
91,Evansville,MVC,,21,12,69.6,65.5,4.09,,5.02,,8.01,1.1,9.11,90.02,80.7,9.33
92,Charlotte,A-10,,18,14,65.7,62.6,3.09,,5.82,,5.02,3.9,8.92,85.6,75.65,9.96
93,Oregon,Pac-10,,14,17,58.5,59.9,-1.39,,10.12,,0.18,8.74,8.92,86.03,75.82,10.21
94,Little Rock,Sun Belt,,23,9,60.3,52,8.22,,1.64,,-3.9,12.77,8.87,85.03,74.3,10.74
95,Cincinnati,Big East,,12,16,62.2,66,-3.75,,13.85,,3.87,4.87,8.74,89.42,80.99,8.44
96,Robert Morris,NEC,,23,10,73,63.2,9.79,,-1.5,,9.34,-1.06,8.29,91.29,82.17,9.12
97,Fresno State,WAC,,22,11,72.1,65.5,6.61,,2.68,,8.95,-0.8,8.15,90.44,81.2,9.24
98,Oral Roberts,Summit,,19,14,66.6,62.4,4.15,,4.18,,4.48,3.67,8.15,73.09,70.51,2.58
99,North Carolina A&T,MEAC,,25,8,75.1,63.1,12.06,,-1.94,,9.98,-1.88,8.1,83.28,75.85,7.43
100,Western Carolina,Southern,,25,9,74.1,66.9,7.15,,0.94,,11.62,-3.54,8.08,88.41,80.86,7.55
101,Miami (OH),MAC,,23,11,71.4,67.9,3.41,,4.27,,8.29,-0.6,7.68,88.09,80.21,7.88
102,Missouri,Big 12,,10,21,58.4,66.2,-7.81,,14.97,,1.79,5.62,7.4,83,76.53,6.47
103,Pepperdine,WCC,,10,18,67.6,67.9,-0.25,,8.06,,5.27,1.86,7.14,85.14,77.64,7.51
104,Tulane,CUSA,,16,14,65.4,63.4,1.97,,5.06,,3.19,3.84,7.03,87.41,80.38,7.04
105,Southern Mississippi,CUSA,,21,14,71.4,64.6,6.74,,1.74,,6.6,0.35,6.95,88.63,81.45,7.18
106,Vermont,AmEast,,24,9,66.9,58.8,8.09,,-1.15,,3.15,3.79,6.94,84.59,77.12,7.46
107,Boise State,WAC,,24,8,72.8,65.8,7,,0.63,,7.86,-0.98,6.88,87.54,80.92,6.63
108,Providence,Big East,,12,17,59.3,63.8,-4.48,,11.28,,1.34,5.46,6.8,83.95,77.54,6.42
109,Saint Joseph's,A-10,,17,14,61.6,60.8,0.84,,6.05,,2.31,4.31,6.62,84.96,77.98,6.97
110,Washington,Pac-10,,13,18,63.6,67.1,-3.52,,10.08,,5.36,1.21,6.56,85.85,78.73,7.12
111,Miami (FL),ACC,,9,21,60.3,63.8,-3.43,,11.2,,-0.02,6.54,6.52,81.94,76.82,5.13
112,Boston University,AmEast,,20,12,69.4,63.8,5.59,,0.78,,6.85,-0.48,6.37,90.27,83.67,6.61
113,UC Santa Barbara,Big West,,23,8,68.9,64.7,4.26,,2.27,,5.19,1.14,6.33,87.27,80.78,6.48
114,UAB,CUSA,,14,16,68.2,69.8,-1.6,,7.8,,7.1,-0.9,6.2,86.18,79.49,6.69
115,Murray State,OVC,,24,8,73.8,64.2,9.59,,-2.8,,8.64,-2.47,6.17,92.68,86.54,6.14
116,New Mexico State,WAC,,23,9,67.8,62.3,5.44,,0.77,,3.47,2.63,6.09,83.75,77.68,6.07
117,Santa Clara,WCC,,20,11,69.2,66.5,2.71,,3.05,,4.88,1.03,5.91,85.51,79.28,6.23
118,Richmond,A-10,,14,17,62.2,64.3,-2.06,,8.73,,3.1,2.81,5.9,87.53,80.45,7.08
119,Duquesne,A-10,,15,15,67.4,64.3,3.07,,4.25,,5.88,-0.01,5.87,86.31,80.64,5.67
120,Drexel,CAA,,18,12,59.8,54.6,5.27,,0.52,,-2.49,8.28,5.78,87.04,80.19,6.84
121,Ohio,MAC,,20,13,70.6,66.4,4.24,,2.15,,6.33,-0.61,5.73,87.76,82.42,5.34
122,UC Davis,Big West,,19,12,65.5,60.6,4.9,,0.76,,0.5,5.16,5.67,85.57,79.61,5.97
123,Coppin State,MEAC,,22,12,67.5,60.6,6.94,,-0.04,,1.84,3.81,5.65,81.47,76.39,5.09
124,Oregon State,Pac-10,,12,19,59.9,61.7,-1.84,,8.09,,-0.49,6.02,5.53,84.83,79.91,4.92
125,Portland State,Big Sky,,22,9,75.5,68.4,7.1,,-2.09,,8.7,-3.29,5.41,87.49,83.11,4.38
126,Houston,CUSA,,15,16,67.6,69.4,-1.74,,6.58,,5.8,-0.62,5.18,82.42,78.06,4.36
127,Indiana State,MVC,,14,15,68.4,70.3,-1.9,,6.99,,7.31,-2.21,5.1,88.85,84.5,4.34
128,Clemson,ACC,,12,19,61.9,70.9,-8.97,,13.98,,3.92,1.1,5.02,80.99,76.9,4.09
129,Fairfield,MAAC,,22,9,61.8,56.7,5.1,,0.26,,-2.48,7.44,4.96,81.86,76.65,5.21
130,Radford,Big South,,23,12,66.9,58.8,8.06,,0.42,,1.85,3.09,4.94,79.83,76.19,3.65
131,Marshall,CUSA,,17,16,68,68.1,-0.09,,4.97,,5.22,-0.35,4.88,84.19,80.89,3.31
132,Arkansas State,Sun Belt,,20,12,63,62,0.97,,3.5,,0.98,3.84,4.82,78.14,74.28,3.87
133,IU Indy,Summit,,17,16,57.9,57,0.85,,2.83,,-4.38,9.1,4.72,68.16,70.43,-2.27
134,Louisiana Tech,WAC,,16,15,68.4,65.5,2.84,,1.79,,4.81,-0.19,4.63,82.83,78.92,3.91
135,Arizona,Pac-10,,10,20,61.9,68.5,-6.63,,11.21,,4.06,0.51,4.58,83.14,79.19,3.95
136,Towson,CAA,,22,10,61.6,57.6,3.94,,1.48,,-0.44,4.96,4.51,80.48,76.73,3.76
137,Quinnipiac,NEC,,25,6,69,58.7,10.23,,-5.86,,4.08,0.29,4.37,88.05,84.28,3.77
138,Loyola Marymount,WCC,,15,15,64.7,65.8,-1.1,,5.62,,0.24,4.07,4.31,78.93,74.98,3.95
139,Brigham Young,MWC,,13,16,53.7,58.1,-4.34,,9.52,,-4.92,9.22,4.3,76.45,73.65,2.8
140,Louisiana-Monroe,Sun Belt,,17,13,63.5,61.6,1.93,,2.34,,0.9,3.37,4.27,77.94,75.66,2.28
141,East Tennessee State,A-Sun,,21,12,75.1,67.9,7.21,,-1.3,,10.69,-6.55,4.13,84.93,82.41,2.52
142,Samford,OVC,,23,9,63.8,58.8,5,,-1.29,,-1.43,5.15,3.72,85.91,82.4,3.51
143,Ball State,MAC,,15,15,67.2,66.5,0.77,,2.95,,3.44,0.27,3.71,88.13,85.69,2.44
144,Manhattan,MAAC,,15,15,64.4,61.1,3.33,,0.26,,0.86,2.74,3.6,89.47,86.41,3.05
145,Milwaukee,Horizon,,17,14,67.2,64,3.13,,0.76,,3.75,-0.26,3.49,85.34,83.27,2.07
146,Iona,MAAC,,20,14,70.6,67.3,3.35,,0.06,,8.03,-4.62,3.41,83.66,81.61,2.05
147,Davidson,Southern,,19,11,65,62.3,2.7,,0.75,,1.85,1.45,3.3,81.31,79.39,1.92
148,Western Illinois,Summit,,14,16,59.9,59.5,0.43,,3.01,,-3.64,6.94,3.3,70.23,73.95,-3.72
149,Butler,Horizon,,20,10,65.5,62,3.53,,0.71,,0.84,2.46,3.29,84.22,82.61,1.61
150,Portland,WCC,,15,15,69.5,68,1.5,,1.56,,4.46,-1.21,3.25,81.19,79.51,1.69
151,UTSA,Southland,,23,10,66.2,59.9,6.27,,-2.69,,2.17,0.95,3.12,83.62,80.86,2.76
152,Cleveland State,Horizon,,19,14,66.2,64.4,1.82,,0.87,,2.6,0.4,3,85.51,83.58,1.94
153,Massachusetts,A-10,,13,17,62.9,63.9,-1.07,,4.35,,1.67,1.23,2.9,83.96,82.24,1.72
154,Long Island University,NEC,,24,8,61.6,54.8,6.81,,-4.11,,-4.33,7.12,2.8,85.98,82.45,3.53
155,Northern Iowa,MVC,,13,18,60.2,63.8,-3.61,,6.19,,-1.32,4.11,2.79,81.34,80.56,0.77
156,Southern Illinois,MVC,,10,20,67.2,69.8,-2.63,,6.74,,5.04,-2.26,2.78,87.23,85.92,1.31
157,William & Mary,CAA,,14,18,61.9,61.9,-0.03,,3.23,,-0.91,3.66,2.75,79.86,78.02,1.84
158,UC Riverside,Big West,,14,16,61.9,61.4,0.53,,2.31,,-3.47,6.21,2.74,80.67,79.23,1.44
159,UT Arlington,Southland,,19,10,68.3,63.2,5.1,,-1.49,,1.83,0.87,2.7,79.98,79.06,0.93
160,Southeast Missouri State,OVC,,23,9,62,56.5,5.53,,-1.85,,-4.85,7.45,2.6,80,78.26,1.74
161,Nevada,WAC,,18,12,68.2,65.4,2.8,,-0.62,,3.55,-0.96,2.59,82.29,80.92,1.37
162,Eastern Michigan,MAC,,17,12,61.6,61.2,0.31,,2.23,,-0.04,2.59,2.56,81.27,80.46,0.81
163,Saint Mary's,WCC,,15,17,69.7,74,-4.25,,6.49,,7.73,-5.49,2.24,81.44,80.18,1.26
164,Bradley,MVC,,12,18,63.4,65.2,-1.87,,4.09,,0.78,1.44,2.22,80.61,80.08,0.54
165,Saint Peter's,MAAC,,19,12,63.7,61.6,2.06,,0.59,,0.6,1.59,2.19,81.73,80.84,0.89
166,San Francisco,WCC,,14,16,68.3,70.9,-2.57,,4.72,,5.55,-3.4,2.15,88.53,88.62,-0.09
167,Missouri State,MVC,,11,19,66.7,72.1,-5.37,,7.48,,5.53,-3.42,2.11,84.02,83.06,0.97
168,St. Bonaventure,A-10,,18,12,60.7,61.2,-0.47,,2.52,,-1.41,3.46,2.05,84.6,84.57,0.03
169,Cornell,Ivy,,20,9,65.1,58.9,6.24,,-3.92,,0.44,1.57,2.01,85.38,83.94,1.44
170,South Alabama,Sun Belt,,20,11,60.4,57.4,3,,0.97,,-3.98,5.95,1.97,76.66,76.75,-0.09
171,Jacksonville,A-Sun,,23,9,67.7,60.8,6.94,,-6.22,,2.93,-1.11,1.82,81.61,81.45,0.16
172,Rice,CUSA,,14,18,61.8,65.4,-3.56,,5.3,,0.01,1.73,1.73,78.24,78.5,-0.26
173,North Texas,Sun Belt,,14,18,65.4,65.4,-0.03,,2.59,,2.13,-0.48,1.66,80.01,80.18,-0.17
174,Western Michigan,MAC,,13,19,70.3,71.3,-1.03,,2.6,,7.3,-5.73,1.57,85.3,85.25,0.05
175,Texas State,Southland,,21,11,72.4,65.8,6.63,,-1.97,,8.93,-7.46,1.47,85.41,85.46,-0.06
176,Delaware State,MEAC,,18,14,57.3,53.4,3.88,,-1.87,,-8.12,9.42,1.29,75.36,74.99,0.37
177,East Carolina,CUSA,,13,17,67.2,68.3,-1.13,,4.9,,2.92,-1.67,1.25,81.38,81.99,-0.61
178,Idaho State,Big Sky,,20,10,74.5,71.1,3.43,,-0.42,,7.93,-6.97,0.95,88.98,90.4,-1.42
179,Montana State,Big Sky,,18,13,73.2,72.2,0.97,,-0.43,,7.89,-7.06,0.83,86.92,88.68,-1.77
180,UNC Wilmington,CAA,,17,14,62.2,63.7,-1.48,,3.18,,-0.02,0.59,0.58,82.27,83.99,-1.72
181,Sacred Heart,NEC,,19,11,62.8,57.5,5.3,,-4.86,,-1.73,2.17,0.44,83.11,83.94,-0.83
182,Albany (NY),AmEast,,13,18,61.9,60.7,1.19,,-0.77,,-1.39,1.81,0.42,79.27,81.18,-1.91
183,Florida International,Sun Belt,,13,18,60.1,65.2,-5.1,,5.95,,-0.48,0.9,0.42,80.12,82.18,-2.06
184,La Salle,A-10,,12,17,57.9,59.2,-1.31,,1.73,,-3.88,4.3,0.42,81.57,83.41,-1.84
185,Purdue Fort Wayne,Summit,,12,18,67.2,70.3,-3.1,,2.49,,6.69,-6.4,0.29,73.77,80.33,-6.56
186,Northwestern,Big Ten,,5,26,52.8,66.2,-13.42,,13.48,,-4.79,4.86,0.06,74.22,77.11,-2.89
187,Tulsa,CUSA,,11,20,58.3,63.1,-4.77,,4.72,,-4.42,4.36,-0.06,76.11,79.87,-3.76
188,Prairie View A&M,SWAC,,22,12,67.3,60.5,6.74,,-6.55,,-0.24,0.15,-0.1,76.16,78.21,-2.06
189,Valparaiso,Horizon,,14,16,66.3,67.7,-1.43,,2.22,,3.01,-3.11,-0.1,84.75,87.76,-3.01
190,Siena,MAAC,,11,18,64,67.7,-3.62,,3.24,,2.35,-2.72,-0.38,86.22,89.17,-2.96
191,Alabama,SEC,,8,22,54.9,65.1,-10.23,,9.85,,-4.63,4.25,-0.39,72.29,74.93,-2.64
192,Northern Colorado,Big Sky,,14,16,64.7,64.3,0.37,,-0.87,,-1.94,1.44,-0.5,82.16,85.48,-3.32
193,Eastern Illinois,OVC,,19,13,66.2,63.7,2.5,,-1.67,,1.09,-1.6,-0.51,81.77,84.5,-2.72
194,Saint Louis,A-10,,10,20,65.6,69.2,-3.57,,3.06,,4.39,-4.9,-0.51,83.59,86.89,-3.31
195,Denver,Sun Belt,,11,19,59.2,62.7,-3.57,,4.01,,-3.88,3.3,-0.58,78.06,81.64,-3.58
196,New Orleans,Sun Belt,,13,17,59.4,62.7,-3.3,,2.5,,-2.32,1.52,-0.8,77.15,81.54,-4.39
197,Kansas City,Summit,,11,20,62.2,65.3,-3.16,,2.46,,-0.87,-0.15,-1.02,65.39,73.53,-8.14
198,Harvard,Ivy,,18,11,65.2,62.8,2.45,,-4.08,,0.16,-1.28,-1.12,82.09,85.85,-3.76
199,American,Patriot,,18,14,60.1,56.7,3.47,,-4.48,,-3.72,2.53,-1.19,79.58,83.49,-3.91
200,Wright State,Horizon,,16,16,59.7,62.4,-2.75,,1.78,,-4.75,3.46,-1.29,77.61,82.58,-4.97
201,Northeastern,CAA,,14,16,63,68.1,-5.07,,3.55,,2.74,-4.26,-1.52,88.2,92.87,-4.68
202,UCF,CUSA,,10,20,68.6,71.3,-2.73,,1.38,,4.65,-6.34,-1.69,79.94,84.11,-4.18
203,Winthrop,Big South,,20,12,59.6,55.8,3.75,,-3.09,,-5.02,3.3,-1.72,77.06,81.44,-4.37
204,Bucknell,Patriot,,16,16,59.8,59.3,0.44,,-2.23,,-3.49,1.7,-1.79,76.15,80.43,-4.28
205,Hampton,MEAC,,18,13,63.6,61.8,1.81,,-2.21,,-2.09,0.29,-1.79,75.17,79.29,-4.12
206,Buffalo,MAC,,15,15,62.1,64.4,-2.23,,0.62,,-2.76,0.8,-1.96,77.7,83.36,-5.66
207,Northern Illinois,MAC,,10,18,62.6,68.9,-6.29,,4.33,,-0.06,-1.91,-1.96,79.29,85.08,-5.79
208,Troy,Sun Belt,,13,18,60.4,62.7,-2.35,,1.85,,-2.79,0.7,-2.09,77.87,84.25,-6.37
209,Georgia Southern,Southern,,17,13,61.4,61.6,-0.2,,-0.27,,-3.34,1.22,-2.13,78.33,83.47,-5.14
210,Hawaii,WAC,,12,18,64.1,66.4,-2.33,,0.18,,-0.66,-1.49,-2.15,76.22,81.26,-5.04
211,Army,Patriot,,18,12,58.7,55.5,3.27,,-3.95,,-5.06,2.7,-2.36,78.55,83.91,-5.36
212,Delaware,CAA,,7,24,50.6,58.6,-8.03,,5.54,,-10.11,7.62,-2.49,69.95,76.04,-6.09
213,Rhode Island,A-10,,13,18,57.2,63.8,-6.61,,4.06,,-3.66,1.12,-2.55,79.94,86.39,-6.44
214,Cal Poly,Big West,,13,19,66.8,69.4,-2.63,,-0.04,,2.62,-5.21,-2.59,80.59,85.96,-5.37
215,Binghamton,AmEast,,11,19,61.1,63.7,-2.6,,-0.02,,-1.64,-0.98,-2.62,79.47,85.86,-6.39
216,Maryland-Eastern Shore,MEAC,,17,13,67.1,63.4,3.77,,-4.69,,2.1,-4.72,-2.62,79.98,84.92,-4.94
217,Nevada-Las Vegas,MWC,,8,22,59.6,69.3,-9.7,,6.77,,1.13,-4.06,-2.93,80.24,86.64,-6.41
218,Toledo,MAC,,14,16,61.7,64.5,-2.83,,0.15,,-3.86,0.87,-2.99,78.63,85.69,-7.06
219,Loyola (MD),MAAC,,13,17,58.2,62.7,-4.47,,1.29,,-5.01,1.84,-3.18,78.6,85.41,-6.81
220,Weber State,Big Sky,,12,16,61.4,63.6,-2.14,,-0.23,,-4.56,1.33,-3.23,76.37,83.61,-7.24
221,Air Force,MWC,,10,19,56,64.5,-8.48,,7.57,,-4.21,0.98,-3.24,77.92,86.17,-8.25
222,Canisius,MAAC,,13,18,60.3,65.5,-5.23,,1.92,,-2.64,-0.67,-3.31,77.51,84.59,-7.08
223,Eastern Kentucky,OVC,,14,14,71.9,70,1.89,,-3.61,,5.73,-9.19,-3.46,82.78,90.16,-7.39
224,Lehigh,Patriot,,18,13,55.4,52.9,2.48,,-5.5,,-9.76,6.26,-3.5,70.04,77.24,-7.2
225,Holy Cross,Patriot,,19,13,58.4,59.5,-1.09,,-2.59,,-4.34,0.65,-3.68,77.96,85.71,-7.75
226,College of Charleston,Southern,,14,16,57.3,58.8,-1.57,,-0.9,,-8.18,4.31,-3.87,70.53,79.22,-8.68
227,Youngstown State,Horizon,,14,17,63.9,67.7,-3.74,,-0.24,,0.3,-4.28,-3.98,79.71,87.55,-7.85
228,Stephen F. Austin,Southland,,12,17,63.9,64.7,-0.83,,-2.57,,-2.61,-1.42,-4.03,72.4,80.53,-8.13
