,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,36,2,81.2,52.3,28.89,,19.3,,26.84,21.36,48.2,115.84,52.66,63.18
2,Tennessee,SEC,,36,2,76.7,58.7,18.08,,21.64,,23,16.72,39.72,109.04,58.44,50.6
3,North Carolina,ACC,,33,3,86.3,64,22.31,,15.62,,29.79,6.57,36.36,105.01,62.54,42.47
4,Louisiana State,SEC,,31,6,69.2,50,19.24,,16.25,,12.66,22.83,35.5,101.52,54.78,46.74
5,Stanford,Pac-10,,35,4,75.1,56.4,18.69,,15.42,,19.12,15,34.12,107.59,62.75,44.84
6,Maryland,ACC,,33,4,82,65,17,,16.67,,26.35,7.32,33.67,112.97,69.75,43.22
7,Notre Dame,Big East,,25,9,76.2,61.6,14.62,,16.6,,19.45,11.77,31.22,103.42,64.13,39.3
8,Rutgers,Big East,,27,7,61,51.4,9.62,,20.89,,6.69,23.82,30.51,101.28,59.72,41.57
9,Baylor,Big 12,,25,7,72.4,57.4,14.94,,14.84,,15.29,14.49,29.78,99.41,61.8,37.61
10,Vanderbilt,SEC,,25,9,71.1,56.6,14.41,,14.98,,13.53,15.86,29.39,99.95,62.74,37.22
11,Duke,ACC,,25,10,71.2,59.6,11.54,,19.24,,14.35,14.49,28.85,96.49,60.86,35.62
12,Louisville,Big East,,26,10,74.9,63.1,11.81,,16.78,,18.69,9.9,28.59,104.41,67.56,36.85
13,Oklahoma,Big 12,,22,9,72.9,62.5,10.35,,20.14,,17.29,11.12,28.41,99.78,64.24,35.54
14,Texas A&M,Big 12,,29,8,65.8,54.8,10.95,,17.27,,10.27,17.95,28.22,98.63,62,36.63
15,Oklahoma State,Big 12,,27,8,75.6,61,14.54,,14.02,,18.04,8.87,26.91,101.49,68.42,33.07
16,Texas,Big 12,,22,13,69.8,60.9,8.89,,17.07,,13.57,12.39,25.96,95.39,63.49,31.9
17,Virginia,ACC,,24,10,74.7,64,10.74,,15.29,,17.85,8.1,25.96,97.98,66.61,31.37
18,West Virginia,Big East,,25,8,69.2,56.4,12.88,,14.43,,11.28,14.33,25.61,99.73,66.1,33.64
19,Old Dominion,CAA,,31,5,75.2,60.9,14.36,,10.53,,17.16,7.73,24.89,98.03,67.2,30.83
20,Pittsburgh,Big East,,24,11,70.4,62.5,7.89,,16.89,,13.93,10.84,24.78,99.29,67.82,31.46
21,Kansas State,Big 12,,22,10,67.5,58,9.47,,14.74,,11.54,12.67,24.21,99.46,69.27,30.18
22,DePaul,Big East,,20,12,77.7,69.7,8.03,,15.4,,20.64,2.8,23.43,102.96,74.24,28.72
23,California,Pac-10,,27,7,64.6,54.3,10.29,,12.68,,7.67,15.31,22.98,96.41,66.27,30.15
24,Ohio State,Big Ten,,22,9,71,59.7,11.29,,11.47,,12.5,10.27,22.76,99.7,70.73,28.97
25,Georgia,SEC,,23,10,69.2,59.3,9.88,,13.57,,11.22,11.16,22.38,96.43,69.27,27.17
26,Iowa State,Big 12,,21,13,62.1,55.9,6.21,,16.13,,6.56,15.77,22.33,99.68,70.8,28.88
27,Nebraska,Big 12,,21,12,69.9,63.2,6.73,,15.48,,13.8,8.49,22.29,95.65,67.85,27.8
28,Utah,MWC,,27,5,68.7,54,14.75,,6.7,,9.17,12.51,21.67,101.14,71.77,29.38
29,Syracuse,Big East,,22,9,71.1,61.7,9.42,,11.39,,12.24,8.58,20.81,96.32,70.2,26.12
30,George Washington,A-10,,27,7,67.4,56.1,11.26,,9.04,,9.33,11.17,20.5,97,70.41,26.59
31,Georgia Tech,ACC,,22,10,70.3,60.1,10.28,,11.6,,11.01,9.49,20.5,88.63,65.97,22.67
32,NC State,ACC,,21,13,66.5,56.8,9.68,,10.58,,7.23,13.03,20.26,89.07,64.4,24.67
33,Auburn,SEC,,20,12,69.1,59.7,9.41,,11.4,,11.52,8.53,20.04,95.75,71.71,24.05
34,Texas Christian,MWC,,23,12,71.1,60.1,11.03,,8.8,,12.72,7.11,19.83,94.59,70.1,24.49
35,Arizona State,Pac-10,,22,11,65.2,58.9,6.3,,13.44,,7.72,12.02,19.74,94.19,69.25,24.94
36,Minnesota,Big Ten,,20,12,67,63.2,3.84,,15.16,,10.67,8.36,19.03,95.53,71.92,23.61
37,Iowa,Big Ten,,21,11,65.7,60.2,5.53,,12.94,,9.92,8.56,18.47,96.79,74,22.78
38,Illinois,Big Ten,,20,15,62.2,57.2,5,,13.16,,4.63,13.54,18.16,94.7,71.83,22.86
39,Wyoming,MWC,,24,7,61.4,51.5,9.97,,8.74,,3.73,14.35,18.08,93.9,70.35,23.55
40,Illinois State,MVC,,26,7,76.9,64.3,12.61,,5.47,,14.6,3.47,18.07,99.71,77.83,21.88
41,Gonzaga,WCC,,25,9,77.2,66.5,10.68,,6.42,,14.82,3.24,18.06,95.85,74.17,21.68
42,Colorado,Big 12,,19,15,67.1,63,4.12,,13.2,,10.49,6.83,17.32,95.45,74.19,21.26
43,Michigan State,Big Ten,,23,14,62.7,59.9,2.78,,14.49,,6.88,10.39,17.27,90.47,69.05,21.41
44,Florida State,ACC,,19,14,69.2,65,4.15,,14.89,,11.02,6.13,17.14,91.47,71.13,20.34
45,James Madison,CAA,,24,10,72,60.7,11.32,,5.78,,12.04,5.07,17.11,91.78,72.24,19.55
46,Marquette,Big East,,21,14,70.3,67.3,3.03,,14.01,,12.86,4.19,17.04,91.66,70.77,20.89
47,Wisconsin,Big Ten,,16,14,70.5,66.9,3.53,,13.37,,13.64,3.24,16.88,96.11,75.39,20.72
48,Texas Tech,Big 12,,17,16,66.9,63.5,3.42,,13.85,,8.17,8.52,16.69,89.19,70.13,19.06
49,New Mexico,MWC,,20,13,62.7,53.2,9.52,,7.17,,3.42,13.26,16.68,93.15,71.43,21.72
50,Marist,MAAC,,32,3,71.5,57.1,14.4,,2.14,,8.88,7.66,16.54,97.65,76.83,20.82
51,Middle Tennessee,Sun Belt,,22,12,73.2,64.1,9.15,,7.34,,12.88,3.61,16.49,99.7,79.98,19.73
52,Kansas,Big 12,,17,16,60.7,60.9,-0.24,,16.19,,4.48,11.47,15.95,88.8,70.09,18.71
53,Western Kentucky,Sun Belt,,26,8,73.3,65,8.32,,7.39,,12.47,3.25,15.71,95.93,77.08,18.86
54,Michigan,Big Ten,,19,14,59.5,57.3,2.21,,13.41,,2.49,13.14,15.62,89.22,70.26,18.97
55,UTEP,CUSA,,28,4,71.4,61.8,9.63,,5.72,,9.21,6.14,15.35,88.45,70.64,17.81
56,St. John's (NY),Big East,,18,15,65.6,63.8,1.76,,13.53,,8.34,6.94,15.29,91.47,73.45,18.02
57,Kentucky,SEC,,17,16,61.3,62.6,-1.24,,17.03,,5.36,9.91,15.28,86.13,67.97,18.17
58,Purdue,Big Ten,,19,15,59.1,61.6,-2.59,,17.74,,3.68,11.47,15.16,86.85,68.17,18.67
