,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
45,Florida State,ACC,,10,9,65.3,65.8,-0.53,12.89,15.91,4.63,6.44,8.95,15.39,77.56,53.65,23.91,23.71
46,UCF,AAC,,16,5,57.7,50.5,7.24,6.69,8.03,12.35,-2.37,17.64,15.27,71.76,45.66,26.1,23.29
47,Brigham Young,WCC,,19,6,68.4,59.2,9.2,13.06,5.98,3.75,5.53,9.65,15.18,76.04,51.32,24.72,22.68
48,Notre Dame,ACC,,10,10,70,70.5,-0.5,12.65,15.41,4.15,10.49,4.42,14.91,83.08,59.11,23.97,23.6
49,Wake Forest,ACC,,12,13,66.4,68.5,-2.08,2.38,16.78,14.35,7.29,7.41,14.7,82.36,58.87,23.5,22.01
50,Southern California,Pac-12,,11,12,63.6,68.9,-5.26,5.71,19.73,10.98,9.87,4.61,14.47,79.72,56.41,23.31,22.25
51,Washington,Pac-12,,7,14,58.8,64.9,-6.14,4.94,20.08,11.75,3.93,10.01,13.94,75.01,52.57,22.44,21.67
52,Oklahoma,Big 12,,12,12,73.5,75.1,-1.58,14.35,15.46,2.27,14.13,-0.25,13.88,85.78,63.1,22.68,23.3
53,Florida Gulf Coast,A-Sun,,26,3,81.6,59.6,22.03,6.16,-6.77,10.46,11.1,2.76,13.86,73.47,50.97,22.5,21.66
54,Louisiana State,SEC,,9,13,60.2,63.5,-3.32,1.22,17.08,15.22,2.05,11.71,13.76,70.2,47.64,22.56,21.31
55,Drake,MVC,,18,12,76.4,69.6,6.83,11.63,6.71,4.65,13.89,-0.36,13.54,82.99,61.5,21.49,22.84
56,South Dakota State,Summit,,21,4,69.8,60.8,9.08,-2.85,4.39,17.53,5.05,8.42,13.47,77.62,54.76,22.87,19.24
57,Arizona State,Pac-12,,12,12,54,56.7,-2.71,2.5,16.06,12.83,-3.32,16.67,13.35,68.38,47.3,21.08,19.19
58,Seton Hall,Big East,,14,7,76.7,66.7,10,13.09,3.18,1.78,14.35,-1.16,13.18,85.42,66.12,19.29,19.39
59,Duke,ACC,,3,1,74.5,60,14.5,18.62,-1.61,-4.04,7.67,5.22,12.9,82.56,59.14,23.42,18.81
60,Miami (FL),ACC,,11,11,66,66.9,-0.82,9.15,13.29,3.97,5.46,7.02,12.47,78.35,58,20.36,18.02
61,Penn State,Big Ten,,9,15,72.5,76,-3.54,3.34,15.94,9.15,12.87,-0.47,12.4,83.37,63.43,19.94,16.4
