,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
191,UT Arlington,Sun Belt,,13,7,61.1,54.1,7,-12.74,-9.91,9.13,-8.89,4.36,-4.52,49.98,49.45,0.52,-6.04
192,Virginia,ACC,,0,5,51.6,65,-13.4,3.42,8.88,-4.11,-8.41,3.89,-4.53,60.64,63.18,-2.55,-5.65
193,Cal State Bakersfield,Big West,,9,9,60,61.4,-1.44,-0.31,-3.19,-1.52,-6.4,1.77,-4.63,61.01,64.24,-3.23,-5.62
194,Kansas City,Summit,,10,12,68.2,70.6,-2.36,0.13,0.21,-3.95,0.23,-4.87,-4.64,63.16,66.15,-2.99,-5.39
195,Southern Utah,Big Sky,,11,9,69.7,65.4,4.3,0.93,-7.82,-1.02,-0.38,-4.39,-4.76,58.5,59.57,-1.07,-5.8
196,Little Rock,Sun Belt,,15,11,58.8,57,1.81,1.97,-6.58,-3.08,-8.48,3.7,-4.78,60.13,60.31,-0.18,-5.84
197,San Diego State,MWC,,7,17,60,67.8,-7.71,4.13,2.93,-3.81,-4.55,-0.24,-4.78,58.07,61.81,-3.75,-5.81
198,UC Santa Barbara,Big West,,7,14,66,70.8,-4.81,4.81,0.02,-5.42,1.96,-6.75,-4.79,66.75,70.16,-3.41,-5.78
199,Xavier,Big East,,5,10,62.8,74.2,-11.4,-3.09,6.58,-0.99,-0.23,-4.6,-4.83,66.13,69.14,-3.01,-6.22
200,Akron,MAC,,7,14,67.5,73.2,-5.76,-2.97,2.8,-1.53,-1.01,-3.94,-4.95,63.91,66.73,-2.82,-6.18
201,Mount St. Mary's,NEC,,17,7,71.7,61.7,10,-9.65,-14.98,5.09,-0.44,-4.54,-4.98,75.06,79.43,-4.38,-6.83
202,UC Riverside,Big West,,7,12,58.7,59.7,-1.05,2.37,-2.82,-5.22,-8.9,3.69,-5.21,51.15,54.99,-3.84,-6.87
203,UAB,CUSA,,10,13,69.3,69.1,0.13,2.53,-2.85,-7.19,-0.23,-5.15,-5.38,60.13,61.96,-1.83,-7.17
204,Robert Morris,Horizon,,4,13,56.6,64.6,-8,-3.61,2.57,0.44,-6.37,0.94,-5.43,64.99,69.67,-4.68,-6.42
205,Davidson,A-10,,8,15,62.5,66.6,-4.09,3.91,-1.45,-4.84,-1.85,-3.69,-5.54,67.81,71.87,-4.06,-7.01
206,Memphis,AAC,,4,15,60.6,69.6,-9,5.16,3.45,-9.22,-2.35,-3.21,-5.55,62.38,64.77,-2.39,-6.27
207,Pepperdine,WCC,,5,18,58.8,67.6,-8.83,2.61,4.04,-3.08,-5.42,-0.31,-5.73,57.16,61.49,-4.33,-7.36
208,La Salle,A-10,,11,15,64.6,66.5,-1.85,0.82,-4.05,-2.74,-1.46,-4.44,-5.9,67.45,71.84,-4.39,-7.26
209,Alabama State,SWAC,,16,4,73.4,63.6,9.8,-3.06,-15.77,0.41,1.16,-7.13,-5.97,65.47,68.7,-3.23,-7.48
210,Denver,Summit,,7,16,71.8,77.9,-6.04,2.66,0.05,-3.26,5.97,-11.96,-5.99,70.83,74.96,-4.13,-7.85
211,Northeastern,CAA,,7,13,62.1,65,-2.9,-4.68,-3.1,-0.01,-5.39,-0.61,-6,69.43,73.44,-4.01,-8.02
212,Miami (OH),MAC,,4,20,65.3,74.6,-9.29,5.36,3.16,-6.3,-1.64,-4.49,-6.13,68.28,73.08,-4.8,-8.85
213,Western Illinois,Summit,,8,16,69,76,-7,0.53,0.79,-6.21,1.87,-8.08,-6.21,63.79,68.05,-4.25,-8.86
214,Florida International,CUSA,,15,13,73.7,72.9,0.82,0.24,-3.34,-4.43,2.51,-9.13,-6.62,58.45,61.6,-3.15,-8.52
215,Lafayette,Patriot,,5,8,60.7,64,-3.31,-0.39,-3.33,-2.7,-4.21,-2.43,-6.64,74.25,82.17,-7.92,-7.67
216,Quinnipiac,MAAC,,13,8,63.5,58,5.48,-1.26,-12.61,-1.59,-4.77,-2.36,-7.13,68.57,75.55,-6.98,-8.96
217,Texas State,Sun Belt,,11,11,62.8,60.1,2.64,5.15,-9.9,-7.67,-5.83,-1.43,-7.27,59.69,63.43,-3.74,-8.91
218,Fairfield,MAAC,,11,5,59.1,53.8,5.25,6.19,-12.54,-10.22,-8.73,1.44,-7.29,70.67,76.91,-6.24,-9.19
219,Southern,SWAC,,12,11,60.7,60.9,-0.22,3.43,-7.19,-7.06,-9.17,1.76,-7.41,58.47,63.79,-5.31,-9.02
220,Southern Methodist,AAC,,0,6,55.7,73.5,-17.83,10.84,10.42,-10.63,-5.34,-2.07,-7.41,55.6,59,-3.4,-10.98
221,North Dakota,Summit,,2,19,66.5,75.5,-9,-6.27,1.53,1.47,0.04,-7.52,-7.48,64.44,70.16,-5.72,-10.28
222,Utah Valley,WAC,,13,7,61.6,58.8,2.85,-0.33,-8.37,-3.6,-9.48,1.95,-7.53,55.39,59.21,-3.82,-8.71
223,UC San Diego,Big West,,6,9,61.1,66.7,-5.6,-10.61,-2.43,4.11,-3.18,-4.85,-8.03,60.2,68.29,-8.09,-9.3
224,Chattanooga,Southern,,14,10,63.5,62.3,1.25,1.86,-9.36,-6.2,-6.61,-1.5,-8.11,58.11,63.67,-5.56,-9.28
225,Duquesne,A-10,,5,11,62.4,68.1,-5.69,3.53,-2.42,-5.61,-3.21,-4.9,-8.11,67.09,74.99,-7.9,-9.59
226,Montana,Big Sky,,12,11,65.7,66.3,-0.65,-6.34,-6.24,1.28,-4.47,-3.73,-8.19,55.06,60.44,-5.38,-9.92
227,American,Patriot,,7,4,64.1,62,2.09,4.78,-10.3,-7.73,-3.1,-5.11,-8.21,74.29,84.57,-10.27,-10.32
228,St. Bonaventure,A-10,,6,15,58.8,64.5,-5.71,5.48,-2.56,-9.19,-6.45,-1.83,-8.28,65.45,74.9,-9.45,-8.99
229,Alabama A&M,SWAC,,10,7,66,60.2,5.82,2.34,-14.14,-7.29,-7.14,-1.17,-8.31,62.02,66.97,-4.95,-9.93
230,High Point,Big South,,22,7,72.2,63,9.24,1.23,-16.8,-5.4,-1.24,-7.31,-8.55,64.89,69.3,-4.41,-8.7
231,Eastern Kentucky,OVC,,9,15,62.2,71.1,-8.88,-5.29,0.25,1.4,-1.69,-6.94,-8.63,64.94,71.69,-6.75,-9.74
232,North Florida,A-Sun,,14,11,71.7,72.2,-0.52,-2.38,-5.71,-2.6,0.9,-9.57,-8.66,61.32,67.01,-5.7,-9.78
233,William & Mary,CAA,,6,7,58.8,61.3,-2.46,-6.24,-6.2,-1.03,-7.56,-1.1,-8.66,65.69,72.81,-7.13,-9.09
234,Butler,Big East,,3,17,57.2,76.5,-19.3,-12.42,10.57,5.34,-3.52,-5.21,-8.73,68.43,79.36,-10.92,-10.63
235,New Mexico State,WAC,,9,12,63,62.5,0.52,2.78,-6.91,-6.01,-7.97,-1.1,-9.06,49.65,55.29,-5.64,-9.9
236,Southeastern Louisiana,Southland,,11,8,68.9,61.4,7.47,5.27,-16.6,-9.41,-4.75,-4.37,-9.13,60.5,66.28,-5.78,-9.59
237,Howard,MEAC,,15,4,68,61.5,6.47,0.29,-15.84,-7.06,-2.87,-6.49,-9.36,59.56,67.97,-8.41,-11.02
238,Massachusetts-Lowell,AmEast,,12,9,57.4,57.1,0.29,0.65,-9.94,-5.98,-9.43,-0.23,-9.66,61.99,72.22,-10.23,-10.81
239,Oral Roberts,Summit,,6,15,64.4,79,-14.57,-2.66,6.19,-4.04,-0.71,-8.95,-9.66,56.43,63.37,-6.94,-10.88
240,Southern Mississippi,CUSA,,7,12,65.4,70.1,-4.74,0.97,-4.42,-6.12,-4.31,-5.5,-9.81,56.81,63.36,-6.56,-10.22
241,Georgia State,Sun Belt,,13,11,66.9,66.1,0.75,-3.87,-8.76,-3.56,-4.87,-5.01,-9.89,53.03,59.54,-6.51,-11.75
242,Appalachian State,Sun Belt,,15,12,64.7,67.3,-2.59,-1.9,-7.35,-3.17,-7.49,-2.45,-9.94,59.18,65.75,-6.57,-10.82
243,Hofstra,CAA,,8,12,59.7,65.3,-5.65,4.97,-4.31,-7.66,-7.98,-1.98,-9.96,58.41,68.95,-10.54,-11.81
244,Holy Cross,Patriot,,7,8,60.9,62.2,-1.33,3.69,-9.01,-10.36,-8.21,-2.13,-10.34,66.18,78.74,-12.56,-12.11
245,Manhattan,MAAC,,11,9,55.2,55.9,-0.75,0.4,-9.64,-3.56,-11.16,0.77,-10.39,58.14,70.05,-11.91,-11.72
246,Abilene Christian,Southland,,14,13,68.3,62.8,5.48,-3.3,-6.44,-1.58,-5.16,-5.38,-10.53,50.24,57.29,-7.05,-11.14
247,Georgia Southern,Sun Belt,,11,13,75.5,72.2,3.38,-6.58,-9.44,0.25,1.69,-12.23,-10.54,54.7,61.65,-6.95,-11.6
248,Cal State Fullerton,Big West,,4,18,56.7,65.5,-8.77,4.74,-0.61,-8.97,-8.45,-2.21,-10.66,49.89,60.62,-10.73,-11.56
249,Portland State,Big Sky,,12,13,63.9,64.7,-0.8,-0.19,-5.37,-4.49,-5.69,-5.13,-10.83,51.18,58.95,-7.77,-11.25
250,Lamar,Southland,,10,14,61.8,67.5,-5.67,2.22,-5.67,-6.5,-6.25,-5.09,-11.34,57.85,66.82,-8.97,-12.18
251,Morehead State,OVC,,7,16,58.3,65.7,-7.35,-3.42,-3.15,-1.19,-9.11,-2.31,-11.43,54.09,64.43,-10.33,-11.9
252,Indiana State,MVC,,5,15,62.6,75.8,-13.2,0.61,1.69,-7.33,-2,-9.51,-11.51,64.45,77.64,-13.19,-12.54
253,Wofford,Southern,,13,11,62.5,61.3,1.17,-2.48,-11.05,-3.62,-7.43,-4.1,-11.53,57.02,66.42,-9.4,-12.53
254,Campbell,Big South,,16,7,60.1,52.3,7.78,-6.39,-19.69,-0.16,-15.04,3.22,-11.82,53.7,61.97,-8.27,-13.13
255,Stetson,A-Sun,,10,15,62,63,-0.96,0.06,-7.68,-5.68,-10.56,-1.34,-11.9,51.47,60.75,-9.28,-13.75
256,Furman,Southern,,11,14,59.8,61.4,-1.6,-4.1,-5.85,-4.59,-9.32,-2.72,-12.04,52.59,62.15,-9.56,-12.79
257,Vermont,AmEast,,4,2,62.3,57.8,4.5,-0.63,-16.69,-6.48,-9.05,-3.14,-12.19,66.02,80.46,-14.44,-13.4
258,Utah State,MWC,,4,20,63,78.6,-15.58,6.39,3.15,-6.51,-1.13,-11.3,-12.43,55.49,68,-12.51,-13.35
259,Grambling,SWAC,,10,10,63.3,63.4,-0.1,0.58,-12.63,-7.96,-7.96,-4.77,-12.73,55.88,67.82,-11.94,-13.35
260,North Alabama,A-Sun,,7,18,69.3,77.3,-7.96,-0.4,-4.84,-4.72,0.89,-13.69,-12.8,63.52,74.38,-10.86,-13.72
261,Lipscomb,A-Sun,,12,10,63.7,68.4,-4.68,-5.03,-4.77,-1.53,-6.7,-6.22,-12.92,50.34,60.63,-10.3,-13.23
262,Central Arkansas,Southland,,13,14,54.8,59.8,-5.04,-0.3,-7.91,-3.02,-15.82,2.87,-12.95,51.34,62.11,-10.77,-14.53
263,Illinois-Chicago,Horizon,,3,16,60.8,71.1,-10.26,-7.55,0.53,-0.45,-4.83,-8.13,-12.97,56.35,69.82,-13.46,-14.17
264,Navy,Patriot,,5,7,58.9,60.7,-1.75,-9.31,-11.29,-1.15,-9.56,-3.49,-13.04,60.97,77.08,-16.11,-14.74
265,Arkansas State,Sun Belt,,9,12,66.2,60.6,5.62,-7.49,-9.01,-2.94,-5.65,-7.59,-13.24,45.74,55,-9.26,-13.91
266,Saint Francis (PA),NEC,,14,9,64,65,-1,-9.39,-12.48,0.44,-8.29,-5.18,-13.48,68.11,83.81,-15.7,-14.96
267,Seattle,WAC,,11,14,67.8,69,-1.2,1.81,-7.62,-11.4,-4.4,-9.17,-13.58,45.57,56.73,-11.16,-14.92
268,South Alabama,Sun Belt,,13,13,62.6,63.5,-0.88,-3.7,-10.34,-4.14,-11.12,-2.48,-13.59,49.16,59.67,-10.51,-15.67
269,Morgan State,MEAC,,12,4,64.3,61.8,2.56,-3.63,-16.71,-0.31,-8.9,-5.25,-14.15,59.87,74.08,-14.21,-16.29
270,Sacramento State,Big Sky,,3,22,65.3,75.4,-10.04,-6.09,-4.17,-3.73,-3.13,-11.08,-14.21,56.21,69.58,-13.37,-17.01
271,Detroit Mercy,Horizon,,1,13,57.4,72.9,-15.5,1.77,1.12,-10.72,-7.54,-6.84,-14.38,60.23,76.87,-16.64,-16.58
272,FDU,NEC,,16,8,60.3,58.5,1.71,-0.93,-16.43,-7.16,-12.6,-2.13,-14.72,64.91,82.38,-17.47,-15.43
273,College of Charleston,CAA,,6,9,65.7,71.3,-5.6,-9.47,-5.94,0.41,-7.25,-7.54,-14.79,51.12,63.74,-12.62,-16.17
274,UNC Wilmington,CAA,,7,14,59.4,66.8,-7.43,-9.67,-7.72,-1.93,-8.95,-6.2,-15.15,58.77,74.94,-16.17,-17.25
275,Eastern Washington,Big Sky,,6,17,62.4,71.8,-9.39,-7.52,-4.79,-2.29,-6.77,-8.43,-15.2,53.5,68.11,-14.61,-17.52
276,Longwood,Big South,,14,11,71.1,68.8,2.36,-6.23,-17.61,-2,-1.3,-13.95,-15.25,62.64,77.09,-14.45,-17.56
277,Presbyterian,Big South,,11,10,62.2,58.7,3.52,-4.6,-18.88,-4.52,-11.87,-3.49,-15.35,56.58,70.36,-13.78,-16.59
278,Army,Patriot,,9,11,59.3,62.5,-3.2,-2.1,-12.24,-4.33,-9.34,-6.11,-15.44,66.46,86.45,-19.99,-16.06
279,UNC Greensboro,Southern,,8,16,50.4,57,-6.67,-5.3,-7.2,-6.74,-17.95,2.47,-15.48,44.45,58.88,-14.44,-18.54
280,Wagner,NEC,,13,6,59.3,59.3,-0.05,7.03,-15.43,-9.35,-14.06,-1.42,-15.48,56.91,75.58,-18.66,-18.4
281,Evansville,MVC,,6,17,54.7,71,-16.3,-8.19,2.69,0.05,-11.33,-4.49,-15.81,49.85,67.57,-17.72,-17.2
282,SIU Edwardsville,OVC,,6,19,56.3,66.3,-9.96,-4.69,-5.31,-4.93,-11.19,-5.29,-16.47,49.44,66.82,-17.39,-19.24
283,Albany (NY),AmEast,,7,11,49.8,57.1,-7.22,-4.23,-9.29,-5.39,-17.57,1.07,-16.51,57.68,79.35,-21.66,-19.44
284,Loyola (MD),Patriot,,0,13,50.4,62.9,-12.54,0.33,-4.02,-13.4,-15.61,-0.95,-16.56,59.01,82.29,-23.29,-20.43
285,George Mason,A-10,,3,19,50.7,64.6,-13.91,-2.65,-2.94,-8,-14.79,-2.06,-16.85,53.11,74.57,-21.46,-20.56
286,Sacred Heart,NEC,,8,10,62.4,64.8,-2.39,8.38,-14.67,-18.1,-8.32,-8.73,-17.06,62.34,83.33,-20.99,-19.5
287,Tarleton State,WAC,,9,16,62.1,62.8,-0.68,0.72,-8.87,-13.56,-11.99,-5.31,-17.3,42.31,56.95,-14.64,-19.19
288,Purdue Fort Wayne,Horizon,,1,22,53.7,72.2,-18.57,-8.61,1.2,-2.26,-9.76,-7.61,-17.37,59.53,80.52,-21,-18.01
289,Norfolk State,MEAC,,5,9,57.2,59.8,-2.57,-6.07,-12.3,-5.93,-18.31,0.93,-17.38,44.06,60.08,-16.03,-17.88
290,East Tennessee State,Southern,,4,16,58.3,66.5,-8.15,-7.37,-8.26,-2.89,-10.58,-6.99,-17.57,47.05,64.19,-17.14,-21.66
291,Saint Peter's,MAAC,,13,15,59.5,63.3,-3.79,-4,-14.27,-9.73,-9.45,-8.61,-18.06,59.81,81.65,-21.84,-20.54
292,Binghamton,AmEast,,5,11,53.9,59,-5.06,-2.3,-13.38,-11.45,-14.16,-4.28,-18.45,55.66,78.98,-23.32,-19.74
293,Texas-Rio Grande Valley,WAC,,6,14,62.5,71.2,-8.7,-4.31,-9.91,-5.45,-8.03,-10.58,-18.61,55.86,74.93,-19.08,-19.53
294,Weber State,Big Sky,,2,20,61.9,76.7,-14.86,-6.32,-3.74,-7.6,-6.33,-12.31,-18.64,48.64,66.86,-18.22,-19.72
295,Merrimack,NEC,,5,10,64.7,67.3,-2.67,-8.27,-16.2,-4.57,-6.8,-12.07,-18.86,65.64,89.5,-23.86,-19.52
296,Kennesaw State,A-Sun,,7,12,64.9,66.8,-1.89,-9.7,-8.74,-1.52,-12.71,-6.17,-18.88,39.59,55.36,-15.77,-20.02
297,Rider,MAAC,,8,18,53.8,59.3,-5.5,-8.13,-13.53,-5.45,-15.27,-3.75,-19.03,54.56,78.2,-23.63,-19.17
298,Houston Christian,Southland,,11,11,65.2,61.1,4.14,-2.13,-17.13,-8.42,-11.1,-8.09,-19.19,44.8,61.49,-16.69,-19.28
299,Long Island University,NEC,,7,11,58.8,61,-2.22,-10.29,-17.07,-4,-14.58,-4.7,-19.29,57.17,81.38,-24.21,-20.06
300,Iona,MAAC,,6,9,54.7,56.3,-1.67,-4.17,-17.68,-7.62,-16.74,-2.61,-19.35,55.85,79.85,-24,-22.31
301,Gardner-Webb,Big South,,11,13,63.7,68,-4.33,-6.69,-15.05,-7.94,-8.36,-11.02,-19.38,53.44,72.55,-19.12,-21.4
302,Nicholls State,Southland,,11,14,62.3,67,-4.68,-9.13,-13.36,-3.84,-10.1,-9.29,-19.4,48.11,67.38,-19.27,-18.76
303,Niagara,MAAC,,4,7,62.7,68.5,-5.82,-11.4,-13.8,-3.54,-5.78,-13.84,-19.62,60.91,85.63,-24.72,-21.77
304,NJIT,AmEast,,4,14,56.3,62.7,-6.33,-4.48,-13.3,-9.99,-11.99,-7.64,-19.63,56.19,81.17,-24.98,-21.89
305,Siena,MAAC,,4,9,58.2,66,-7.77,-7.88,-11.9,-4.89,-9.33,-10.34,-19.67,63.74,89.2,-25.46,-21.7
306,UTSA,CUSA,,2,18,61.4,73.2,-11.8,-13.17,-5.09,-2.28,-8.98,-10.8,-19.78,49.22,69.34,-20.12,-21.05
307,St. Francis (NY),NEC,,4,10,64.6,68.1,-3.43,-7.74,-16.7,-7.74,-6.82,-13.31,-20.13,64.62,89.73,-25.11,-21.98
308,Incarnate Word,Southland,,6,9,59.8,65.9,-6.13,-3.39,-11.89,-7.57,-12.8,-7.37,-20.17,47.79,67.41,-19.62,-22.78
309,Texas Southern,SWAC,,5,10,61,70.2,-9.2,-11,-11.12,-3.04,-10.22,-10.09,-20.32,49.96,73.35,-23.4,-21.77
310,Jacksonville,A-Sun,,4,17,57.9,71.1,-13.24,-0.78,-4.73,-9.61,-12.43,-8.09,-20.52,42.79,62.34,-19.55,-21.92
311,Bellarmine,A-Sun,,5,17,62.8,77.2,-14.41,-16.19,-6.46,1.98,-7.14,-13.73,-20.86,55.43,78.1,-22.68,-21.74
312,Maryland-Baltimore County,AmEast,,2,6,57.5,64.3,-6.75,0.53,-14.14,-11.24,-10.67,-10.22,-20.89,58.96,85.58,-26.62,-22.17
313,Alcorn State,SWAC,,7,13,58.5,67.8,-9.3,-2.74,-11.76,-10.55,-11.97,-9.1,-21.06,50.28,74.28,-24,-22.5
314,Delaware State,MEAC,,3,12,58,64.7,-6.73,-15.55,-15.24,0.62,-11.86,-9.38,-21.24,51.24,73.83,-22.59,-23.18
315,Western Carolina,Southern,,6,18,55.3,64.3,-8.96,-6.9,-10.17,-6.69,-15.13,-6.58,-21.71,45.21,67.78,-22.57,-23.85
316,Coastal Carolina,Sun Belt,,3,15,64.7,77.1,-12.39,-5.84,-7.08,-9.5,-5.87,-16.02,-21.89,49.76,69.84,-20.08,-23.18
317,North Carolina Central,MEAC,,4,12,63.5,74.9,-11.38,-14.97,-8.12,-2.57,-5.52,-16.67,-22.19,47.94,67.54,-19.6,-24.39
318,Prairie View A&M,SWAC,,3,13,60.1,66.5,-6.44,-7.93,-15.94,-2.69,-13.37,-9.01,-22.38,47.62,72.94,-25.32,-27.61
319,Texas A&M-Corpus Christi,Southland,,6,13,58.5,66.2,-7.74,-4.52,-10.72,-10.8,-16.61,-5.86,-22.47,36.96,56.71,-19.76,-24.46
320,New Hampshire,AmEast,,5,15,53.8,65,-11.25,-16.3,-11.29,-0.98,-13.73,-8.81,-22.54,57.24,86.38,-29.15,-25.31
321,Radford,Big South,,9,11,61.9,66.9,-4.95,-6.45,-17.61,-6.89,-10.05,-12.51,-22.56,52.15,76,-23.84,-23.7
322,UNC Asheville,Big South,,10,15,60.5,65.6,-5.12,-10.6,-18.73,-7.65,-13.03,-10.82,-23.85,51.17,77.19,-26.02,-27.8
323,Hartford,AmEast,,3,9,51.4,63.4,-12,-10.97,-12.04,-6.39,-16.46,-7.59,-24.04,52.29,82.99,-30.7,-27.66
324,Central Connecticut State,NEC,,4,14,61.8,69.6,-7.78,-9.16,-16.51,-8.01,-10.58,-13.7,-24.29,59.85,90.63,-30.78,-27.15
325,Monmouth,MAAC,,2,16,46,60.2,-14.17,-13.32,-10.21,-1.95,-20.84,-3.54,-24.38,48.57,81.27,-32.71,-26.62
326,Arkansas-Pine Bluff,SWAC,,3,18,62.9,78,-15.1,0.73,-9.33,-14.03,-6.82,-17.61,-24.43,51.89,79.04,-27.16,-27.92
327,Tennessee State,OVC,,0,22,50.3,71.5,-21.14,-16.41,-3.3,-3.35,-15.99,-8.44,-24.43,47.33,77.33,-30,-26.14
328,Bryant,NEC,,7,14,57.7,67.7,-9.95,-11.33,-14.99,-7.44,-13.65,-11.29,-24.94,54.53,86.49,-31.95,-28.44
329,Louisiana-Monroe,Sun Belt,,3,20,52,66.4,-14.48,-7.45,-7.63,-12.44,-16.62,-8.32,-24.94,44.52,71.83,-27.31,-28.68
330,Hampton,Big South,,4,11,55.9,63.3,-7.4,-15.53,-17.87,-0.2,-17.45,-7.83,-25.27,45.85,73.16,-27.32,-27.52
331,South Carolina Upstate,Big South,,8,15,57.3,63.5,-6.17,-8.17,-15.97,-8.45,-17.39,-8.01,-25.4,41.58,67.71,-26.13,-27.55
332,New Orleans,Southland,,6,15,54.9,68.2,-13.33,-14.97,-12.49,-1.14,-15.14,-10.69,-25.83,44.6,73.78,-29.19,-28.23
333,Colgate,Patriot,,1,8,55.2,72,-16.78,-8.97,-10.43,-11.94,-12.33,-14.88,-27.21,62.52,100.39,-37.87,-30.28
334,Coppin State,MEAC,,2,13,51.1,65.9,-14.73,-10.69,-12.63,-7.56,-20.2,-7.17,-27.37,46.89,79.38,-32.49,-29.95
335,McNeese,Southland,,6,16,56,69.7,-13.68,-2.67,-13.43,-15.12,-14.85,-12.86,-27.71,42,71.86,-29.86,-30.02
336,Charleston Southern,Big South,,6,17,58,67,-9,-9.41,-17.61,-11.82,-15.81,-12.43,-28.25,47.52,78.85,-31.33,-29.86
337,Mississippi Valley State,SWAC,,4,16,55.6,71.4,-15.8,-13.38,-12.65,-7.99,-16.05,-12.4,-28.45,48.89,83.81,-34.92,-30.57
338,Chicago State,WAC,,0,14,48.9,71.5,-22.57,-9.1,-6.78,-8.66,-19.32,-10.03,-29.35,40.99,75.08,-34.1,-30.46
339,Utah Tech,WAC,,1,2,59.3,65,-5.67,-7.23,-7.82,-12.92,-22.01,-8.81,-30.82,23.96,47.73,-23.78,-28.75
340,Winthrop,Big South,,6,18,51.3,62.7,-11.38,-5.03,-19.58,-10.87,-22.28,-8.67,-30.95,42.45,79.42,-36.97,-31.89
341,Canisius,MAAC,,0,5,48.6,73.4,-24.8,-15.1,-7.33,-4.19,-18.52,-13.62,-32.13,51.76,95.09,-43.34,-30.51
342,South Carolina State,MEAC,,1,9,46,75.3,-29.3,-5.07,-11.41,-15.33,-23.94,-16.77,-40.71,33.5,82.3,-48.8,-31.25
343,Northwestern State,Southland,,1,19,46.6,77.5,-30.95,-5.55,-11.23,-9.7,-23.23,-18.95,-42.18,34.33,85.52,-51.2,-29.79
