,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
32,Alabama,SEC,,24,10,73.1,62.2,10.94,10.26,10.84,13.36,11.9,9.88,21.78,108.04,78.66,29.38,31.92
33,Mississippi,SEC,,24,9,68.5,59.4,9.12,11.44,12.19,11.9,7.79,13.52,21.31,103.19,74.45,28.74,31.06
34,Texas A&M,SEC,,19,13,68.4,58.7,9.66,11.65,11.6,11.59,7.72,13.54,21.26,102.92,74.28,28.64,30.81
35,Arizona,Pac-12,,18,16,69.9,65.8,4.09,9.94,17.17,11.38,12.64,8.61,21.25,106.02,77.08,28.94,28.74
36,North Carolina,ACC,,20,13,67.8,62.5,5.27,10,15.69,10.97,9.52,11.44,20.96,104.5,76.17,28.33,28.92
37,Kansas,Big 12,,20,13,68.2,64.3,3.88,10.94,16.46,9.22,10.53,9.81,20.34,108.48,80.56,27.92,26.12
38,Mississippi State,SEC,,23,12,75.6,65.8,9.86,7.71,10.19,12.25,14.87,5.19,20.05,111.26,84.67,26.59,26.12
39,Auburn,SEC,,20,12,66.4,58.8,7.56,9.06,12.35,10.88,6.2,13.71,19.91,97.76,71.75,26.01,25.87
40,Florida State,ACC,,23,11,78.5,71.5,7.06,6.65,12.79,13.1,18.8,1.05,19.85,107.17,81.23,25.94,26.36
41,Syracuse,ACC,,24,8,74,65.7,8.34,6.45,11.34,13.06,13.2,6.48,19.68,108.43,82.4,26.03,25.09
42,Nevada-Las Vegas,MWC,,30,3,79,59.1,19.97,8.61,-0.34,10.06,13.71,5.93,19.63,111.11,83.6,27.51,25.62
43,Illinois,Big Ten,,19,15,74.5,67.5,7.03,7.29,12.48,11.11,13.13,6.38,19.51,110.46,83.92,26.55,25.5
44,Michigan,Big Ten,,20,14,70,64.3,5.71,5.94,13.39,11.74,8.68,10.42,19.1,105.27,79.94,25.33,23.55
45,Marquette,Big East,,23,9,69.6,59.5,10.13,12.89,8.85,4.63,9.03,9.95,18.98,103.61,78.29,25.32,23.71
46,Washington,Pac-12,,16,15,64.2,59,5.16,6.69,13.48,12.35,5.23,13.42,18.65,103.69,78.13,25.56,23.29
47,Texas Christian,Big 12,,21,12,69.5,60.9,8.61,13.06,10.47,3.75,7.6,10.55,18.15,106.63,81.97,24.66,22.68
48,Miami (FL),ACC,,19,12,66.6,60.4,6.29,12.65,11.11,4.15,5.98,11.42,17.4,102.61,78.77,23.84,23.6
49,Villanova,Big East,,22,13,64.8,59.6,5.2,2.38,12.07,14.35,6,11.27,17.27,104.52,80.38,24.14,22.01
50,Princeton,Ivy,,25,5,69.2,56.2,12.97,5.71,4.13,10.98,6.45,10.65,17.09,106.19,81.29,24.91,22.25
51,Oklahoma State,Big 12,,14,16,69,66.4,2.53,4.94,14.47,11.75,9.67,7.33,17,105.5,82.53,22.98,21.67
52,Middle Tennessee,CUSA,,30,5,71.4,55.5,15.86,14.35,0.87,2.27,5.38,11.35,16.73,106.24,81.67,24.57,23.3
53,Vanderbilt,SEC,,23,10,68.5,62.3,6.15,6.16,10.27,10.46,7.31,9.11,16.42,101.97,79.97,22,21.66
54,California,Pac-12,,19,15,66.2,65.3,0.85,1.22,14.88,15.22,8.6,7.13,15.73,105.43,83.89,21.54,21.31
55,Virginia,ACC,,16,16,72.5,69.1,3.34,11.63,12.26,4.65,12.93,2.67,15.6,104.25,83.8,20.46,22.84
56,Florida,SEC,,16,16,74.7,71.3,3.34,-2.85,12.01,17.53,14.05,1.31,15.36,105.53,84.64,20.89,19.24
57,Columbia,Ivy,,23,7,75.7,63.5,12.2,2.5,2.19,12.83,12.69,1.7,14.39,109.63,89.84,19.79,19.19
58,Green Bay,Horizon,,27,7,73.9,58.1,15.74,13.09,-0.81,1.78,6.13,8.09,14.22,108.34,86.77,21.57,19.39
59,Florida Gulf Coast,A-Sun,,29,5,74.9,55,19.85,18.62,-2.61,-4.04,6.19,7.9,14.08,105.72,84.81,20.91,18.81
60,Minnesota,Big Ten,,20,16,69.5,66.1,3.39,9.15,10.64,3.97,5.82,8.21,14.03,100.86,82.82,18.03,18.02
61,Richmond,A-10,,29,6,73.1,61,12.09,3.34,1.88,9.15,9.81,4.15,13.96,107.26,87.32,19.95,16.4
62,Seton Hall,Big East,,17,15,64.4,59.7,4.69,-0.12,8.78,12.39,4.24,9.23,13.47,99.8,81.16,18.64,15.99
63,Purdue,Big Ten,,15,19,68.2,68.3,-0.09,8.66,13.38,3.55,7.43,5.86,13.29,101.16,83.8,17.37,16.82
64,South Dakota State,Summit,,27,6,73.6,60.2,13.42,4.63,0.47,8.69,5.43,7.75,13.18,101.41,82.65,18.76,15.82
65,Texas Tech,Big 12,,17,16,64.9,62.8,2.03,-2.8,11.03,14.78,4.81,8.26,13.06,100.4,83.2,17.2,16.03
66,Drake,MVC,,29,6,81.2,70,11.23,3.94,1.77,7.74,14.43,-1.43,13,105.03,88.1,16.92,14.9
67,Arkansas,SEC,,18,15,69.5,68.8,0.64,18.55,12.09,-6.93,9.07,3.65,12.72,99.66,82.92,16.73,16.1
68,Georgia Tech,ACC,,17,16,67.7,67,0.73,-4.15,11.89,15.54,7.42,5.2,12.62,101.13,84.69,16.44,14.92
69,Boston College,ACC,,14,19,71,69.7,1.3,7.21,10.79,4.05,10.67,1.43,12.09,101.39,85.89,15.5,16.19
70,Missouri,SEC,,11,19,70,71,-1.03,-4.15,12.94,15.2,9.47,2.44,11.91,103.74,88.76,14.98,14.34
71,Saint Joseph's,A-10,,28,6,65.3,54.5,10.85,9.83,0.82,1.21,1.6,10.07,11.67,100.43,82.78,17.65,14.6
72,George Mason,A-10,,23,8,71.1,58.7,12.39,-3.56,0.36,14.51,5.83,5.63,11.46,99.2,83.05,16.15,13.81
73,Toledo,MAC,,28,6,72.7,60.1,12.62,11.23,-0.41,0.38,6.64,4.68,11.32,100.9,85.07,15.83,15.33
74,Belmont,MVC,,26,9,70.6,62.3,8.26,10.06,2.85,1.66,3.87,7.23,11.11,100.62,85.34,15.28,14.47
75,UCF,Big 12,,12,17,64.1,64.6,-0.45,11.45,12.2,0.49,4.38,6.53,10.92,97.31,82.92,14.4,11.45
76,Brigham Young,Big 12,,16,17,65.4,65.7,-0.33,7.33,11.1,2.59,5.77,4.99,10.77,99.63,85.65,13.98,13.69
77,Clemson,ACC,,12,19,69.6,70.3,-0.65,12.8,11.18,-0.95,8.99,1.55,10.54,102.83,88.63,14.2,12.56
78,Cincinnati,Big 12,,14,18,62.4,66,-3.59,-7.79,13.48,17.22,3.09,6.8,9.89,96.68,83.29,13.39,12.65
79,Houston,Big 12,,14,16,67.7,68.6,-0.97,11.62,10.7,1.34,7.37,2.36,9.74,96.6,85,11.6,11.78
80,Santa Clara,WCC,,25,9,69.6,59.1,10.41,12.7,2.32,-1.23,4.58,5.15,9.73,103.26,89.09,14.17,11.19
81,St. John's (NY),Big East,,18,15,60.4,58.2,2.21,-1.26,7.31,10.46,0.06,9.46,9.53,99.23,85.68,13.55,12.39
82,Marshall,Sun Belt,,26,7,85.3,71.8,13.48,6,-0.81,4.27,16.8,-7.29,9.51,102.19,90.99,11.2,12.1
83,Georgia,SEC,,12,18,63.2,66.9,-3.7,10.16,13.12,-0.43,2.79,6.63,9.42,94.87,83.06,11.81,10.19
84,Virginia Commonwealth,A-10,,26,6,63.3,53.2,10.13,0.16,-0.05,8.4,-1.36,10.5,9.15,96.2,82.55,13.65,11.24
85,Georgetown,Big East,,23,12,57.9,55.1,2.74,-5.55,6.39,14,-3.08,12.21,9.13,93.31,80.49,12.82,10.45
86,Rhode Island,A-10,,21,14,64.1,56.7,7.46,14.24,1.61,-1.6,0.62,8.44,9.06,96.16,83.46,12.7,12.12
87,Oregon,Pac-12,,11,21,59.8,67.3,-7.5,5.84,16.54,2.48,1.81,7.23,9.04,96.19,84.61,11.58,11.36
88,Stony Brook,CAA,,28,5,72.9,57.6,15.27,7.03,-6.32,2.81,6.73,2.23,8.96,95.3,83.87,11.43,11.12
89,Ball State,MAC,,28,6,72.7,60.9,11.76,11.37,-2.05,-1.28,4.47,4.48,8.95,99.27,86.62,12.65,10.84
90,Temple,AAC,,20,12,69.9,62.9,7.03,-5.56,1.84,13.17,5.75,3.12,8.87,96.17,84.37,11.8,9.81
91,North Texas,AAC,,23,9,74.3,64.2,10.16,11.71,0.76,-2.78,8.46,0.36,8.82,99.25,87.52,11.74,9.7
92,Cleveland State,Horizon,,29,6,74.3,61.4,12.94,8,-4.33,2.26,6.21,2.41,8.62,99.26,87.9,11.36,10.78
93,Davidson,A-10,,18,8,65,55.4,9.58,8.55,-1.06,2.35,0.11,8.41,8.52,98.8,86.56,12.24,9.66
94,Rice,AAC,,19,15,67.2,63,4.15,-3.35,3.82,11.88,2.73,5.24,7.96,95.76,84.71,11.05,9.49
95,Arizona State,Pac-12,,11,20,61.5,70.1,-8.65,9.89,16.42,0.6,4.13,3.64,7.78,97.86,88.04,9.82,9.23
96,DePaul,Big East,,12,20,71.2,71.4,-0.16,12.85,7.74,-6.03,11.59,-4,7.58,98.8,88.95,9.84,9.59
97,Eastern Washington,Big Sky,,29,6,68.3,56.1,12.2,-1.37,-3.31,7.93,1.61,5.78,7.39,94.37,83.67,10.69,8.19
98,Tulsa,AAC,,25,10,70.9,66.9,3.94,9.26,3.44,-1.65,6.8,0.58,7.38,96.93,87.55,9.39,8.77
99,Portland,WCC,,21,13,67.9,62.4,5.5,0.18,3.77,5.87,2.82,4.29,7.11,91.91,82.52,9.39,7.33
100,Harvard,Ivy,,16,12,68.9,63.4,5.46,11.49,1.6,-3.84,4.59,2.48,7.07,98.89,89.41,9.48,6.94
101,Wisconsin,Big Ten,,15,17,62.7,67.9,-5.16,15.34,12.11,-6.57,0.24,6.71,6.95,92.43,83.95,8.48,8.3
102,South Florida,AAC,,19,14,64.2,60.2,4,-10.52,2.93,15.94,-0.56,7.49,6.93,96.13,87.2,8.93,6.6
103,Northern Iowa,MVC,,16,16,73.4,70.5,2.94,4.22,3.79,0.97,7.15,-0.42,6.73,101.47,92.13,9.34,7
104,East Carolina,AAC,,19,14,65.6,62.8,2.82,14.65,3.69,-9.56,2.59,3.91,6.51,91.88,84.78,7.1,7.99
105,Grand Canyon,WAC,,24,8,69.5,56.2,13.28,12.09,-5.01,-4.03,-1.19,7.5,6.31,93.78,83.91,9.87,7.64
106,Wake Forest,ACC,,7,25,59.5,67.6,-8.06,14.31,14.11,-5.86,-0.12,6.17,6.05,95.56,88.42,7.14,7.7
107,Troy,Sun Belt,,22,12,80.9,75,5.82,8.47,0.21,-3.49,16.07,-10.03,6.03,99.51,92.46,7.05,6.33
108,Murray State,MVC,,20,12,84.5,75.2,9.28,-2.81,-2,7.76,16.28,-10.58,5.71,102.78,95.75,7.03,5.45
109,Montana,Big Sky,,23,10,72.5,63.8,8.64,6.66,-1.64,-1.76,6.51,-0.83,5.68,102.68,94.6,8.09,6.12
110,Missouri State,MVC,,23,10,69.3,63.6,5.67,7.65,-0.14,-1.22,1.76,3.77,5.52,96.66,88.75,7.92,6.57
111,Colorado State,MWC,,20,11,68.6,61.2,7.39,13.17,-1.03,-4.86,2.22,3.18,5.4,96.53,88.92,7.61,7.67
112,Wyoming,MWC,,18,15,63.8,59.8,3.97,1,2.56,4.75,-0.79,6,5.22,97.82,90.22,7.6,6.37
113,Fairfield,MAAC,,31,2,72.5,55.2,17.3,-1.16,-10.1,5.61,2.88,2.14,5.03,95.6,89.09,6.51,5.31
114,James Madison,Sun Belt,,23,12,72.3,66.5,5.77,15.27,1.2,-6.68,5.26,-0.27,4.99,94.81,88.43,6.37,5.7
115,North Dakota State,Summit,,22,12,75.4,68.5,6.97,5.94,-0.04,-1.83,6.09,-1.09,4.99,99.83,93.33,6.5,4.59
116,Jackson State,SWAC,,26,7,71.4,57.5,13.88,-4.27,-4.55,8.16,1.85,2.91,4.76,94.54,87.37,7.17,4.51
117,Butler,Big East,,15,17,62.5,62,0.5,5.79,5.95,-1.9,-0.47,5.19,4.72,97.34,91.78,5.56,4.85
118,Southern Methodist,AAC,,14,16,69.8,68.3,1.5,0.13,3.1,3.5,5.92,-1.33,4.6,97.25,91.29,5.95,4.56
119,Providence,Big East,,13,21,58,61.5,-3.56,3.53,7.99,0.02,-2.56,7,4.43,89.88,84.11,5.77,4.2
120,Memphis,AAC,,13,17,67.6,69.3,-1.7,-0.97,6.08,4.13,4.48,-0.1,4.38,90.93,85.19,5.74,3.41
121,Kentucky,SEC,,12,20,64.4,74.4,-10,11.14,14.28,-3.59,5.38,-1.1,4.28,95.36,89.83,5.53,4.01
122,Kent State,MAC,,21,11,71.8,62.8,9,6.7,-0.65,0.01,4.88,-0.66,4.22,97.96,91.92,6.04,3.14
123,Illinois State,MVC,,22,12,74.3,68.6,5.68,5,-0.9,1.63,5.42,-1.61,3.8,98.3,93.62,4.68,3.86
124,Charlotte,AAC,,16,15,64.5,63,1.52,3.97,2.13,-0.32,0.48,3.17,3.65,89.71,85.22,4.49,3.06
125,California Baptist,WAC,,28,4,80.3,71.3,9,4.76,-5.67,-1.95,11.54,-8.22,3.33,95.88,92.42,3.46,3.07
126,Rutgers,Big Ten,,8,24,65.8,73,-7.16,6.42,10.42,-3.4,4.49,-1.22,3.27,96.11,93,3.11,4.51
127,UTSA,AAC,,18,15,64.6,63.5,1.15,11.47,1.97,-4.46,-0.17,3.29,3.12,91.46,87.22,4.24,4.22
128,Maine,AmEast,,24,10,64.1,57,7.06,12.24,-3.98,-7.31,-1.4,4.48,3.08,95.13,90.63,4.5,3.03
129,UC Irvine,Big West,,23,9,63,55.7,7.31,-3.91,-4.46,6.61,-3.33,6.18,2.85,91.15,86.8,4.36,3.21
130,Chattanooga,Southern,,28,5,64.2,54.5,9.76,3.53,-5.36,-1.03,-5,7.8,2.8,95.65,90.09,5.56,2.86
131,Duquesne,A-10,,21,13,69,67,2.03,7.52,0.62,-3.78,5.29,-2.64,2.65,97.36,94.03,3.34,3.43
132,Northern Arizona,Big Sky,,25,10,75.3,70.1,5.26,3.65,-1.32,-0.61,10.49,-7.99,2.5,98.56,95.47,3.09,2.63
133,Old Dominion,Sun Belt,,22,10,64,60.3,3.72,5.63,-0.73,-0.05,-3.83,6.22,2.4,85.05,82.08,2.97,1.81
134,Pittsburgh,ACC,,8,24,60.8,69.1,-8.31,11.78,10.55,-6.83,-0.18,2.41,2.24,91.77,89.91,1.86,3.36
135,Pacific,WCC,,19,15,71.3,69.9,1.44,-11.45,2.56,13.39,6.24,-4.11,2.13,93.47,90.49,2.98,1.6
136,Saint Louis,A-10,,22,18,72.1,70,2.05,6.66,3.14,-3.13,7.36,-5.3,2.06,97.75,94.69,3.06,1.91
137,Liberty,CUSA,,18,16,65.7,66.7,-0.97,4.55,4.12,-3.16,2.48,-0.71,1.78,98.82,96.28,2.54,1.37
138,Hawaii,Big West,,20,11,59.5,56.3,3.23,3.97,-1.53,-0.35,-4.68,6.37,1.7,90.78,88.3,2.48,1.78
139,Boise State,MWC,,21,14,64,58.9,5.09,10.72,-1.96,-4.74,-1.96,3.49,1.53,89.17,87.19,1.98,1.97
140,Southern Mississippi,Sun Belt,,20,14,67.5,63.5,3.97,4.56,-1.41,-2.06,-0.99,2.4,1.41,90.7,88.79,1.91,-0.69
141,Purdue Fort Wayne,Horizon,,23,13,70.9,63.4,7.56,1.94,-3.19,-1.39,1.16,0.21,1.37,93.12,91.17,1.96,0.54
142,Norfolk State,MEAC,,27,6,67,53.1,13.91,6.3,-11.3,-4.76,-2.57,3.86,1.29,91.24,89.25,1.99,0.51
143,Tulane,AAC,,12,20,64.4,65.6,-1.19,8.74,2.48,-7.4,0.45,0.84,1.29,96.37,94.85,1.52,-0.13
144,Oral Roberts,Summit,,21,11,82.1,75.4,6.72,-2.72,-0.52,3.16,12.34,-11.1,1.23,97.64,95.82,1.82,0.24
145,Louisiana-Monroe,Sun Belt,,21,14,74.2,67.9,6.31,0.94,-2.07,1.83,5.07,-3.98,1.08,94.86,93.68,1.18,0.07
146,San Diego State,MWC,,22,13,66.3,64.3,1.97,1.88,-0.53,-0.05,1.02,-0.28,0.75,92.9,92.22,0.68,0.34
147,Lamar,Southland,,24,7,66.6,57.6,9.03,0.35,-5.58,1.06,-2.4,3.09,0.7,93.78,92.21,1.57,0.03
148,South Dakota,Summit,,23,13,70.9,64.6,6.25,9.83,-1.54,-7.1,0.54,0.04,0.58,93.68,93.07,0.62,-0.14
149,San Francisco,WCC,,14,16,66.8,67.1,-0.3,1.84,1.47,-1.43,1.11,-0.71,0.4,91.23,90.9,0.34,-0.03
150,New Mexico,MWC,,21,11,64.7,60.8,3.94,1.55,-3,-1.48,-1.85,2.14,0.29,88.83,88.39,0.43,-0.28
151,Montana State,Big Sky,,17,16,58.7,58,0.7,-12,-0.57,12.04,-6.16,6.28,0.13,84.97,84.97,0,0.42
152,Vermont,AmEast,,25,12,59.4,52.8,6.59,5,-6.25,-3.46,-6.38,6.47,0.09,93.23,92.19,1.04,0.03
153,UAB,AAC,,18,14,71.9,69.8,2.13,8.85,-1.78,-8.26,6.78,-6.71,0.06,99.35,99.62,-0.26,-0.45
154,Southern Indiana,OVC,,25,7,72.1,62.4,9.66,-2.06,-7.07,1.69,1.4,-1.4,0,92.93,92.61,0.32,-0.84
155,Stephen F. Austin,WAC,,22,12,75.6,68.6,7,2.56,-3.24,-2.02,5.26,-5.6,-0.34,93.28,93.53,-0.25,-1.16
156,Illinois-Chicago,MVC,,18,16,69.2,66.2,2.94,8.71,-3.36,-5.17,-0.04,-0.38,-0.42,89.14,90.02,-0.88,-0.74
157,Northwestern,Big Ten,,9,21,66.1,80.3,-14.17,4.27,13.61,-3.38,5.01,-5.57,-0.56,96.47,97.26,-0.79,-0.84
158,College of Charleston,CAA,,22,10,75.3,62.8,12.53,2.18,-8.7,-1.21,4.58,-5.21,-0.63,92.66,94.17,-1.51,-0.86
159,North Carolina A&T,CAA,,22,12,64.2,56.8,7.38,5.58,-4.64,-4.37,-4.37,3.42,-0.95,86.93,87.95,-1.02,-0.43
160,Pennsylvania,Ivy,,15,13,65.6,63.4,2.14,17,0.63,-15.6,0.19,-1.14,-0.95,92.14,93.92,-1.77,0.71
161,Monmouth,CAA,,22,10,64.1,58.3,5.81,13.73,-6.08,-11.9,-3.16,1.79,-1.37,88.36,90.29,-1.93,-1.6
162,Western Kentucky,CUSA,,15,17,64.4,63.5,0.88,0.28,-0.4,0.09,-1.29,-0.08,-1.37,88.71,90.8,-2.09,-1.47
163,Brown,Ivy,,16,11,63.1,61.8,1.33,0.67,-0.68,-0.46,-1.36,-0.05,-1.41,88.94,91.52,-2.57,-1.59
164,Loyola (IL),A-10,,15,16,62.8,63.3,-0.48,-0.58,-1.17,-0.26,-4.07,2.43,-1.65,90.15,91.83,-1.68,-1.7
165,Central Arkansas,A-Sun,,21,12,65.7,59,6.67,0.56,-5.8,0.45,-3.39,1.56,-1.83,89.36,91.79,-2.43,-1.89
166,Louisiana,Sun Belt,,17,14,58.4,59,-0.65,7.91,0.27,-3.96,-9.98,7.9,-2.08,85.24,88.08,-2.84,-0.97
167,Louisiana Tech,CUSA,,14,19,62.4,62.6,-0.24,1.39,1.13,0.83,-4.62,2.52,-2.1,89.02,91.43,-2.41,-2.26
168,Texas A&M-Corpus Christi,Southland,,23,9,66.8,57.9,8.91,5.42,-6.63,-2.3,-2.48,0.14,-2.34,86.55,89.75,-3.2,-2.71
169,Cal Poly,Big West,,17,14,60.6,60.8,-0.19,6.18,-2.19,-7.68,-4.51,2.13,-2.38,86.51,90,-3.49,-2.96
170,Arkansas State,Sun Belt,,13,17,66.3,63.9,2.47,0,-2.25,-1.52,-1.4,-1.06,-2.46,94.11,97.9,-3.8,-2.43
171,Drexel,CAA,,19,15,57.2,55.9,1.32,4.09,-3.1,-3.82,-9.48,7.01,-2.47,88.05,91.58,-3.54,-3
172,Appalachian State,Sun Belt,,17,15,72.2,73.4,-1.25,3.3,-1.48,-5,4.28,-7.02,-2.73,90.13,93.55,-3.42,-3.08
173,Fordham,A-10,,12,17,62.4,62.2,0.28,4.55,-0.69,-3.56,-2.41,-0.5,-2.91,88.63,92.89,-4.26,-2.79
174,UC Davis,Big West,,20,14,61.9,60,1.97,1.69,-2.36,-3.49,-4.04,0.99,-3.04,87.85,92.04,-4.2,-3.29
175,Florida International,CUSA,,21,12,68.6,64.2,4.42,7.3,-5.02,-6.26,-0.06,-2.99,-3.05,88.05,92.56,-4.51,-2.53
176,Southeastern Louisiana,Southland,,19,12,63.5,58,5.52,-9.28,-4.93,7.43,-5.42,2.34,-3.08,84.58,88.73,-4.15,-3.11
177,Saint Mary's,WCC,,13,18,61,65.3,-4.26,4.25,1.78,-1.64,-3.2,0.05,-3.15,92.8,97.79,-4.99,-2.32
178,Albany (NY),AmEast,,25,7,60.9,51.3,9.63,-8.2,-10.26,6.2,-8.46,5.2,-3.26,88.66,92.99,-4.33,-3.47
179,George Washington,A-10,,13,18,58.5,58.2,0.26,8.37,-1.51,-8.89,-7.74,4.47,-3.27,84.93,89.9,-4.96,-3.32
180,Northern Colorado,Big Sky,,15,16,65.1,62.5,2.61,1.13,-2.99,1.09,-3.26,-0.01,-3.27,90.46,95.04,-4.57,-4.02
181,Bowling Green,MAC,,16,15,67.4,70,-2.61,0.32,-0.74,-0.01,0.97,-4.32,-3.35,95.53,100.53,-5,-4.14
182,Towson,CAA,,20,11,66.8,65.4,1.42,-1.67,-4.78,-1.3,0.1,-3.46,-3.36,88.87,94.33,-5.46,-4.01
183,Air Force,MWC,,15,17,63.3,66.3,-3,6.34,0.25,-7.8,-1.83,-1.62,-3.45,88.43,93.63,-5.19,-4.38
184,Holy Cross,Patriot,,21,13,62.9,56.9,6.06,-3.13,-8.52,2.42,-5.69,2.17,-3.52,87.8,92.9,-5.1,-4.9
185,San Diego,WCC,,9,22,62.8,66.9,-4.06,-1.38,2.47,-1.88,-2.35,-1.18,-3.53,90.08,94.89,-4.82,-4.62
186,Nevada,MWC,,16,16,64.3,65,-0.72,-12.9,-1.68,9.56,-1.96,-1.59,-3.55,87.5,92.19,-4.68,-4.88
187,Wichita State,AAC,,10,22,64,69.9,-5.84,8.2,2.11,-8.78,-0.88,-2.86,-3.74,86.94,92.25,-5.3,-4.79
188,Abilene Christian,WAC,,14,16,69.9,66.1,3.8,-4.47,-5.42,1.06,0.29,-4.05,-3.76,93.17,98.84,-5.67,-5.41
189,Buffalo,MAC,,19,14,65.9,63.6,2.33,3.23,-5.14,-0.35,-2.09,-1.89,-3.98,89.91,95.9,-5.99,-5.13
190,William & Mary,CAA,,15,14,63.2,62.6,0.66,5.53,-4.71,-5.58,-2.72,-1.34,-4.06,85.78,91.98,-6.2,-5.57
191,Eastern Kentucky,A-Sun,,22,12,71.9,64,7.85,-12.74,-6.9,9.13,0.33,-4.48,-4.16,88.35,93.98,-5.63,-6.04
192,Fresno State,MWC,,15,18,64.3,63,1.27,3.42,-3.05,-4.11,-2.89,-1.42,-4.3,90.73,97.67,-6.94,-5.65
193,Idaho,Big Sky,,15,16,59.8,57.2,2.58,-0.31,-4.97,-1.52,-8.5,4.18,-4.32,85.05,91.36,-6.3,-5.62
