,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,MOV,SOS,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,NRtg
1,South Carolina,SEC,,38,0,85.4,56.6,28.89,36.44,16.37,14.43,26.76,18.51,45.27,123.18,63.89,59.3,68.2
2,Connecticut,Big East,,33,6,79.7,57.2,22.46,27.45,16.62,21.97,22.09,15.56,37.65,119.67,68.24,51.43,68.14
3,Iowa,Big Ten,,34,5,91,71.9,19.1,27.78,17.95,20.85,32.73,4.32,37.05,126.22,77.96,48.26,63.68
4,Texas,Big 12,,33,5,80.1,57.7,22.42,28.15,14.05,19.58,21.14,15.33,36.47,119.18,69.77,49.4,63.19
5,Louisiana State,SEC,,31,6,85.9,63.3,22.59,33.89,11.46,13.55,25.71,8.34,34.06,116.35,73.54,42.82,58.67
6,UCLA,Pac-12,,27,7,77.3,61.1,16.18,19.66,17.82,19.11,19.24,14.76,34,116.39,70.45,45.94,50.31
7,Stanford,Pac-12,,30,6,77.5,60,17.47,14.36,16.43,20.05,20.62,13.28,33.9,120.63,73.72,46.92,45.57
8,Notre Dame,ACC,,28,7,78.6,61.1,17.51,19.12,14.74,15.13,19.24,13.02,32.26,110.99,68.76,42.23,45.05
9,Ohio State,Big Ten,,26,6,79.3,64,15.31,17.26,16.76,16.84,19.21,12.58,31.79,114.76,72.48,42.28,42.43
10,NC State,ACC,,31,7,73.4,60.7,12.71,17.68,17.7,14.78,16.26,14.15,30.41,111.22,70.87,40.35,43.25
11,Southern California,Pac-12,,29,6,74.9,62.5,12.43,18.61,17.78,13.09,17.79,12.41,30.21,114.99,73.59,41.4,42.4
12,Indiana,Big Ten,,26,6,79.5,64.4,15.13,19.89,14.38,11.73,18.03,11.47,29.5,117.02,77.46,39.56,42.17
13,Utah,Pac-12,,23,11,77.4,62,15.38,17.91,15.46,13.52,18.07,10.62,28.68,116.62,77.85,38.77,41.68
14,Colorado,Pac-12,,24,10,75.2,64.3,10.94,14.94,17.67,16.29,17.75,10.86,28.61,113.66,74.97,38.68,40.18
15,Baylor,Big 12,,26,8,74.8,60.4,14.38,13.94,13.86,17.25,16.15,12.09,28.24,109.11,71.39,37.72,42.32
16,Kansas State,Big 12,,26,8,71.7,57.9,13.74,15.3,14.42,15.84,11.85,16.3,28.15,107.44,69.7,37.74,43.16
17,Oregon State,Pac-12,,27,8,70.9,59.8,11.17,11,16.76,19.88,13.53,14.41,27.93,112.4,74.19,38.21,41.27
18,Duke,ACC,,22,12,68.2,57.9,10.32,15.97,17.25,14.91,10.02,17.55,27.57,106.7,69.54,37.17,41
19,West Virginia,Big 12,,25,8,73.7,57.8,15.85,15.58,11.67,13.87,13.54,13.98,27.52,107.92,71.62,36.3,39.13
20,Virginia Tech,ACC,,25,8,75.2,61.7,13.48,11.94,13.4,16.36,15.29,11.59,26.88,115.94,79.25,36.69,36.74
21,Michigan State,Big Ten,,22,9,82.8,67,15.77,13.06,10.91,15.14,20.65,6.04,26.69,116.31,81.29,35.02,36.81
22,Gonzaga,WCC,,32,4,80,60.3,19.67,6.8,6.64,20.36,17.97,8.33,26.3,119.18,82.29,36.9,35.33
23,Louisville,ACC,,24,10,73.4,63.3,10.09,5.5,14.48,21.27,14.18,10.39,24.57,111.61,78.33,33.29,36.22
24,Tennessee,SEC,,20,13,76.3,69.7,6.58,11.34,17.97,15.32,17.87,6.68,24.54,112.24,80.03,32.22,36.12
25,Penn State,Big Ten,,22,13,82.7,71.8,10.91,9.63,12.65,16.46,22.4,1.16,23.56,112.42,81.95,30.47,34.36
26,Oklahoma,Big 12,,23,10,76.5,69.1,7.36,9.36,15.85,16.43,18.36,4.85,23.21,107.34,76.96,30.38,35.66
27,Creighton,Big East,,26,6,73.4,62.8,10.59,8.43,12.53,17.02,14.72,8.4,23.13,114.54,82.62,31.92,34.81
28,Iowa State,Big 12,,21,12,75.4,69.1,6.24,8.75,16.7,16.66,16.35,6.59,22.94,112.53,81.96,30.57,33.93
29,Nebraska,Big Ten,,23,12,72.4,64.2,8.2,16.85,14.64,10.12,12.43,10.41,22.84,108.66,77.44,31.22,33.28
30,Maryland,Big Ten,,19,14,77.9,73.3,4.64,10.44,17.97,14.19,18.54,4.06,22.6,109.8,80.4,29.4,32.92
31,Washington State,Pac-12,,21,15,69.1,61.8,7.31,14.41,14.57,9.35,10.26,11.62,21.88,108.22,78.61,29.61,31.86
