,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
43,Bowling Green,MAC,,28,5,71.8,57.5,14.36,,1.29,,8.54,7.11,15.65,79.54,53.25,26.29
44,Dayton,A-10,,21,12,74.2,67.1,7.09,,8.26,,14.26,1.09,15.35,77.27,52.84,24.43
45,Southern California,Pac-10,,24,13,69.2,65.9,3.32,,12.02,,11.03,4.32,15.35,80.12,54.75,25.36
46,Kansas State,Big 12,,21,11,60.9,56.3,4.63,,10.45,,2.86,12.21,15.07,74.85,48.73,26.12
47,Georgia,SEC,,23,11,63.6,58.6,5.03,,9.67,,4.49,10.21,14.7,73.13,47.86,25.27
48,Kansas,Big 12,,21,13,70,64.3,5.71,,8.99,,11.43,3.27,14.7,77.83,53.47,24.37
49,Texas Christian,MWC,,22,11,67.7,58.7,9,,5.32,,6.95,7.37,14.32,74.22,49.94,24.28
50,Arizona State,Pac-10,,20,11,60.3,58.4,1.9,,12.36,,2.54,11.72,14.26,71.6,47.87,23.74
51,NC State,ACC,,14,17,76,71.3,4.74,,10.07,,16.15,-2.17,13.97,75.05,52.31,22.74
52,Wisconsin,Big Ten,,16,15,59.8,58.2,1.61,,12.29,,1.6,12.31,13.9,74.23,49.62,24.61
53,Princeton,Ivy,,24,5,69.2,51.8,17.38,,-3.87,,5.26,8.26,13.51,78.55,54,24.54
54,Northwestern,Big Ten,,19,14,66.6,65,1.58,,11.59,,8.29,4.87,13.17,77.1,54.59,22.51
55,Charlotte,A-10,,27,10,69.8,60.1,9.78,,3.31,,8.53,4.56,13.1,72.21,50.2,22.01
56,Duquesne,A-10,,24,9,69.4,61.1,8.36,,4.37,,7.33,5.4,12.74,72.18,50.56,21.62
57,California,Pac-10,,18,16,62.9,60.7,2.12,,10.57,,4.49,8.2,12.69,72.75,50.81,21.94
58,Wyoming,MWC,,24,9,66.5,57.3,9.21,,4.5,,5.47,7.22,12.69,75.49,53.89,21.6
59,Virginia,ACC,,19,16,66.8,64.5,2.31,,10.43,,6.61,5.88,12.49,74.18,52.55,21.63
60,Arizona,Pac-10,,21,12,73.7,70.5,3.24,,9.17,,13.98,-1.54,12.44,76.58,55.83,20.75
61,Pittsburgh,Big East,,14,17,66.3,64.6,1.71,,10.59,,8.66,3.64,12.3,77.24,55.78,21.46
62,Fresno State,WAC,,25,8,75.9,65.5,10.39,,1.5,,11.03,0.87,11.9,76.9,56.59,20.31
63,Marist,MAAC,,31,3,67.1,49.7,17.41,,-5.54,,3.89,7.97,11.87,77.04,53.95,23.08
64,James Madison,CAA,,26,8,70.4,62.2,8.26,,3.55,,9.78,1.53,11.3,76.72,55.81,20.91
65,Toledo,MAC,,29,8,66.6,59.2,7.35,,3.61,,3.64,7.32,10.96,72.57,52.73,19.84
66,Arkansas,SEC,,22,12,64.6,59.3,5.26,,5.67,,2.49,8.44,10.93,68.97,48.97,20.01
67,Nebraska,Big 12,,13,18,63.9,64.7,-0.77,,12.84,,5.99,4.86,10.84,74.69,54.82,19.87
68,Florida,SEC,,20,15,66.6,64.5,2.14,,8.57,,8.04,2.68,10.72,75.48,55.6,19.87
69,Eastern Michigan,MAC,,24,13,67.6,60.1,7.51,,2.82,,4.99,5.34,10.33,69.39,51.45,17.95
70,Louisiana Tech,WAC,,24,8,73,64.4,8.56,,1.56,,10.8,-0.68,10.12,73.14,55.06,18.08
71,Missouri State,MVC,,24,11,69.5,62.7,6.71,,3.3,,7.61,2.41,10.02,71.13,53.35,17.78
72,South Carolina,SEC,,18,15,58.7,59.6,-0.94,,10.84,,0.27,9.63,9.9,69.46,50.88,18.58
73,Houston,CUSA,,26,6,74.5,66.3,8.22,,1.44,,10.17,-0.48,9.69,70.56,52.95,17.61
74,Minnesota,Big Ten,,12,18,64,65.6,-1.67,,11.2,,5.33,4.2,9.54,73.01,55.13,17.88
75,Middle Tennessee,Sun Belt,,23,8,70,61.5,8.52,,0.85,,7.79,1.57,9.36,75.45,56.91,18.54
76,Wake Forest,ACC,,15,17,66.5,65.9,0.59,,8.3,,6.25,2.64,8.89,70.21,53.82,16.39
77,Central Michigan,MAC,,20,11,80.5,73.8,6.65,,2.17,,18.36,-9.55,8.81,77.66,62.55,15.11
78,Illinois State,MVC,,24,11,67.9,62.8,5.09,,3.71,,6.12,2.68,8.8,71.13,54.64,16.5
79,Colorado,Big 12,,18,16,62.2,62.6,-0.44,,10.23,,2.49,6.14,8.63,67.6,51.66,15.94
80,Missouri,Big 12,,13,18,59.4,64.7,-5.32,,13.79,,2.15,6.32,8.47,69.14,53.41,15.73
81,UNC Wilmington,CAA,,24,9,67.9,60.1,7.82,,0.6,,4.16,4.27,8.42,71.89,54.5,17.39
82,Washington,Pac-10,,11,17,56.2,58.3,-2.07,,10.42,,-2.12,10.47,8.35,65.46,50.18,15.27
83,Illinois,Big Ten,,9,23,62.9,67.1,-4.13,,12.25,,4.41,3.71,8.12,69.04,53.44,15.6
84,Auburn,SEC,,16,16,61.1,60.6,0.44,,7.62,,2.49,5.56,8.06,69.52,53.64,15.88
85,Creighton,MVC,,18,13,62.3,59.7,2.55,,5.5,,1.24,6.81,8.05,70.4,54.05,16.35
86,South Florida,Big East,,12,19,60.4,62.7,-2.35,,10.23,,2.85,5.03,7.88,70.38,55.11,15.27
87,Richmond,A-10,,18,12,66.5,63.9,2.67,,5.02,,5.62,2.07,7.69,70.67,55.24,15.43
88,St. Bonaventure,A-10,,21,12,60.1,55.2,4.91,,2.78,,-1.52,9.22,7.69,73.96,57.26,16.7
89,Providence,Big East,,13,16,56.6,58.9,-2.34,,9.93,,-0.74,8.33,7.58,65.62,51.04,14.59
90,Utah,MWC,,18,17,58.3,55.5,2.8,,7.55,,-2.74,10.33,7.58,62.95,49.19,13.76
91,Saint Joseph's,A-10,,20,12,61.3,58.6,2.72,,4.64,,0.77,6.58,7.36,69.62,54.45,15.18
92,Pepperdine,WCC,,18,12,69.5,63.6,5.83,,1.44,,5.63,1.64,7.27,69.53,55.15,14.37
93,Old Dominion,CAA,,20,11,64.3,61.4,2.94,,4.28,,2.35,4.87,7.21,69.69,54.93,14.76
94,Tulane,CUSA,,23,11,72.9,65.8,7.18,,-0.01,,8.4,-1.23,7.17,72.06,56.52,15.54
95,UC Davis,Big West,,24,9,68.5,60.2,8.27,,-1.15,,3.59,3.53,7.13,71.49,57.06,14.43
96,UCF,CUSA,,22,11,68.3,61.7,6.64,,1.13,,4.58,2.53,7.1,70.48,54.79,15.68
97,Appalachian State,Southern,,25,7,73.1,61.5,11.56,,-4.65,,7.75,-0.83,6.91,70.01,55.75,14.26
98,Drexel,CAA,,19,13,61,57.4,3.59,,3.15,,-1,7.75,6.75,74.23,59.27,14.96
99,Little Rock,Sun Belt,,23,8,58.4,52.5,5.97,,0.33,,-5.14,11.44,6.3,65.3,49.26,16.04
100,Villanova,Big East,,12,19,51.1,55.8,-4.71,,10.95,,-5.58,11.82,6.24,66.58,54.05,12.53
101,Oregon,Pac-10,,13,17,76.3,77.1,-0.77,,8.4,,15.12,-8.89,6.23,68.57,56.11,12.46
102,Virginia Commonwealth,CAA,,19,12,67.7,63.1,4.68,,1.71,,4.53,1.67,6.21,74.41,60.52,13.89
103,San Diego State,MWC,,12,17,59.3,59.4,-4.67,,7.51,,-0.77,6.76,6,65.58,52.99,12.59
104,Kent State,MAC,,20,10,66.8,61,5.8,,0.03,,3.73,2.1,5.82,67.62,55.44,12.18
105,Delaware,CAA,,20,14,61.4,57.9,3.5,,2.21,,-1.13,6.84,5.71,69.44,56.55,12.89
106,Oregon State,Pac-10,,9,21,53.9,57.2,-3.3,,8.95,,-6.26,11.91,5.65,62.24,50.67,11.57
107,New Mexico,MWC,,13,18,60.7,62.3,-1.58,,6.99,,0.94,4.47,5.41,65.41,53.66,11.75
108,South Dakota State,Summit,,19,14,67.1,60.8,6.33,,-1.46,,1.5,3.37,4.88,58.85,48.8,10.05
109,Indiana,Big Ten,,9,20,63.4,69.1,-5.72,,10.55,,5.03,-0.19,4.83,70.84,59.35,11.49
110,Mississippi State,SEC,,13,17,58.2,59.3,-1.1,,5.93,,-3.57,8.39,4.83,64.12,52.3,11.82
111,UC Santa Barbara,Big West,,19,12,64.2,58.7,5.45,,-0.78,,-1.03,5.71,4.68,67.99,56.56,11.44
112,Denver,Sun Belt,,19,12,64.9,59.1,5.77,,-1.2,,0.98,3.6,4.57,69.43,56.67,12.76
113,Oral Roberts,Summit,,23,11,84.4,75.4,9,,-4.07,,18.61,-14.2,4.42,63.15,55.72,7.43
114,Hampton,MEAC,,25,7,65.4,53.4,12.03,,-7.19,,-1.71,6.07,4.36,67.05,53.08,13.97
115,Nevada,WAC,,22,11,67.5,63.8,3.67,,0.91,,2,2.34,4.34,65.5,55.84,9.66
116,Alabama,SEC,,18,15,66,66.8,-0.79,,5.12,,5.84,-1.51,4.33,65.46,54.45,11.01
117,UC Riverside,Big West,,19,13,64.1,60.9,3.19,,1.07,,-0.2,4.45,4.26,66.52,55.83,10.68
118,Hofstra,CAA,,19,12,75.2,70.2,5,,-1.13,,12.93,-9.06,3.87,70.96,61.73,9.23
119,Wichita State,MVC,,17,15,63.3,61.6,1.78,,1.99,,0.52,3.25,3.77,62.77,52.96,9.81
120,Butler,Horizon,,20,14,67,64.7,2.29,,1.65,,4.41,-0.97,3.44,69.75,60.59,9.16
121,Nevada-Las Vegas,MWC,,11,20,61.2,62.3,-1.1,,4.46,,0.4,2.97,3.36,65.15,56.25,8.9
122,Florida Gulf Coast,A-Sun,,28,4,71.3,57.3,14.03,,-9.76,,1.71,1.47,3.18,75.85,62.19,13.65
123,UTEP,CUSA,,16,14,69.6,65.2,4.37,,-0.57,,4.54,-1.65,2.88,67.52,58.87,8.65
124,Virginia Tech,ACC,,11,19,60.8,66.1,-5.3,,8.61,,0.31,2.55,2.86,64.95,56.39,8.56
125,Saint Mary's,WCC,,19,13,67.5,68.1,-0.59,,3.44,,4.6,-1.75,2.85,69.05,60.08,8.97
126,Washington State,Pac-10,,8,23,63,73,-10.06,,12.91,,4.86,-2.01,2.85,66.29,57.27,9.02
127,Montana State,Big Sky,,17,14,69.8,65.5,4.23,,-1.54,,4.61,-1.92,2.69,67.68,59.59,8.09
128,Indiana State,MVC,,16,16,65.8,64.5,1.25,,1.37,,2.52,0.1,2.62,67.92,59.53,8.39
129,Purdue Fort Wayne,Summit,,20,11,74,65.5,8.55,,-4.72,,6.26,-3.91,2.35,64.23,56.84,7.39
130,Memphis,CUSA,,21,13,65.6,62.6,3.06,,-1.01,,1.72,0.33,2.05,63.5,55.73,7.77
131,Chicago State,GWC,,24,10,72.9,62,10.94,,-7.72,,4.25,-2.26,2,65.63,57.89,7.74
132,Lehigh,Patriot,,21,11,64.6,58.5,6.06,,-4.12,,1.94,0,1.95,66.3,59.06,7.24
133,Cincinnati,Big East,,9,20,52.5,62,-9.52,,12.27,,-5.34,7.22,1.88,64.75,59.5,5.25
134,Drake,MVC,,15,15,65,65.9,-0.9,,2.76,,2.23,-0.37,1.86,66.94,59.94,7
135,Cal State Bakersfield,Ind,,22,12,76.5,71.4,5.03,,-1.4,,11.04,-9.27,1.76,67.63,61.17,6.46
136,UAB,CUSA,,20,15,59.1,55.3,3.86,,-2.15,,-6.09,7.8,1.71,65.54,56.59,8.95
137,Samford,Southern,,25,8,63.6,56.5,7.09,,-4.65,,-2.87,4.41,1.54,68.16,59.46,8.7
138,Liberty,Big South,,22,11,60.6,53.9,6.76,,-3.46,,-5.57,7.08,1.51,60.86,52.11,8.75
139,Rice,CUSA,,18,14,64.8,63,1.78,,-0.27,,-0.41,1.92,1.51,63.43,56.23,7.2
140,Akron,MAC,,14,16,66.3,63.9,2.33,,1.03,,1.3,0.18,1.47,63.51,57.76,5.75
141,Southern Methodist,CUSA,,14,16,66.7,66.5,0.23,,1.11,,2.56,-1.22,1.34,67.32,59.98,7.34
142,Cleveland State,Horizon,,21,12,65.7,62.7,3,,-1.4,,0.38,0.72,1.1,62.09,56.31,5.78
143,American,Patriot,,22,9,61.2,53.7,7.48,,-6.52,,-4.21,5.18,0.97,67.86,60.2,7.66
144,Oakland,Summit,,20,12,65.2,59.1,6.16,,-4.11,,-3.04,3.8,0.76,51.17,47.26,3.92
145,Buffalo,MAC,,16,16,66.5,66.3,0.16,,0.6,,3.08,-2.32,0.75,67.96,62.33,5.64
146,Western Kentucky,Sun Belt,,15,17,63.9,64.4,-0.47,,0.95,,1.24,-0.76,0.48,68.23,61.23,6.99
147,Wright State,Horizon,,20,13,68,67.2,0.82,,-0.49,,4.02,-3.54,0.48,68.04,62.97,5.07
148,Colorado State,MWC,,14,16,60.4,63.3,-2.87,,3.33,,-0.07,0.53,0.47,67.94,63.19,4.75
149,Clemson,ACC,,10,20,59.9,69.2,-9.37,,9.78,,0.52,-0.11,0.42,64.58,59.22,5.36
150,East Carolina,CUSA,,16,15,70.3,69.1,1.23,,1.1,,6.82,-6.49,0.33,64.57,58.61,5.96
151,Mississippi,SEC,,10,19,58.4,66.4,-7.97,,8.25,,-1.54,1.82,0.28,67.51,63.79,3.72
152,Illinois-Chicago,Horizon,,14,16,63.9,65.7,-1.77,,1.95,,0.6,-0.41,0.19,64.26,59.63,4.64
153,Northern Colorado,Big Sky,,17,14,65.4,60.4,5.06,,-3.97,,-2.06,2.2,0.14,59.35,54,5.35
154,Florida International,Sun Belt,,16,16,61.3,61.2,0.16,,-0.32,,-2.62,2.46,-0.16,65.63,60.06,5.57
155,Bradley,MVC,,15,16,64.8,67.6,-2.81,,2.62,,2.65,-2.83,-0.19,64.3,59.74,4.56
156,Seton Hall,Big East,,8,22,54.5,66.3,-11.8,,11.53,,-2.69,2.42,-0.27,62.82,58.91,3.92
157,High Point,Big South,,16,15,68.9,61,7.87,,-4.91,,3.5,-3.81,-0.31,65.69,60.06,5.63
158,Portland State,Big Sky,,20,12,67.9,65.6,2.31,,-0.69,,2.53,-3.02,-0.49,61.89,57.95,3.95
159,Portland,WCC,,16,15,69.9,69.3,0.61,,-1.2,,3.61,-4.2,-0.59,66.37,62.66,3.72
160,UC Irvine,Big West,,15,15,67,67.2,-0.17,,-0.48,,2.25,-2.89,-0.64,69.77,65.38,4.39
161,Harvard,Ivy,,18,10,71.4,65.7,5.75,,-6.41,,5.38,-6.04,-0.66,73.47,69.45,4.02
162,Northern Illinois,MAC,,13,17,57.8,62.2,-4.43,,3.74,,-4.96,4.27,-0.69,61.87,58.84,3.03
163,Lamar,Southland,,25,8,73.8,65.5,8.39,,-7.25,,4.59,-5.39,-0.8,59.49,54.99,4.51
164,San Diego,WCC,,17,14,55.5,66.7,-11.19,,-0.16,,0.25,-1.11,-0.86,66.66,63.21,3.46
165,Montana,Big Sky,,18,15,61.5,59.9,1.67,,-1.17,,-5.46,4.57,-0.89,60.31,56.87,3.45
166,Utah State,WAC,,18,15,69.3,70,-0.7,,-0.45,,5.16,-6.19,-1.04,65.92,62.91,3.01
167,Milwaukee,Horizon,,12,18,65.8,70.1,-4.37,,3.23,,3.61,-4.74,-1.14,67.92,65.25,2.67
168,George Mason,CAA,,13,17,59.7,59.3,0.37,,-0.59,,-4.06,2.89,-1.18,66.15,61.86,4.3
169,Detroit Mercy,Horizon,,13,18,60.7,63.1,-2.32,,2.49,,-2.56,1.28,-1.28,59.98,57.68,2.29
170,Tennessee-Martin,OVC,,21,11,72.4,68.6,3.81,,-5.46,,5.92,-7.57,-1.65,70.56,66.86,3.71
171,Cal Poly,Big West,,18,13,68.3,68.4,-0.1,,-1.61,,3.67,-5.38,-1.71,68.54,66.04,2.5
172,Idaho,WAC,,15,16,63,63.8,-0.84,,-0.33,,-3.27,1.5,-1.77,58.3,56.07,2.24
173,Saint Francis (PA),NEC,,22,12,68.2,66.5,1.71,,-3.72,,4.55,-6.56,-2.02,67.13,65.61,1.52
174,Navy,Patriot,,20,12,57.6,53.7,3.97,,-6.04,,-6.93,4.86,-2.07,67.31,64.59,2.72
175,Arkansas State,Sun Belt,,18,14,59.2,57.4,1.72,,-3.24,,-6.72,4.64,-2.08,53.46,50.3,3.16
176,New Mexico State,WAC,,14,18,65.5,66.8,-1.31,,0.26,,0.22,-2.32,-2.1,61.4,59.79,1.61
177,Monmouth,NEC,,23,10,60.4,55.7,4.73,,-6.52,,-6.44,4.29,-2.15,65.32,62.81,2.51
178,George Washington,A-10,,8,21,55.5,61.8,-6.28,,3.94,,-5.62,3.29,-2.33,63.02,62.14,0.88
179,South Alabama,Sun Belt,,17,13,62.8,57.8,4.97,,-4.47,,-4.07,1.74,-2.33,56.61,54.4,2.21
180,Miami (OH),MAC,,11,19,69.6,75,-5.47,,2.95,,6.61,-9.13,-2.52,69.77,68.31,1.46
181,Gardner-Webb,Big South,,23,11,63.9,57,6.85,,-5.9,,-3.8,1.17,-2.63,57.54,53.4,4.15
182,South Dakota,GWC,,20,12,63.1,56,7.09,,-6.88,,-6.76,4.02,-2.74,55.71,52.86,2.85
183,East Tennessee State,A-Sun,,19,12,72.1,69.2,2.94,,-5.82,,4.11,-6.99,-2.88,64.2,61.88,2.32
184,Chattanooga,Southern,,17,14,66.8,65.7,1.1,,-3.99,,1.93,-4.82,-2.9,71.67,69.48,2.2
185,Sacred Heart,NEC,,18,13,60.2,57.7,2.48,,-5.48,,-4.55,1.55,-3,62.59,62.54,0.04
186,McNeese,Southland,,26,7,69.1,58.3,10.82,,-11.45,,-3.34,0.24,-3.09,59.07,56.79,2.29
187,Idaho State,Big Sky,,18,12,66.3,63.3,3,,-3.49,,-2.34,-0.83,-3.17,57.38,56.44,0.94
188,Loyola Marymount,WCC,,11,18,60.8,64.9,-4.1,,0.78,,-4.54,1.22,-3.32,63.6,64.52,-0.92
189,Ohio,MAC,,9,22,56.4,63.4,-6.97,,3.49,,-5.86,2.38,-3.48,59.38,59.76,-0.38
190,Elon,Southern,,20,13,68,64.2,3.76,,-5.75,,2.44,-5.97,-3.53,58.45,57.69,0.76
191,Manhattan,MAAC,,24,10,56.9,50.9,6.03,,-9.86,,-8.5,4.67,-3.83,63.43,63.32,0.1
192,Robert Morris,NEC,,16,14,63.8,62,1.8,,-5.66,,-1.79,-2.07,-3.86,64.16,64.97,-0.81
193,Louisiana-Monroe,Sun Belt,,16,15,63.1,60.4,2.74,,-5.92,,-3.38,-0.6,-3.98,52.35,51.71,0.64
194,Ball State,MAC,,9,21,62.6,69.3,-6.67,,2.64,,-0.12,-3.91,-4.03,60.93,61.68,-0.75
195,Hartford,AmEast,,17,16,56.7,57.5,-0.79,,-3.27,,-7.27,3.21,-4.06,62.36,63.12,-0.76
196,Boston University,AmEast,,17,14,62.8,60.1,2.71,,-6.88,,-2.58,-1.6,-4.17,63.89,64.61,-0.71
197,Davidson,Southern,,14,17,61.7,60.6,1.13,,-5.05,,-3.44,-0.78,-4.22,64.61,64.19,0.42
198,North Dakota State,Summit,,13,16,65.9,65.4,0.48,,-3.43,,-2.06,-2.29,-4.36,53.39,56.21,-2.82
199,Evansville,MVC,,8,22,57.1,64.4,-7.27,,2.81,,-5.98,1.53,-4.46,56.87,58.59,-1.71
200,Eastern Illinois,OVC,,18,13,69.6,65.4,4.23,,-8.76,,1.18,-5.71,-4.54,65.85,65.91,-0.06
201,Towson,CAA,,9,21,56.1,61.3,-5.13,,0.59,,-6.65,2.11,-4.54,60.56,62.09,-1.53
202,Fordham,A-10,,12,19,56.6,59.5,-2.87,,-1.74,,-7.2,2.59,-4.62,61.48,63.56,-2.08
203,Loyola (MD),MAAC,,21,13,58.8,58.4,0.47,,-5.31,,-4,-0.84,-4.84,60.9,62.35,-1.45
204,Tennessee Tech,OVC,,23,8,67.2,62.5,4.68,,-8.62,,-1.59,-3.3,-4.89,60.71,61.09,-0.38
205,Western Michigan,MAC,,9,21,60.2,65.9,-5.7,,0.75,,-3.52,-1.43,-4.95,59.67,61.82,-2.15
206,Fairfield,MAAC,,17,13,55.3,51.2,4.13,,-9.33,,-10.53,5.34,-5.2,60.31,62.27,-1.96
207,Georgia State,CAA,,12,19,57.6,62.7,-5.13,,-0.97,,-5.05,-0.23,-5.28,57.55,60.07,-2.52
208,Massachusetts,A-10,,7,23,63,70.4,-7.37,,2.06,,0.42,-5.73,-5.31,67.38,70.4,-3.02
209,Yale,Ivy,,14,15,61.7,63.2,-1.55,,-3.95,,-1.87,-3.64,-5.51,60.54,63.45,-2.9
210,Hawaii,WAC,,11,19,60.5,66.3,-5.87,,0.05,,-4.07,-1.74,-5.81,59.01,62.97,-3.96
211,Maryland-Baltimore County,AmEast,,20,12,56.8,56,0.78,,-6.65,,-7.73,1.86,-5.87,60.6,64.13,-3.52
212,Prairie View A&M,SWAC,,21,12,55.5,53.1,2.42,,-8.34,,-11.22,5.3,-5.91,52.18,53.19,-1.01
213,La Salle,A-10,,10,20,61,70.4,-9.37,,3.42,,0.44,-6.38,-5.94,63.87,67.41,-3.54
214,Eastern Washington,Big Sky,,13,18,67.3,67.7,-0.42,,-2.94,,0.32,-6.36,-6.04,61.39,64.77,-3.39
215,Central Arkansas,Southland,,21,12,70.8,61.4,9.36,,-11.45,,-2.32,-3.79,-6.1,56.71,58.21,-1.5
216,Loyola (IL),Horizon,,12,19,62.9,68.3,-5.42,,0.3,,-1.64,-4.53,-6.17,60.22,64.46,-4.25
217,Northeastern,CAA,,8,22,58.4,66.6,-8.2,,1.92,,-4.05,-2.23,-6.28,62.56,66.48,-3.92
218,Morehead State,OVC,,21,10,70.7,67.7,3,,-9.3,,1.62,-7.93,-6.3,64.21,65.74,-1.54
219,William & Mary,CAA,,3,26,62.8,72.3,-9.55,,3.4,,0.05,-6.36,-6.32,65.67,69.2,-3.53
220,Long Island University,NEC,,19,11,62,59,3.03,,-9.8,,-5.13,-1.64,-6.77,61.32,65.52,-4.19
221,Seattle,Ind,,8,22,62.4,67.8,-5.4,,-0.55,,-4.63,-2.23,-6.86,57.52,60.67,-3.15
222,Binghamton,AmEast,,19,12,56.8,54.5,2.26,,-9.57,,-9.62,2.31,-7.31,55.44,61.56,-6.11
223,North Dakota,GWC,,15,16,65.8,66.1,-0.32,,-5.93,,-1.36,-5.99,-7.35,55.93,59.75,-3.82
224,UNC Greensboro,Southern,,13,16,61,63.5,-2.48,,-4.96,,-5.16,-2.28,-7.44,59.44,63.91,-4.47
225,North Carolina A&T,MEAC,,15,14,69,69.5,-0.55,,-7.59,,4.04,-11.53,-7.49,60.48,65.49,-5
226,Santa Clara,WCC,,11,19,61.6,68.5,-6.87,,-0.64,,-4.71,-2.8,-7.51,61.37,66.75,-5.38
227,UTSA,Southland,,16,15,63.2,64.2,-1.06,,-5.19,,-4.48,-3.09,-7.57,53.54,58.17,-4.63
