,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Connecticut,Big East,,36,2,76.6,50.1,26.47,,17.77,,22.6,21.64,44.24,99.18,32.18,67.01
2,Baylor,Big 12,,34,3,79,54.2,24.81,,15.73,,22.76,17.79,40.55,95.1,34.21,60.89
3,Stanford,Pac-10,,33,3,79.3,55.5,23.86,,15.54,,22.42,16.98,39.4,98.23,38.97,59.26
4,Texas A&M,Big 12,,33,5,77.6,57.2,20.37,,18.4,,23.16,15.61,38.76,94.09,36.21,57.89
5,Notre Dame,Big East,,31,8,77,56.2,20.79,,16.1,,21.83,15.07,36.89,90.59,35.95,54.64
6,Tennessee,SEC,,34,3,79.3,56.4,22.89,,13.72,,22.53,14.08,36.61,93.62,38.57,55.05
7,Duke,ACC,,32,4,70.5,55.6,14.86,,16.63,,13.63,17.86,31.49,84.59,37.26,47.33
8,North Carolina,ACC,,28,9,77.9,61.7,16.16,,9.89,,18.76,7.29,26.05,82.04,43.83,38.21
9,DePaul,Big East,,29,7,73.6,60,13.61,,12.17,,16.87,8.91,25.78,87.38,47.19,40.19
10,Xavier,A-10,,29,3,74.2,56.4,17.81,,7.26,,14.5,10.57,25.07,84.8,45.51,39.28
11,Gonzaga,WCC,,31,5,85.3,62.8,22.47,,3.41,,21.47,2.95,24.41,85.36,49.76,35.61
12,Miami (FL),ACC,,28,5,79.9,62.7,17.15,,7.02,,18.53,5.65,24.17,82.31,46.19,36.12
13,Ohio State,Big Ten,,24,10,74.1,65.6,8.44,,14.15,,17.11,6.61,23.72,87.99,51.04,36.94
14,Louisville,Big East,,22,13,71.2,60.3,10.91,,12.48,,13.89,9.5,23.39,83.5,46.61,36.88
15,Michigan State,Big Ten,,27,6,67.3,55.2,12.06,,11.06,,7.95,15.17,23.12,77.44,40.83,36.61
16,Oklahoma,Big 12,,23,12,75.8,67.4,8.4,,14.31,,18.28,4.43,22.71,83,47.8,35.2
17,Green Bay,Horizon,,34,2,74.1,53.1,20.94,,1.7,,11.68,10.97,22.65,78.61,43.15,35.45
18,Maryland,ACC,,24,8,71.7,58.1,13.53,,9.96,,12.23,10.22,22.44,82.04,45.92,36.13
19,West Virginia,Big East,,24,10,66.2,53.7,12.47,,9.98,,8.92,13.5,22.42,78.42,42.72,35.69
20,UCLA,Pac-10,,28,5,65.6,55.3,10.3,,12.07,,7.62,14.76,22.38,79,43.39,35.61
21,Georgetown,Big East,,24,11,64,56.5,7.54,,15.6,,7.78,14.47,22.25,77.53,43.06,34.47
22,Texas,Big 12,,19,14,76.3,68.5,7.79,,14.1,,19.12,2.78,21.89,82.89,49.24,33.66
23,Iowa State,Big 12,,22,11,65.2,55,10.24,,10.82,,7.2,13.86,21.07,80.6,45.42,35.19
24,Georgia Tech,ACC,,24,11,66.1,56.8,9.31,,11.6,,7.36,13.55,20.91,77.2,43.69,33.51
25,Syracuse,Big East,,25,10,70,57,13.06,,7.64,,11.8,8.89,20.7,81.86,48.67,33.19
26,Rutgers,Big East,,20,13,61.4,57.2,4.27,,17.34,,5.72,14.97,20.69,77.05,44.53,32.52
27,Texas Tech,Big 12,,22,11,65.4,56.9,8.52,,11.4,,6.04,13.88,19.92,75.56,42.74,32.82
28,Florida State,ACC,,24,8,73.5,64,9.47,,10.34,,14.37,5.44,19.81,81.39,49.49,31.9
29,Penn State,Big Ten,,25,10,76.9,67.6,9.31,,10.31,,18.76,0.87,19.63,83.69,53.07,30.62
30,Iowa,Big Ten,,22,9,71,63.9,7.06,,12.07,,12.25,6.89,19.14,82.55,51.55,31
31,Temple,A-10,,24,9,67.9,56.2,11.67,,7.47,,9.33,9.81,19.14,80.74,48.85,31.89
32,Marquette,Big East,,24,9,66.3,59.5,6.82,,11.13,,8.72,9.23,17.95,79.8,49.85,29.95
33,Purdue,Big Ten,,21,12,64.4,58.7,5.73,,12.2,,6.04,11.88,17.92,76.39,46.61,29.78
34,Louisiana State,SEC,,19,13,61.9,52.9,9.03,,8.81,,3.02,14.82,17.84,72.72,42.49,30.24
35,Kentucky,SEC,,25,9,70.9,62.3,8.68,,9.02,,11.31,6.38,17.69,74.81,46.24,28.57
36,Boston College,ACC,,20,13,77.9,69.1,8.85,,8.38,,17.16,0.07,17.23,82.94,56.48,26.45
37,Northern Iowa,MVC,,27,6,69.7,54.8,14.85,,2.07,,7.69,9.23,16.92,76.84,48.35,28.48
38,Brigham Young,MWC,,25,9,69.3,56.9,12.41,,5.36,,7.93,8.7,16.63,73.27,46.65,26.63
39,St. John's (NY),Big East,,22,11,62.6,57.5,5.12,,11.5,,6.51,10.11,16.62,76.05,48.06,27.99
40,Vanderbilt,SEC,,20,12,71.3,64.1,7.16,,9.07,,12.9,3.33,16.23,83.08,55.31,27.77
41,Oklahoma State,Big 12,,17,15,67.6,60.7,6.91,,9.27,,7.87,8.31,16.18,70.26,45.16,25.11
42,Michigan,Big Ten,,17,13,64.9,62.2,2.77,,13.13,,7.17,8.73,15.89,80.63,54.31,26.32
